,open,high,low,close,volume,value
2026-05-16 14:45:00,757.0,757.0,757.0,757.0,295.7895,223912.6515
2026-05-16 15:00:00,756.0,756.0,753.0,753.0,21102.67353493,15904967.59867837
2026-05-16 15:15:00,753.0,753.0,751.0,752.0,3413.2729133,2567086.82221941
2026-05-16 15:30:00,751.0,755.0,751.0,753.0,1148.35850467,862981.93552133
2026-05-16 15:45:00,752.0,752.0,747.0,750.0,46869.37688882,35116568.39426708
2026-05-16 16:00:00,751.0,751.0,736.0,741.0,117369.99731921,87383109.30897963
2026-05-16 16:15:00,741.0,741.0,733.0,741.0,74178.87706906,54714255.66166048
2026-05-16 16:30:00,740.0,745.0,738.0,745.0,27015.26000485,20004670.31942639
2026-05-16 16:45:00,741.0,742.0,740.0,740.0,1664.42790928,1233680.48038617
2026-05-16 17:00:00,741.0,745.0,740.0,745.0,5500.49401452,4080790.51341908
2026-05-16 17:15:00,744.0,745.0,742.0,745.0,11786.54009715,8770827.3347871
2026-05-16 17:30:00,744.0,746.0,743.0,744.0,16820.36387178,12506625.11386053
2026-05-16 17:45:00,743.0,743.0,740.0,743.0,36332.62837375,26927843.37720351
2026-05-16 18:00:00,741.0,743.0,740.0,743.0,94805.02061014,70181931.80648024
2026-05-16 18:15:00,741.0,741.0,734.0,735.0,76208.97286813,56090911.85190164
2026-05-16 18:30:00,734.0,740.0,734.0,740.0,10384.87198846,7627502.92005269
2026-05-16 18:45:00,738.0,739.0,738.0,738.0,33126.48700105,24449767.4067749
2026-05-16 19:00:00,738.0,738.0,735.0,735.0,16087.25900617,11844746.81296038
2026-05-16 19:15:00,736.0,736.0,734.0,734.0,44144.92657149,32447639.0722018
2026-05-16 19:30:00,737.0,740.0,737.0,739.0,5265.24226334,3888970.00123246
2026-05-16 19:45:00,739.0,745.0,739.0,745.0,23425.29635344,17376812.3838401
2026-05-16 20:00:00,745.0,745.0,742.0,742.0,18722.3783321,13909461.41369017
2026-05-16 20:15:00,745.0,746.0,744.0,746.0,3214.97550351,2393645.13031611
2026-05-16 20:30:00,745.0,746.0,745.0,745.0,2776.4538642,2070094.36821599
2026-05-16 20:45:00,745.0,745.0,742.0,744.0,14281.49904989,10618874.91723335
2026-05-16 21:00:00,744.0,744.0,744.0,744.0,5980.89127478,4449783.10843632
2026-05-16 21:15:00,742.0,742.0,742.0,742.0,329.67209117,244616.69164814
2026-05-16 21:30:00,743.0,743.0,741.0,741.0,2496.6409363,1852723.10395816
2026-05-16 22:00:00,741.0,742.0,741.0,741.0,3844.73684596,2850542.6099992
2026-05-16 22:15:00,741.0,743.0,741.0,741.0,2853.77513674,2116048.97812804
2026-05-16 22:30:00,742.0,742.0,742.0,742.0,512.28300124,380113.98692008
2026-05-16 22:45:00,743.0,744.0,742.0,744.0,13097.38776243,9733264.96011141
2026-05-16 23:00:00,744.0,744.0,742.0,743.0,11077.28176817,8230637.56880331
2026-05-16 23:15:00,743.0,743.0,743.0,743.0,1337.90574431,994063.96802233
2026-05-16 23:30:00,743.0,747.0,743.0,747.0,8838.14016552,6584949.6610716
2026-05-16 23:45:00,747.0,748.0,747.0,748.0,7970.24238822,5961493.05771595
2026-05-17 00:00:00,747.0,748.0,747.0,748.0,4402.97951031,3292225.376446
2026-05-17 00:30:00,749.0,752.0,749.0,750.0,3543.5763373,2660970.99941973
2026-05-17 00:45:00,750.0,750.0,749.0,749.0,12619.07353358,9463680.94932505
2026-05-17 01:00:00,751.0,751.0,751.0,751.0,4483.27532953,3366939.77247703
2026-05-17 01:15:00,752.0,752.0,751.0,751.0,145.75003333,109470.57321083
2026-05-17 01:30:00,753.0,753.0,751.0,751.0,17942.75287911,13480478.84662237
2026-05-17 01:45:00,751.0,751.0,747.0,751.0,22527.59275992,16849259.68444361
2026-05-17 02:00:00,749.0,749.0,749.0,749.0,79.19436606,59316.58017894
2026-05-17 02:15:00,750.0,750.0,750.0,750.0,1142.04497751,856533.7331325
2026-05-17 03:00:00,751.0,751.0,751.0,751.0,79.19436606,59474.96891106
2026-05-17 03:30:00,750.0,750.0,750.0,750.0,5633.83691443,4225377.6858225
2026-05-17 03:45:00,751.0,751.0,749.0,749.0,455.27109759,341641.13608551
2026-05-17 04:15:00,750.0,750.0,750.0,750.0,6.70161913,5026.2143475
2026-05-17 04:30:00,750.0,750.0,750.0,750.0,6.6804,5010.3
2026-05-17 04:45:00,748.0,750.0,748.0,750.0,153.20526332,114750.46050158
2026-05-17 05:15:00,749.0,749.0,749.0,749.0,21351.14040591,15992004.16402659
2026-05-17 06:00:00,750.0,750.0,750.0,750.0,1914.61602532,1435962.01899
2026-05-17 06:15:00,751.0,752.0,751.0,752.0,4765.87996139,3583636.23198361
2026-05-17 06:30:00,751.0,753.0,750.0,753.0,15014.63491761,11288939.3542958
2026-05-17 06:45:00,753.0,753.0,753.0,753.0,66.4,49999.2
2026-05-17 07:00:00,754.0,754.0,753.0,753.0,6385.02691449,4814310.29246305
2026-05-17 07:30:00,754.0,754.0,754.0,754.0,3404.93944008,2567324.33782032
2026-05-17 07:45:00,752.0,752.0,750.0,752.0,6635.55498996,4982648.01759595
2026-05-17 08:00:00,752.0,752.0,751.0,751.0,6340.40896036,4762978.02894007
2026-05-17 08:15:00,751.0,754.0,751.0,752.0,8329.8211554,6270176.8511587
2026-05-17 08:45:00,753.0,753.0,751.0,751.0,6972.98107999,5246005.21678169
2026-05-17 09:00:00,755.0,755.0,751.0,753.0,25833.99266899,19420284.81516077
