,open,high,low,close,volume,value
2026-04-30 11:15:00,140.0,140.0,140.0,140.0,21158.30656099,2962162.9185386
2026-04-30 11:30:00,139.0,139.0,139.0,139.0,10611.08230926,1474940.44098714
2026-04-30 12:00:00,138.0,138.0,138.0,138.0,5065.96701649,699103.44827562
2026-04-30 12:15:00,139.0,139.0,139.0,139.0,92.96597923,12922.27111297
2026-04-30 12:30:00,138.0,138.0,138.0,138.0,16583.19067416,2288480.31303408
2026-04-30 12:45:00,139.0,139.0,139.0,139.0,24485.11564251,3403431.07430889
2026-04-30 13:00:00,138.0,139.0,138.0,139.0,3633.98283631,505081.36072597
2026-04-30 13:15:00,138.0,139.0,138.0,138.0,147307.8233902,20332905.46752927
2026-04-30 13:30:00,138.0,139.0,137.0,137.0,30518.22587322,4211528.83063217
2026-04-30 13:45:00,137.0,137.0,137.0,137.0,2482.26950354,340070.92198498
2026-04-30 14:00:00,137.0,137.0,137.0,137.0,865.98173771,118639.49806627
2026-04-30 14:45:00,137.0,137.0,137.0,137.0,17904.05662404,2452855.75749348
2026-04-30 15:00:00,137.0,137.0,137.0,137.0,2351.63108101,322173.45809837
2026-04-30 15:15:00,137.0,137.0,137.0,137.0,331.0,45347.0
2026-04-30 15:45:00,138.0,138.0,138.0,138.0,239.28051674,33020.71131012
2026-04-30 16:00:00,138.0,138.0,137.0,137.0,1835.25973795,252865.8438371
2026-04-30 16:15:00,138.0,138.0,137.0,138.0,25515.39598625,3518372.00873693
2026-04-30 16:30:00,138.0,138.0,138.0,138.0,5798.44128088,800184.89676144
2026-04-30 16:45:00,138.0,139.0,138.0,139.0,4874.731415,672785.22442662
2026-04-30 17:00:00,139.0,139.0,139.0,139.0,57.84290265,8040.16346835
2026-04-30 17:15:00,139.0,139.0,139.0,139.0,218.92650796,30430.78460644
2026-04-30 18:00:00,138.0,138.0,138.0,138.0,34532.37410071,4765467.62589798
2026-04-30 18:15:00,138.0,138.0,138.0,138.0,247.025,34089.45
2026-04-30 18:45:00,138.0,138.0,138.0,138.0,20465.00461132,2824170.63636216
