,open,high,low,close,volume,value
2026-05-16 07:30:00,80.5,80.5,80.4,80.4,11739.46183623,943862.73163289
2026-05-16 07:45:00,80.4,80.4,80.4,80.4,3253.03044217,261543.64755047
2026-05-16 08:00:00,80.7,80.8,80.7,80.8,11053.75663861,892124.79439919
2026-05-16 08:15:00,80.6,80.6,80.6,80.6,8024.72920497,646793.17392058
2026-05-16 08:30:00,80.6,80.9,80.5,80.5,99421.14053943,8028305.58215419
2026-05-16 08:45:00,80.5,80.7,80.5,80.7,173889.87237308,13998176.53581059
2026-05-16 09:00:00,80.5,80.6,80.3,80.3,104914.2963331,8433181.8974507
2026-05-16 09:15:00,80.5,80.5,80.5,80.5,3059.98895921,246329.11121641
2026-05-16 09:30:00,80.7,80.7,80.5,80.6,56747.00011103,4569714.07243382
2026-05-16 09:45:00,80.8,80.8,80.6,80.8,136952.54703076,11039309.49412651
2026-05-16 10:00:00,80.7,80.8,80.7,80.8,117211.25394432,9468341.74529301
2026-05-16 10:15:00,80.8,81.0,80.8,80.9,177803.22016011,14377055.50743855
2026-05-16 10:30:00,80.7,80.9,80.5,80.7,68774.49300826,5551306.48138919
2026-05-16 10:45:00,80.8,80.8,80.4,80.4,134394.10555293,10806568.020677
2026-05-16 11:00:00,80.4,80.7,80.4,80.7,93762.02506442,7539406.12407281
2026-05-16 11:15:00,80.6,80.7,80.6,80.7,137.67038412,11103.11647928
2026-05-16 11:30:00,80.3,80.6,80.3,80.4,31726.12916517,2551516.19167053
2026-05-16 11:45:00,80.4,80.4,80.4,80.4,4554.19154214,366156.99998806
2026-05-16 12:00:00,80.4,80.6,80.4,80.6,64348.6034537,5174322.71365767
2026-05-16 12:15:00,80.6,80.6,80.3,80.6,23901.84188279,1921813.77916593
2026-05-16 12:30:00,80.5,80.5,80.5,80.5,5449.89440993,438716.49999937
2026-05-16 12:45:00,80.5,80.6,80.5,80.6,68.92059553,5549.48172175
2026-05-16 13:00:00,80.5,80.6,80.3,80.6,50109.12239429,4024792.22967631
2026-05-16 13:15:00,80.3,80.6,80.3,80.4,7884.73243714,633260.31413161
2026-05-16 13:30:00,80.3,80.3,79.9,79.9,138595.65107702,11086157.19374833
2026-05-16 13:45:00,80.2,80.2,80.2,80.2,11600.0,930320.0
2026-05-16 14:00:00,80.2,80.2,80.1,80.1,794.6882793,63721.53117193
