,open,high,low,close,volume,value
2026-05-08 06:00:00,653.0,654.0,652.0,652.0,2954.37421281,1926545.91669498
2026-05-08 06:15:00,657.0,660.0,656.0,656.0,4244.89908239,2798758.47454111
2026-05-08 06:30:00,657.0,658.0,657.0,658.0,2376.86610783,1563368.14285458
2026-05-08 06:45:00,658.0,658.0,658.0,658.0,17.33472644,11406.24999752
2026-05-08 07:00:00,657.0,657.0,652.0,655.0,84662.58055136,55263753.27736909
2026-05-08 07:15:00,657.0,661.0,657.0,658.0,59867.4947609,39523483.57595018
2026-05-08 07:30:00,659.0,659.0,659.0,659.0,7.73275,5095.88225
2026-05-08 07:45:00,659.0,659.0,659.0,659.0,400.0,263600.0
2026-05-08 08:00:00,661.0,661.0,661.0,661.0,1349.34041183,891914.01221963
2026-05-08 08:30:00,662.0,662.0,662.0,662.0,12891.30646806,8534044.88185572
2026-05-08 08:45:00,662.0,662.0,661.0,661.0,1310.13844988,866903.83352496
2026-05-08 09:00:00,661.0,664.0,661.0,661.0,40879.06925774,27073427.99999702
2026-05-08 09:15:00,661.0,661.0,659.0,661.0,8156.91001675,5378013.60697231
2026-05-08 09:30:00,660.0,661.0,660.0,661.0,1525.71218173,1007417.11832518
2026-05-08 09:45:00,658.0,658.0,657.0,657.0,1226.03008497,806717.14142016
2026-05-08 10:00:00,656.0,656.0,655.0,655.0,3586.92470111,2349977.83965095
2026-05-08 10:15:00,654.0,656.0,654.0,656.0,3119.08416561,2040185.76991868
2026-05-08 10:30:00,654.0,654.0,654.0,654.0,713.92874991,466909.40244114
2026-05-08 10:45:00,655.0,655.0,655.0,655.0,875.65674255,573555.16637025
2026-05-08 11:00:00,655.0,655.0,652.0,655.0,394.44377269,257951.64921335
2026-05-08 11:15:00,653.0,653.0,652.0,652.0,16833.88146188,10976323.62974156
2026-05-08 11:30:00,654.0,657.0,654.0,654.0,1345.06172177,879693.62837901
2026-05-08 11:45:00,655.0,656.0,655.0,656.0,4107.61163919,2694539.80305398
2026-05-08 12:00:00,656.0,656.0,654.0,654.0,1716.5220677,1125657.37885024
2026-05-08 12:45:00,653.0,653.0,653.0,653.0,259.13569001,169215.60557653
2026-05-08 13:00:00,653.0,656.0,653.0,656.0,470.89422583,307516.9463123
2026-05-08 13:15:00,657.0,657.0,656.0,656.0,1039.73509934,683066.22516704
2026-05-08 13:30:00,659.0,659.0,659.0,659.0,23.76769895,15662.91360805
2026-05-08 14:00:00,658.0,658.0,658.0,658.0,10.63829787,6999.99999846
2026-05-08 14:15:00,658.0,658.0,658.0,658.0,10481.48570091,6896817.59119878
2026-05-08 14:30:00,656.0,661.0,656.0,661.0,2451.51192799,1615934.45140178
2026-05-08 14:45:00,660.0,660.0,660.0,660.0,127.85740261,84385.8857226
2026-05-08 15:00:00,656.0,657.0,655.0,657.0,15958.37138508,10454204.38838757
2026-05-08 15:15:00,655.0,655.0,654.0,654.0,5037.33889695,3296436.27238973
2026-05-08 15:30:00,653.0,653.0,653.0,653.0,7720.0,5041160.0
2026-05-08 15:45:00,655.0,655.0,654.0,654.0,11919.06767688,7798486.6898695
2026-05-08 16:00:00,653.0,654.0,652.0,653.0,3918.50112596,2555785.2151842
2026-05-08 16:30:00,651.0,657.0,651.0,657.0,5224.61264777,3406589.03122535
2026-05-08 17:00:00,659.0,661.0,659.0,661.0,2883.31573608,1900213.99292088
2026-05-08 17:15:00,660.0,661.0,660.0,660.0,7193.72185164,4750174.5764724
2026-05-08 17:30:00,660.0,664.0,660.0,664.0,5400.94065486,3566580.5497949
2026-05-08 17:45:00,667.0,669.0,666.0,668.0,8172.77884879,5461463.23103136
2026-05-08 18:00:00,667.0,667.0,664.0,664.0,1693.19966358,1128223.88732157
2026-05-08 18:15:00,672.0,672.0,672.0,672.0,14.88095238,9999.99999936
2026-05-08 18:30:00,673.0,673.0,670.0,670.0,44849.47985398,30134103.69570211
2026-05-08 18:45:00,670.0,670.0,666.0,666.0,11119.40298507,7409999.9999969
2026-05-08 19:00:00,667.0,668.0,666.0,666.0,7787.88762466,5195258.78312274
2026-05-08 19:15:00,663.0,666.0,663.0,666.0,7000.85283645,4642466.33146725
2026-05-08 19:30:00,664.0,664.0,661.0,661.0,2636.1886559,1750282.88019277
2026-05-08 19:45:00,669.0,670.0,668.0,668.0,18146.15948398,12125374.34298035
2026-05-08 20:00:00,669.0,669.0,668.0,668.0,4304.31549464,2875332.12140952
2026-05-08 20:15:00,672.0,672.0,669.0,669.0,6568.17082932,4412909.89640214
2026-05-08 20:45:00,667.0,667.0,667.0,667.0,5467.90444823,3647092.26696941
2026-05-08 21:00:00,668.0,671.0,668.0,671.0,1971.44068302,1317396.29578044
2026-05-08 21:15:00,669.0,669.0,669.0,669.0,44.15851775,29542.04837475
2026-05-08 21:30:00,671.0,672.0,670.0,670.0,55337.58989675,37186450.22921357
2026-05-08 21:45:00,667.0,667.0,665.0,665.0,7339.97920514,4895461.71582534
2026-05-08 22:00:00,664.0,664.0,660.0,660.0,13448.10878681,8888098.83124575
2026-05-08 22:15:00,661.0,661.0,657.0,659.0,442.16492945,291667.7400739
2026-05-08 22:30:00,659.0,659.0,654.0,654.0,1684.10990947,1104884.09737977
2026-05-08 22:45:00,657.0,657.0,657.0,657.0,2363.59846856,1552884.19384392
2026-05-08 23:00:00,658.0,659.0,656.0,656.0,6117.57130817,4025344.09376627
2026-05-08 23:15:00,663.0,665.0,663.0,665.0,70.8581408,46999.99998196
2026-05-08 23:30:00,663.0,663.0,660.0,660.0,2176.29783901,1438537.59396046
2026-05-08 23:45:00,663.0,663.0,663.0,663.0,858.31268913,569061.31289319
2026-05-09 00:00:00,665.0,666.0,665.0,666.0,8589.15087769,5714662.71936385
2026-05-09 00:15:00,664.0,665.0,661.0,662.0,34281.35063008,22724090.37976673
2026-05-09 00:30:00,662.0,667.0,662.0,667.0,147.89328934,98063.31669178
2026-05-09 00:45:00,667.0,668.0,663.0,668.0,8731.46969766,5809213.29456883
2026-05-09 01:00:00,669.0,669.0,667.0,667.0,7925.91596578,5301238.38080696
2026-05-09 01:15:00,669.0,669.0,666.0,666.0,2952.33912543,1966706.28802965
2026-05-09 01:30:00,665.0,665.0,665.0,665.0,4556.39097743,3029999.99999095
2026-05-09 02:00:00,661.0,662.0,661.0,662.0,1592.49950994,1053212.49955785
2026-05-09 02:15:00,668.0,668.0,668.0,668.0,10.47904191,6999.99999588
2026-05-09 02:30:00,670.0,675.0,670.0,675.0,258.55444821,174041.97947061
2026-05-09 02:45:00,675.0,679.0,675.0,676.0,13872.75940649,9388294.59035892
2026-05-09 03:15:00,677.0,677.0,677.0,677.0,162.0,109674.0
2026-05-09 04:00:00,674.0,677.0,674.0,677.0,6329.9912488,4268280.94942178
2026-05-09 04:15:00,677.0,677.0,673.0,673.0,4184.66178124,2827588.34618102
2026-05-09 04:30:00,675.0,675.0,673.0,673.0,163.44725111,110297.17681723
2026-05-09 04:45:00,673.0,673.0,673.0,673.0,526.96093727,354644.71078271
2026-05-09 05:00:00,673.0,675.0,673.0,675.0,29.69947186,20010.00000745
2026-05-09 05:45:00,669.0,669.0,669.0,669.0,237.6240878,158970.5147382
2026-05-09 06:00:00,668.0,668.0,668.0,668.0,109.81803567,73358.44782756
2026-05-09 06:15:00,669.0,669.0,669.0,669.0,1494.76831091,999999.99999879
2026-05-09 06:30:00,670.0,671.0,670.0,671.0,65.64050092,43999.99999792
2026-05-09 06:45:00,670.0,672.0,670.0,672.0,35.75870645,23999.99998814
2026-05-09 07:00:00,672.0,672.0,672.0,672.0,31.24999998,20999.99998656
2026-05-09 07:15:00,672.0,672.0,672.0,672.0,37661.33897336,25308419.79009792
2026-05-09 07:30:00,671.0,672.0,671.0,672.0,91718.03532757,61628693.9817455
2026-05-09 07:45:00,671.0,671.0,670.0,670.0,6151.6696578,4121626.831226
2026-05-09 08:00:00,670.0,670.0,666.0,666.0,1579.58000129,1054931.6778259
2026-05-09 08:15:00,668.0,668.0,664.0,664.0,7833.72944371,5215651.96612268
2026-05-09 08:30:00,665.0,667.0,665.0,667.0,83.06266601,55386.59793413
2026-05-09 08:45:00,666.0,671.0,666.0,671.0,3782.10387481,2522783.59985024
2026-05-09 09:00:00,669.0,671.0,669.0,671.0,2418.36559347,1619606.03459333
2026-05-09 09:15:00,672.0,677.0,672.0,677.0,42756.6755394,28832348.10671526
2026-05-09 09:30:00,676.0,678.0,671.0,671.0,23505.62400675,15831786.73167009
2026-05-09 09:45:00,674.0,674.0,674.0,674.0,224.22549888,151127.98624512
2026-05-09 10:00:00,673.0,675.0,672.0,675.0,22257.00670165,14976752.62115585
2026-05-09 10:15:00,674.0,678.0,674.0,677.0,2370.2441768,1603308.58182123
2026-05-09 10:30:00,675.0,678.0,675.0,678.0,1873.40080198,1267108.55187542
2026-05-09 10:45:00,678.0,681.0,678.0,681.0,1609.83252018,1091816.11472235
2026-05-09 11:00:00,680.0,681.0,680.0,681.0,385.58036825,262212.27155537
2026-05-09 11:15:00,681.0,681.0,677.0,677.0,19342.35352012,13101476.41148046
2026-05-09 11:30:00,679.0,681.0,679.0,679.0,9446.32262257,6423289.52619273
2026-05-09 11:45:00,679.0,681.0,675.0,675.0,144044.89732116,97568111.04029413
2026-05-09 12:00:00,675.0,677.0,673.0,677.0,74326.93217738,50148980.4766043
2026-05-09 12:15:00,681.0,686.0,681.0,686.0,5306.09096511,3632892.05045641
2026-05-09 12:30:00,687.0,691.0,685.0,689.0,86941.52207248,59817903.60319328
2026-05-09 12:45:00,691.0,699.0,691.0,699.0,57271.18949502,39760769.95320648
2026-05-09 13:00:00,700.0,713.0,700.0,708.0,271971.94099067,192874671.54239383
2026-05-09 13:15:00,707.0,712.0,704.0,706.0,137332.86136671,97102487.31268933
2026-05-09 13:30:00,707.0,712.0,705.0,708.0,51390.47639583,36384572.26277555
2026-05-09 13:45:00,708.0,710.0,707.0,710.0,37724.01397758,26751562.54365388
2026-05-09 14:00:00,710.0,738.0,710.0,716.0,1008006.11322618,726327991.945316
2026-05-09 14:15:00,716.0,730.0,714.0,727.0,450195.71509183,325819656.33393353
2026-05-09 14:30:00,726.0,737.0,719.0,730.0,881102.80150715,643032944.6577381
2026-05-09 14:45:00,731.0,733.0,726.0,730.0,311370.1870089,227115817.41058084
2026-05-09 15:00:00,730.0,755.0,729.0,729.0,2282563.46199948,1697709943.6937196
2026-05-09 15:15:00,731.0,732.0,720.0,721.0,978227.24241766,710119828.4539511
2026-05-09 15:30:00,721.0,726.0,714.0,719.0,373656.35530186,268434692.10999575
2026-05-09 15:45:00,718.0,726.0,717.0,726.0,152486.7793089,109800409.91216688
2026-05-09 16:00:00,727.0,729.0,719.0,724.0,201097.49633734,145568832.82785514
2026-05-09 16:15:00,725.0,728.0,722.0,728.0,171247.75889077,124241073.0330119
2026-05-09 16:30:00,728.0,731.0,722.0,722.0,293502.34046838,213513557.88700113
2026-05-09 16:45:00,722.0,727.0,720.0,725.0,199790.43244439,144600266.4817499
2026-05-09 17:00:00,724.0,729.0,720.0,721.0,181254.08323923,131240560.741944
2026-05-09 17:15:00,721.0,724.0,718.0,722.0,181189.85213171,130688643.0618839
2026-05-09 17:30:00,723.0,730.0,722.0,726.0,178920.35144253,130113582.39250068
2026-05-09 17:45:00,728.0,731.0,724.0,727.0,86647.53937171,63100768.69348264
