,open,high,low,close,volume,value
2026-04-29 17:45:00,2.27,2.27,2.27,2.27,15000.0,34050.0
2026-04-29 18:00:00,2.27,2.27,2.27,2.27,222105.68724448,504179.91004497
2026-04-29 18:15:00,2.27,2.27,2.26,2.26,2073141.21824834,4706003.35180276
2026-04-29 18:30:00,2.27,2.27,2.27,2.27,4215237.41410599,9568588.9300206
2026-04-29 18:45:00,2.27,2.27,2.27,2.27,33617.74480253,76312.28070174
2026-04-29 19:15:00,2.27,2.28,2.27,2.28,2987630.86265779,6782799.25121564
2026-04-29 19:30:00,2.26,2.27,2.26,2.27,362484.27926992,821938.07253667
2026-04-29 20:00:00,2.27,2.27,2.27,2.27,93740.61003094,212791.18477023
2026-04-29 20:15:00,2.27,2.27,2.27,2.27,87695.95721918,199069.82288754
2026-04-29 20:30:00,2.28,2.28,2.28,2.28,503959.81407929,1149028.37610078
2026-04-29 21:00:00,2.27,2.27,2.27,2.27,3246296.63068834,7369093.35166253
2026-04-29 21:15:00,2.27,2.27,2.27,2.27,112269.03160985,254850.70175436
2026-04-29 21:30:00,2.26,2.27,2.26,2.27,715908.71174344,1618175.60751602
2026-04-29 22:00:00,2.27,2.27,2.27,2.27,56498.3191916,128251.18456493
2026-04-29 22:15:00,2.27,2.27,2.26,2.26,2187037.38423275,4943585.54563474
2026-04-29 22:30:00,2.27,2.27,2.26,2.26,117634.95145239,266295.29876252
2026-04-29 22:45:00,2.26,2.26,2.26,2.26,22000.0,49720.0
2026-04-29 23:00:00,2.27,2.27,2.27,2.27,509134.58362758,1155735.50483461
2026-04-29 23:15:00,2.27,2.28,2.27,2.28,199350.87719298,453679.99999999
2026-04-29 23:30:00,2.27,2.27,2.27,2.27,396260.01976985,899510.24487756
2026-04-29 23:45:00,2.27,2.27,2.26,2.26,1964319.03262342,4442301.21361979
2026-04-30 00:00:00,2.27,2.28,2.27,2.28,489420.0476854,1113829.70872271
2026-04-30 00:15:00,2.27,2.27,2.26,2.26,267292.39883777,604234.49130409
2026-04-30 00:30:00,2.26,2.27,2.26,2.26,1975994.7730889,4465774.26448091
2026-04-30 00:45:00,2.26,2.26,2.26,2.26,479781.98469113,1084307.28540195
2026-04-30 01:00:00,2.26,2.27,2.26,2.27,965478.02277801,2185624.49449367
2026-04-30 01:30:00,2.27,2.27,2.27,2.27,56498.3191916,128251.18456493
2026-04-30 02:15:00,2.27,2.27,2.27,2.27,65835.66663966,149446.96327203
2026-04-30 02:30:00,2.27,2.27,2.27,2.27,2871.80253322,6518.99175041
2026-04-30 03:00:00,2.26,2.26,2.26,2.26,2049683.75458212,4632285.28535559
2026-04-30 03:30:00,2.26,2.26,2.26,2.26,36581.94196017,82675.18882998
2026-04-30 03:45:00,2.26,2.26,2.26,2.26,10964.9122807,24780.70175438
2026-04-30 04:45:00,2.26,2.26,2.26,2.26,5774280.07542938,13049872.9704704
2026-04-30 05:00:00,2.26,2.26,2.26,2.26,39687.20485572,89693.08297393
2026-04-30 06:00:00,2.27,2.27,2.27,2.27,8000.0,18160.0
2026-04-30 07:00:00,2.27,2.27,2.27,2.27,352170.43652087,799426.89090237
2026-04-30 07:30:00,2.27,2.27,2.27,2.27,310065.64277427,703849.00909759
2026-04-30 07:45:00,2.27,2.27,2.26,2.27,692459.22886048,1565711.85027221
2026-04-30 08:00:00,2.26,2.26,2.26,2.26,3500066.63012092,7910150.58407328
2026-04-30 08:15:00,2.26,2.26,2.26,2.26,219188.65128839,495366.35191176
2026-04-30 08:30:00,2.26,2.26,2.26,2.26,132743.36283186,300000.0
2026-04-30 08:45:00,2.27,2.27,2.26,2.26,869644.06083873,1965418.07749553
2026-04-30 09:00:00,2.26,2.26,2.25,2.26,995456.7011079,2248722.84525343
2026-04-30 09:15:00,2.26,2.26,2.26,2.26,431452.48374897,975082.61327267
2026-04-30 09:30:00,2.26,2.26,2.26,2.26,386662.34982947,873856.9106146
2026-04-30 10:00:00,2.26,2.26,2.25,2.25,2738194.077866,6161500.40510757
2026-04-30 10:15:00,2.26,2.26,2.26,2.26,773315.11235532,1747692.15392302
2026-04-30 10:30:00,2.25,2.26,2.25,2.26,18306.89458124,41301.13227682
2026-04-30 10:45:00,2.25,2.25,2.25,2.25,65789.47368421,148026.31578947
2026-04-30 11:00:00,2.25,2.26,2.25,2.26,453495.3119971,1024368.23429436
2026-04-30 11:15:00,2.26,2.26,2.25,2.25,479184.30744823,1078589.72260593
2026-04-30 11:30:00,2.25,2.26,2.25,2.26,1554822.56609321,3498395.02149733
2026-04-30 12:00:00,2.25,2.25,2.25,2.25,302192.5526508,679933.2434643
2026-04-30 12:30:00,2.25,2.26,2.25,2.26,16371.68141592,36889.38053095
2026-04-30 13:00:00,2.25,2.25,2.25,2.25,2608.69565217,5869.56521738
2026-04-30 13:45:00,2.25,2.25,2.25,2.25,266666.66666667,600000.00000001
2026-04-30 14:00:00,2.25,2.25,2.25,2.25,640528.63436123,1441189.42731277
2026-04-30 14:15:00,2.25,2.25,2.25,2.25,2755555.55555556,6200000.00000001
2026-04-30 14:30:00,2.25,2.25,2.25,2.25,439520.59083851,988921.32938665
2026-04-30 15:00:00,2.25,2.25,2.25,2.25,172976.00376051,389196.00846115
2026-04-30 16:00:00,2.26,2.26,2.25,2.25,117473.57876106,264459.8
2026-04-30 16:15:00,2.25,2.25,2.25,2.25,219697.47524919,494319.31931068
2026-04-30 16:30:00,2.25,2.25,2.25,2.25,76557.7737447,172254.99092558
2026-04-30 16:45:00,2.26,2.26,2.26,2.26,5020.92050209,11347.28033472
2026-04-30 17:00:00,2.25,2.25,2.25,2.25,2328888.8888889,5240000.00000003
2026-04-30 17:15:00,2.25,2.26,2.25,2.25,672423.96972016,1513396.40974647
2026-04-30 17:30:00,2.25,2.25,2.25,2.25,436681.22270742,982532.7510917
2026-04-30 17:45:00,2.25,2.25,2.25,2.25,38345.14000129,86276.5650029
2026-04-30 18:00:00,2.25,2.25,2.25,2.25,1566791.62323945,3525281.15228876
2026-04-30 18:15:00,2.25,2.25,2.24,2.24,2305607.44898968,5169428.18036171
2026-04-30 18:30:00,2.24,2.25,2.24,2.25,483533.21723865,1085748.19638636
2026-04-30 18:45:00,2.25,2.25,2.25,2.25,567609.92339137,1277122.32763058
2026-04-30 19:00:00,2.25,2.25,2.25,2.25,424385.12434078,954866.52976676
2026-04-30 19:15:00,2.25,2.25,2.25,2.25,88888.88888889,200000.0
2026-04-30 19:30:00,2.25,2.25,2.25,2.25,75412.97660874,169679.19736967
2026-04-30 19:45:00,2.24,2.24,2.24,2.24,20000.0,44800.0
2026-04-30 20:00:00,2.24,2.24,2.24,2.24,3414759.58565803,7649061.47187399
2026-04-30 20:15:00,2.24,2.24,2.24,2.24,30687.03721059,68738.96335172
2026-04-30 21:00:00,2.24,2.25,2.24,2.25,167553.7852816,376182.0526884
2026-04-30 21:15:00,2.24,2.24,2.24,2.24,32000.0,71680.0
2026-04-30 21:30:00,2.25,2.25,2.24,2.24,1162254.7187499,2614599.28978078
2026-04-30 21:45:00,2.24,2.24,2.24,2.24,2455.35714286,5500.00000001
2026-04-30 22:30:00,2.25,2.25,2.25,2.25,4543.45238094,10222.76785712
2026-04-30 22:45:00,2.25,2.25,2.25,2.25,4444.44444444,9999.99999999
2026-04-30 23:00:00,2.25,2.25,2.25,2.25,666666.66666667,1500000.00000001
2026-04-30 23:15:00,2.25,2.25,2.24,2.24,478444.44444444,1076159.99999999
2026-04-30 23:30:00,2.25,2.25,2.25,2.25,2258.1300813,5080.79268293
2026-04-30 23:45:00,2.24,2.24,2.24,2.24,605175.86635163,1355593.94062765
2026-05-01 00:00:00,2.25,2.25,2.24,2.24,16888.88888888,37919.99999998
2026-05-01 00:15:00,2.25,2.25,2.25,2.25,4981.41522801,11208.18426302
2026-05-01 00:30:00,2.25,2.25,2.25,2.25,3668.78866374,8254.77449342
2026-05-01 01:00:00,2.25,2.25,2.24,2.24,12527.02453287,28085.80519896
2026-05-01 01:15:00,2.25,2.25,2.25,2.25,44444.44444444,99999.99999999
2026-05-01 01:30:00,2.25,2.25,2.24,2.24,1454097.50208061,3267261.05726975
2026-05-01 02:00:00,2.24,2.24,2.24,2.24,26375.19062893,59080.4270088
2026-05-01 03:15:00,2.25,2.25,2.25,2.25,10000.0,22500.0
2026-05-01 05:00:00,2.25,2.25,2.25,2.25,81426.08557276,183208.69253871
2026-05-01 05:15:00,2.25,2.25,2.25,2.25,238171.30030034,535885.42567577
2026-05-01 06:00:00,2.25,2.25,2.25,2.25,111000.05552779,249750.12493753
2026-05-01 06:15:00,2.25,2.25,2.25,2.25,49466.34698545,111299.28071726
2026-05-01 06:30:00,2.25,2.25,2.25,2.25,194773.74125523,438240.91782427
2026-05-01 06:45:00,2.25,2.25,2.25,2.25,250423.38161388,563452.60863123
2026-05-01 07:15:00,2.25,2.25,2.25,2.25,4734.66489882,10652.99602235
2026-05-01 07:45:00,2.25,2.25,2.25,2.25,218231.4956059,491020.86511328
2026-05-01 08:00:00,2.25,2.26,2.25,2.25,70485.99872221,158659.87491258
2026-05-01 08:30:00,2.25,2.25,2.25,2.25,14423.27426973,32452.36710689
2026-05-01 08:45:00,2.25,2.25,2.25,2.25,4000.0,9000.0
2026-05-01 09:15:00,2.25,2.26,2.25,2.26,3983428.34453893,8971207.86865798
2026-05-01 09:30:00,2.26,2.26,2.26,2.26,8849.55752212,19999.99999999
2026-05-01 10:00:00,2.26,2.26,2.26,2.26,265486.72566371,599999.99999998
2026-05-01 10:15:00,2.26,2.26,2.26,2.26,3800.88495575,8590.0
2026-05-01 10:45:00,2.25,2.25,2.25,2.25,8849.55752213,19911.50442479
2026-05-01 11:00:00,2.25,2.25,2.25,2.25,178699.07076483,402072.90922087
2026-05-01 11:30:00,2.26,2.26,2.25,2.25,2247948.12167507,5058032.80739723
2026-05-01 12:15:00,2.26,2.26,2.26,2.26,221128.37386616,499750.12493752
2026-05-01 12:30:00,2.26,2.26,2.26,2.26,221238.93805309,499999.99999998
2026-05-01 12:45:00,2.26,2.26,2.26,2.26,4424.77876106,10000.0
2026-05-01 13:00:00,2.25,2.25,2.25,2.25,24000.0,54000.0
2026-05-01 13:15:00,2.25,2.26,2.25,2.25,17274.38944674,38893.92492773
2026-05-01 13:30:00,2.26,2.26,2.26,2.26,4185124.77876104,9458381.99999995
2026-05-01 14:15:00,2.26,2.26,2.26,2.26,537819.77551411,1215472.69266189
2026-05-01 14:30:00,2.26,2.26,2.26,2.26,8000.0,18080.0
2026-05-01 15:15:00,2.27,2.27,2.27,2.27,44052.86343612,99999.99999999
2026-05-01 15:30:00,2.26,2.26,2.26,2.26,479893.57140073,1084559.47136565
2026-05-01 16:00:00,2.26,2.26,2.26,2.26,8849.55752213,20000.00000001
2026-05-01 17:00:00,2.26,2.26,2.26,2.26,521336.34726458,1178220.14481795
2026-05-01 17:30:00,2.27,2.27,2.25,2.27,3698335.12018857,8321629.47959943
2026-05-01 17:45:00,2.27,2.27,2.27,2.27,660792.95154185,1500000.0
2026-05-01 18:30:00,2.26,2.26,2.26,2.26,49531.87123252,111942.0289855
2026-05-01 18:45:00,2.25,2.25,2.24,2.24,2101866.51783056,4723573.73043789
2026-05-01 19:00:00,2.26,2.26,2.24,2.24,234167.96254845,526143.06228193
2026-05-01 19:15:00,2.24,2.25,2.24,2.24,171518.83573603,384233.65504871
2026-05-01 19:45:00,2.26,2.26,2.26,2.26,2256.63716814,5100.0
2026-05-01 20:15:00,2.26,2.26,2.26,2.26,5139.91632135,11616.21088625
2026-05-01 20:45:00,2.25,2.25,2.25,2.25,88208.86989552,198469.95726492
2026-05-01 21:00:00,2.26,2.27,2.26,2.27,1645772.08255247,3723734.2406483
2026-05-01 21:15:00,2.27,2.27,2.27,2.27,107520.6771,244071.937017
2026-05-01 21:30:00,2.27,2.27,2.25,2.26,707081.66714188,1598719.13391571
2026-05-01 22:00:00,2.26,2.26,2.26,2.26,834575.2706053,1886140.11156798
2026-05-01 22:30:00,2.26,2.26,2.26,2.26,343158.35130045,775537.87393902
2026-05-01 23:45:00,2.27,2.27,2.27,2.27,44052.86343612,99999.99999999
2026-05-02 00:00:00,2.27,2.3,2.25,2.25,42055731.28475447,95682950.32453038
2026-05-02 00:15:00,2.26,2.26,2.25,2.26,2109181.63595864,4746132.05490622
2026-05-02 00:30:00,2.25,2.26,2.25,2.26,1076216.94072399,2423197.41026162
2026-05-02 00:45:00,2.26,2.26,2.25,2.26,1055137.0983462,2384297.82194267
2026-05-02 01:00:00,2.27,2.27,2.25,2.25,92785.55648932,209063.34558975
2026-05-02 02:15:00,2.25,2.25,2.25,2.25,1885491.00580351,4242354.7630579
2026-05-02 03:15:00,2.27,2.27,2.27,2.27,8556.95652173,19424.29130433
2026-05-02 03:30:00,2.27,2.27,2.27,2.27,2203.08370044,5001.0
2026-05-02 03:45:00,2.26,2.26,2.25,2.25,4000.0,9031.8451
2026-05-02 05:00:00,2.26,2.26,2.25,2.25,61647.51608867,139234.69747151
2026-05-02 06:00:00,2.26,2.26,2.25,2.25,84600.82069003,190383.69795257
2026-05-02 06:45:00,2.26,2.26,2.25,2.25,80189.5592,180448.7282
2026-05-02 07:00:00,2.27,2.27,2.27,2.27,2202.6431718,4999.99999999
2026-05-02 07:15:00,2.26,2.26,2.25,2.25,10052.562,22650.1201
2026-05-02 08:00:00,2.26,2.26,2.26,2.26,2397.0315727,5417.2913543
2026-05-02 08:15:00,2.26,2.26,2.25,2.25,129264.18067946,290932.90210401
2026-05-02 09:00:00,2.25,2.25,2.25,2.25,12229.07488986,27515.41850219
2026-05-02 09:15:00,2.26,2.27,2.26,2.26,1546057.70987631,3496244.68805101
2026-05-02 09:30:00,2.26,2.26,2.26,2.26,189991.15044248,429380.0
2026-05-02 10:00:00,2.27,2.27,2.27,2.27,660462.72018175,1499250.37481257
2026-05-02 10:15:00,2.27,2.27,2.27,2.27,4405.28634361,9999.99999999
2026-05-02 10:30:00,2.27,2.27,2.27,2.27,768207.52619284,1743831.08445775
2026-05-02 10:45:00,2.26,2.26,2.26,2.26,218696.34006895,494253.72855583
2026-05-02 11:00:00,2.26,2.26,2.26,2.26,1557600.26910933,3520176.60818709
2026-05-02 11:15:00,2.26,2.27,2.26,2.27,768172.74182292,1736160.87550938
2026-05-02 11:30:00,2.26,2.26,2.26,2.26,24000.0,54240.0
2026-05-02 11:45:00,2.26,2.27,2.26,2.27,1153075.42913211,2615984.03455401
2026-05-02 12:00:00,2.27,2.27,2.27,2.27,123355.5028653,280016.99150423
2026-05-02 12:30:00,2.26,2.26,2.26,2.26,484230.26167096,1094360.39137637
2026-05-02 12:45:00,2.27,2.27,2.26,2.26,32976.48532561,74556.62168913
2026-05-02 13:00:00,2.26,2.26,2.26,2.26,42226.26131867,95431.35058019
