,open,high,low,close,volume,value
2026-05-17 12:15:00,164.0,165.0,164.0,165.0,14771.63007533,2429208.86676114
2026-05-17 12:30:00,164.0,165.0,164.0,165.0,17313.23245823,2842037.15936553
2026-05-17 12:45:00,165.0,165.0,165.0,165.0,41295.47347537,6813753.12343605
2026-05-17 13:00:00,165.0,165.0,164.0,164.0,4447.1709199,733531.96571208
2026-05-17 13:15:00,164.0,166.0,164.0,166.0,70402.6198554,11616283.73073987
2026-05-17 13:30:00,165.0,165.0,165.0,165.0,19227.73311941,3172575.96470265
2026-05-17 13:45:00,164.0,164.0,164.0,164.0,243.90243903,40000.00000092
2026-05-17 14:00:00,165.0,165.0,165.0,165.0,4705.67746429,776436.78160785
2026-05-17 14:15:00,165.0,165.0,164.0,165.0,53389.1512613,8809148.98250475
2026-05-17 14:30:00,165.0,165.0,165.0,165.0,10906.47272727,1799567.99999955
2026-05-17 14:45:00,164.0,164.0,164.0,164.0,152208.99239266,24962274.75239624
2026-05-17 15:00:00,164.0,164.0,164.0,164.0,16270.79143355,2668409.7951022
2026-05-17 15:15:00,164.0,165.0,164.0,165.0,50633.28994447,8305132.2781658
2026-05-17 15:30:00,165.0,165.0,164.0,164.0,43342.89982059,7111265.87360706
2026-05-17 15:45:00,164.0,164.0,164.0,164.0,40160.01166077,6586241.91236628
2026-05-17 16:00:00,165.0,165.0,164.0,164.0,10826.96458165,1786022.78266922
2026-05-17 16:15:00,164.0,165.0,164.0,165.0,1471.58662308,241401.18179487
2026-05-17 16:30:00,165.0,165.0,165.0,165.0,215390.59941249,35539448.90306085
2026-05-17 16:45:00,165.0,165.0,165.0,165.0,4768.16743143,786747.62618595
2026-05-17 17:00:00,165.0,165.0,165.0,165.0,30272.74241667,4995002.49875055
2026-05-17 17:15:00,164.0,164.0,164.0,164.0,684.40255347,112242.01876908
2026-05-17 17:30:00,164.0,164.0,164.0,164.0,30670.73170732,5030000.00000048
2026-05-17 17:45:00,164.0,164.0,164.0,164.0,36689.22174921,6017032.36687044
2026-05-17 18:00:00,164.0,165.0,164.0,165.0,46319.53723803,7642662.66866519
2026-05-17 18:15:00,164.0,165.0,164.0,164.0,71539.81320974,11732943.76639736
2026-05-17 18:30:00,164.0,165.0,164.0,165.0,547.29410939,89816.84000056
2026-05-17 18:45:00,165.0,165.0,164.0,164.0,3249.47508404,535193.26501603
2026-05-17 19:00:00,165.0,166.0,165.0,166.0,198995.38782612,32865846.06126878
2026-05-17 19:15:00,166.0,166.0,166.0,166.0,28121.88352655,4668232.6654073
2026-05-17 19:30:00,165.0,166.0,165.0,166.0,20713.16427317,3433137.23833335
2026-05-17 19:45:00,165.0,165.0,164.0,164.0,360848.74546289,59353069.40946171
2026-05-17 20:00:00,164.0,165.0,164.0,165.0,2894.67247819,476145.23793831
2026-05-17 20:15:00,164.0,164.0,164.0,164.0,62.929,10320.356
2026-05-17 20:30:00,165.0,165.0,164.0,164.0,1932.13495133,318484.59296945
2026-05-17 20:45:00,165.0,165.0,164.0,165.0,879.18468717,145004.89761017
2026-05-17 21:00:00,164.0,164.0,164.0,164.0,521.3492155,85501.271342
2026-05-17 21:15:00,165.0,165.0,164.0,165.0,4943.55096722,811469.63135134
2026-05-17 21:30:00,165.0,165.0,165.0,165.0,12688.00751137,2093521.23937605
2026-05-17 21:45:00,165.0,165.0,164.0,164.0,43273.62799497,7103238.6275387
2026-05-17 22:00:00,165.0,165.0,164.0,164.0,75743.25827292,12424924.65978918
2026-05-17 22:15:00,164.0,164.0,163.0,164.0,96483.4628879,15823106.09543379
2026-05-17 22:30:00,165.0,165.0,164.0,164.0,72598.8411685,11939058.25466429
2026-05-17 22:45:00,164.0,165.0,163.0,164.0,10470.16864378,1711826.2308985
2026-05-17 23:00:00,164.0,164.0,163.0,163.0,27227.30250559,4464253.15434476
2026-05-17 23:15:00,163.0,163.0,162.0,163.0,420852.68727212,68222715.92688689
2026-05-17 23:30:00,162.0,163.0,162.0,163.0,218417.37745584,35388025.04225186
2026-05-17 23:45:00,162.0,163.0,162.0,163.0,8858.69888718,1440317.74971889
2026-05-18 00:00:00,163.0,163.0,163.0,163.0,8518.34969324,1388490.99999812
2026-05-18 00:15:00,163.0,163.0,162.0,162.0,8149.88697161,1320895.18633333
2026-05-18 00:30:00,162.0,162.0,162.0,162.0,2676.55235186,433601.48100132
2026-05-18 01:00:00,162.0,162.0,162.0,162.0,5586.26778503,904975.38117486
2026-05-18 01:15:00,163.0,163.0,162.0,162.0,692.21565216,112194.20862692
2026-05-18 01:30:00,163.0,163.0,163.0,163.0,192.42944785,31365.99999955
2026-05-18 01:45:00,163.0,163.0,162.0,162.0,102317.43283892,16606083.63677237
2026-05-18 02:00:00,161.0,162.0,161.0,162.0,4157.58981521,670426.54666855
2026-05-18 02:30:00,162.0,162.0,161.0,161.0,2072.05242331,335494.84519624
2026-05-18 02:45:00,162.0,162.0,162.0,162.0,18566.33411688,3007746.12693456
2026-05-18 03:00:00,162.0,162.0,162.0,162.0,162183.96951271,26273803.06105902
2026-05-18 03:15:00,162.0,162.0,162.0,162.0,16575.9358,2685301.5996
2026-05-18 03:45:00,161.0,162.0,161.0,162.0,291.49556935,47187.19451541
2026-05-18 04:00:00,163.0,163.0,163.0,163.0,778.3592866,126872.5637158
2026-05-18 04:15:00,163.0,163.0,163.0,163.0,2390.62677249,389672.16391587
2026-05-18 04:30:00,163.0,163.0,163.0,163.0,1000.0,163000.0
2026-05-18 04:45:00,163.0,163.0,162.0,162.0,129731.50142718,21142334.73263034
2026-05-18 05:00:00,163.0,163.0,162.0,163.0,34316.02497356,5592906.01008422
2026-05-18 05:15:00,163.0,163.0,163.0,163.0,6134.96932515,999999.99999945
2026-05-18 05:30:00,163.0,163.0,163.0,163.0,4584.35069592,747249.16343496
2026-05-18 05:45:00,163.0,164.0,163.0,164.0,161551.39050365,26396811.73965573
2026-05-18 06:00:00,164.0,164.0,164.0,164.0,14197.22103581,2328344.24987284
2026-05-18 06:15:00,164.0,164.0,164.0,164.0,60.94513718,9995.00249752
2026-05-18 06:30:00,163.0,164.0,163.0,164.0,10720.52205855,1748664.60773877
2026-05-18 07:00:00,163.0,164.0,163.0,164.0,9419.63268221,1535572.41690903
2026-05-18 07:15:00,162.0,163.0,162.0,163.0,5048.16102554,820316.50377527
2026-05-18 07:30:00,163.0,163.0,163.0,163.0,61.34969325,9999.99999975
2026-05-18 07:45:00,163.0,163.0,162.0,162.0,3477.34317626,563390.94424737
2026-05-18 08:00:00,162.0,163.0,162.0,162.0,27440.22805837,4462937.05950934
2026-05-18 08:15:00,162.0,162.0,161.0,162.0,32033.93327294,5181733.12993345
2026-05-18 08:30:00,162.0,162.0,157.0,159.0,387138.92482899,61551415.12051104
2026-05-18 08:45:00,160.0,161.0,159.0,161.0,126189.15847702,20174781.52680763
2026-05-18 09:00:00,160.0,160.0,159.0,159.0,377639.15943443,60265605.1023629
2026-05-18 09:15:00,160.0,160.0,159.0,160.0,176708.37310395,28172128.54271452
2026-05-18 09:30:00,159.0,159.0,159.0,159.0,140564.65432606,22349780.03784354
2026-05-18 09:45:00,159.0,160.0,158.0,159.0,380466.24536518,60359110.29886681
2026-05-18 10:00:00,160.0,160.0,159.0,159.0,137901.93144347,21998190.96081283
2026-05-18 10:15:00,159.0,160.0,158.0,160.0,208447.51447336,33143105.12046391
2026-05-18 10:30:00,159.0,159.0,158.0,159.0,81406.53107046,12921294.11999526
2026-05-18 10:45:00,159.0,160.0,158.0,160.0,284021.96962545,45437860.44908096
2026-05-18 11:00:00,161.0,161.0,160.0,161.0,117482.163755,18891010.02067577
2026-05-18 11:15:00,161.0,161.0,160.0,160.0,21193.79945265,3403691.48353587
