,open,high,low,close,volume,value
2026-05-15 06:00:00,7.16,7.17,7.15,7.16,107371.3094789,768589.66422724
2026-05-15 06:15:00,7.14,7.15,7.14,7.15,689996.13927996,4929082.61295332
2026-05-15 06:30:00,7.17,7.18,7.17,7.18,1400.0,10045.0
2026-05-15 06:45:00,7.16,7.16,7.16,7.16,42783.717,306331.41372
2026-05-15 07:00:00,7.16,7.16,7.16,7.16,41111.52234203,294358.49996893
2026-05-15 07:15:00,7.17,7.17,7.16,7.16,17306.73555201,123930.09617791
2026-05-15 07:30:00,7.18,7.19,7.16,7.16,164066.13537118,1176350.70386032
2026-05-15 07:45:00,7.17,7.18,7.16,7.16,559733.80362098,4008077.32873281
2026-05-15 08:00:00,7.16,7.16,7.14,7.14,1776212.58297981,12689009.21944867
2026-05-15 08:15:00,7.13,7.14,7.12,7.14,206129.8973047,1468926.69860381
2026-05-15 08:30:00,7.14,7.14,7.13,7.13,327835.37678609,2337964.68571451
2026-05-15 08:45:00,7.13,7.13,7.11,7.11,832925.49143075,5934292.31915918
2026-05-15 09:00:00,7.11,7.15,7.11,7.15,483751.67838853,3442497.37655673
2026-05-15 09:15:00,7.15,7.15,7.13,7.14,98806.59891609,705324.08569407
2026-05-15 09:30:00,7.14,7.16,7.14,7.14,2258607.23762903,16129020.91345268
2026-05-15 09:45:00,7.13,7.16,7.13,7.16,37580.24789692,267988.89212256
2026-05-15 10:00:00,7.17,7.17,7.14,7.16,523278.88605797,3740747.74785729
2026-05-15 10:15:00,7.15,7.15,7.13,7.13,259656.39337296,1851659.73405521
2026-05-15 10:30:00,7.13,7.13,7.11,7.12,1902008.43302645,13554823.10541774
2026-05-15 10:45:00,7.13,7.13,7.09,7.09,1322820.81899866,9416945.80614918
2026-05-15 11:00:00,7.1,7.13,7.09,7.1,643541.84454384,4580504.65107099
2026-05-15 11:15:00,7.08,7.08,7.06,7.06,2800773.88496401,19804799.36445607
2026-05-15 11:30:00,7.08,7.1,7.06,7.08,1201486.77793012,8496468.4669987
2026-05-15 11:45:00,7.1,7.1,7.1,7.1,259910.146041,1845362.0368911
2026-05-15 12:00:00,7.13,7.13,7.12,7.13,637987.70228571,4546034.5421363
2026-05-15 12:15:00,7.12,7.12,7.12,7.12,56896.06741572,405099.99999993
2026-05-15 12:30:00,7.11,7.11,7.09,7.09,1014927.96414413,7211762.54367504
2026-05-15 12:45:00,7.1,7.11,7.1,7.11,14025.24544179,99580.21708608
2026-05-15 13:00:00,7.09,7.11,7.07,7.09,2577080.40971412,18229817.10131012
2026-05-15 13:15:00,7.07,7.07,7.05,7.05,1615830.76250139,11394595.38453952
2026-05-15 13:30:00,7.04,7.04,7.04,7.04,3760166.38066512,26471571.31988244
2026-05-15 13:45:00,7.05,7.05,7.03,7.03,1480251.45210597,10412182.69350041
2026-05-15 14:00:00,7.03,7.03,7.01,7.01,1556917.42712912,10932985.61047803
2026-05-15 14:15:00,7.03,7.04,7.03,7.04,39809.5115613,279895.01439363
2026-05-15 14:30:00,7.03,7.03,6.94,6.97,8394779.65169187,58411742.33062491
2026-05-15 14:45:00,6.98,6.98,6.95,6.95,1095906.99401462,7629438.39890034
2026-05-15 15:00:00,6.95,6.97,6.94,6.97,711286.53478292,4948578.14557616
2026-05-15 15:15:00,6.97,6.98,6.95,6.95,102151.44115675,711198.39492241
2026-05-15 15:30:00,6.97,7.0,6.97,7.0,538987.04690651,3768479.6416764
2026-05-15 15:45:00,7.0,7.0,7.0,7.0,6571.42857142,45999.99999994
2026-05-15 16:00:00,7.0,7.0,6.98,6.99,2472185.45813359,17280813.14554864
2026-05-15 16:15:00,7.0,7.02,7.0,7.02,611527.45285083,4280978.81253881
2026-05-15 16:30:00,7.02,7.03,7.0,7.01,63836.48334842,448476.84909003
2026-05-15 16:45:00,7.0,7.0,7.0,7.0,19084.41233038,133590.88631266
2026-05-15 17:00:00,7.0,7.0,6.99,7.0,1958137.71280833,13706792.56108688
2026-05-15 17:15:00,6.99,6.99,6.97,6.97,857169.34259147,5978092.24270058
2026-05-15 17:30:00,6.96,7.0,6.96,7.0,836183.20675563,5832539.4301993
2026-05-15 17:45:00,6.97,6.97,6.97,6.97,146499.98601846,1021104.90254867
2026-05-15 18:00:00,6.97,6.97,6.97,6.97,132028.45980472,920238.3648389
2026-05-15 18:15:00,6.97,6.98,6.96,6.98,106822.93225723,743961.31202066
2026-05-15 18:30:00,6.98,6.98,6.95,6.95,542785.70764308,3785298.52519584
