,open,high,low,close,volume,value
2026-05-12 07:15:00,7.94,7.94,7.92,7.94,2057050.21527339,16326947.18848303
2026-05-12 07:30:00,7.92,7.93,7.92,7.93,694529.30198969,5506150.63701544
2026-05-12 07:45:00,7.92,7.93,7.91,7.91,1465942.76601721,11596995.94584336
2026-05-12 08:00:00,7.91,7.92,7.91,7.91,98437.26380777,779014.05032082
2026-05-12 08:15:00,7.92,7.93,7.91,7.93,1202982.64045689,9533530.84054828
2026-05-12 08:30:00,7.93,7.96,7.92,7.96,899937.36220862,7138900.78409089
2026-05-12 08:45:00,7.94,8.01,7.94,7.98,13055217.44421975,104312369.59307852
2026-05-12 09:00:00,7.97,7.97,7.91,7.94,3922753.72405906,31123396.24714201
2026-05-12 09:15:00,7.94,7.94,7.9,7.93,5973702.99077619,47266964.38936399
2026-05-12 09:30:00,7.93,7.95,7.91,7.95,4527731.28353731,35864700.2248121
2026-05-12 09:45:00,7.94,7.99,7.94,7.99,1816845.9540682,14460874.28379191
2026-05-12 10:00:00,7.99,8.0,7.92,7.92,2547402.49593094,20308295.61088602
2026-05-12 10:15:00,7.92,7.96,7.9,7.92,11014659.40461829,87200247.83570972
2026-05-12 10:30:00,7.94,7.94,7.81,7.86,10657378.268292,83761852.69802454
2026-05-12 10:45:00,7.86,7.88,7.83,7.84,3165304.4859969,24869772.16496096
2026-05-12 11:00:00,7.84,7.89,7.84,7.88,2108066.39326888,16541575.61921649
2026-05-12 11:15:00,7.86,7.86,7.84,7.86,1019249.6366318,8007261.01054865
2026-05-12 11:30:00,7.86,7.86,7.83,7.85,333958.00674951,2618946.83633105
2026-05-12 11:45:00,7.83,7.86,7.83,7.86,296666.85685536,2326851.04948693
2026-05-12 12:00:00,7.86,7.88,7.85,7.88,911277.59994101,7168091.1578555
2026-05-12 12:15:00,7.87,7.88,7.86,7.86,1321846.97339021,10389926.74697932
2026-05-12 12:30:00,7.86,7.88,7.85,7.88,724970.09952756,5702115.38021503
2026-05-12 12:45:00,7.85,7.86,7.82,7.82,1405571.76758644,11008954.89904221
2026-05-12 13:00:00,7.83,7.83,7.79,7.83,9624115.73220572,75090988.55388163
2026-05-12 13:15:00,7.83,7.85,7.83,7.85,1121582.41223923,8802415.16681406
2026-05-12 13:30:00,7.84,7.86,7.84,7.85,256048.78068572,2009921.90093597
2026-05-12 13:45:00,7.85,7.86,7.83,7.83,445200.36361587,3488484.42789701
2026-05-12 14:00:00,7.83,7.86,7.83,7.83,94138.53518692,737123.81829984
2026-05-12 14:15:00,7.82,7.84,7.82,7.84,6456.00247348,50582.37210792
2026-05-12 14:30:00,7.82,7.82,7.81,7.81,1082529.14697813,8463851.91634603
2026-05-12 14:45:00,7.84,7.85,7.84,7.84,342169.31571685,2682616.31929654
2026-05-12 15:00:00,7.84,7.87,7.84,7.85,177973.90723622,1396880.83707593
2026-05-12 15:15:00,7.85,7.87,7.85,7.86,913939.27951048,7178276.85846657
2026-05-12 15:30:00,7.85,7.86,7.84,7.85,369488.72792455,2900462.42503547
2026-05-12 15:45:00,7.85,7.85,7.83,7.84,1190072.00616955,9327450.22262822
2026-05-12 16:00:00,7.84,7.84,7.79,7.84,2258095.76032861,17642271.93734294
2026-05-12 16:15:00,7.82,7.85,7.81,7.83,1957076.72274968,15316419.96661812
2026-05-12 16:30:00,7.83,7.84,7.81,7.83,4626862.71938538,36167630.29746514
2026-05-12 16:45:00,7.82,7.83,7.78,7.81,1461262.43084793,11400995.12091067
2026-05-12 17:00:00,7.82,7.82,7.78,7.78,7287914.06801129,56726055.12838364
2026-05-12 17:15:00,7.81,7.81,7.79,7.79,292499.55315926,2279065.09499954
2026-05-12 17:30:00,7.78,7.81,7.76,7.81,8379279.60068176,65204438.76043112
2026-05-12 17:45:00,7.82,7.83,7.79,7.79,509303.31601473,3976707.96917823
2026-05-12 18:00:00,7.8,7.8,7.77,7.77,1341412.93820727,10446522.22252516
2026-05-12 18:15:00,7.78,7.8,7.77,7.79,1173183.30112414,9121955.59506549
2026-05-12 18:30:00,7.8,7.8,7.78,7.78,477810.01019765,3720354.93074271
2026-05-12 18:45:00,7.78,7.81,7.78,7.81,31417.21723291,244725.52832165
2026-05-12 19:00:00,7.81,7.81,7.77,7.8,864848.28599003,6732832.07650482
2026-05-12 19:15:00,7.77,7.79,7.77,7.79,624757.15544148,4854375.93475077
2026-05-12 19:30:00,7.76,7.76,7.73,7.74,5855401.94645892,45402788.25619538
2026-05-12 19:45:00,7.72,7.74,7.72,7.74,1675210.82927506,12939802.71851892
2026-05-12 20:00:00,7.73,7.74,7.71,7.71,3810393.51823969,29401780.92756888
2026-05-12 20:15:00,7.7,7.71,7.68,7.69,2998111.8556814,23066115.17403119
2026-05-12 20:30:00,7.7,7.72,7.7,7.71,381023.47373836,2935873.72595416
2026-05-12 20:45:00,7.71,7.72,7.7,7.7,1327067.94020274,10220827.19672587
2026-05-12 21:00:00,7.71,7.71,7.69,7.71,402570.25401222,3098626.4893942
2026-05-12 21:15:00,7.7,7.7,7.68,7.68,2898184.85391855,22269130.40184897
2026-05-12 21:30:00,7.67,7.73,7.66,7.72,3230037.33265055,24869716.35708585
2026-05-12 21:45:00,7.72,7.75,7.71,7.71,2133848.06542885,16477757.81693933
2026-05-12 22:00:00,7.71,7.75,7.71,7.73,2866531.90109193,22185325.54523495
2026-05-12 22:15:00,7.73,7.73,7.69,7.7,988211.85975141,7616289.18823001
2026-05-12 22:30:00,7.73,7.73,7.71,7.71,1426244.37992137,10999897.78574214
2026-05-12 22:45:00,7.75,7.75,7.65,7.67,2851996.93510944,21942138.6873668
2026-05-12 23:00:00,7.65,7.7,7.63,7.7,5948309.88794772,45553651.16744451
2026-05-12 23:15:00,7.67,7.67,7.63,7.63,3082323.74411916,23596096.60860525
