,open,high,low,close,volume,value
2026-05-11 07:15:00,541.0,544.0,541.0,543.0,18272.23996634,9906435.01749876
2026-05-11 07:30:00,544.0,545.0,543.0,544.0,11234.44425485,6117698.00996781
2026-05-11 07:45:00,544.0,547.0,544.0,546.0,95185.58714752,51965050.34203279
2026-05-11 08:00:00,545.0,546.0,544.0,546.0,28234.90676007,15414584.73188983
2026-05-11 08:15:00,546.0,546.0,543.0,544.0,54071.13792935,29410644.81606049
2026-05-11 08:30:00,544.0,544.0,541.0,543.0,86670.5014409,46990520.08815388
2026-05-11 08:45:00,544.0,547.0,543.0,545.0,90009.22156174,49072659.7042541
2026-05-11 09:00:00,545.0,546.0,539.0,541.0,237421.86079224,128609942.00653747
2026-05-11 09:15:00,543.0,543.0,538.0,541.0,103771.24233042,55911092.66331262
2026-05-11 09:30:00,541.0,542.0,538.0,540.0,88497.92124291,47754846.64069125
2026-05-11 09:45:00,539.0,539.0,536.0,539.0,45202.811642,24291599.57038051
2026-05-11 10:00:00,539.0,540.0,537.0,539.0,33873.47051766,18228480.79335328
2026-05-11 10:15:00,539.0,543.0,539.0,541.0,36245.23917032,19597604.92411876
2026-05-11 10:30:00,539.0,540.0,538.0,540.0,52018.2344903,28018381.06904832
2026-05-11 10:45:00,539.0,540.0,537.0,538.0,43671.62822367,23497700.65873065
2026-05-11 11:00:00,538.0,539.0,537.0,537.0,30002.29131725,16142038.62901466
2026-05-11 11:15:00,536.0,537.0,534.0,534.0,108086.99674394,57827876.06341621
2026-05-11 11:30:00,534.0,535.0,532.0,535.0,39220.99383929,20935118.34707978
2026-05-11 11:45:00,535.0,536.0,534.0,534.0,24456.6805169,13075769.0815972
2026-05-11 12:00:00,536.0,536.0,534.0,534.0,22979.20971762,12304831.26708067
2026-05-11 12:15:00,534.0,535.0,534.0,534.0,49893.43382865,26660794.83043596
2026-05-11 12:30:00,536.0,537.0,534.0,537.0,20986.75273548,11232782.50581479
2026-05-11 12:45:00,537.0,538.0,536.0,536.0,52907.48100125,28430614.15770884
