,open,high,low,close,volume,value
2026-05-17 20:45:00,1440.0,1440.0,1440.0,1440.0,18009.25703189,25933330.1259216
2026-05-17 21:00:00,1443.0,1446.0,1442.0,1443.0,24491.50013316,35379991.2590617
2026-05-17 21:15:00,1441.0,1442.0,1441.0,1442.0,136.09124661,196135.44349285
2026-05-17 21:30:00,1444.0,1445.0,1441.0,1441.0,6725.93852952,9706065.51557373
2026-05-17 21:45:00,1441.0,1446.0,1437.0,1437.0,16017.79710776,23070008.35134436
2026-05-17 22:00:00,1438.0,1438.0,1418.0,1418.0,56456.94246954,80711712.28021602
2026-05-17 22:15:00,1418.0,1418.0,1408.0,1410.0,39166.45038298,55319903.86378218
2026-05-17 22:30:00,1414.0,1414.0,1403.0,1410.0,60858.24058688,85634807.48316664
2026-05-17 22:45:00,1411.0,1411.0,1409.0,1411.0,2105.12327819,2968982.94323303
2026-05-17 23:00:00,1409.0,1409.0,1400.0,1400.0,32227.81703599,45337218.25730657
2026-05-17 23:15:00,1400.0,1405.0,1396.0,1405.0,14271.04750522,19978396.55531445
2026-05-17 23:30:00,1405.0,1405.0,1401.0,1402.0,878.23562511,1233558.01526888
2026-05-17 23:45:00,1402.0,1404.0,1402.0,1404.0,576.33961297,808632.21369748
2026-05-18 00:00:00,1403.0,1405.0,1402.0,1402.0,1359.1545305,1907244.10825921
2026-05-18 00:15:00,1402.0,1402.0,1400.0,1401.0,1520.00378573,2128221.47305448
2026-05-18 00:30:00,1402.0,1403.0,1401.0,1403.0,772.05922427,1082442.50075185
2026-05-18 00:45:00,1403.0,1404.0,1403.0,1404.0,1134.35543117,1592521.03745287
2026-05-18 01:00:00,1404.0,1405.0,1401.0,1403.0,5565.97810239,7813467.16750117
2026-05-18 01:15:00,1406.0,1406.0,1404.0,1406.0,7334.78903085,10302864.99031486
2026-05-18 01:30:00,1407.0,1408.0,1406.0,1408.0,36.48209132,51342.44774323
2026-05-18 01:45:00,1406.0,1406.0,1397.0,1397.0,6439.74024746,9014575.56651419
2026-05-18 02:00:00,1398.0,1398.0,1388.0,1392.0,6951.38754487,9679821.15909236
2026-05-18 02:15:00,1392.0,1394.0,1389.0,1394.0,957.07350932,1332125.88931158
2026-05-18 02:30:00,1394.0,1394.0,1392.0,1392.0,55.94672418,77970.09902556
2026-05-18 03:15:00,1400.0,1400.0,1395.0,1395.0,18.76584822,26217.61593995
2026-05-18 03:30:00,1397.0,1399.0,1397.0,1399.0,561.93075499,785585.92044669
2026-05-18 03:45:00,1397.0,1403.0,1396.0,1403.0,45.68184932,63934.27394601
2026-05-18 04:00:00,1402.0,1405.0,1402.0,1404.0,19.27238484,27055.48087308
2026-05-18 04:15:00,1404.0,1404.0,1402.0,1402.0,11854.84391647,16642743.07045928
2026-05-18 04:30:00,1403.0,1412.0,1403.0,1411.0,4577.47423126,6458956.12621419
2026-05-18 04:45:00,1410.0,1412.0,1410.0,1410.0,1626.1047866,2295640.6102958
2026-05-18 05:00:00,1411.0,1411.0,1406.0,1406.0,10.63075831,14964.56411436
