,open,high,low,close,volume,value
2026-05-10 23:15:00,822.0,822.0,818.0,818.0,5015.78738882,4112893.38880624
2026-05-10 23:30:00,820.0,821.0,818.0,821.0,2321.1745093,1903475.16341744
2026-05-10 23:45:00,820.0,820.0,820.0,820.0,1578.74646341,1294572.0999962
2026-05-11 00:00:00,819.0,819.0,818.0,818.0,1171.0376519,957927.91511641
2026-05-11 00:15:00,818.0,818.0,818.0,818.0,648.80498775,530722.4799795
2026-05-11 00:30:00,818.0,818.0,818.0,818.0,132.30031663,108221.65900334
2026-05-11 00:45:00,820.0,820.0,819.0,819.0,15.2,12454.9
2026-05-11 01:00:00,820.0,820.0,820.0,820.0,812.98896996,666650.9553672
2026-05-11 01:15:00,821.0,823.0,821.0,823.0,2529.46262956,2081420.46868487
2026-05-11 01:30:00,821.0,821.0,821.0,821.0,12.7167,10440.4107
2026-05-11 01:45:00,821.0,821.0,821.0,821.0,5721.09003203,4697014.91629663
2026-05-11 02:00:00,819.0,819.0,818.0,818.0,4639.30328533,3794965.08739994
2026-05-11 02:15:00,818.0,818.0,818.0,818.0,867.29189727,709444.77196686
2026-05-11 02:30:00,822.0,822.0,818.0,818.0,731.2375125,600582.67586908
2026-05-11 02:45:00,818.0,824.0,818.0,824.0,8038.05674832,6616058.76061568
2026-05-11 03:15:00,824.0,824.0,824.0,824.0,150.0,123600.0
2026-05-11 03:45:00,824.0,824.0,821.0,821.0,35.0,28782.93674466
2026-05-11 04:15:00,825.0,825.0,823.0,825.0,3234.93126576,2662801.32531496
2026-05-11 04:30:00,825.0,825.0,822.0,822.0,1060.61212121,872004.99999825
2026-05-11 04:45:00,825.0,825.0,822.0,825.0,5427.35205905,4461725.99181267
2026-05-11 05:30:00,822.0,822.0,818.0,818.0,26112.15826133,21405651.05832389
2026-05-11 05:45:00,817.0,820.0,812.0,820.0,55141.17728591,44862496.18015764
2026-05-11 06:00:00,819.0,819.0,819.0,819.0,1328.24308236,1087831.08445284
2026-05-11 06:15:00,817.0,818.0,817.0,818.0,873.0174968,713261.52781242
2026-05-11 06:30:00,816.0,817.0,815.0,817.0,1718.34674783,1400620.39347005
2026-05-11 06:45:00,817.0,817.0,817.0,817.0,10.0,8170.0
2026-05-11 07:00:00,817.0,818.0,817.0,818.0,1238.02889037,1011907.12040788
2026-05-11 07:15:00,820.0,823.0,820.0,822.0,475.95999679,391533.92084647
2026-05-11 07:30:00,823.0,824.0,822.0,823.0,4096.5765027,3368120.72733951
2026-05-11 07:45:00,823.0,823.0,821.0,823.0,22312.00822337,18344967.73517418
2026-05-11 08:00:00,823.0,824.0,822.0,824.0,14255.96764547,11731831.90765678
2026-05-11 08:15:00,825.0,825.0,823.0,823.0,5865.1565569,4836251.0009765
2026-05-11 08:30:00,824.0,824.0,823.0,823.0,9618.50956306,7922199.08592427
2026-05-11 08:45:00,822.0,823.0,821.0,822.0,8218.20424868,6757171.68780881
2026-05-11 09:00:00,824.0,824.0,821.0,821.0,12500.13562293,10277809.85988839
2026-05-11 09:15:00,824.0,846.0,822.0,840.0,273715.33407272,229093422.98771626
2026-05-11 09:30:00,839.0,840.0,821.0,822.0,170237.08223162,141286618.14136514
2026-05-11 09:45:00,827.0,827.0,820.0,826.0,20766.07426615,17057366.49597358
2026-05-11 10:00:00,823.0,823.0,822.0,822.0,4517.01709459,3713261.26581195
2026-05-11 10:15:00,823.0,826.0,817.0,826.0,28668.77663906,23511387.85228526
2026-05-11 10:30:00,823.0,825.0,817.0,820.0,25307.69221003,20726624.84034937
2026-05-11 10:45:00,820.0,825.0,820.0,825.0,7579.22517235,6231153.57930616
