,open,high,low,close,volume,value
2026-05-17 01:00:00,180.0,180.0,180.0,180.0,18596.1985108,3347315.731944
2026-05-17 01:15:00,181.0,181.0,181.0,181.0,276.24309391,49999.99999771
2026-05-17 01:30:00,180.0,180.0,180.0,180.0,95292.55976894,17152660.7584092
2026-05-17 01:45:00,180.0,180.0,180.0,180.0,15770.75847033,2838736.5246594
2026-05-17 02:00:00,180.0,181.0,180.0,181.0,12511.56510656,2252191.19984378
2026-05-17 02:15:00,180.0,181.0,180.0,181.0,2221.81569698,401926.8254564
2026-05-17 02:30:00,181.0,181.0,181.0,181.0,22306.63121477,4037500.24987337
2026-05-17 03:00:00,181.0,181.0,179.0,179.0,221303.79356739,39826748.95191278
2026-05-17 03:15:00,179.0,179.0,179.0,179.0,32.30337078,5782.30336962
2026-05-17 03:30:00,179.0,179.0,179.0,179.0,1096.33707865,196244.33707835
2026-05-17 03:45:00,180.0,180.0,180.0,180.0,116247.9855926,20924637.406668
2026-05-17 04:00:00,179.0,179.0,179.0,179.0,4760.71488065,852167.96363635
2026-05-17 04:15:00,180.0,180.0,180.0,180.0,16772.40824032,3019033.4832576
2026-05-17 04:30:00,180.0,180.0,180.0,180.0,555.55555555,99999.999999
2026-05-17 04:45:00,179.0,179.0,179.0,179.0,37576.11177507,6726124.00773753
2026-05-17 05:15:00,179.0,179.0,179.0,179.0,136.17777777,24375.82222083
2026-05-17 05:30:00,179.0,179.0,179.0,179.0,54673.78615586,9786607.72189894
2026-05-17 06:00:00,179.0,179.0,179.0,179.0,56774.34031241,10162606.91592139
2026-05-17 06:15:00,179.0,179.0,178.0,178.0,6339.69513821,1134685.42973959
2026-05-17 06:30:00,179.0,179.0,179.0,179.0,27.93296089,4999.99999931
2026-05-17 06:45:00,178.0,179.0,178.0,179.0,4351.99351308,777446.74546755
2026-05-17 07:00:00,179.0,179.0,179.0,179.0,55.86592178,9999.99999862
2026-05-17 07:15:00,178.0,178.0,178.0,178.0,479.65398394,85378.40914132
2026-05-17 07:30:00,178.0,179.0,178.0,179.0,1355.00504846,241559.63326275
2026-05-17 07:45:00,179.0,179.0,179.0,179.0,85.86592178,15369.99999862
2026-05-17 08:00:00,179.0,179.0,179.0,179.0,2606.90391813,466635.80134527
2026-05-17 08:15:00,178.0,178.0,178.0,178.0,10000.0,1780000.0
2026-05-17 08:30:00,178.0,179.0,178.0,179.0,1740.64187721,309889.50276216
2026-05-17 08:45:00,179.0,179.0,179.0,179.0,586.64804468,105009.99999772
2026-05-17 09:00:00,178.0,179.0,178.0,179.0,49947.85994011,8891719.06933958
2026-05-17 09:15:00,179.0,179.0,178.0,178.0,21725.41145134,3883230.67226177
2026-05-17 09:30:00,179.0,179.0,178.0,179.0,6857.94680218,1224072.47759022
2026-05-17 09:45:00,179.0,179.0,177.0,177.0,96835.13462341,17210604.57899974
2026-05-17 10:00:00,178.0,178.0,178.0,178.0,35150.39109657,6256769.61518946
2026-05-17 10:15:00,177.0,178.0,177.0,178.0,1112.5337317,197918.4705109
2026-05-17 10:30:00,178.0,178.0,177.0,177.0,132350.45725353,23431482.89454896
2026-05-17 10:45:00,177.0,178.0,177.0,177.0,171713.13130464,30393392.78024712
2026-05-17 11:00:00,177.0,178.0,176.0,178.0,69113.93672235,12244124.91754404
2026-05-17 11:15:00,177.0,178.0,177.0,178.0,15546.60851485,2751777.96136573
2026-05-17 11:30:00,178.0,178.0,178.0,178.0,7864.04550532,1399800.09994696
2026-05-17 11:45:00,177.0,177.0,177.0,177.0,16026.82885385,2836748.70713145
2026-05-17 12:00:00,177.0,177.0,177.0,177.0,654.12303664,115779.77748528
2026-05-17 12:15:00,177.0,177.0,177.0,177.0,40.91666666,7242.24999882
2026-05-17 12:30:00,177.0,177.0,177.0,177.0,8169.08279922,1445927.65546194
2026-05-17 12:45:00,178.0,178.0,178.0,178.0,135423.10287238,24105312.31128364
2026-05-17 13:00:00,178.0,178.0,178.0,178.0,67687.67796042,12048406.67695476
2026-05-17 13:15:00,179.0,179.0,179.0,179.0,146368.85441824,26200024.94086496
2026-05-17 13:30:00,179.0,179.0,179.0,179.0,6802.904168,1217719.846072
2026-05-17 13:45:00,179.0,179.0,178.0,179.0,61608.66298412,10978844.52890608
2026-05-17 14:00:00,179.0,181.0,179.0,180.0,39663.46930807,7105138.58326762
2026-05-17 14:15:00,181.0,181.0,181.0,181.0,611.35237326,110654.77956006
2026-05-17 14:30:00,181.0,181.0,181.0,181.0,688.31049723,124584.19999863
2026-05-17 14:45:00,181.0,181.0,181.0,181.0,42104.31936517,7620881.80509577
2026-05-17 15:00:00,180.0,182.0,180.0,182.0,3999.68118818,724373.31736181
2026-05-17 15:15:00,182.0,182.0,181.0,181.0,9672.36125703,1752021.5633466
2026-05-17 15:30:00,181.0,182.0,181.0,182.0,79295.44815593,14379408.63897294
2026-05-17 15:45:00,182.0,182.0,182.0,182.0,29584.902982,5384452.342724
2026-05-17 16:00:00,182.0,182.0,182.0,182.0,11286.51011688,2054144.84127216
