,open,high,low,close,volume,value
2026-05-14 01:00:00,62.8,62.8,62.1,62.5,719933.34687064,44956739.49105092
2026-05-14 01:15:00,62.5,62.5,62.5,62.5,51780.31871156,3236269.9194725
2026-05-14 01:30:00,62.5,62.9,62.4,62.9,10414.03028522,651369.57908636
2026-05-14 01:45:00,62.9,63.1,62.9,63.0,1456.25306044,91621.80864183
2026-05-14 02:00:00,62.9,62.9,62.9,62.9,308.63610293,19413.2108743
2026-05-14 02:15:00,62.7,62.7,62.7,62.7,286.3854,17956.36458
2026-05-14 02:30:00,62.6,62.7,62.5,62.7,13124.89049027,821127.46232333
2026-05-14 03:15:00,62.7,62.7,62.7,62.7,12015.2462725,753355.94128575
2026-05-14 03:30:00,62.6,62.6,62.5,62.5,618.818,38688.0068
2026-05-14 03:45:00,62.6,62.6,62.6,62.6,80220.89100377,5021827.776836
2026-05-14 04:00:00,62.5,62.5,62.5,62.5,23731.43055965,1483214.40997813
2026-05-14 04:15:00,62.5,62.6,62.4,62.4,101510.7647648,6341271.33846562
2026-05-14 04:30:00,62.6,62.6,62.6,62.6,273.35226528,17111.85180653
2026-05-14 04:45:00,62.5,62.5,62.5,62.5,3400.1875525,212511.72203125
2026-05-14 05:00:00,62.5,62.5,62.5,62.5,22199.8124475,1387488.27796875
2026-05-14 05:30:00,62.5,62.6,62.5,62.6,43271.32781575,2706379.44947912
2026-05-14 05:45:00,62.6,62.6,62.5,62.5,10837.95007363,677485.35775607
2026-05-14 06:00:00,62.5,62.5,62.4,62.4,26900.39262776,1681093.139235
2026-05-14 06:15:00,62.5,62.7,62.5,62.5,13453.13612,841346.57886428
2026-05-14 06:30:00,62.7,62.9,62.7,62.9,159.10812641,9999.99999974
2026-05-14 06:45:00,62.6,62.8,62.6,62.8,15715.69787336,983834.53400609
2026-05-14 07:00:00,62.8,62.9,62.8,62.8,52076.07051489,3270979.10162926
2026-05-14 07:15:00,62.7,62.9,62.6,62.9,3350.52060114,209949.77401811
2026-05-14 07:30:00,62.7,62.7,62.6,62.6,5989.63208874,375201.60671365
2026-05-14 07:45:00,62.6,62.9,62.6,62.9,6634.25216135,416968.36751783
2026-05-14 08:00:00,62.7,62.7,62.7,62.7,3820.0,239514.0
2026-05-14 08:15:00,62.7,62.9,62.7,62.9,92713.81180125,5813195.69691469
2026-05-14 08:30:00,62.7,63.0,62.7,63.0,11507.96020999,724340.52590607
2026-05-14 08:45:00,62.9,63.0,62.7,62.7,33705.3338899,2122744.56805815
2026-05-14 09:00:00,62.7,62.7,62.7,62.7,14702.13803726,921824.0549362
2026-05-14 09:15:00,62.7,62.7,62.7,62.7,8712.41543928,546268.44804286
2026-05-14 09:30:00,62.7,62.7,62.7,62.7,55668.98368346,3490445.27695294
2026-05-14 09:45:00,62.7,62.7,62.5,62.5,44095.27420932,2757167.81122204
2026-05-14 10:00:00,62.7,62.7,62.7,62.7,1572.32704402,98584.90566005
2026-05-14 10:15:00,62.7,62.7,62.6,62.7,46409.56266769,2908993.97801941
2026-05-14 10:30:00,62.7,62.7,62.5,62.7,210296.71712916,13164435.83170511
2026-05-14 10:45:00,63.0,63.0,62.6,62.6,17134.15814453,1073224.57746387
2026-05-14 11:00:00,62.5,62.6,62.5,62.6,88146.06537199,5510816.85535112
2026-05-14 11:15:00,62.6,62.6,62.4,62.4,99871.08231449,6240706.38006099
2026-05-14 11:30:00,62.7,62.7,62.2,62.2,168560.02748631,10502810.69555909
2026-05-14 11:45:00,62.2,62.3,62.2,62.3,40470.0204699,2518570.67322778
2026-05-14 12:00:00,62.4,62.5,62.4,62.4,6142.3646,383299.55104
2026-05-14 12:15:00,62.4,62.4,62.3,62.3,42762.19750853,2664687.9734394
2026-05-14 12:30:00,62.3,62.3,62.2,62.3,17932.7725697,1116827.57952818
2026-05-14 12:45:00,62.3,62.3,62.2,62.2,41371.27537699,2574898.46488538
2026-05-14 13:00:00,62.3,62.3,62.2,62.2,347345.50650225,21604960.94966364
2026-05-14 13:15:00,62.4,62.4,62.4,62.4,250099.02298493,15606179.03425963
2026-05-14 13:30:00,62.4,62.4,62.4,62.4,32153.79967948,2006397.09999955
2026-05-14 13:45:00,62.5,62.5,62.3,62.3,88623.71388739,5521273.10159949
2026-05-14 14:00:00,62.4,62.5,62.4,62.4,11749.16541727,733201.39929902
2026-05-14 14:15:00,62.3,62.4,62.3,62.4,18330.10280419,1143137.51754556
2026-05-14 14:30:00,62.4,62.4,62.4,62.4,90246.70926795,5631394.65832008
2026-05-14 14:45:00,62.4,62.5,62.4,62.5,7803.58778625,486960.877862
2026-05-14 15:00:00,62.4,62.5,62.4,62.4,144637.67298344,9025401.04536666
2026-05-14 15:15:00,62.4,62.4,62.4,62.4,176.28205128,10999.99999987
2026-05-14 15:30:00,62.3,62.4,62.3,62.3,22904.04511226,1427483.12988482
2026-05-14 15:45:00,62.3,62.4,62.3,62.4,164668.49806808,10274309.92964138
2026-05-14 16:00:00,62.4,62.4,62.4,62.4,34376.20464437,2145075.16980869
2026-05-14 16:15:00,62.4,62.4,62.3,62.3,16031.2916075,1000262.596308
2026-05-14 16:30:00,62.3,62.3,62.3,62.3,28588.59518602,1781069.48008905
2026-05-14 16:45:00,62.3,62.4,62.3,62.4,4983.6343879,310880.42236617
2026-05-14 17:00:00,62.3,62.4,62.3,62.4,59691.10179043,3721074.7736444
2026-05-14 17:15:00,62.4,62.4,62.4,62.4,6283.24726258,392074.62918499
2026-05-14 17:30:00,62.3,62.3,62.3,62.3,58770.92602392,3661428.69129022
2026-05-14 17:45:00,62.3,62.4,62.2,62.2,19696.53780924,1227179.58110107
2026-05-14 18:15:00,62.2,62.4,62.2,62.4,23017.72920618,1431734.80790645
2026-05-14 18:30:00,62.4,62.5,62.4,62.5,18566.22240355,1158540.27798152
2026-05-14 18:45:00,62.3,62.3,62.2,62.2,64014.63665847,3982371.93987769
2026-05-14 19:00:00,62.2,62.2,62.2,62.2,25723.47266882,1600000.0000006
2026-05-14 19:15:00,62.5,62.5,62.5,62.5,8935.56580418,558472.86276125
2026-05-14 19:30:00,62.5,62.5,62.4,62.4,8388.23213136,523473.68499686
2026-05-14 19:45:00,62.4,62.4,62.3,62.3,2659.98944685,165822.82783978
2026-05-14 20:00:00,62.4,62.4,62.4,62.4,24191.39823517,1509543.24987461
2026-05-14 20:15:00,62.4,62.4,62.3,62.4,9382.49778108,584726.02493487
2026-05-14 20:45:00,62.4,62.4,62.4,62.4,22789.61701869,1422072.10196626
2026-05-14 21:00:00,62.3,62.5,62.3,62.5,3326.44298175,207284.78410826
2026-05-14 21:15:00,62.5,62.5,62.3,62.4,13481.34632654,841084.47839344
2026-05-14 21:30:00,62.4,62.4,62.3,62.4,10887.0095101,678449.96314538
2026-05-14 21:45:00,62.3,62.4,62.2,62.4,89053.45312821,5546513.57336282
2026-05-14 22:00:00,62.3,62.4,62.2,62.4,178624.66418519,11115679.65828369
2026-05-14 22:15:00,62.3,62.4,62.1,62.4,186878.38989913,11614326.9660234
2026-05-14 22:30:00,62.1,62.3,62.1,62.3,1692.5309561,105314.84011056
2026-05-14 22:45:00,62.3,62.4,62.3,62.4,5089.99789316,317150.03002387
2026-05-14 23:00:00,62.3,62.4,62.3,62.4,16259.55834569,1013442.84329718
2026-05-14 23:15:00,62.4,62.8,62.4,62.8,2896.68297877,180784.865009
2026-05-14 23:30:00,62.8,63.0,62.8,63.0,6912.37798693,434953.99999998
2026-05-14 23:45:00,62.9,62.9,62.9,62.9,3406.3778202,214261.16489058
2026-05-15 00:00:00,62.9,62.9,62.5,62.5,25798.40846695,1614080.71695675
2026-05-15 00:30:00,62.6,62.6,62.6,62.6,29374.68292145,1838855.15088277
2026-05-15 00:45:00,62.7,62.7,62.7,62.7,2016.12903225,126411.29032208
2026-05-15 01:00:00,62.8,62.8,62.8,62.8,14759.67600043,926907.652827
2026-05-15 01:15:00,62.8,63.3,62.8,63.2,371683.82427773,23424509.52279541
2026-05-15 01:45:00,63.1,63.1,63.1,63.1,5865.45903126,370110.46487251
2026-05-15 02:00:00,63.3,63.3,63.1,63.1,106572.90228516,6742198.10157838
2026-05-15 02:15:00,63.1,63.1,62.7,62.7,15876.59437551,996958.27536669
2026-05-15 02:30:00,62.9,62.9,62.9,62.9,2837.19290974,178459.43402265
2026-05-15 02:45:00,62.9,62.9,62.9,62.9,13844.59570015,870825.06953944
2026-05-15 03:00:00,62.9,62.9,62.9,62.9,18585.885268,1169052.1833572
2026-05-15 03:30:00,62.9,63.0,62.9,63.0,6512.48442222,409657.49237986
2026-05-15 04:00:00,63.2,63.3,63.2,63.3,4897.66543794,309999.99999938
2026-05-15 04:15:00,63.3,63.3,63.3,63.3,157.97788309,9999.9999996
2026-05-15 04:30:00,63.3,63.3,63.3,63.3,23233.62805169,1470688.65567198
2026-05-15 05:00:00,63.3,63.3,63.1,63.1,880.53862935,55579.36507913
2026-05-15 05:15:00,63.0,63.0,62.9,62.9,40380.27289225,2543949.27575659
2026-05-15 05:30:00,62.8,62.9,62.8,62.9,16005.23829236,1006716.94718753
2026-05-15 05:45:00,62.8,62.9,62.8,62.9,24759.57186532,1555656.73138354
2026-05-15 06:00:00,62.9,62.9,62.9,62.9,1147.66295703,72187.99999719
2026-05-15 06:15:00,62.8,62.8,62.6,62.6,17600.62402496,1101923.8454025
2026-05-15 06:30:00,62.9,62.9,62.8,62.8,1783.312912,111999.9999992
2026-05-15 07:00:00,62.9,63.4,62.8,63.4,96175.64357086,6080287.71184932
2026-05-15 07:15:00,63.0,63.4,63.0,63.4,18319.67745078,1159183.47608415
2026-05-15 07:30:00,63.3,63.4,63.3,63.4,11894.13518791,753658.17091349
2026-05-15 07:45:00,63.2,63.4,63.2,63.4,664.18152301,41992.04512489
2026-05-15 08:15:00,63.3,63.4,63.3,63.4,12618.29652996,798954.81164875
2026-05-15 08:30:00,63.3,63.3,63.3,63.3,1577.28706624,99842.27129299
2026-05-15 08:45:00,63.3,63.3,63.3,63.3,1579.77883096,99999.99999977
2026-05-15 09:00:00,63.3,63.3,63.0,63.1,108534.56312354,6861188.82119179
2026-05-15 09:15:00,63.0,63.0,63.0,63.0,5840.3151489,367939.8543807
2026-05-15 09:30:00,63.0,63.4,63.0,63.4,165303.96712464,10440354.92888541
2026-05-15 09:45:00,63.4,63.4,63.4,63.4,23997.78873969,1521459.80609635
2026-05-15 10:00:00,63.2,63.5,63.2,63.5,11876.49959382,750618.40110108
2026-05-15 10:15:00,63.2,63.2,62.9,63.0,111782.16292464,7041101.32113582
2026-05-15 10:30:00,62.9,63.0,62.7,62.9,66345.36477984,4166483.83019118
2026-05-15 10:45:00,63.1,63.1,63.1,63.1,79.23930269,4999.99999974
2026-05-15 11:00:00,63.0,63.2,63.0,63.2,12042.68555853,759585.05902676
2026-05-15 11:15:00,63.1,63.1,62.9,62.9,94819.37683792,5968798.7741958
2026-05-15 11:30:00,63.0,63.0,62.9,62.9,14269.16438063,897646.90812119
2026-05-15 11:45:00,63.0,63.0,62.8,62.8,30301.64433935,1908057.689908
