,open,high,low,close,volume,value
2026-05-11 05:00:00,277.0,277.0,276.0,276.0,7458.2752684,2065245.0089833
2026-05-11 05:15:00,276.0,276.0,275.0,276.0,100728.37466339,27761851.85009258
2026-05-11 05:30:00,276.0,276.0,274.0,274.0,41146.61568081,11320968.01733068
2026-05-11 05:45:00,274.0,274.0,272.0,274.0,55751.44976316,15228442.06468018
2026-05-11 06:00:00,274.0,274.0,274.0,274.0,423.050954,115915.961396
2026-05-11 06:15:00,274.0,274.0,274.0,274.0,7384.62956204,2023388.49999896
2026-05-11 06:30:00,275.0,276.0,275.0,276.0,238.18620894,65718.86226744
2026-05-11 06:45:00,276.0,276.0,273.0,274.0,4652.61186343,1278275.50565228
2026-05-11 07:00:00,274.0,274.0,274.0,274.0,22236.09622589,6092690.36589386
2026-05-11 07:15:00,274.0,274.0,274.0,274.0,43430.78456671,11900034.97127854
2026-05-11 07:30:00,275.0,275.0,275.0,275.0,9076.21315675,2495958.61810625
2026-05-11 07:45:00,276.0,276.0,276.0,276.0,1684.48384501,464917.54122276
2026-05-11 08:00:00,276.0,276.0,275.0,275.0,53193.10001905,14676029.23209994
2026-05-11 08:15:00,276.0,276.0,275.0,276.0,16253.76753036,4472612.57348403
2026-05-11 08:30:00,276.0,276.0,275.0,276.0,26891.99943994,7398921.88532579
2026-05-11 08:45:00,276.0,276.0,275.0,275.0,1755.42351969,483677.32952979
2026-05-11 09:00:00,276.0,276.0,276.0,276.0,34161.92145429,9428690.32138404
2026-05-11 09:15:00,276.0,282.0,276.0,281.0,1526107.93860216,426354266.7141934
2026-05-11 09:30:00,281.0,289.0,280.0,283.0,2450781.84677353,697409584.4280746
2026-05-11 09:45:00,283.0,284.0,277.0,278.0,1120003.3884603,314075780.83675116
2026-05-11 10:00:00,278.0,281.0,277.0,280.0,297870.81287024,82968344.07669866
2026-05-11 10:15:00,280.0,281.0,278.0,280.0,97760.23497356,27326232.20349264
2026-05-11 10:30:00,280.0,283.0,279.0,282.0,176412.92667533,49458484.15818604
2026-05-11 10:45:00,282.0,283.0,281.0,281.0,151395.75566681,42653943.50373162
2026-05-11 11:00:00,281.0,282.0,281.0,282.0,143733.69164613,40462026.216113
2026-05-11 11:15:00,281.0,282.0,278.0,278.0,172037.02665706,48076876.31856447
2026-05-11 11:30:00,279.0,279.0,276.0,279.0,230217.01793852,63871504.61290194
2026-05-11 11:45:00,279.0,280.0,278.0,278.0,95243.16513223,26505082.23079332
2026-05-11 12:00:00,279.0,279.0,277.0,277.0,209643.77143947,58126708.35314247
2026-05-11 12:15:00,277.0,278.0,275.0,277.0,289775.47332883,80026305.32722934
2026-05-11 12:30:00,275.0,275.0,272.0,275.0,308508.84358305,84551045.32077882
2026-05-11 12:45:00,275.0,276.0,274.0,276.0,23022.90788586,6328449.01940534
2026-05-11 13:00:00,275.0,275.0,274.0,274.0,60784.48782929,16656866.63764833
2026-05-11 13:15:00,274.0,276.0,274.0,275.0,36768.19045814,10099167.13250875
2026-05-11 13:30:00,275.0,276.0,275.0,275.0,33859.35334135,9319515.93243898
2026-05-11 13:45:00,275.0,276.0,275.0,275.0,71583.60121251,19727732.50556165
2026-05-11 14:00:00,275.0,278.0,275.0,277.0,41103.46805297,11381541.63830192
2026-05-11 14:15:00,277.0,278.0,277.0,277.0,17935.52590558,4973002.18608214
2026-05-11 14:30:00,278.0,279.0,277.0,278.0,27093.95841684,7551255.11174107
2026-05-11 14:45:00,278.0,278.0,277.0,278.0,43728.55146015,12124835.02458256
2026-05-11 15:00:00,278.0,278.0,277.0,277.0,8870.00856138,2465833.70906364
2026-05-11 15:15:00,277.0,278.0,277.0,278.0,25738.48275728,7129577.73563706
2026-05-11 15:30:00,277.0,278.0,276.0,276.0,41967.38186789,11606681.4316968
2026-05-11 15:45:00,276.0,276.0,276.0,276.0,26995.16693398,7450666.07377848
2026-05-11 16:15:00,277.0,277.0,277.0,277.0,25878.44671612,7168329.74036524
2026-05-11 16:30:00,276.0,276.0,275.0,276.0,78959.89463159,21781868.9492252
2026-05-11 16:45:00,275.0,276.0,275.0,276.0,32701.54038867,9025443.14727292
