,open,high,low,close,volume,value
2026-05-14 11:30:00,195.0,196.0,195.0,196.0,1761.94593791,343689.45789245
2026-05-14 11:45:00,195.0,195.0,194.0,195.0,28288.16188336,5504678.41156036
2026-05-14 12:00:00,195.0,195.0,193.0,193.0,270150.72965657,52354752.63580572
2026-05-14 12:15:00,193.0,193.0,190.0,192.0,346219.93061547,66344363.66222077
2026-05-14 12:30:00,192.0,192.0,189.0,191.0,115131.29450242,21951328.76885008
2026-05-14 12:45:00,191.0,191.0,189.0,189.0,65554.52021438,12458757.43729353
2026-05-14 13:00:00,190.0,192.0,190.0,192.0,7930.4783316,1507832.54967066
2026-05-14 13:15:00,192.0,193.0,192.0,193.0,3497.33663526,672678.96263785
2026-05-14 13:30:00,193.0,193.0,193.0,193.0,3166.0236916,611042.5724788
2026-05-14 13:45:00,193.0,195.0,193.0,195.0,149299.53640291,28956852.59053403
2026-05-14 14:00:00,195.0,195.0,194.0,195.0,99741.13251517,19449351.72993009
2026-05-14 14:15:00,196.0,197.0,196.0,197.0,312367.02399365,61304424.59282048
2026-05-14 14:30:00,197.0,198.0,197.0,197.0,257763.03202451,50837815.83454035
2026-05-14 14:45:00,197.0,198.0,197.0,197.0,37464.81461117,7380620.29658231
2026-05-14 15:00:00,197.0,197.0,196.0,197.0,175934.80157216,34631758.86712007
2026-05-14 15:15:00,197.0,198.0,197.0,197.0,691.98980234,136544.49706098
2026-05-14 15:30:00,197.0,199.0,197.0,197.0,4979.62166035,985172.4946308
2026-05-14 15:45:00,197.0,198.0,196.0,197.0,56026.46158307,11022873.90015236
2026-05-14 16:00:00,197.0,197.0,196.0,197.0,39727.46027727,7815989.83464711
2026-05-14 16:15:00,197.0,198.0,196.0,197.0,6230.27847775,1226587.00775796
2026-05-14 16:30:00,197.0,199.0,196.0,199.0,19209.9814784,3775583.65403035
2026-05-14 16:45:00,199.0,199.0,198.0,198.0,51741.26035313,10275048.08769666
2026-05-14 17:00:00,197.0,197.0,196.0,196.0,46799.78517115,9179305.86181312
2026-05-14 17:15:00,196.0,197.0,196.0,197.0,25472.00615511,5016908.48591914
2026-05-14 17:30:00,196.0,197.0,196.0,197.0,3669.91924268,722896.60479133
2026-05-14 17:45:00,197.0,197.0,196.0,196.0,2455.00232472,483602.84343599
2026-05-14 18:00:00,196.0,196.0,196.0,196.0,3967.74708663,777678.42897948
2026-05-14 18:15:00,197.0,198.0,197.0,197.0,75796.43151655,14931947.51381085
2026-05-14 18:30:00,197.0,198.0,197.0,197.0,23541.88663561,4637801.4781306
2026-05-14 18:45:00,196.0,196.0,195.0,196.0,19765.09807026,3855665.46778708
2026-05-14 19:00:00,195.0,197.0,195.0,197.0,51770.47466548,10154055.85316429
2026-05-14 19:15:00,197.0,198.0,197.0,197.0,37275.34124279,7344252.32583973
2026-05-14 19:30:00,198.0,200.0,198.0,199.0,55044.67724619,11000073.7454288
2026-05-14 19:45:00,199.0,199.0,198.0,199.0,354.72613065,70432.99999935
2026-05-14 20:00:00,199.0,201.0,199.0,200.0,60868.29141806,12177610.24935458
2026-05-14 20:15:00,199.0,199.0,197.0,197.0,149615.16532027,29701499.61621528
2026-05-14 20:30:00,198.0,198.0,197.0,197.0,11906.70167748,2345719.41319542
2026-05-14 20:45:00,197.0,198.0,196.0,198.0,37715.37471515,7402005.84386524
2026-05-14 21:00:00,197.0,198.0,197.0,198.0,2970.19646336,585618.22127543
2026-05-14 21:15:00,199.0,199.0,199.0,199.0,5841.32160803,1162422.99999797
2026-05-14 21:30:00,198.0,199.0,198.0,198.0,101242.81069611,20095245.85524852
2026-05-14 21:45:00,198.0,201.0,198.0,201.0,221263.2342011,44326309.82043909
2026-05-14 22:00:00,201.0,201.0,199.0,199.0,51078.91825511,10239333.68747315
2026-05-14 22:15:00,199.0,200.0,198.0,198.0,181301.97375551,36124237.0181299
2026-05-14 22:30:00,198.0,200.0,197.0,198.0,100573.41309293,19914285.1651615
2026-05-14 22:45:00,199.0,201.0,199.0,200.0,66767.53894073,13399910.15201418
2026-05-14 23:00:00,199.0,201.0,199.0,200.0,132778.77871709,26458541.44733561
2026-05-14 23:15:00,200.0,202.0,200.0,201.0,46576.82083561,9353768.03788335
2026-05-14 23:30:00,200.0,202.0,200.0,201.0,119305.38828629,24043934.96643197
2026-05-14 23:45:00,202.0,203.0,202.0,203.0,112823.80914224,22873059.26693743
2026-05-15 00:00:00,202.0,202.0,201.0,202.0,109843.10377465,22128331.48272412
2026-05-15 00:15:00,202.0,203.0,202.0,203.0,246.79315222,49999.99999967
2026-05-15 00:30:00,203.0,203.0,202.0,202.0,30528.94803045,6169910.63022971
2026-05-15 00:45:00,201.0,204.0,201.0,204.0,68459.80964449,13912600.3389856
2026-05-15 01:00:00,202.0,203.0,202.0,202.0,270018.69706179,54543888.78677714
2026-05-15 01:15:00,202.0,202.0,200.0,200.0,22645.87466416,4553064.28758425
2026-05-15 01:30:00,201.0,201.0,200.0,201.0,8715.63558873,1748779.62525592
2026-05-15 01:45:00,200.0,200.0,200.0,200.0,48688.27743873,9737655.487746
2026-05-15 02:00:00,202.0,202.0,201.0,202.0,4375.0,882700.0
2026-05-15 02:15:00,200.0,200.0,200.0,200.0,150.0,30000.0
2026-05-15 02:30:00,201.0,201.0,201.0,201.0,340.073,68354.673
2026-05-15 02:45:00,202.0,202.0,202.0,202.0,39.60396039,7999.99999878
2026-05-15 03:00:00,200.0,201.0,200.0,201.0,6749.9205,1351285.599
2026-05-15 03:15:00,201.0,201.0,200.0,200.0,140076.0,28081534.7353269
2026-05-15 03:45:00,201.0,202.0,200.0,202.0,36532.24008627,7357520.280254
2026-05-15 04:00:00,202.0,202.0,202.0,202.0,62666.48364264,12658629.69581328
2026-05-15 04:15:00,201.0,201.0,200.0,200.0,41624.34099039,8326118.198078
2026-05-15 04:30:00,200.0,200.0,200.0,200.0,7683.06263658,1536612.527316
2026-05-15 04:45:00,200.0,200.0,200.0,200.0,13223.10895793,2644621.791586
2026-05-15 05:00:00,200.0,200.0,199.0,199.0,46080.54898349,9215832.73097288
2026-05-15 05:15:00,198.0,198.0,198.0,198.0,46184.5806841,9144546.9754518
2026-05-15 05:30:00,198.0,198.0,197.0,197.0,4776.90881698,942289.17575312
2026-05-15 05:45:00,198.0,198.0,198.0,198.0,9786.248,1937677.104
2026-05-15 06:15:00,198.0,198.0,198.0,198.0,81854.63060991,16207216.86076218
2026-05-15 06:30:00,199.0,199.0,198.0,198.0,40025.88632816,7965023.96724355
2026-05-15 06:45:00,198.0,199.0,198.0,199.0,4969.58467599,988847.35052201
2026-05-15 07:00:00,199.0,200.0,199.0,200.0,15192.83954879,3023450.01644335
2026-05-15 07:15:00,200.0,200.0,200.0,200.0,50.0,10000.0
2026-05-15 07:30:00,201.0,201.0,201.0,201.0,5090.74511842,1023239.76880242
2026-05-15 07:45:00,201.0,201.0,200.0,201.0,48841.71631674,9813054.33278439
2026-05-15 08:00:00,201.0,201.0,200.0,200.0,109840.73324914,21971831.76174366
2026-05-15 08:15:00,200.0,200.0,200.0,200.0,13725.32554849,2745065.109698
2026-05-15 08:30:00,201.0,202.0,201.0,202.0,36657.08370858,7387487.58027317
2026-05-15 08:45:00,201.0,201.0,200.0,200.0,83592.8637804,16781746.68139887
2026-05-15 09:00:00,200.0,202.0,200.0,202.0,54644.53407471,10930107.01840089
2026-05-15 09:15:00,201.0,201.0,200.0,200.0,132969.13639861,26627865.84635408
2026-05-15 09:30:00,200.0,201.0,199.0,199.0,51207.30707391,10219808.89931718
2026-05-15 09:45:00,199.0,200.0,199.0,199.0,50983.22085253,10145711.13248284
2026-05-15 10:00:00,199.0,200.0,198.0,198.0,213798.09881188,42485110.79826527
2026-05-15 10:15:00,198.0,199.0,198.0,199.0,17332.38166677,3444042.94158621
2026-05-15 10:30:00,198.0,198.0,197.0,198.0,316866.84458949,62493133.90243861
2026-05-15 10:45:00,198.0,199.0,198.0,198.0,109147.26972478,21611185.03364714
2026-05-15 11:00:00,198.0,198.0,196.0,196.0,14132.62986896,2796862.37482028
2026-05-15 11:15:00,196.0,196.0,196.0,196.0,10932.2221488,2142715.5411648
2026-05-15 11:30:00,196.0,197.0,196.0,197.0,35142.67987323,6888197.67615308
2026-05-15 11:45:00,198.0,199.0,198.0,198.0,49491.07362362,9799528.12347676
2026-05-15 12:00:00,197.0,197.0,197.0,197.0,2199.155,433233.535
2026-05-15 12:30:00,196.0,196.0,195.0,196.0,2910.17294237,568046.47886415
2026-05-15 12:45:00,195.0,195.0,195.0,195.0,4105.82844896,800636.5475472
2026-05-15 13:00:00,195.0,195.0,195.0,195.0,32105.8773685,6260646.0868575
2026-05-15 13:15:00,195.0,195.0,194.0,194.0,1847.21184279,360171.30934405
2026-05-15 13:30:00,194.0,194.0,193.0,194.0,42198.56950493,8185768.46405593
2026-05-15 13:45:00,194.0,194.0,193.0,193.0,40472.977,7811757.538
2026-05-15 14:00:00,193.0,194.0,192.0,194.0,59942.28607359,11541291.59599938
2026-05-15 14:15:00,194.0,194.0,193.0,193.0,1678.94780914,325052.39108154
2026-05-15 14:30:00,193.0,193.0,190.0,190.0,120395.68219695,22986646.29032179
2026-05-15 14:45:00,190.0,191.0,190.0,191.0,72171.77556808,13749755.67850064
2026-05-15 15:00:00,191.0,191.0,191.0,191.0,5591.44161659,1067965.34876869
2026-05-15 15:15:00,191.0,191.0,190.0,191.0,18441.50155069,3514655.00688362
2026-05-15 15:30:00,192.0,192.0,192.0,192.0,56599.03135874,10867014.02087808
2026-05-15 15:45:00,192.0,192.0,192.0,192.0,79.83442833,15328.21023936
2026-05-15 16:15:00,193.0,194.0,193.0,194.0,19520.46902085,3770823.35363744
2026-05-15 16:30:00,194.0,194.0,193.0,194.0,3830.52773354,740531.70673163
2026-05-15 17:00:00,193.0,193.0,192.0,193.0,6704.94047246,1293081.47220428
2026-05-15 17:15:00,192.0,192.0,191.0,191.0,29451.95990274,5645511.04435765
2026-05-15 17:30:00,191.0,191.0,191.0,191.0,10079.85476065,1925252.25928415
2026-05-15 17:45:00,191.0,191.0,191.0,191.0,69603.15358859,13294202.33542069
2026-05-15 18:00:00,192.0,192.0,192.0,192.0,22870.50517615,4391136.9938208
2026-05-15 18:15:00,192.0,192.0,192.0,192.0,84079.77121852,16143316.07395584
2026-05-15 18:30:00,193.0,193.0,192.0,193.0,6799.3845826,1312083.63727209
2026-05-15 18:45:00,193.0,194.0,192.0,192.0,71124.52233247,13717847.60641273
2026-05-15 19:00:00,193.0,194.0,193.0,193.0,42952.03827948,8290714.30693964
2026-05-15 19:15:00,192.0,192.0,192.0,192.0,12373.98738591,2375805.57809472
2026-05-15 19:30:00,192.0,194.0,192.0,193.0,725.12037407,139947.42424488
2026-05-15 19:45:00,194.0,195.0,193.0,195.0,2102.78798425,407940.02998573
2026-05-15 20:00:00,194.0,194.0,193.0,194.0,3119.85698338,605204.14679234
2026-05-15 20:15:00,193.0,193.0,193.0,193.0,26006.73575129,5019299.99999897
2026-05-15 20:30:00,193.0,193.0,193.0,193.0,3621.62401318,698973.43454374
2026-05-15 21:00:00,192.0,192.0,192.0,192.0,63931.06918404,12274765.28333568
2026-05-15 21:15:00,192.0,192.0,192.0,192.0,39658.50357015,7614432.6854688
2026-05-15 21:30:00,193.0,193.0,193.0,193.0,313.448,60495.464
2026-05-15 21:45:00,191.0,191.0,191.0,191.0,493.09183791,94180.54104081
2026-05-15 22:00:00,191.0,191.0,190.0,191.0,64687.03011894,12293017.67779387
2026-05-15 22:15:00,190.0,190.0,190.0,190.0,15489.94925417,2943090.3582923
2026-05-15 22:30:00,189.0,189.0,185.0,186.0,270634.48838529,50614419.14674834
2026-05-15 22:45:00,185.0,186.0,182.0,183.0,190895.14089797,35046008.61995515
2026-05-15 23:00:00,182.0,185.0,182.0,185.0,45179.02240439,8280655.61113791
2026-05-15 23:15:00,185.0,185.0,184.0,184.0,33027.66551161,6101927.88978277
2026-05-15 23:30:00,185.0,185.0,185.0,185.0,7241.35933732,1339651.4774042
2026-05-15 23:45:00,185.0,185.0,185.0,185.0,5585.8882162,1033389.319997
2026-05-16 00:00:00,185.0,185.0,185.0,185.0,5102.41222977,943946.26250745
2026-05-16 00:15:00,185.0,185.0,185.0,185.0,266.348,49274.38
2026-05-16 00:30:00,185.0,185.0,185.0,185.0,18226.28634635,3371862.97407475
2026-05-16 00:45:00,184.0,185.0,184.0,185.0,2270.27027027,417783.78378373
2026-05-16 01:00:00,185.0,185.0,185.0,185.0,7917.03358641,1464651.21348585
2026-05-16 01:15:00,186.0,186.0,186.0,186.0,1986.04586216,369404.53036176
2026-05-16 01:30:00,187.0,187.0,187.0,187.0,683.589,127831.143
2026-05-16 01:45:00,187.0,187.0,186.0,186.0,10523.91977414,1959237.22947535
2026-05-16 02:00:00,187.0,187.0,187.0,187.0,38.8083,7257.1521
2026-05-16 02:15:00,187.0,187.0,187.0,187.0,5097.3262032,953199.9999984
2026-05-16 02:30:00,187.0,187.0,187.0,187.0,10327.33,1931210.71
2026-05-16 02:45:00,188.0,189.0,188.0,189.0,371.66494672,69925.84498336
2026-05-16 03:15:00,188.0,188.0,188.0,188.0,324.33862434,60975.66137592
2026-05-16 03:45:00,188.0,189.0,188.0,189.0,64.30417127,12120.9302305
2026-05-16 04:00:00,188.0,188.0,187.0,187.0,4893.95388959,918223.51317454
2026-05-16 04:15:00,189.0,189.0,189.0,189.0,58.2010582,10999.9999998
2026-05-16 05:00:00,187.0,187.0,187.0,187.0,106.95187164,19999.99999668
2026-05-16 05:15:00,186.0,186.0,186.0,186.0,120872.84547117,22482349.25763762
2026-05-16 06:00:00,187.0,187.0,187.0,187.0,983.31686385,183880.25353995
2026-05-16 06:15:00,187.0,187.0,187.0,187.0,170.999,31976.813
2026-05-16 06:30:00,187.0,187.0,187.0,187.0,465.569,87061.403
2026-05-16 06:45:00,187.0,188.0,187.0,187.0,20956.72727272,3918937.99999864
2026-05-16 07:15:00,187.0,187.0,187.0,187.0,536.92939626,100405.79710062
2026-05-16 07:30:00,187.0,187.0,186.0,186.0,79.54143692,14821.49871097
2026-05-16 07:45:00,186.0,187.0,186.0,187.0,3151.00098973,588918.35513279
2026-05-16 08:00:00,187.0,187.0,186.0,186.0,58350.4218077,10911106.34282863
2026-05-16 08:15:00,187.0,187.0,187.0,187.0,17632.88770052,3297349.99999724
2026-05-16 09:00:00,187.0,188.0,187.0,187.0,20877.639399,3904271.75910236
2026-05-16 09:15:00,188.0,189.0,187.0,189.0,49547.49452731,9340515.9653192
2026-05-16 09:30:00,189.0,190.0,189.0,190.0,31081.6721067,5888708.07096068
2026-05-16 09:45:00,189.0,190.0,189.0,190.0,27555.48945222,5208128.82225905
2026-05-16 10:00:00,189.0,190.0,189.0,190.0,21561.80592648,4087909.8449904
2026-05-16 10:15:00,189.0,190.0,189.0,190.0,12103.91325786,2287745.97415659
2026-05-16 10:30:00,190.0,190.0,190.0,190.0,2074.60526315,394174.9999985
2026-05-16 10:45:00,189.0,190.0,189.0,190.0,44742.36532258,8474207.30602705
2026-05-16 11:00:00,190.0,191.0,190.0,191.0,28809.03676968,5473774.9862392
2026-05-16 11:15:00,190.0,191.0,190.0,190.0,19488.73357059,3704874.42777223
2026-05-16 11:30:00,190.0,190.0,189.0,190.0,9312.56874949,1765862.17035567
2026-05-16 11:45:00,190.0,191.0,189.0,191.0,213299.4002179,40486397.9307488
2026-05-16 12:00:00,191.0,191.0,190.0,190.0,32632.51693045,6200884.97071209
2026-05-16 12:15:00,190.0,190.0,190.0,190.0,26.32105263,5000.9999997
2026-05-16 12:30:00,189.0,190.0,189.0,190.0,362480.80779877,68831132.8586109
2026-05-16 12:45:00,190.0,190.0,190.0,190.0,5463.31707487,1038030.2442253
2026-05-16 13:00:00,190.0,190.0,189.0,189.0,9062.63157894,1712889.9999986
2026-05-16 13:15:00,189.0,189.0,188.0,188.0,61383.86107374,11574722.37605632
2026-05-16 13:30:00,187.0,187.0,186.0,187.0,24441.56202167,4569983.86275829
2026-05-16 13:45:00,187.0,187.0,187.0,187.0,35699.02973167,6675718.55982229
2026-05-16 14:00:00,187.0,187.0,187.0,187.0,16073.81204866,3005802.85309942
2026-05-16 14:15:00,188.0,188.0,188.0,188.0,47822.51795215,8990633.3750042
2026-05-16 14:30:00,187.0,187.0,187.0,187.0,21707.10236485,4059228.14222695
2026-05-16 14:45:00,187.0,188.0,186.0,187.0,12264.25267837,2282837.31216984
2026-05-16 15:00:00,186.0,186.0,186.0,186.0,12517.04663043,2328170.67325998
2026-05-16 15:15:00,185.0,185.0,184.0,185.0,131336.68862439,24286209.75754854
2026-05-16 15:30:00,184.0,185.0,183.0,185.0,129928.79495195,23906981.80584738
2026-05-16 15:45:00,185.0,185.0,183.0,184.0,159360.55168785,29315924.63242874
2026-05-16 16:00:00,183.0,183.0,181.0,181.0,101903.06887516,18519888.83539486
2026-05-16 16:15:00,181.0,181.0,179.0,181.0,282764.31068847,50789882.2704723
