,open,high,low,close,volume,value
2026-06-23 14:00:00,664.0,690.0,660.0,676.0,18859748.192699,12792809703.964314
2026-06-23 14:15:00,677.0,683.0,592.0,635.0,17448503.7420693,11122295812.333658
2026-06-23 14:30:00,634.0,656.0,615.0,646.0,6537360.79087178,4142339093.9994264
2026-06-23 14:45:00,645.0,650.0,623.0,632.0,3910445.76245342,2479526972.025733
2026-06-23 15:00:00,632.0,632.0,604.0,619.0,4764571.51956956,2952863377.9940805
2026-06-23 15:15:00,619.0,628.0,610.0,613.0,2828457.20704016,1747872075.9315188
2026-06-23 15:30:00,612.0,622.0,599.0,612.0,2490459.25347096,1521165850.7808602
2026-06-23 15:45:00,612.0,619.0,595.0,605.0,3033896.6118348,1839410567.5476239
2026-06-23 16:00:00,604.0,615.0,603.0,613.0,1493754.46533909,910869032.4084731
2026-06-23 16:15:00,613.0,630.0,608.0,627.0,1970740.48292423,1222586531.0413477
2026-06-23 16:30:00,628.0,650.0,618.0,639.0,3716250.2415238,2361761952.757503
2026-06-23 16:45:00,639.0,662.0,639.0,652.0,5363829.71242837,3494638218.0861945
2026-06-23 17:00:00,651.0,665.0,623.0,642.0,6254033.15909705,4048187172.019255
2026-06-23 17:15:00,642.0,647.0,626.0,633.0,2030153.98051789,1290360307.177898
2026-06-23 17:30:00,632.0,635.0,610.0,620.0,3633922.18797685,2251025274.795007
2026-06-23 17:45:00,621.0,625.0,606.0,612.0,2074612.81045485,1279267435.1476362
2026-06-23 18:00:00,611.0,620.0,607.0,613.0,2099794.62570037,1289072775.8086379
2026-06-23 18:15:00,614.0,615.0,602.0,607.0,2363250.99701978,1434613013.6925569
2026-06-23 18:30:00,606.0,618.0,604.0,608.0,1369354.15128481,835608990.8422692
2026-06-23 18:45:00,608.0,609.0,596.0,596.0,2910459.98375957,1752320560.153136
2026-06-23 19:00:00,596.0,603.0,584.0,590.0,4293044.0432146,2547254836.12446
2026-06-23 19:15:00,590.0,598.0,566.0,571.0,6247117.68070933,3593564287.8462667
2026-06-23 19:30:00,570.0,582.0,569.0,578.0,2421306.68946389,1394600579.4349277
2026-06-23 19:45:00,578.0,586.0,558.0,561.0,5380245.86945492,3052486787.0465345
2026-06-23 20:00:00,561.0,568.0,554.0,560.0,3930243.64534133,2204343549.7039933
2026-06-23 20:15:00,560.0,565.0,543.0,552.0,6513381.64222698,3592062670.1886983
2026-06-23 20:30:00,552.0,556.0,544.0,548.0,4369376.73566272,2399486674.2527823
2026-06-23 20:45:00,548.0,558.0,547.0,554.0,2935036.43056016,1620288463.816426
2026-06-23 21:00:00,553.0,560.0,548.0,550.0,2935436.82717528,1621494932.052224
2026-06-23 21:15:00,550.0,554.0,533.0,537.0,4066354.26822271,2220011077.2421403
