,open,high,low,close,volume,value
2026-05-10 20:00:00,13.8,13.8,13.8,13.8,100000.0,1380000.0
2026-05-10 20:15:00,13.8,13.8,13.8,13.8,28125.79217637,388135.93203391
2026-05-10 20:45:00,13.7,13.8,13.7,13.7,153185.82402974,2109515.35442483
2026-05-10 21:00:00,13.8,13.8,13.7,13.7,55373.63296035,760786.3906458
2026-05-10 21:15:00,13.7,13.7,13.7,13.7,95223.0,1304555.1
2026-05-10 21:30:00,13.8,13.8,13.7,13.7,208495.08123166,2862780.41722157
2026-05-10 21:45:00,13.8,13.8,13.8,13.8,5154.38641542,71130.5325328
2026-05-10 22:00:00,13.9,13.9,13.9,13.9,387948.47180726,5392483.75812091
2026-05-10 22:15:00,13.9,13.9,13.9,13.9,5755.39568345,79999.99999996
2026-05-10 22:30:00,13.9,13.9,13.9,13.9,13157.05755395,182883.09999991
2026-05-10 22:45:00,13.8,13.9,13.8,13.9,458609.58871184,6330261.59958571
2026-05-10 23:00:00,13.9,13.9,13.8,13.8,7680.35571542,106708.33333323
2026-05-10 23:15:00,13.8,13.8,13.8,13.8,19902.11825724,274649.23194991
2026-05-10 23:30:00,13.8,13.8,13.8,13.8,167416.79195421,2310351.7289681
2026-05-11 00:00:00,13.7,13.9,13.7,13.9,92031.65619557,1279159.37595713
2026-05-11 00:15:00,13.9,13.9,13.9,13.9,3597.12230215,49999.99999989
2026-05-11 00:45:00,13.9,13.9,13.9,13.9,366.90647482,5100.0
2026-05-11 01:00:00,13.9,14.0,13.9,13.9,117261.5757059,1637544.21956053
2026-05-11 01:15:00,13.9,13.9,13.9,13.9,70921.9858156,985815.60283684
2026-05-11 01:45:00,13.9,13.9,13.8,13.8,387948.47180726,5361107.80283536
2026-05-11 02:00:00,14.0,14.0,13.9,13.9,51053.42857142,709999.79999988
2026-05-11 02:15:00,13.8,14.0,13.8,14.0,52209.20195271,720712.99999981
2026-05-11 02:30:00,14.0,14.0,14.0,14.0,21217.64285713,297046.99999982
2026-05-11 03:00:00,14.0,14.0,13.9,13.9,20000.0,279000.0
2026-05-11 03:15:00,13.9,13.9,13.9,13.9,10000.0,139000.0
2026-05-11 03:30:00,14.0,14.0,14.0,14.0,63464.71428571,888505.99999994
2026-05-11 03:45:00,14.0,14.0,14.0,14.0,107035.76783037,1498500.74962518
2026-05-11 04:00:00,13.9,13.9,13.8,13.9,167178.19879505,2317776.9632512
2026-05-11 04:15:00,14.0,14.0,13.9,13.9,2147.99588901,30000.0000001
2026-05-11 04:30:00,14.0,14.0,13.8,13.8,11739.30670874,164002.43258061
2026-05-11 04:45:00,13.9,13.9,13.9,13.9,26864.0,373409.6
2026-05-11 05:00:00,13.9,13.9,13.9,13.9,10734.84069885,149214.28571402
2026-05-11 05:15:00,13.9,13.9,13.9,13.9,198110.24709946,2753732.43468249
2026-05-11 05:30:00,13.8,13.8,13.7,13.8,46178.17410675,635967.73838421
2026-05-11 05:45:00,13.7,13.8,13.7,13.8,240207.54379257,3313825.60013747
2026-05-11 06:00:00,13.8,13.8,13.8,13.8,363.04347826,5009.99999999
2026-05-11 06:15:00,13.8,13.8,13.8,13.8,38638.57926109,533212.39380304
2026-05-11 06:30:00,13.8,13.9,13.8,13.9,283353.08324767,3938250.71428547
2026-05-11 06:45:00,13.9,13.9,13.9,13.9,1494.3607333,20771.61419287
2026-05-11 07:00:00,13.8,13.9,13.8,13.8,90535.49038844,1250037.26736047
2026-05-11 07:15:00,13.9,13.9,13.9,13.9,82659.89307504,1148972.51374306
2026-05-11 07:30:00,13.9,14.0,13.8,13.8,46860.3731087,650570.27120222
2026-05-11 07:45:00,13.9,13.9,13.9,13.9,134350.72867163,1867475.12853566
2026-05-11 08:00:00,13.9,14.0,13.9,14.0,58474.89583104,818648.54133717
2026-05-11 08:15:00,14.0,14.0,14.0,14.0,7588.77704004,106242.87856056
2026-05-11 08:30:00,14.0,14.0,14.0,14.0,278588.99734056,3900245.96276784
2026-05-11 08:45:00,14.0,14.0,13.9,14.0,293366.29581789,4100996.23807699
2026-05-11 09:00:00,14.0,14.0,14.0,14.0,715665.55624035,10019317.7873649
2026-05-11 09:15:00,14.0,14.0,13.8,14.0,433789.44159976,6051078.81470201
2026-05-11 09:30:00,14.0,14.0,13.9,13.9,303465.98855904,4248423.83982656
2026-05-11 09:45:00,14.0,14.0,13.9,13.9,1336871.26118338,18583938.03098443
2026-05-11 10:00:00,13.9,13.9,13.9,13.9,187942.44604317,2612400.00000006
2026-05-11 10:30:00,14.0,14.0,14.0,14.0,7064.25358749,98899.55022486
2026-05-11 10:45:00,14.0,14.0,14.0,14.0,7142.85714285,99999.9999999
2026-05-11 11:00:00,13.9,13.9,13.9,13.9,540810.10791365,7517260.49999974
2026-05-11 11:15:00,13.8,13.8,13.8,13.8,437.95620437,6043.79562031
2026-05-11 11:30:00,13.8,13.8,13.7,13.7,534042.88250232,7341813.61306439
2026-05-11 11:45:00,13.7,13.7,13.7,13.7,48723.47953362,667511.66961059
2026-05-11 12:00:00,13.8,13.8,13.7,13.7,488056.96728741,6686416.71995346
2026-05-11 12:15:00,13.6,13.8,13.6,13.8,44770.05042201,611204.58402367
2026-05-11 12:30:00,13.6,13.6,13.6,13.6,202273.98666442,2750926.21863611
2026-05-11 12:45:00,13.7,13.8,13.7,13.8,205362.39130434,2813500.99999989
2026-05-11 13:00:00,13.7,13.7,13.6,13.6,38638.57926109,525521.18160046
2026-05-11 13:15:00,13.7,13.7,13.7,13.7,31094.85221918,425999.47540277
2026-05-11 13:30:00,13.7,13.7,13.7,13.7,12886.47682436,176544.73249373
2026-05-11 14:00:00,13.8,13.8,13.8,13.8,655622.47861576,9047590.20489749
2026-05-11 14:15:00,13.7,13.8,13.7,13.8,371982.52498441,5126496.2675145
2026-05-11 14:30:00,13.8,13.8,13.7,13.7,147678.74212418,2037103.34131368
2026-05-11 14:45:00,13.8,13.8,13.8,13.8,33979.42028985,468915.99999993
2026-05-11 15:00:00,13.8,13.8,13.7,13.7,101000.0,1383800.0
2026-05-11 15:15:00,13.7,13.8,13.7,13.8,75712.33954451,1044505.42857138
