,open,high,low,close,volume,value
2026-05-17 16:15:00,8.93,8.94,8.91,8.91,527933.75801602,4712233.99994582
2026-05-17 16:30:00,8.93,8.95,8.91,8.94,1062599.90803874,9499010.9113422
2026-05-17 16:45:00,8.96,8.96,8.93,8.94,490168.448013,4382103.35687211
2026-05-17 17:00:00,8.94,8.95,8.94,8.94,50766.36047928,453862.44836709
2026-05-17 17:15:00,8.95,8.95,8.91,8.91,667721.99396815,5963150.80059937
2026-05-17 17:30:00,8.92,8.93,8.91,8.91,712215.70385207,6354940.00631199
2026-05-17 17:45:00,8.94,8.94,8.9,8.9,646873.78062809,5769465.51086484
2026-05-17 18:00:00,8.9,8.9,8.87,8.89,913707.09435928,8109302.12386065
2026-05-17 18:15:00,8.87,8.88,8.87,8.88,646604.71355306,5736902.21815986
2026-05-17 18:30:00,8.87,8.88,8.86,8.88,393792.31683258,3492929.70995049
2026-05-17 18:45:00,8.88,8.89,8.88,8.89,246660.1453827,2190353.00923079
2026-05-17 19:00:00,8.9,8.95,8.9,8.94,2863197.13597119,25583071.14492771
2026-05-17 19:15:00,8.95,8.97,8.94,8.94,621233.53600147,5559288.84797384
2026-05-17 19:30:00,8.94,8.94,8.9,8.9,1113630.91330359,9933485.32228775
2026-05-17 19:45:00,8.91,8.93,8.9,8.9,2078325.78725519,18503445.20430401
2026-05-17 20:00:00,8.92,8.93,8.89,8.9,2626864.736059,23395047.24063782
2026-05-17 20:15:00,8.88,8.89,8.86,8.86,1129804.1160649,10020005.46292807
2026-05-17 20:30:00,8.86,8.9,8.86,8.9,412209.75937318,3662224.6735608
2026-05-17 20:45:00,8.88,8.89,8.87,8.87,534162.45009567,4743079.42614437
2026-05-17 21:00:00,8.87,8.88,8.86,8.88,3018741.63286422,26760547.43994088
2026-05-17 21:15:00,8.88,8.88,8.86,8.88,46684.92098141,413948.26845605
2026-05-17 21:30:00,8.88,8.88,8.86,8.86,248743.24243655,2208722.58663148
2026-05-17 21:45:00,8.86,8.86,8.79,8.82,8455929.85935582,74564556.69308262
2026-05-17 22:00:00,8.79,8.82,8.79,8.81,1151765.45852361,10147801.11320079
2026-05-17 22:15:00,8.8,8.82,8.78,8.82,3068048.33300804,26979473.4581008
2026-05-17 22:30:00,8.84,8.84,8.83,8.84,164128.32099168,1449270.22015158
