,open,high,low,close,volume,value
2026-05-09 08:30:00,7465.0,7465.0,7465.0,7465.0,403.88534684,3015004.1141606
2026-05-09 08:45:00,7475.0,7475.0,7475.0,7475.0,513.47623292,3838234.841077
2026-05-09 09:00:00,7475.0,7500.0,7470.0,7480.0,1431.51313942,10712141.7995042
2026-05-09 09:15:00,7500.0,7580.0,7500.0,7580.0,4370.90085094,32959459.8257258
2026-05-09 09:30:00,7580.0,7660.0,7570.0,7660.0,6864.65647464,52169613.2986782
2026-05-09 09:45:00,7645.0,7685.0,7625.0,7660.0,10685.0290026,81879435.3545868
2026-05-09 10:00:00,7665.0,7685.0,7650.0,7685.0,2247.80835315,17215117.04482045
2026-05-09 10:15:00,7685.0,7695.0,7620.0,7650.0,10208.29356329,78092822.62387805
2026-05-09 10:30:00,7650.0,7650.0,7615.0,7635.0,2675.57234807,20377865.9057118
2026-05-09 10:45:00,7630.0,7650.0,7625.0,7635.0,1062.32969968,8119223.62082535
2026-05-09 11:00:00,7635.0,7635.0,7610.0,7610.0,262.99840155,2006272.526767
2026-05-09 11:15:00,7610.0,7635.0,7600.0,7630.0,1050.29786525,7985808.8505585
2026-05-09 11:30:00,7620.0,7620.0,7555.0,7555.0,1850.56955359,14035274.10675995
2026-05-09 11:45:00,7555.0,7575.0,7550.0,7550.0,407.31991503,3077647.1859245
2026-05-09 12:00:00,7555.0,7575.0,7555.0,7575.0,96.54460076,729922.511547
2026-05-09 12:15:00,7555.0,7560.0,7535.0,7535.0,1072.62212561,8092284.64022105
2026-05-09 12:30:00,7535.0,7540.0,7515.0,7520.0,1274.00466061,9583430.5167152
2026-05-09 12:45:00,7520.0,7530.0,7515.0,7525.0,429.40175006,3227712.2153187
2026-05-09 13:00:00,7525.0,7540.0,7520.0,7540.0,239.59481818,1803427.2461985
2026-05-09 13:15:00,7540.0,7540.0,7540.0,7540.0,6.63129972,49999.9998888
2026-05-09 13:30:00,7530.0,7535.0,7530.0,7535.0,182.16279483,1371932.6484199
2026-05-09 13:45:00,7535.0,7550.0,7535.0,7550.0,1207.66958605,9111008.2914908
2026-05-09 14:00:00,7555.0,7590.0,7555.0,7575.0,1979.60985696,14994643.1727802
2026-05-09 14:15:00,7565.0,7580.0,7545.0,7580.0,2077.60092368,15733152.21782085
2026-05-09 14:30:00,7580.0,7595.0,7555.0,7595.0,3319.65455575,25106168.8243432
2026-05-09 14:45:00,7580.0,7600.0,7580.0,7600.0,478.40315973,3635167.41620635
2026-05-09 15:00:00,7600.0,7600.0,7575.0,7575.0,145.08401611,1099670.18470495
2026-05-09 15:15:00,7575.0,7585.0,7560.0,7560.0,1816.12804362,13734781.40435645
2026-05-09 15:30:00,7575.0,7575.0,7545.0,7550.0,280.71657813,2120780.28809445
2026-05-09 15:45:00,7550.0,7550.0,7525.0,7550.0,1407.97855325,10615941.44559755
2026-05-09 16:00:00,7550.0,7580.0,7550.0,7570.0,709.56632517,5367400.5853357
2026-05-09 16:15:00,7570.0,7590.0,7560.0,7590.0,18.00006929,136201.8277322
2026-05-09 16:30:00,7590.0,7590.0,7585.0,7585.0,39.5430618,299999.9999058
2026-05-09 16:45:00,7580.0,7580.0,7575.0,7575.0,166.26579437,1260276.12993295
2026-05-09 17:00:00,7575.0,7605.0,7560.0,7605.0,2661.65880323,20165525.37243035
2026-05-09 17:30:00,7605.0,7605.0,7605.0,7605.0,18.56418424,141180.6211452
2026-05-09 17:45:00,7610.0,7610.0,7605.0,7605.0,557.98356508,4244129.92353895
2026-05-09 18:00:00,7580.0,7580.0,7580.0,7580.0,193.11830389,1463836.7434862
