,open,high,low,close,volume,value
2026-05-18 05:15:00,13840.0,13860.0,13820.0,13850.0,413.23632019,5719793.6651983
2026-05-18 05:30:00,13850.0,13850.0,13820.0,13820.0,86.41039844,1196357.7714226
2026-05-18 05:45:00,13840.0,13860.0,13840.0,13850.0,21.69044443,300235.9212754
2026-05-18 06:00:00,13840.0,13840.0,13830.0,13840.0,327.25014612,4525889.1999934
2026-05-18 06:15:00,13850.0,13890.0,13850.0,13890.0,144.88372443,2006654.5855119
2026-05-18 06:30:00,13880.0,13900.0,13870.0,13870.0,952.05007741,13213271.847501
2026-05-18 06:45:00,13880.0,13900.0,13860.0,13880.0,614.16290855,8524709.0246097
2026-05-18 07:00:00,13840.0,13850.0,13780.0,13810.0,3846.41263732,53104126.5899414
2026-05-18 07:15:00,13810.0,13810.0,13760.0,13760.0,244.65080762,3371340.7484744
2026-05-18 07:30:00,13760.0,13800.0,13760.0,13800.0,211.08091469,2912074.2174679
2026-05-18 07:45:00,13790.0,13790.0,13740.0,13740.0,1510.29451276,20776263.0639834
2026-05-18 08:00:00,13740.0,13750.0,13730.0,13750.0,3564.87905299,48988414.5010094
2026-05-18 08:15:00,13730.0,13740.0,13690.0,13690.0,3707.96558415,50827022.5862346
2026-05-18 08:30:00,13690.0,13700.0,13390.0,13530.0,35065.12801014,473719720.3807486
2026-05-18 08:45:00,13590.0,13730.0,13550.0,13710.0,16484.66189925,225158887.4043884
2026-05-18 09:00:00,13710.0,13710.0,13570.0,13640.0,6291.97197362,85720510.0998853
2026-05-18 09:15:00,13630.0,13660.0,13610.0,13610.0,5139.87001397,70079964.2213523
2026-05-18 09:30:00,13610.0,13620.0,13580.0,13610.0,7665.63490111,104305447.77134
2026-05-18 09:45:00,13610.0,13660.0,13610.0,13660.0,2879.45373964,39269230.9865074
2026-05-18 10:00:00,13660.0,13660.0,13630.0,13650.0,7747.70941624,105650073.9344516
2026-05-18 10:15:00,13630.0,13650.0,13590.0,13590.0,2070.5153825,28162971.0774278
2026-05-18 10:30:00,13590.0,13600.0,13570.0,13580.0,976.83207848,13271187.9529957
2026-05-18 10:45:00,13580.0,13650.0,13560.0,13630.0,7735.13823546,105090969.5627107
2026-05-18 11:00:00,13630.0,13730.0,13630.0,13720.0,1358.22592953,18572625.6193065
2026-05-18 11:15:00,13730.0,13750.0,13700.0,13710.0,2530.86119346,34715755.5878136
