,open,high,low,close,volume,value
2026-05-16 08:45:00,215.0,215.0,214.0,215.0,66067.21183122,14144807.9415835
2026-05-16 09:00:00,214.0,215.0,213.0,213.0,522483.28339671,111576778.15053841
2026-05-16 09:15:00,214.0,214.0,213.0,214.0,465241.2808414,99118737.90842007
2026-05-16 09:30:00,213.0,214.0,213.0,213.0,207676.1269091,44442353.34761074
2026-05-16 09:45:00,214.0,215.0,213.0,214.0,191026.770419,40879704.5080236
2026-05-16 10:00:00,214.0,214.0,212.0,213.0,388426.66953004,82785961.04606616
2026-05-16 10:15:00,213.0,213.0,211.0,212.0,264796.9462874,56195175.46962901
2026-05-16 10:30:00,212.0,212.0,211.0,212.0,155782.78921661,33020796.60708779
2026-05-16 10:45:00,212.0,213.0,212.0,213.0,106768.54034277,22669036.34372329
2026-05-16 11:00:00,213.0,213.0,212.0,213.0,128420.13107373,27283017.55130526
2026-05-16 11:15:00,213.0,213.0,212.0,212.0,121065.38585166,25710878.79660844
2026-05-16 11:30:00,213.0,213.0,213.0,213.0,242.74178403,51703.99999839
2026-05-16 11:45:00,212.0,213.0,212.0,213.0,1575.40756762,334040.73297393
2026-05-16 12:00:00,213.0,213.0,213.0,213.0,112396.65523734,23940487.56555342
2026-05-16 12:30:00,213.0,213.0,212.0,212.0,35001.4624413,7431311.4999969
2026-05-16 12:45:00,212.0,213.0,212.0,212.0,7455.70281071,1587061.1031502
2026-05-16 13:00:00,212.0,212.0,212.0,212.0,187247.01565697,39696367.31927764
2026-05-16 13:15:00,212.0,213.0,211.0,211.0,100675.80002422,21382472.3775319
2026-05-16 13:30:00,211.0,211.0,210.0,211.0,189608.52529279,39967946.0481755
2026-05-16 13:45:00,211.0,211.0,211.0,211.0,21558.27099861,4548795.18070671
2026-05-16 14:00:00,211.0,211.0,211.0,211.0,17089.70903702,3605928.60681122
2026-05-16 14:15:00,211.0,211.0,211.0,211.0,57773.69555438,12190249.76197418
2026-05-16 14:30:00,211.0,211.0,211.0,211.0,49800.36522022,10507877.06146642
2026-05-16 14:45:00,211.0,211.0,210.0,210.0,24930.11351506,5260153.95167766
2026-05-16 15:00:00,210.0,210.0,209.0,209.0,126404.34907081,26512211.4396075
2026-05-16 15:15:00,210.0,210.0,209.0,209.0,97397.95840858,20369195.92167892
2026-05-16 15:30:00,209.0,211.0,209.0,209.0,113682.188226,23830762.36142942
2026-05-16 15:45:00,209.0,209.0,208.0,209.0,133182.85371722,27753582.63415985
2026-05-16 16:00:00,209.0,209.0,205.0,205.0,268138.25186827,55442980.58510961
2026-05-16 16:15:00,206.0,206.0,203.0,206.0,496310.78606296,101432967.15560043
2026-05-16 16:30:00,206.0,207.0,205.0,207.0,47918.27960624,9861137.27597886
2026-05-16 16:45:00,207.0,207.0,206.0,206.0,55191.22589836,11378947.61259585
2026-05-16 17:00:00,205.0,206.0,205.0,206.0,122203.19170717,25060166.96676438
2026-05-16 17:15:00,206.0,207.0,206.0,207.0,30245.97330441,6231220.54453431
2026-05-16 17:30:00,206.0,207.0,206.0,207.0,16835.030883,3476422.04767927
2026-05-16 17:45:00,207.0,207.0,206.0,206.0,129656.35765045,26711879.64507482
2026-05-16 18:00:00,206.0,206.0,205.0,206.0,42453.5477089,8742684.43954778
2026-05-16 18:15:00,205.0,205.0,202.0,203.0,286377.86461026,58164694.84161526
2026-05-16 18:30:00,203.0,205.0,203.0,204.0,398259.19605685,80934983.39187223
