,open,high,low,close,volume,value
2026-05-15 05:00:00,82.3,82.3,82.3,82.3,4800.0,395040.0
2026-05-15 05:15:00,82.1,82.1,82.1,82.1,8112.01339829,665996.29999961
2026-05-15 05:30:00,82.1,82.3,82.1,82.3,32632.61495308,2683268.88764787
2026-05-15 05:45:00,82.1,82.3,82.0,82.3,17966.3693529,1475545.35259569
2026-05-15 06:00:00,82.3,82.3,82.3,82.3,16186.20899147,1332124.99999798
2026-05-15 06:15:00,82.3,82.3,82.3,82.3,85.054678,6999.9999994
2026-05-15 06:30:00,82.3,82.4,82.3,82.4,105566.58490858,8688138.43312177
2026-05-15 06:45:00,82.4,82.5,82.2,82.5,10463.04844958,863147.75409836
2026-05-15 07:00:00,82.5,82.5,82.5,82.5,66791.80402587,5510323.83213428
2026-05-15 07:15:00,82.5,82.5,82.5,82.5,2424.242424,199999.99998
2026-05-15 07:45:00,82.4,82.4,82.0,82.0,47028.02963844,3864732.38640304
2026-05-15 08:00:00,82.0,82.0,82.0,82.0,7869.35492108,645287.10352856
2026-05-15 08:15:00,82.1,82.1,82.0,82.0,39420.83962444,3235741.84518459
2026-05-15 08:30:00,82.0,82.2,82.0,82.0,8164.60638029,669534.87382181
2026-05-15 08:45:00,82.0,82.0,81.8,81.8,55930.15430496,4585032.43132985
2026-05-15 09:00:00,81.9,82.1,81.9,82.0,26946.79382939,2209447.98041534
2026-05-15 09:15:00,81.9,82.4,81.9,82.0,27740.11469564,2274861.18864622
2026-05-15 09:30:00,82.2,82.4,82.0,82.0,54394.14790844,4466585.82978265
2026-05-15 09:45:00,82.0,82.0,82.0,82.0,184.93454686,15164.63284252
2026-05-15 10:00:00,82.4,82.4,82.3,82.3,5026.97716393,413850.07496037
2026-05-15 10:15:00,82.3,82.7,82.3,82.5,28064.56945453,2310320.68068079
2026-05-15 10:30:00,82.3,82.6,82.3,82.6,105632.88476365,8723563.42761515
2026-05-15 10:45:00,82.6,82.6,82.4,82.4,14487.07347026,1194638.34984848
2026-05-15 11:00:00,82.4,82.4,82.3,82.4,83036.61339041,6837477.36234978
2026-05-15 11:15:00,82.4,82.4,82.3,82.4,70292.53027096,5791615.31874795
2026-05-15 11:30:00,82.4,82.4,82.1,82.1,56745.84800123,4672255.86774191
2026-05-15 11:45:00,82.1,83.9,82.0,83.6,592120.65192239,49282595.9327574
2026-05-15 12:00:00,83.5,85.2,83.5,84.5,2036091.64650243,171664938.0750497
