,open,high,low,close,volume,value
2026-05-18 01:15:00,1720.0,1720.0,1719.0,1719.0,3976.11768941,6836161.49891911
2026-05-18 01:30:00,1719.0,1720.0,1715.0,1715.0,4434.73823936,7619044.47064908
2026-05-18 01:45:00,1714.0,1715.0,1708.0,1708.0,12309.93235328,21059049.12696269
2026-05-18 02:00:00,1708.0,1711.0,1708.0,1708.0,33050.16169717,56453751.06725984
2026-05-18 02:15:00,1708.0,1708.0,1704.0,1708.0,1570.10236937,2679245.94004848
2026-05-18 02:30:00,1708.0,1708.0,1703.0,1703.0,8057.42047861,13746847.23027621
2026-05-18 02:45:00,1705.0,1706.0,1703.0,1706.0,6125.57432078,10432632.01651852
2026-05-18 03:00:00,1706.0,1706.0,1706.0,1706.0,121.4586,207208.3716
2026-05-18 03:15:00,1706.0,1706.0,1703.0,1705.0,3678.09438296,6271828.20689599
2026-05-18 03:30:00,1705.0,1708.0,1703.0,1707.0,4944.63279502,8430884.13290566
2026-05-18 03:45:00,1707.0,1709.0,1707.0,1709.0,973.81477853,1663479.85597601
2026-05-18 04:00:00,1711.0,1714.0,1711.0,1714.0,725.82144,1244040.48384
2026-05-18 04:30:00,1711.0,1716.0,1710.0,1714.0,1377.32123227,2357789.12424411
2026-05-18 04:45:00,1714.0,1714.0,1713.0,1713.0,17.34588671,29722.59996689
2026-05-18 05:00:00,1714.0,1715.0,1710.0,1710.0,2623.27340919,4494946.34689751
2026-05-18 05:15:00,1710.0,1710.0,1707.0,1707.0,3295.60472153,5629263.14033055
2026-05-18 05:30:00,1710.0,1710.0,1707.0,1707.0,1232.14964425,2105545.1048129
2026-05-18 05:45:00,1706.0,1706.0,1705.0,1706.0,2113.81338688,3604098.69977386
2026-05-18 06:00:00,1706.0,1711.0,1706.0,1711.0,1848.32101668,3154415.54398959
2026-05-18 06:15:00,1709.0,1711.0,1709.0,1711.0,1624.80411673,2778063.37066303
2026-05-18 06:30:00,1717.0,1720.0,1714.0,1715.0,3787.84239817,6512153.3501274
2026-05-18 06:45:00,1717.0,1717.0,1715.0,1715.0,6175.10938228,10593893.88078232
2026-05-18 07:00:00,1715.0,1715.0,1704.0,1705.0,6016.89056751,10286079.12226716
2026-05-18 07:15:00,1705.0,1705.0,1700.0,1700.0,26595.36110463,45264907.70641248
2026-05-18 07:30:00,1701.0,1703.0,1700.0,1701.0,1398.15660447,2378731.20358608
2026-05-18 07:45:00,1703.0,1703.0,1697.0,1703.0,11677.86813868,19858408.10294704
2026-05-18 08:00:00,1703.0,1703.0,1697.0,1700.0,13562.98545021,23062825.91833909
2026-05-18 08:15:00,1698.0,1700.0,1690.0,1695.0,23238.7165414,39371972.59495158
2026-05-18 08:30:00,1695.0,1697.0,1636.0,1661.0,115258.02351069,191407107.48034737
2026-05-18 08:45:00,1661.0,1685.0,1661.0,1682.0,11123.82357906,18614434.12932134
2026-05-18 09:00:00,1682.0,1682.0,1660.0,1666.0,54608.25862104,91102649.48092243
2026-05-18 09:15:00,1671.0,1678.0,1668.0,1673.0,28889.43068407,48418855.98742665
