,open,high,low,close,volume,value
2026-05-17 18:15:00,1.53,1.53,1.52,1.53,7881055.71303863,12053735.12848919
2026-05-17 18:30:00,1.52,1.53,1.52,1.53,18612055.92524286,28474445.56562158
2026-05-17 18:45:00,1.53,1.54,1.53,1.54,16498300.08191113,25264639.97368602
2026-05-17 19:00:00,1.54,1.55,1.53,1.55,7834350.23728085,12077537.88329341
2026-05-17 19:15:00,1.55,1.56,1.55,1.55,21152863.05462907,32908935.69620763
2026-05-17 19:30:00,1.56,1.56,1.54,1.56,21657211.23724578,33609764.85652023
2026-05-17 19:45:00,1.56,1.57,1.55,1.57,26731677.50260235,41754048.73069145
2026-05-17 20:00:00,1.57,1.58,1.56,1.58,30353396.71008816,47630058.7178697
2026-05-17 20:15:00,1.58,1.59,1.57,1.57,41177710.43141828,64841991.26360488
2026-05-17 20:30:00,1.57,1.57,1.56,1.56,14348307.73300607,22425956.49966089
2026-05-17 20:45:00,1.56,1.57,1.56,1.56,3859105.33793001,6034272.06602072
2026-05-17 21:00:00,1.56,1.57,1.55,1.56,18522230.05808282,28735046.43152011
2026-05-17 21:15:00,1.55,1.56,1.54,1.56,10876571.21137111,16825679.47426709
2026-05-17 21:30:00,1.56,1.56,1.54,1.55,13307869.3740089,20563087.19054701
2026-05-17 21:45:00,1.55,1.55,1.55,1.55,515411.91913558,798888.47466015
2026-05-17 22:00:00,1.55,1.55,1.53,1.54,14385225.94917048,22139119.42547722
2026-05-17 22:15:00,1.53,1.54,1.53,1.54,16502479.49210958,25359568.93722137
2026-05-17 22:30:00,1.54,1.55,1.54,1.55,14561493.22927049,22424829.21470735
2026-05-17 22:45:00,1.55,1.55,1.54,1.54,6965641.69230867,10727217.73518761
2026-05-17 23:00:00,1.54,1.55,1.54,1.55,18324673.26033819,28300511.5174475
2026-05-17 23:15:00,1.54,1.55,1.54,1.55,9020147.63264575,13974000.77536553
2026-05-17 23:30:00,1.55,1.56,1.55,1.56,12879964.19392725,19974243.04898086
2026-05-17 23:45:00,1.55,1.56,1.55,1.55,10611593.07710778,16459734.72541412
2026-05-18 00:00:00,1.56,1.56,1.54,1.54,6060428.54223132,9397543.04789444
2026-05-18 00:15:00,1.54,1.54,1.53,1.53,14573604.49954053,22432780.02702443
2026-05-18 00:30:00,1.53,1.54,1.53,1.53,446298.74162583,682869.82793427
2026-05-18 00:45:00,1.53,1.54,1.53,1.54,6790687.88350177,10415463.40512499
2026-05-18 01:00:00,1.54,1.54,1.53,1.54,4317707.65610697,6649190.79040473
2026-05-18 01:15:00,1.53,1.54,1.53,1.53,471461.55963901,723665.36027366
2026-05-18 01:30:00,1.54,1.54,1.54,1.54,437988.68831166,674502.57999996
