,open,high,low,close,volume,value
2026-06-05 20:00:00,34.0,40.7,33.6,40.0,455441427.43883204,17217668289.245853
2026-06-05 20:15:00,40.0,40.4,36.3,36.8,190759715.75572738,7312687382.945003
2026-06-05 20:30:00,36.8,38.3,33.2,34.6,164547064.7646721,5868342839.46675
2026-06-05 20:45:00,34.5,36.3,34.2,35.5,85016738.8797975,3003502017.683749
2026-06-05 21:00:00,35.5,36.8,34.8,35.4,74675015.23970655,2688177617.458604
2026-06-05 21:15:00,35.4,35.5,32.5,32.6,84086761.3089289,2870822092.4085045
2026-06-05 21:30:00,32.6,33.8,30.6,31.5,141567306.00965428,4530204162.348584
2026-06-05 21:45:00,31.5,32.4,30.8,31.8,49870736.93128167,1577891570.548339
2026-06-05 22:00:00,31.9,32.7,31.4,31.7,30266822.83336744,970131441.1150686
2026-06-05 22:15:00,31.7,32.8,31.7,32.2,23790214.47208612,768965074.2102412
2026-06-05 22:30:00,32.2,32.4,30.8,31.4,31104257.18662399,978602668.3204676
2026-06-05 22:45:00,31.4,31.7,30.0,30.4,61635500.12249097,1886729695.9397323
2026-06-05 23:00:00,30.3,31.4,30.2,31.3,23955883.85049573,740638276.1925124
2026-06-05 23:15:00,31.3,31.3,30.2,30.7,24875374.02660442,765845411.3755144
2026-06-05 23:30:00,30.6,30.9,30.3,30.4,12705312.33866978,389549177.1234163
2026-06-05 23:45:00,30.4,30.7,27.7,28.3,75313163.34648646,2183760502.7535634
2026-06-06 00:00:00,28.3,28.4,27.1,27.5,47188716.19142867,1309392013.5238023
2026-06-06 00:15:00,27.5,28.3,27.3,27.9,21851879.70931731,608308793.4020689
2026-06-06 00:30:00,27.9,28.1,27.4,27.9,22328038.93008109,618375692.7445359
2026-06-06 00:45:00,27.9,28.0,26.8,27.5,24681953.51752585,674477458.8002446
2026-06-06 01:00:00,27.6,28.3,27.2,28.0,18932387.79745339,526935873.66301996
2026-06-06 01:15:00,28.0,30.0,27.8,28.5,43681568.74234609,1269587624.4535625
2026-06-06 01:30:00,28.4,29.4,28.2,29.4,21614540.39614102,623335597.547626
2026-06-06 01:45:00,29.3,30.2,29.0,29.8,23697716.94999373,703430933.1210806
2026-06-06 02:00:00,29.8,29.8,28.8,29.3,18286260.98025472,534507320.8607983
2026-06-06 02:15:00,29.3,29.5,28.4,28.7,12830923.37952155,371117972.15284055
2026-06-06 02:30:00,28.7,28.9,27.8,28.4,17303884.17530694,488548957.27865475
2026-06-06 02:45:00,28.3,28.9,28.1,28.4,9915756.1009036,282486401.4914672
2026-06-06 03:00:00,28.4,29.9,28.3,29.8,11435207.02899963,333958738.0304696
2026-06-06 03:15:00,29.8,29.8,28.6,28.9,7891475.56667115,229656357.7493829
2026-06-06 03:30:00,28.9,29.6,28.6,29.1,5169487.70276304,150218359.90764213
2026-06-06 03:45:00,29.1,29.3,28.0,28.2,9134847.89494566,259798017.2000656
2026-06-06 04:00:00,28.4,29.4,28.2,29.4,5188058.37670427,149220040.87561056
2026-06-06 04:15:00,29.4,29.8,28.2,28.3,11421109.9208324,329732086.4584912
2026-06-06 04:30:00,28.3,28.6,28.0,28.6,10565783.61344888,299007536.55024564
2026-06-06 04:45:00,28.6,28.7,28.2,28.5,6265485.06176055,178731230.2243082
2026-06-06 05:00:00,28.5,29.0,27.7,28.5,10459065.10443194,293790860.23007506
2026-06-06 05:15:00,28.5,29.2,28.1,29.0,4448498.1896202,127660810.18702967
2026-06-06 05:30:00,29.0,29.4,28.4,28.7,3607676.50074973,104220836.91209307
2026-06-06 05:45:00,28.7,28.8,28.4,28.5,4988978.63901595,142444135.93953407
2026-06-06 06:00:00,28.5,28.6,28.1,28.2,8503744.04047478,240448093.08409354
2026-06-06 06:15:00,28.1,28.3,27.7,27.9,13316908.35909478,372383555.80654407
2026-06-06 06:30:00,27.9,28.9,27.8,28.4,10066547.75918208,286113378.2906259
2026-06-06 06:45:00,28.4,28.7,28.0,28.3,8679815.72703956,245704679.9059659
2026-06-06 07:00:00,28.2,28.5,27.7,28.0,17817638.76845458,499311450.4886391
2026-06-06 07:15:00,28.1,28.5,27.8,28.0,10002886.15531877,281231658.7095382
2026-06-06 07:30:00,28.0,28.1,27.5,27.8,13625129.62771416,378087219.1522499
2026-06-06 07:45:00,27.9,27.9,27.0,27.1,25747064.64243685,703179339.069557
2026-06-06 08:00:00,27.1,27.5,26.5,26.9,27189910.01012577,731510148.3671813
2026-06-06 08:15:00,26.9,27.3,26.6,27.2,15327184.40739654,413492865.92199147
2026-06-06 08:30:00,27.1,27.5,26.9,27.3,16114476.97283128,437575285.60923845
2026-06-06 08:45:00,27.3,27.7,27.0,27.1,12230858.06299201,334759477.1228493
2026-06-06 09:00:00,27.1,27.6,26.6,27.0,34964164.12747731,946040003.1863214
2026-06-06 09:15:00,27.0,27.2,25.2,25.5,57276386.58085111,1467493228.9806042
2026-06-06 09:30:00,25.4,25.6,24.8,24.9,41536909.84111367,1043929206.5901861
2026-06-06 09:45:00,25.0,25.3,24.7,24.8,23597568.77597113,590673008.9425398
2026-06-06 10:00:00,24.8,25.6,24.8,24.9,23359519.55157322,589229922.8886501
2026-06-06 10:15:00,24.8,25.2,24.5,24.7,17168976.96491296,427071306.09096664
2026-06-06 10:30:00,24.8,25.1,24.4,24.5,18239329.01049853,451107595.7701468
2026-06-06 10:45:00,24.6,24.9,24.4,24.6,15255108.64314835,375283823.02860874
2026-06-06 11:00:00,24.6,24.8,24.5,24.7,8589771.42068795,211952360.9929704
2026-06-06 11:15:00,24.8,24.9,24.5,24.6,8094092.6223637,200054345.98659888
2026-06-06 11:30:00,24.6,24.6,23.7,23.9,35644173.32873821,860146282.6855816
2026-06-06 11:45:00,23.9,24.7,23.9,24.1,9908884.32705262,240781142.01539746
2026-06-06 12:00:00,24.1,24.4,24.0,24.2,10537793.92600154,255702041.7020416
2026-06-06 12:15:00,24.1,24.4,23.9,24.0,6970711.24653314,168233546.16080815
2026-06-06 12:30:00,23.9,24.0,23.4,23.6,16119552.83016597,380467338.79877883
2026-06-06 12:45:00,23.6,23.7,23.5,23.5,5056568.83189355,119389977.32926795
2026-06-06 13:00:00,23.6,24.0,23.3,23.4,9890577.82203632,233146531.4887732
2026-06-06 13:15:00,23.4,23.5,22.9,22.9,15734182.45896002,364428878.42888564
2026-06-06 13:30:00,22.9,23.1,22.6,22.8,10426557.07342025,238255785.00239226
2026-06-06 13:45:00,22.7,22.9,22.5,22.7,13293087.65991985,301571889.4190401
2026-06-06 14:00:00,22.6,22.8,22.4,22.6,7491125.82395077,169350420.81923434
2026-06-06 14:15:00,22.6,23.3,22.6,23.1,10313731.04094945,237242683.26477882
2026-06-06 14:30:00,23.1,23.3,22.9,23.1,7316358.50080571,168699305.36160994
2026-06-06 14:45:00,23.1,23.3,23.1,23.1,5644141.40525738,130634908.07374978
2026-06-06 15:00:00,23.2,23.8,23.1,23.4,11231848.0740348,263033741.75480115
2026-06-06 15:15:00,23.4,23.5,23.0,23.1,5982928.53282922,139304325.2933848
2026-06-06 15:30:00,23.1,23.2,22.7,22.9,6195250.49488239,141778556.7315196
2026-06-06 15:45:00,22.8,23.1,22.8,23.0,7933715.23096044,182197662.3453278
2026-06-06 16:00:00,23.1,23.6,23.0,23.5,4926865.7414628,114978081.42430598
2026-06-06 16:15:00,23.4,23.6,23.1,23.3,6897199.74821843,161200191.56939924
2026-06-06 16:30:00,23.3,23.4,23.1,23.2,3442334.95085429,80031191.92374787
2026-06-06 16:45:00,23.2,23.2,23.0,23.1,2686342.07972685,62052682.06086086
2026-06-06 17:00:00,23.1,23.5,23.0,23.4,4422978.08631274,102827614.05587132
