,open,high,low,close,volume,value
2026-05-17 05:30:00,379.0,379.0,379.0,379.0,1833.40327458,694859.84106582
2026-05-17 05:45:00,379.0,380.0,378.0,380.0,38315.39049208,14483890.42436479
2026-05-17 06:00:00,380.0,380.0,378.0,378.0,22168.15671008,8393602.2579975
2026-05-17 06:15:00,380.0,380.0,379.0,379.0,48210.55957711,18288359.52600154
2026-05-17 06:30:00,379.0,380.0,378.0,380.0,13828.19116372,5237237.78994346
2026-05-17 06:45:00,378.0,379.0,378.0,379.0,4146.00747907,1567286.77167948
2026-05-17 07:00:00,378.0,378.0,378.0,378.0,30427.34022295,11501534.6042751
2026-05-17 07:15:00,379.0,379.0,379.0,379.0,5699.54869794,2160128.95651926
2026-05-17 07:30:00,378.0,379.0,378.0,378.0,18934.04635672,7157082.74183752
2026-05-17 07:45:00,378.0,379.0,378.0,379.0,7133.18359779,2696430.79619644
2026-05-17 08:00:00,377.0,378.0,377.0,378.0,10129.58025745,3819036.4045454
2026-05-17 08:15:00,378.0,378.0,377.0,377.0,505.75182645,190760.39729465
2026-05-17 08:30:00,377.0,377.0,376.0,376.0,6393.33468926,2407485.20001198
2026-05-17 08:45:00,378.0,378.0,377.0,378.0,13906.69007189,5252039.74174758
2026-05-17 09:00:00,378.0,379.0,377.0,377.0,15237.17195092,5754903.58998036
2026-05-17 09:15:00,377.0,378.0,376.0,376.0,41373.4064446,15603284.80607761
2026-05-17 09:30:00,376.0,378.0,376.0,377.0,30796.93704918,11615612.54308694
2026-05-17 09:45:00,377.0,378.0,375.0,376.0,52428.78831013,19733147.98531338
2026-05-17 10:00:00,376.0,376.0,374.0,375.0,173046.20124838,64777005.14308897
2026-05-17 10:15:00,375.0,375.0,374.0,375.0,20377.66547304,7628721.30066471
2026-05-17 10:30:00,374.0,375.0,373.0,373.0,66970.12948616,25009444.44056768
2026-05-17 10:45:00,374.0,375.0,374.0,374.0,17627.38893664,6593060.59030333
2026-05-17 11:00:00,374.0,375.0,374.0,374.0,27013.41312131,10109745.15516635
2026-05-17 11:15:00,374.0,375.0,374.0,375.0,13655.16969342,5107069.06533908
2026-05-17 11:30:00,374.0,374.0,374.0,374.0,1400.29215464,523709.26583536
2026-05-17 11:45:00,374.0,374.0,373.0,374.0,44878.75825368,16761110.05657182
2026-05-17 12:00:00,374.0,374.0,373.0,374.0,19513.40594253,7284633.8216766
2026-05-17 12:15:00,374.0,374.0,373.0,374.0,17649.86613461,6596121.07514557
2026-05-17 12:30:00,374.0,375.0,374.0,374.0,24603.54866759,9207427.50301195
2026-05-17 12:45:00,374.0,376.0,374.0,374.0,10326.25977385,3870296.38181403
2026-05-17 13:00:00,376.0,376.0,376.0,376.0,6083.58111698,2287426.49998448
2026-05-17 13:15:00,376.0,377.0,375.0,377.0,8790.94447342,3306370.34846498
2026-05-17 13:30:00,377.0,377.0,375.0,375.0,20694.39871064,7781849.72802085
2026-05-17 13:45:00,376.0,377.0,376.0,377.0,5254.86089844,1980815.89204522
2026-05-17 14:00:00,377.0,377.0,375.0,376.0,51944.35182053,19518032.1178775
2026-05-17 14:15:00,376.0,376.0,375.0,375.0,20851.80467919,7836181.40928384
2026-05-17 14:30:00,375.0,375.0,375.0,375.0,5823.14583702,2183679.6888825
2026-05-17 14:45:00,375.0,375.0,375.0,375.0,559.99999998,209999.9999925
