,open,high,low,close,volume,value
2026-05-07 18:00:00,2.96,2.96,2.96,2.96,1029538.652859,3047434.41246264
2026-05-07 18:15:00,2.96,2.96,2.96,2.96,6243752.93420414,18481508.68524425
2026-05-07 18:30:00,2.96,2.96,2.95,2.96,465489.83783782,1377765.46054049
2026-05-07 18:45:00,2.96,2.96,2.96,2.96,1130881.01156872,3347407.79424341
2026-05-07 19:00:00,2.97,2.97,2.95,2.95,3595349.52169347,10627301.86710339
2026-05-07 19:15:00,2.97,2.97,2.95,2.95,84529.86790906,250373.21134183
2026-05-07 19:30:00,2.96,2.97,2.96,2.97,2409324.67806382,7155328.56516919
2026-05-07 19:45:00,2.97,2.97,2.97,2.97,1021081.76767676,3032612.84999998
2026-05-07 20:00:00,2.96,2.97,2.96,2.97,252297.63953383,748560.84699133
2026-05-07 20:15:00,2.97,2.97,2.97,2.97,58500.0,173745.0
2026-05-07 20:30:00,2.97,2.97,2.97,2.97,175500.0,521235.0
2026-05-07 20:45:00,2.97,2.97,2.96,2.97,1491420.9999908,4424168.38324064
2026-05-07 21:00:00,2.97,2.98,2.97,2.98,22654.1979884,67459.51000543
2026-05-07 21:15:00,2.99,2.99,2.98,2.98,352859.35596336,1053226.01631033
2026-05-07 21:30:00,2.98,2.99,2.98,2.99,119879.91591726,357913.29037303
2026-05-07 21:45:00,2.99,2.99,2.99,2.99,484203.22652218,1447767.64730132
2026-05-07 22:00:00,2.99,2.99,2.98,2.98,827132.97107159,2466716.00704014
2026-05-07 22:30:00,2.97,2.97,2.97,2.97,17804.54553867,52879.50024985
2026-05-07 22:45:00,2.97,2.97,2.95,2.96,2433460.9363904,7181749.05027825
2026-05-07 23:00:00,2.96,2.96,2.94,2.94,14109298.15474187,41488717.59419785
2026-05-07 23:15:00,2.95,2.95,2.94,2.94,1463887.80080301,4318222.97184041
2026-05-07 23:30:00,2.95,2.95,2.91,2.91,4854789.41345332,14198817.66317452
2026-05-07 23:45:00,2.91,2.93,2.91,2.93,79500.23610265,232248.30821912
2026-05-08 00:00:00,2.92,2.93,2.91,2.93,6369517.10847261,18638006.0109764
2026-05-08 00:15:00,2.93,2.93,2.91,2.91,1673333.87792094,4877689.65375245
2026-05-08 00:30:00,2.92,2.93,2.92,2.93,126426.95306498,370229.25698021
2026-05-08 00:45:00,2.93,2.93,2.93,2.93,6743.04485982,19757.12143927
2026-05-08 01:00:00,2.92,2.92,2.92,2.92,433718.37342465,1266457.65039998
2026-05-08 01:15:00,2.92,2.92,2.92,2.92,267397.24650734,780799.95980143
2026-05-08 01:45:00,2.92,2.92,2.92,2.92,6749.32469799,19708.02811813
2026-05-08 02:15:00,2.94,2.94,2.94,2.94,692997.74729949,2037413.3770605
2026-05-08 02:30:00,2.93,2.93,2.93,2.93,483939.13009131,1417941.65116754
