,open,high,low,close,volume,value
2026-05-18 00:00:00,551.0,554.0,551.0,554.0,5030.30949506,2782501.37715184
2026-05-18 00:15:00,554.0,555.0,553.0,553.0,36363.25510944,20149476.77730493
2026-05-18 00:30:00,554.0,554.0,551.0,552.0,10188.77467185,5642939.95671645
2026-05-18 00:45:00,552.0,554.0,552.0,554.0,15730.17260512,8713846.09123648
2026-05-18 01:00:00,553.0,553.0,553.0,553.0,722.96582269,399800.09994757
2026-05-18 01:15:00,554.0,555.0,553.0,553.0,12992.36310992,7199207.90514914
2026-05-18 01:30:00,553.0,555.0,553.0,555.0,18175.68601698,10052236.09894098
2026-05-18 01:45:00,555.0,556.0,553.0,553.0,1467.79386043,814198.55975939
2026-05-18 02:00:00,552.0,553.0,550.0,550.0,5476.37904544,3023563.81878656
2026-05-18 02:15:00,550.0,551.0,549.0,551.0,2408.08614686,1323970.97050533
2026-05-18 02:30:00,550.0,550.0,548.0,548.0,10553.69943442,5793312.18337658
2026-05-18 02:45:00,551.0,551.0,550.0,550.0,43417.10985151,23880877.19058479
2026-05-18 03:00:00,550.0,550.0,550.0,550.0,363.45463631,199900.0499705
2026-05-18 03:15:00,549.0,549.0,548.0,548.0,2031.10083,1113054.35567
2026-05-18 03:45:00,549.0,550.0,549.0,550.0,4198.12765114,2304808.44411222
2026-05-18 04:00:00,552.0,552.0,551.0,552.0,7551.21665813,4166779.18013031
2026-05-18 04:15:00,552.0,552.0,550.0,551.0,18001.83881215,9904271.28788181
2026-05-18 04:45:00,551.0,551.0,551.0,551.0,285.04355715,157058.99998965
2026-05-18 05:00:00,550.0,551.0,550.0,551.0,49236.97628939,27129273.07392352
2026-05-18 05:15:00,550.0,550.0,550.0,550.0,20.0,11000.0
2026-05-18 05:30:00,551.0,551.0,551.0,551.0,2177.85843918,1199999.99998818
2026-05-18 05:45:00,551.0,553.0,551.0,553.0,1531.55349331,844444.07798175
2026-05-18 06:00:00,553.0,555.0,553.0,553.0,19900.53146971,11005319.90274963
2026-05-18 06:15:00,554.0,557.0,552.0,556.0,20331.23111176,11288155.88786011
2026-05-18 06:30:00,556.0,558.0,556.0,557.0,5780.72929956,3219753.47133342
2026-05-18 06:45:00,556.0,557.0,556.0,557.0,1830.1648043,1019366.0674565
2026-05-18 07:00:00,555.0,555.0,552.0,552.0,12361.84103849,6842076.92422807
2026-05-18 07:15:00,552.0,552.0,550.0,550.0,32392.13575419,17853930.50637529
2026-05-18 07:30:00,551.0,551.0,550.0,550.0,20923.28164316,11508853.22288526
2026-05-18 07:45:00,550.0,550.0,548.0,548.0,58148.89188152,31942759.1192046
2026-05-18 08:00:00,549.0,549.0,546.0,546.0,12237.19891837,6701235.94026563
2026-05-18 08:15:00,546.0,546.0,542.0,544.0,91920.87617349,50015118.260033
2026-05-18 08:30:00,543.0,544.0,522.0,529.0,385312.01058797,205124517.90109906
2026-05-18 08:45:00,530.0,536.0,528.0,536.0,127696.93814314,67799554.9330227
2026-05-18 09:00:00,536.0,536.0,526.0,532.0,449554.08435507,238318545.87647024
2026-05-18 09:15:00,531.0,535.0,530.0,532.0,112030.4486185,59627207.89317955
2026-05-18 09:30:00,531.0,531.0,529.0,530.0,64407.39654758,34108727.46609561
2026-05-18 09:45:00,529.0,532.0,528.0,532.0,66079.51831427,34939773.19232446
2026-05-18 10:00:00,533.0,533.0,530.0,530.0,15272.73430221,8121883.86622664
2026-05-18 10:15:00,530.0,530.0,527.0,527.0,62732.74833189,33114393.74973626
2026-05-18 10:30:00,529.0,529.0,527.0,528.0,27330.13392785,14410708.66907266
2026-05-18 10:45:00,527.0,530.0,527.0,530.0,29299.65445439,15468644.51558325
2026-05-18 11:00:00,532.0,535.0,531.0,535.0,34285.38934317,18240987.93590735
2026-05-18 11:15:00,535.0,537.0,533.0,535.0,1877.12211038,1004708.53026626
2026-05-18 11:30:00,535.0,535.0,535.0,535.0,11636.21528998,6225375.1801393
2026-05-18 11:45:00,535.0,535.0,535.0,535.0,409.80655851,219246.50880285
2026-05-18 12:00:00,536.0,537.0,536.0,536.0,29066.33057307,15588053.65798961
2026-05-18 12:15:00,535.0,536.0,535.0,536.0,5274.28389516,2826254.53173359
2026-05-18 12:30:00,535.0,535.0,532.0,532.0,10570.66489825,5636373.75976068
2026-05-18 12:45:00,535.0,535.0,530.0,530.0,58289.62919555,30975645.62583046
2026-05-18 13:00:00,532.0,532.0,532.0,532.0,570.2861863,303392.2511116
2026-05-18 13:15:00,532.0,534.0,530.0,532.0,4633.2911317,2469847.12933502
2026-05-18 13:30:00,532.0,534.0,531.0,534.0,47859.41795644,25472230.52527802
2026-05-18 13:45:00,534.0,534.0,534.0,534.0,8263.43601841,4412674.83383094
2026-05-18 14:00:00,533.0,535.0,533.0,534.0,45256.19699985,24126757.05623847
2026-05-18 14:15:00,533.0,533.0,531.0,531.0,9426.28168392,5013036.02018824
2026-05-18 14:30:00,531.0,531.0,527.0,527.0,22154.16959325,11718672.77929671
2026-05-18 14:45:00,529.0,529.0,528.0,528.0,11184.34203938,5906381.56574492
2026-05-18 15:00:00,529.0,529.0,527.0,527.0,74623.11090944,39355793.9684113
2026-05-18 15:15:00,528.0,528.0,525.0,526.0,66820.531447,35125760.2241611
2026-05-18 15:30:00,526.0,526.0,525.0,525.0,58409.33823008,30700626.55438758
2026-05-18 15:45:00,526.0,527.0,525.0,527.0,9803.23565816,5157175.44827328
2026-05-18 16:00:00,526.0,529.0,525.0,525.0,42175.07760495,22211640.80002845
2026-05-18 16:15:00,525.0,527.0,525.0,527.0,6090.38221696,3199311.53445036
2026-05-18 16:30:00,527.0,528.0,525.0,526.0,20827.94129248,10960712.3105952
2026-05-18 16:45:00,526.0,528.0,525.0,528.0,11552.01042656,6076654.76100989
2026-05-18 17:00:00,528.0,528.0,527.0,528.0,12329.00624982,6500820.07114394
2026-05-18 17:15:00,528.0,528.0,527.0,527.0,22675.04452256,11967481.41116626
2026-05-18 17:30:00,527.0,528.0,527.0,527.0,20545.15313794,10847181.39573912
2026-05-18 17:45:00,527.0,530.0,527.0,530.0,3335.83262188,1763493.43773592
2026-05-18 18:00:00,531.0,531.0,529.0,530.0,40962.77585852,21688251.05048054
2026-05-18 18:15:00,529.0,529.0,527.0,528.0,6805.08348206,3589759.27620057
2026-05-18 18:30:00,527.0,529.0,527.0,529.0,11698.74082001,6178644.14019101
2026-05-18 18:45:00,529.0,530.0,527.0,528.0,7827.77798202,4135695.42368556
2026-05-18 19:00:00,527.0,527.0,524.0,525.0,69004.29800055,36183341.12477365
2026-05-18 19:15:00,524.0,525.0,521.0,521.0,240955.04773405,125803595.70172347
2026-05-18 19:30:00,522.0,523.0,520.0,520.0,47548.16070389,24767800.21014494
2026-05-18 19:45:00,522.0,524.0,522.0,523.0,16640.22031634,8700041.74314047
2026-05-18 20:00:00,523.0,523.0,519.0,521.0,119975.52280437,62379108.86981174
2026-05-18 20:15:00,521.0,524.0,521.0,524.0,121432.65043578,63493735.04899488
2026-05-18 20:30:00,524.0,530.0,523.0,529.0,60511.79809413,31870007.35379763
2026-05-18 20:45:00,530.0,531.0,527.0,529.0,49129.49810219,26022405.76812332
2026-05-18 21:00:00,529.0,532.0,529.0,532.0,35658.53774003,18940372.02326965
2026-05-18 21:15:00,533.0,533.0,531.0,532.0,65101.52912308,34640028.22567419
2026-05-18 21:30:00,531.0,535.0,531.0,535.0,21067.8943476,11234883.39445288
2026-05-18 21:45:00,535.0,535.0,533.0,533.0,19196.82124907,10241549.76646391
2026-05-18 22:00:00,533.0,535.0,531.0,534.0,31884.4814291,16999718.08553968
2026-05-18 22:15:00,534.0,535.0,533.0,535.0,11413.99703322,6091187.65414622
2026-05-18 22:30:00,534.0,551.0,532.0,548.0,249220.39038905,135279086.3194492
2026-05-18 22:45:00,547.0,552.0,544.0,549.0,239672.45022567,131634207.76569761
2026-05-18 23:00:00,547.0,549.0,542.0,543.0,114310.16592422,62489382.91849413
2026-05-18 23:15:00,542.0,542.0,536.0,538.0,252795.99617129,136187345.5073398
2026-05-18 23:30:00,537.0,537.0,532.0,537.0,154740.12385881,82809487.4570883
2026-05-18 23:45:00,535.0,535.0,534.0,535.0,5053.33248713,2699134.1365334
2026-05-19 00:00:00,536.0,539.0,535.0,536.0,188142.61362836,101202023.6111675
2026-05-19 00:15:00,536.0,536.0,531.0,531.0,78415.72453239,41893077.72189654
2026-05-19 00:30:00,531.0,536.0,530.0,536.0,12106.6328292,6429905.72412466
2026-05-19 00:45:00,536.0,538.0,536.0,537.0,7153.23905343,3846074.08065073
2026-05-19 01:00:00,537.0,539.0,537.0,539.0,17848.68175187,9596655.46573546
2026-05-19 01:15:00,540.0,542.0,539.0,539.0,3509.53836968,1894921.94492097
2026-05-19 01:30:00,540.0,542.0,539.0,541.0,15996.87260738,8651834.83642538
2026-05-19 01:45:00,540.0,543.0,540.0,541.0,19488.14447757,10550874.70129727
2026-05-19 02:00:00,542.0,547.0,542.0,544.0,23388.95666814,12783747.35054093
2026-05-19 02:15:00,546.0,548.0,546.0,548.0,20725.53075862,11325600.20212145
2026-05-19 02:30:00,548.0,550.0,541.0,547.0,167120.37330282,91046062.95287935
2026-05-19 02:45:00,547.0,547.0,546.0,546.0,606.96,331550.48
2026-05-19 03:00:00,544.0,547.0,543.0,546.0,14015.73480368,7632792.74422956
2026-05-19 03:15:00,546.0,547.0,543.0,547.0,40240.8428183,21920811.96954107
2026-05-19 03:30:00,547.0,549.0,545.0,545.0,12918.84788753,7074975.87237148
2026-05-19 03:45:00,545.0,545.0,542.0,543.0,853.08064215,463502.08824083
2026-05-19 04:00:00,544.0,556.0,544.0,556.0,175140.96794741,96951024.25574774
2026-05-19 04:15:00,553.0,556.0,552.0,556.0,31497.95981301,17434754.39550757
2026-05-19 04:30:00,555.0,560.0,554.0,560.0,47192.72356122,26309544.28377455
2026-05-19 04:45:00,560.0,569.0,559.0,565.0,67425.51163361,38048593.23250753
2026-05-19 05:00:00,565.0,571.0,564.0,571.0,66393.3778516,37660103.08455279
2026-05-19 05:15:00,570.0,574.0,567.0,574.0,118730.0625064,67733607.15012057
2026-05-19 05:30:00,574.0,575.0,569.0,571.0,175571.29101482,100606835.05305956
2026-05-19 05:45:00,572.0,572.0,568.0,570.0,124477.20982841,70959592.40697974
2026-05-19 06:00:00,570.0,576.0,567.0,576.0,101197.37491196,57697563.58814447
2026-05-19 06:15:00,576.0,583.0,575.0,583.0,218291.68217549,126274565.25922228
2026-05-19 06:30:00,583.0,586.0,581.0,583.0,320064.552261,186884754.78423908
2026-05-19 06:45:00,581.0,585.0,578.0,583.0,201441.79532225,116959439.88183306
2026-05-19 07:00:00,583.0,586.0,583.0,585.0,134055.33035838,78391951.02720794
2026-05-19 07:15:00,585.0,587.0,579.0,581.0,214299.50533439,124957379.65647738
2026-05-19 07:30:00,581.0,583.0,573.0,575.0,128933.65756641,74441122.29979965
2026-05-19 07:45:00,573.0,575.0,569.0,573.0,371730.86386512,212604464.779633
2026-05-19 08:00:00,572.0,581.0,571.0,579.0,124635.3054803,71667520.14878948
2026-05-19 08:15:00,579.0,579.0,576.0,577.0,36745.52636438,21230645.77647059
2026-05-19 08:30:00,575.0,578.0,573.0,578.0,80929.63777209,46530874.04219947
2026-05-19 08:45:00,577.0,577.0,573.0,573.0,83479.29946808,47962468.52174152
2026-05-19 09:00:00,575.0,578.0,572.0,577.0,88854.75178901,51014450.03907226
2026-05-19 09:15:00,577.0,583.0,577.0,578.0,76002.72703044,44162885.23098807
2026-05-19 09:30:00,579.0,579.0,573.0,574.0,90664.03471235,52234395.67655524
2026-05-19 09:45:00,573.0,573.0,567.0,569.0,180101.63251324,102616359.38877816
2026-05-19 10:00:00,568.0,573.0,567.0,573.0,60967.44372484,34703649.93233065
2026-05-19 10:15:00,571.0,573.0,568.0,570.0,110853.43062123,63253822.71990602
2026-05-19 10:30:00,571.0,574.0,570.0,573.0,14457.50299229,8273958.51978683
2026-05-19 10:45:00,573.0,573.0,567.0,567.0,52206.72539996,29754835.56988131
2026-05-19 11:00:00,566.0,566.0,559.0,562.0,229608.27475256,128737688.72479938
2026-05-19 11:15:00,563.0,567.0,562.0,564.0,101001.13992075,57110146.97013034
2026-05-19 11:30:00,563.0,565.0,563.0,565.0,57735.88158932,32594505.39624738
2026-05-19 11:45:00,565.0,567.0,564.0,567.0,19651.76689194,11105343.40095241
2026-05-19 12:00:00,566.0,566.0,564.0,564.0,14049.37139696,7924659.46570028
2026-05-19 12:15:00,564.0,566.0,563.0,564.0,47474.88296952,26841566.57394588
2026-05-19 12:30:00,564.0,564.0,563.0,563.0,9998.77978679,5632972.59443085
2026-05-19 12:45:00,564.0,564.0,562.0,564.0,16332.59768712,9198502.21677994
2026-05-19 13:00:00,563.0,564.0,559.0,562.0,50821.61224149,28543112.46180519
2026-05-19 13:15:00,563.0,563.0,560.0,562.0,6217.54310409,3490028.83076299
2026-05-19 13:30:00,563.0,567.0,563.0,565.0,22385.88672619,12644822.21917002
2026-05-19 13:45:00,566.0,568.0,566.0,568.0,21669.89543769,12286775.80950487
2026-05-19 14:00:00,568.0,570.0,567.0,569.0,4866.55570697,2765069.97262793
2026-05-19 14:15:00,568.0,568.0,564.0,568.0,27338.71644807,15468319.55917936
2026-05-19 14:30:00,568.0,575.0,567.0,574.0,172904.309941,99282582.78933951
2026-05-19 14:45:00,574.0,577.0,573.0,574.0,140187.75159037,80603896.62184276
