,open,high,low,close,volume,value
2026-05-12 10:00:00,22.7,22.8,22.7,22.7,439140.19978707,9968504.8792576
2026-05-12 10:15:00,22.6,22.7,22.4,22.6,2701481.34610149,60782257.70198968
2026-05-12 10:30:00,22.6,22.6,22.2,22.2,3263254.69521165,72759353.048014
2026-05-12 10:45:00,22.3,22.4,22.1,22.1,964762.09649224,21411064.38132533
2026-05-12 11:00:00,22.2,22.2,22.1,22.2,696011.94393293,15424656.82483984
2026-05-12 11:15:00,22.1,22.1,22.1,22.1,1061666.57461128,23462831.29890929
2026-05-12 11:30:00,22.1,22.1,22.1,22.1,545886.20765606,12064085.18919893
2026-05-12 11:45:00,22.1,22.2,22.1,22.2,648376.32997402,14387993.95963377
2026-05-12 12:00:00,22.2,22.2,22.2,22.2,191627.13232227,4254122.33755439
2026-05-12 12:15:00,22.2,22.2,22.1,22.1,459019.1057301,10155427.55559211
2026-05-12 12:30:00,22.1,22.2,22.1,22.2,141108.05732648,3124026.82170075
2026-05-12 12:45:00,22.2,22.2,22.1,22.1,955387.04338076,21114085.19024633
2026-05-12 13:00:00,22.1,22.1,22.1,22.1,74546.37450199,1647474.87649398
2026-05-12 13:15:00,22.2,22.2,22.1,22.1,179697.22006106,3971757.75560871
2026-05-12 13:30:00,22.2,22.3,22.1,22.1,534431.7905655,11893626.65335217
2026-05-12 13:45:00,22.1,22.3,22.1,22.1,140828.23534129,3119902.07967795
2026-05-12 14:00:00,22.3,22.3,22.3,22.3,44821.28890711,999514.74262855
2026-05-12 14:15:00,22.3,22.3,22.1,22.2,272004.33826738,6026989.85970498
2026-05-12 14:30:00,22.2,22.3,22.1,22.1,326460.31896992,7233187.97387049
2026-05-12 14:45:00,22.1,22.3,22.1,22.3,968797.52423745,21523725.21022096
2026-05-12 15:00:00,22.2,22.2,22.2,22.2,1754.38596491,38947.368421
2026-05-12 15:15:00,22.2,22.3,22.2,22.3,117263.63210719,2605252.63277962
2026-05-12 15:30:00,22.3,22.3,22.2,22.2,243220.60781702,5401497.49353784
2026-05-12 15:45:00,22.2,22.2,22.1,22.1,265602.68701033,5882098.28674059
2026-05-12 16:00:00,22.1,22.1,22.0,22.1,1603755.7220779,35426189.59693313
2026-05-12 16:15:00,22.2,22.2,22.2,22.2,88960.14664254,1974915.25546439
2026-05-12 16:30:00,22.2,22.3,22.2,22.2,263433.09161699,5854798.93882991
2026-05-12 16:45:00,22.2,22.3,22.2,22.3,1100256.86347967,24533280.37762515
2026-05-12 17:00:00,22.3,22.4,22.3,22.3,463105.2088816,10328139.01520254
2026-05-12 17:15:00,22.3,22.3,22.2,22.2,1417521.21871512,31569496.5855163
2026-05-12 17:30:00,22.2,22.3,22.2,22.3,379978.91120786,8445558.94530109
2026-05-12 17:45:00,22.3,22.3,22.2,22.2,133250.6665222,2961627.74638349
2026-05-12 18:00:00,22.2,22.2,22.2,22.2,402135.19832586,8927401.40283409
2026-05-12 18:15:00,22.2,22.2,22.1,22.1,605641.81048355,13444064.15616009
2026-05-12 18:30:00,22.1,22.2,22.1,22.1,241216.97749801,5335399.70721053
2026-05-12 18:45:00,22.1,22.1,22.1,22.1,358960.51778456,7933027.44303878
2026-05-12 19:00:00,22.1,22.2,22.1,22.2,6031.93907114,133555.85347219
2026-05-12 19:15:00,22.2,22.2,22.0,22.0,2480391.64114222,54614882.13246993
2026-05-12 19:30:00,22.0,22.0,21.9,22.0,1329577.99362538,29199135.13975901
2026-05-12 19:45:00,21.9,21.9,21.8,21.9,2610496.54037282,56963291.18587651
2026-05-12 20:00:00,21.9,22.0,21.8,21.8,3244799.66520202,70939571.74662733
2026-05-12 20:15:00,21.8,21.8,21.7,21.7,775286.60146619,16843733.39733421
2026-05-12 20:30:00,21.7,21.8,21.7,21.8,576361.09525525,12534220.49274144
2026-05-12 20:45:00,21.8,21.8,21.7,21.8,154424.72189138,3364184.0557155
2026-05-12 21:00:00,21.8,21.8,21.8,21.8,821191.25077588,17901969.26691418
2026-05-12 21:15:00,21.8,21.9,21.7,21.8,537092.44899057,11678852.42776295
2026-05-12 21:30:00,21.8,21.9,21.6,21.8,513326.46689822,11150578.42589253
2026-05-12 21:45:00,21.8,21.9,21.8,21.8,708129.95673726,15454717.47382589
2026-05-12 22:00:00,21.9,21.9,21.8,21.8,1189899.97994145,26048918.31435311
2026-05-12 22:15:00,21.8,21.9,21.7,21.7,201089.70172626,4383109.50226161
2026-05-12 22:30:00,21.9,21.9,21.8,21.8,19265.70019944,420313.69267472
2026-05-12 22:45:00,21.9,21.9,21.7,21.7,897732.34779544,19544761.90435846
2026-05-12 23:00:00,21.6,21.7,21.6,21.7,492221.67129386,10675475.77180267
2026-05-12 23:15:00,21.7,21.7,21.5,21.5,826760.76815902,17905491.23832516
2026-05-12 23:30:00,21.5,21.6,21.4,21.6,2111974.19252896,45380085.8875454
2026-05-12 23:45:00,21.6,21.6,21.4,21.4,6655712.90302452,142674322.5460395
2026-05-13 00:00:00,21.4,21.6,21.4,21.4,2188047.55513417,46826218.53162678
2026-05-13 00:15:00,21.4,21.4,21.0,21.1,5206914.96773201,109989484.77373017
2026-05-13 00:30:00,21.1,21.3,21.1,21.2,1214515.84646218,25731679.15722804
2026-05-13 00:45:00,21.3,21.3,21.2,21.2,30125.21621876,638678.05801612
2026-05-13 01:00:00,21.1,21.2,21.1,21.2,848431.31503769,17978017.96606884
2026-05-13 01:15:00,21.2,21.3,21.2,21.2,743602.64602142,15764610.83743814
2026-05-13 01:30:00,21.2,21.2,21.2,21.2,182532.75786987,3869694.46684124
2026-05-13 01:45:00,21.2,21.2,21.1,21.2,332147.2134215,7031132.78990323
2026-05-13 02:00:00,21.1,21.2,21.1,21.1,131115.75101504,2776193.03695208
2026-05-13 02:15:00,21.3,21.4,21.2,21.4,166013.12563208,3538513.76903841
2026-05-13 02:30:00,21.4,21.4,21.4,21.4,118869.58389963,2543809.09545208
2026-05-13 03:15:00,21.4,21.4,21.4,21.4,64018.69158878,1369999.99999989
2026-05-13 03:45:00,21.4,21.4,21.4,21.4,181092.69369986,3875383.645177
2026-05-13 04:00:00,21.4,21.5,21.4,21.5,3425.03886318,73574.76190461
2026-05-13 04:15:00,21.5,21.5,21.5,21.5,7231.44018604,155475.96399986
2026-05-13 04:30:00,21.5,21.6,21.5,21.6,146294.25844444,3146355.3759999
2026-05-13 04:45:00,21.5,21.5,21.5,21.5,6976.74418605,150000.00000008
2026-05-13 05:00:00,21.5,21.5,21.4,21.5,37469.10315402,804564.97725148
2026-05-13 05:15:00,21.5,21.5,21.5,21.5,348.96658428,7502.78156202
2026-05-13 05:45:00,21.6,21.6,21.5,21.6,112992.46582975,2434896.16892092
2026-05-13 06:15:00,21.6,21.7,21.5,21.6,376500.65015943,8114166.82622914
