,open,high,low,close,volume,value
2026-05-18 00:30:00,58.0,58.0,57.8,57.8,1033262.32167016,59904581.75202793
2026-05-18 00:45:00,57.8,58.0,57.7,57.9,178818.28000763,10356245.92902153
2026-05-18 01:00:00,58.0,58.0,57.6,57.6,122196.23554969,7062266.99631716
2026-05-18 01:15:00,57.6,57.6,57.1,57.2,1219921.47440763,69997191.40770271
2026-05-18 01:30:00,57.2,57.5,57.2,57.5,518832.83398568,29807964.48073823
2026-05-18 01:45:00,57.3,57.3,57.1,57.2,218044.58560093,12451601.30241606
2026-05-18 02:00:00,57.1,57.3,56.9,57.1,254678.37447966,14518968.23577359
2026-05-18 02:15:00,57.0,57.1,56.7,57.0,782615.39718906,44558027.79364493
2026-05-18 02:30:00,56.9,57.1,56.7,56.7,66958.14980706,3810003.33124694
2026-05-18 02:45:00,57.0,57.0,56.7,56.8,143198.35079938,8131809.61899948
2026-05-18 03:00:00,56.8,57.0,56.6,56.9,966267.68511584,55018507.10405662
2026-05-18 03:15:00,56.9,56.9,56.3,56.5,794674.31256368,44881164.67800237
2026-05-18 03:30:00,56.5,56.8,56.4,56.5,605923.82117084,34273091.06751682
2026-05-18 03:45:00,56.6,56.7,56.4,56.4,341074.81131713,19286329.54258119
2026-05-18 04:00:00,56.4,56.6,56.1,56.3,137296.48116831,7750259.15234518
2026-05-18 04:15:00,56.2,56.3,56.0,56.1,492048.50028298,27601382.0684565
2026-05-18 04:30:00,56.1,56.4,56.1,56.2,119228.11617865,6690391.54267777
2026-05-18 04:45:00,56.4,56.4,56.2,56.3,36759.71301812,2068432.35580424
2026-05-18 05:00:00,56.4,56.5,56.4,56.4,114100.07457224,6438974.03370524
2026-05-18 05:15:00,56.4,56.4,56.1,56.3,587568.65125081,33080246.21872689
2026-05-18 05:30:00,56.3,56.4,56.1,56.2,111718.04483693,6281417.2839819
2026-05-18 05:45:00,56.2,56.3,56.1,56.2,144385.10287696,8118135.6463881
2026-05-18 06:00:00,56.1,56.3,56.1,56.3,376389.05984311,21156889.05353168
2026-05-18 06:15:00,56.3,56.6,56.3,56.6,143832.94812039,8129085.19308669
2026-05-18 06:30:00,56.6,56.8,56.5,56.7,668541.57081061,37919112.25311568
2026-05-18 06:45:00,56.7,56.7,56.5,56.6,301571.88778369,17079956.48332324
2026-05-18 07:00:00,56.6,56.7,56.3,56.4,587470.93635709,33203017.97397598
2026-05-18 07:15:00,56.5,56.5,56.3,56.5,614936.83158379,34706877.07791248
2026-05-18 07:30:00,56.5,56.7,56.4,56.4,291001.92871485,16418176.76736159
2026-05-18 07:45:00,56.4,56.5,56.2,56.2,964867.67123825,54424981.99981702
2026-05-18 08:00:00,56.2,56.3,55.7,55.8,1174136.09505196,65764176.58861552
2026-05-18 08:15:00,55.8,55.8,55.1,55.4,1163925.80661468,64662207.45884915
2026-05-18 08:30:00,55.3,55.4,53.5,54.0,5149745.75684186,279666091.68369853
2026-05-18 08:45:00,54.0,54.8,53.9,54.6,2829767.39412377,153671124.09365702
2026-05-18 09:00:00,54.8,54.8,53.7,54.4,3523059.17333408,190610420.28249496
2026-05-18 09:15:00,54.4,55.2,54.4,54.9,3599694.03260447,197520833.4038766
2026-05-18 09:30:00,54.9,55.3,54.6,55.3,4511513.91362843,248043487.9607988
2026-05-18 09:45:00,55.2,56.8,54.6,56.5,27737284.7918097,1543064533.6303596
2026-05-18 10:00:00,56.5,57.1,55.6,56.3,26288562.44374372,1483165025.7005482
2026-05-18 10:15:00,56.2,56.7,55.9,56.4,7744243.79950981,435287097.5926751
2026-05-18 10:30:00,56.4,56.9,56.0,56.7,7080496.2826852,400162931.1534926
2026-05-18 10:45:00,56.8,57.7,56.5,57.0,12218227.26234401,697007001.2017827
2026-05-18 11:00:00,57.0,58.7,57.0,58.4,15874176.66021586,920864660.0819589
