,open,high,low,close,volume,value
2026-05-09 22:15:00,212.0,212.0,211.0,211.0,16608.91347901,3506081.44767757
2026-05-09 22:30:00,211.0,212.0,211.0,212.0,13726.96499213,2910008.57833156
2026-05-09 22:45:00,212.0,212.0,212.0,212.0,128.04198113,27144.89999956
2026-05-09 23:00:00,211.0,211.0,211.0,211.0,145160.71790345,30628911.47762795
2026-05-09 23:15:00,211.0,212.0,211.0,212.0,521.1034606,109999.99999792
2026-05-09 23:30:00,212.0,212.0,210.0,210.0,18188.33908582,3826838.06429285
2026-05-09 23:45:00,210.0,212.0,210.0,212.0,9132.92566464,1917981.79523476
2026-05-10 00:00:00,212.0,212.0,210.0,210.0,16775.79524153,3535737.76806261
2026-05-10 00:30:00,210.0,210.0,209.0,209.0,12897.5507335,2707389.79918465
2026-05-10 00:45:00,209.0,210.0,209.0,210.0,27503.71989581,5775311.69455203
2026-05-10 01:15:00,211.0,211.0,211.0,211.0,2000.0,422000.0
2026-05-10 01:30:00,211.0,211.0,210.0,210.0,12993.9722082,2735349.63323842
2026-05-10 01:45:00,211.0,211.0,211.0,211.0,4869.81627668,1027531.23437948
2026-05-10 02:00:00,210.0,211.0,210.0,211.0,500.0,105250.0
2026-05-10 03:15:00,210.0,210.0,210.0,210.0,1545.08172,324467.1612
2026-05-10 03:30:00,210.0,210.0,210.0,210.0,235.8490566,49528.301886
2026-05-10 03:45:00,210.0,210.0,210.0,210.0,1000.0,210000.0
2026-05-10 04:00:00,210.0,210.0,210.0,210.0,1100.0,231000.0
2026-05-10 04:30:00,212.0,212.0,212.0,212.0,23.61320754,5005.99999848
2026-05-10 04:45:00,212.0,212.0,212.0,212.0,14734.98627902,3123817.09115224
2026-05-10 05:45:00,211.0,211.0,211.0,211.0,594.33962264,125405.66037704
2026-05-10 06:15:00,212.0,212.0,212.0,212.0,102.96738423,21829.08545676
2026-05-10 06:45:00,211.0,211.0,210.0,210.0,5028.9099526,1056099.9999986
2026-05-10 07:00:00,210.0,210.0,210.0,210.0,138.88888888,29166.6666648
2026-05-10 07:15:00,211.0,211.0,211.0,211.0,5401.72985781,1139764.99999791
