,open,high,low,close,volume,value
2026-05-15 13:15:00,0.728,0.728,0.726,0.726,2209070.24203346,1604722.43607497
2026-05-15 13:30:00,0.726,0.727,0.722,0.722,23496108.8310058,16997497.2582838
2026-05-15 13:45:00,0.723,0.727,0.723,0.726,12992742.09878409,9411558.08168598
2026-05-15 14:00:00,0.722,0.724,0.722,0.724,5086660.47594926,3677631.79343086
2026-05-15 14:15:00,0.724,0.724,0.723,0.723,3057266.0618352,2211660.33894111
2026-05-15 14:30:00,0.723,0.724,0.72,0.722,45627935.23875316,32913444.78848329
2026-05-15 14:45:00,0.722,0.722,0.719,0.721,10467278.36565057,7542327.37955109
2026-05-15 15:00:00,0.719,0.721,0.716,0.72,8420012.73060471,6048485.22623671
2026-05-15 15:15:00,0.721,0.721,0.721,0.721,501811.63106794,361806.18599998
2026-05-15 15:30:00,0.721,0.723,0.721,0.723,1755259.44799316,1265562.06000307
2026-05-15 15:45:00,0.723,0.723,0.723,0.723,571982.01936375,413542.99999999
2026-05-15 16:00:00,0.723,0.723,0.723,0.723,1548326.80478571,1119440.27986007
2026-05-15 16:15:00,0.723,0.726,0.723,0.726,2492667.73289646,1803724.60700662
2026-05-15 16:30:00,0.726,0.726,0.724,0.726,676981.02536164,490505.77210497
2026-05-15 16:45:00,0.724,0.726,0.724,0.726,365491.8683399,264656.99288745
2026-05-15 17:00:00,0.724,0.724,0.723,0.723,7371761.41889254,5331038.27985337
2026-05-15 17:15:00,0.722,0.722,0.718,0.719,15826008.6015385,11375947.32446339
2026-05-15 17:30:00,0.719,0.719,0.719,0.719,739326.34189847,531575.639825
2026-05-15 17:45:00,0.72,0.72,0.72,0.72,2561773.01102587,1844476.56793863
2026-05-15 18:00:00,0.72,0.721,0.72,0.721,6181357.64560488,4451446.46978443
2026-05-15 18:15:00,0.72,0.72,0.719,0.719,16144628.14503738,11608570.89296066
2026-05-15 18:30:00,0.721,0.721,0.721,0.721,1897264.2991814,1367927.55970979
2026-05-15 18:45:00,0.719,0.72,0.719,0.72,1653393.2407766,1189317.1247362
2026-05-15 19:00:00,0.72,0.721,0.719,0.719,1697110.36905764,1221852.49273817
2026-05-15 19:15:00,0.721,0.721,0.719,0.719,2995325.46980569,2153826.2113899
2026-05-15 19:30:00,0.72,0.72,0.718,0.718,8421567.24524583,6054066.23459807
2026-05-15 20:00:00,0.721,0.723,0.719,0.722,3412504.74989222,2455949.41175339
2026-05-15 20:15:00,0.722,0.722,0.719,0.719,1037273.36883984,746945.28250523
2026-05-15 20:30:00,0.72,0.724,0.719,0.721,7568811.5714864,5449751.68611683
2026-05-15 20:45:00,0.723,0.723,0.719,0.719,2186641.0008535,1577970.6915267
2026-05-15 21:00:00,0.719,0.721,0.719,0.721,5562528.81834232,4000700.97766968
2026-05-15 21:15:00,0.719,0.72,0.718,0.718,6233305.75071788,4477517.67570232
2026-05-15 21:30:00,0.718,0.72,0.716,0.717,26421394.58599452,18937760.46583718
2026-05-15 21:45:00,0.717,0.718,0.715,0.715,13832706.81605226,9901587.82254558
2026-05-15 22:00:00,0.717,0.717,0.713,0.713,16081551.85488908,11496411.67061459
2026-05-15 22:15:00,0.713,0.715,0.713,0.715,3944361.07763274,2819029.59461075
2026-05-15 22:30:00,0.715,0.715,0.704,0.704,135273372.376862,95883352.05820341
2026-05-15 22:45:00,0.704,0.705,0.692,0.695,154307103.16515422,107931531.93717273
2026-05-15 23:00:00,0.695,0.699,0.687,0.695,80174058.44422933,55567041.68849658
2026-05-15 23:15:00,0.695,0.698,0.694,0.694,13388148.28310349,9300497.9449998
2026-05-15 23:30:00,0.696,0.696,0.696,0.696,7687839.95366728,5350736.60775243
2026-05-15 23:45:00,0.698,0.698,0.696,0.697,2163713.46659896,1507165.06939928
2026-05-16 00:00:00,0.697,0.697,0.696,0.697,1781078.82313666,1240251.85839731
2026-05-16 00:15:00,0.696,0.697,0.696,0.697,5625182.03017673,3918067.67014714
2026-05-16 00:30:00,0.697,0.697,0.695,0.695,579324.80690516,402917.684845
2026-05-16 00:45:00,0.694,0.695,0.692,0.695,2655912.22778591,1844641.07179741
2026-05-16 01:00:00,0.695,0.695,0.694,0.694,1148651.01547531,797642.65518554
2026-05-16 01:15:00,0.694,0.697,0.692,0.697,2556231.60541775,1774641.5111391
2026-05-16 01:30:00,0.695,0.698,0.695,0.695,7252202.42331326,5046211.54799515
2026-05-16 01:45:00,0.698,0.698,0.698,0.698,6666.0,4652.868
2026-05-16 02:15:00,0.697,0.697,0.697,0.697,16026.74096477,11170.63845244
2026-05-16 02:30:00,0.7,0.7,0.698,0.698,5858736.12950867,4094737.98309799
2026-05-16 02:45:00,0.698,0.7,0.698,0.7,3878244.24377518,2708958.18845793
2026-05-16 03:00:00,0.702,0.703,0.701,0.701,1716164.43100533,1203410.69630461
2026-05-16 03:15:00,0.703,0.703,0.7,0.7,1606209.17652642,1127221.72203371
2026-05-16 03:30:00,0.7,0.7,0.7,0.7,428571.42857142,299999.99999999
2026-05-16 03:45:00,0.699,0.699,0.699,0.699,380723.77375113,266125.91785204
2026-05-16 04:00:00,0.698,0.699,0.697,0.697,1186490.02535375,827817.03053472
2026-05-16 04:15:00,0.698,0.698,0.696,0.696,725720.53268796,505118.6827279
2026-05-16 04:30:00,0.698,0.698,0.695,0.695,1405247.9614804,977075.29328594
2026-05-16 04:45:00,0.695,0.697,0.695,0.697,12722959.38911336,8845803.14417514
2026-05-16 05:00:00,0.697,0.697,0.694,0.694,631153.37450984,439741.24578336
2026-05-16 05:15:00,0.696,0.696,0.694,0.694,2207664.19148911,1532742.33180712
2026-05-16 05:30:00,0.694,0.694,0.694,0.694,141643.05949008,98300.28328612
2026-05-16 05:45:00,0.697,0.697,0.694,0.695,2591995.80726354,1800683.26807017
2026-05-16 06:00:00,0.697,0.697,0.694,0.697,18148675.68382379,12608106.95162518
2026-05-16 06:15:00,0.696,0.697,0.696,0.696,2206406.54940951,1535665.62438902
2026-05-16 06:30:00,0.696,0.697,0.694,0.697,682752.07571251,474042.12782034
2026-05-16 06:45:00,0.697,0.697,0.694,0.694,2872451.13735542,1998253.63155109
2026-05-16 07:00:00,0.697,0.699,0.697,0.699,945394.58941344,660808.81521999
2026-05-16 07:15:00,0.699,0.7,0.699,0.699,3839361.41334688,2683742.19935804
2026-05-16 07:30:00,0.699,0.699,0.697,0.697,4972563.76102182,3473242.38006065
2026-05-16 07:45:00,0.698,0.7,0.698,0.7,1419230.39829612,992768.8449972
2026-05-16 08:00:00,0.699,0.701,0.699,0.701,5549555.16925836,3883015.35318392
2026-05-16 08:15:00,0.701,0.701,0.7,0.7,1975206.57963278,1382662.49813342
2026-05-16 08:30:00,0.7,0.702,0.699,0.699,12005946.63119625,8395240.58626364
2026-05-16 08:45:00,0.699,0.699,0.698,0.699,15844652.21325077,11075268.63058664
2026-05-16 09:00:00,0.698,0.704,0.698,0.701,10798841.42665545,7577328.87552026
2026-05-16 09:15:00,0.702,0.704,0.701,0.704,5589766.28449856,3922859.91562177
2026-05-16 09:30:00,0.702,0.704,0.702,0.704,16239.48295599,11414.39053938
2026-05-16 09:45:00,0.704,0.704,0.702,0.702,449173.26699406,316203.1561571
2026-05-16 10:00:00,0.702,0.704,0.702,0.704,77891.07122508,54692.86400001
2026-05-16 10:15:00,0.704,0.704,0.702,0.702,1821833.56779403,1278955.57368232
2026-05-16 10:30:00,0.702,0.702,0.701,0.701,3742070.63252892,2623240.91444551
2026-05-16 10:45:00,0.702,0.702,0.702,0.702,1043822.96544277,732763.72174082
2026-05-16 11:00:00,0.702,0.702,0.702,0.702,2666007.73701467,1871537.4313843
2026-05-16 11:15:00,0.703,0.704,0.702,0.704,6730266.91412653,4728941.84517641
2026-05-16 11:30:00,0.7,0.7,0.7,0.7,4739267.98096853,3317487.58667797
2026-05-16 11:45:00,0.701,0.703,0.7,0.7,1450615.46312093,1015735.53242772
2026-05-16 12:00:00,0.701,0.701,0.7,0.7,424348.27542787,297113.72089937
2026-05-16 12:15:00,0.701,0.701,0.701,0.701,1552003.17449405,1087954.22532033
2026-05-16 12:30:00,0.7,0.701,0.696,0.699,7921772.28687879,5527376.02322529
2026-05-16 12:45:00,0.699,0.699,0.697,0.697,2271247.7763709,1583218.78867108
2026-05-16 13:00:00,0.697,0.697,0.696,0.696,3139916.15250077,2185422.60770725
2026-05-16 13:15:00,0.695,0.695,0.692,0.692,2668486.39941902,1849471.67883304
2026-05-16 13:30:00,0.691,0.695,0.687,0.689,13689601.51128578,9445506.22977273
2026-05-16 13:45:00,0.687,0.687,0.686,0.686,24457014.12276148,16785253.6279026
2026-05-16 14:00:00,0.688,0.688,0.685,0.686,24368161.96115221,16708721.2624458
2026-05-16 14:15:00,0.687,0.69,0.687,0.69,2289465.54653684,1572941.72788224
2026-05-16 14:30:00,0.689,0.689,0.685,0.688,28535390.24200728,19568168.99519648
2026-05-16 14:45:00,0.685,0.685,0.684,0.684,7757277.01332724,5308003.04653113
