,open,high,low,close,volume,value
2026-05-16 13:15:00,157.0,158.0,157.0,158.0,73098.37227838,11544542.81998404
2026-05-16 13:30:00,158.0,158.0,154.0,156.0,1100202.18353289,170724145.5252455
2026-05-16 13:45:00,156.0,156.0,154.0,155.0,291661.90102174,45262984.3988334
2026-05-16 14:00:00,156.0,156.0,154.0,156.0,425694.7798515,66140969.42485402
2026-05-16 14:15:00,156.0,157.0,155.0,157.0,47098.76742696,7348308.17649349
2026-05-16 14:30:00,156.0,157.0,156.0,156.0,162294.38813801,25319125.52865782
2026-05-16 14:45:00,155.0,155.0,152.0,154.0,899178.23750927,138183101.214819
2026-05-16 15:00:00,154.0,154.0,153.0,153.0,408763.50586425,62704581.66913518
2026-05-16 15:15:00,153.0,154.0,152.0,154.0,212882.21643307,32554198.20306135
2026-05-16 15:30:00,154.0,154.0,152.0,153.0,305741.58675028,46784988.6052817
2026-05-16 15:45:00,153.0,153.0,152.0,153.0,114846.02582549,17569200.96702234
2026-05-16 16:00:00,154.0,154.0,151.0,151.0,510700.74171378,78152295.34089203
2026-05-16 16:15:00,151.0,151.0,148.0,151.0,660238.48343189,99356902.87157926
2026-05-16 16:30:00,152.0,152.0,151.0,152.0,116218.52572531,17664560.72903906
2026-05-16 16:45:00,152.0,152.0,151.0,152.0,79780.69236887,12116865.92405462
2026-05-16 17:00:00,152.0,153.0,152.0,153.0,221647.65618544,33862338.89903919
2026-05-16 17:15:00,152.0,153.0,151.0,151.0,130357.4321592,19813806.6500581
2026-05-16 17:30:00,152.0,152.0,151.0,151.0,161759.16918884,24487419.69815741
2026-05-16 17:45:00,151.0,152.0,150.0,151.0,185993.56351848,28047114.54719435
2026-05-16 18:00:00,151.0,153.0,151.0,152.0,154426.51637536,23460997.25476309
2026-05-16 18:15:00,151.0,151.0,149.0,150.0,552638.56043473,82646023.67479435
2026-05-16 18:30:00,151.0,152.0,151.0,152.0,86818.77748804,13111999.4927993
2026-05-16 18:45:00,151.0,151.0,151.0,151.0,88891.97461929,13422688.16751279
2026-05-16 19:00:00,151.0,151.0,150.0,150.0,69080.66344075,10408733.50369121
2026-05-16 19:15:00,150.0,150.0,149.0,150.0,109864.00902883,16473970.93821943
2026-05-16 19:30:00,150.0,150.0,150.0,150.0,6359.67213114,953950.819671
2026-05-16 19:45:00,150.0,152.0,150.0,152.0,132694.5719318,20033230.94305169
