,open,high,low,close,volume,value
2026-05-14 11:30:00,38.1,38.1,38.0,38.1,233631.99546611,8883163.79965796
2026-05-14 11:45:00,38.1,38.1,37.6,37.7,1196956.78298297,45200313.79093963
2026-05-14 12:00:00,37.7,37.8,37.4,37.4,2206898.29637208,82819568.14931013
2026-05-14 12:15:00,37.3,37.3,36.9,37.2,2705019.98382571,100323807.1848513
2026-05-14 12:30:00,37.2,37.3,37.0,37.0,252786.10545127,9364247.43410309
2026-05-14 12:45:00,37.0,37.1,36.9,36.9,740791.42769617,27394596.3516828
2026-05-14 13:00:00,37.1,37.2,37.0,37.0,135088.60057941,5011942.36429181
2026-05-14 13:15:00,37.0,37.2,37.0,37.2,61121.88549515,2263957.29682177
2026-05-14 13:30:00,37.2,37.4,37.2,37.3,179007.96118462,6689272.72131414
2026-05-14 13:45:00,37.3,37.5,37.3,37.4,721704.86882719,27052428.647212
2026-05-14 14:00:00,37.5,37.6,37.4,37.6,41498.15386562,1556179.8641923
2026-05-14 14:15:00,37.4,37.6,37.4,37.6,206926.7087353,7747703.13381073
2026-05-14 14:30:00,37.6,37.7,37.6,37.6,1229146.57379103,46318907.02799531
2026-05-14 14:45:00,37.5,37.8,37.5,37.7,138461.6000924,5219698.30796562
2026-05-14 15:00:00,37.8,38.2,37.8,38.0,210266.4414431,7982375.59460561
2026-05-14 15:15:00,38.0,38.0,37.9,38.0,427614.97945219,16249350.89457589
2026-05-14 15:30:00,38.0,38.1,38.0,38.1,155855.52627425,5924509.9984215
2026-05-14 15:45:00,38.1,38.2,38.1,38.2,263283.71341441,10031135.65909949
2026-05-14 16:00:00,38.0,38.0,38.0,38.0,101308.12984126,3849708.93396788
2026-05-14 16:15:00,37.9,38.1,37.9,38.1,25647.33619312,974187.04064141
2026-05-14 16:30:00,38.1,38.3,38.1,38.2,373122.55269929,14245771.83602285
2026-05-14 16:45:00,38.2,38.2,38.0,38.1,50561.96015307,1927628.70890287
2026-05-14 17:00:00,38.1,38.1,37.9,38.1,203167.05319512,7716118.99965304
2026-05-14 17:15:00,38.1,38.1,38.0,38.0,86169.68280753,3279805.22621304
2026-05-14 17:30:00,38.1,38.1,38.1,38.1,2025.64060616,77176.9070947
2026-05-14 17:45:00,38.1,38.1,37.8,37.8,305159.63435735,11553323.99461113
2026-05-14 18:00:00,37.8,37.8,37.6,37.7,292382.75225704,11001853.22222748
2026-05-14 18:15:00,37.8,37.8,37.6,37.7,1102303.35986958,41496858.31338472
2026-05-14 18:30:00,37.6,37.6,37.4,37.6,179123.00841963,6723071.86091588
2026-05-14 18:45:00,37.6,37.6,37.5,37.5,95529.69148935,3591866.39999956
