,open,high,low,close,volume,value
2026-05-12 20:45:00,54.7,54.8,54.6,54.6,58802.07213364,3216474.65479286
2026-05-12 21:00:00,54.6,54.8,54.6,54.7,82389.699053,4502052.663798
2026-05-12 21:15:00,54.7,54.9,54.7,54.9,137785.78666613,7556690.75435823
2026-05-12 21:30:00,54.7,54.9,54.6,54.9,141603.8444472,7733468.00728914
2026-05-12 21:45:00,54.9,55.0,54.9,54.9,342046.92830262,18798613.18941433
2026-05-12 22:00:00,55.0,55.1,54.9,55.1,156849.68078486,8629741.64059146
2026-05-12 22:15:00,55.0,55.1,54.7,54.9,259293.23771157,14206085.89031939
2026-05-12 22:30:00,54.8,54.9,54.6,54.9,25326.55839145,1386088.91799621
2026-05-12 22:45:00,54.9,55.0,54.7,54.9,59323.64457843,3256826.34546534
2026-05-12 23:00:00,54.7,54.9,54.6,54.8,248107.45403701,13568750.48612666
2026-05-12 23:15:00,54.7,54.8,54.6,54.6,146248.02907882,7995279.38005138
2026-05-12 23:30:00,54.6,54.8,54.2,54.6,1172472.15463225,63868045.17856353
2026-05-12 23:45:00,54.7,54.8,54.4,54.4,31008.940106,1691680.64324224
2026-05-13 00:00:00,54.8,54.8,54.5,54.7,97007.82726478,5314767.39304499
2026-05-13 00:15:00,54.6,54.7,54.5,54.7,118844.48566817,6487995.82488076
2026-05-13 00:30:00,54.6,54.7,54.3,54.4,195178.62362401,10636166.11100188
2026-05-13 00:45:00,54.3,54.6,54.2,54.2,16804.06786331,913660.30588201
2026-05-13 01:00:00,54.3,54.3,54.2,54.2,184.88048382,10032.87598304
2026-05-13 01:15:00,54.2,54.7,54.2,54.7,16017.28991021,874114.56374168
2026-05-13 01:30:00,54.7,54.7,54.2,54.2,25732.74,1401578.75088766
2026-05-13 01:45:00,54.4,54.6,54.2,54.5,250186.71145658,13581399.29486118
2026-05-13 02:00:00,54.5,54.6,54.2,54.6,40698.00079335,2215613.83825141
2026-05-13 02:15:00,54.6,54.6,54.6,54.6,33792.52038464,1845071.61300134
2026-05-13 02:30:00,54.6,54.7,54.6,54.7,364.37460703,19909.12869835
