,open,high,low,close,volume,value
2026-05-04 21:45:00,30.9,30.9,30.9,30.9,162932.327874,5034608.9313066
2026-05-04 22:00:00,30.9,30.9,30.9,30.9,972.43723414,30048.31053493
2026-05-04 22:15:00,30.9,30.9,30.9,30.9,38918.77063708,1202590.01268577
2026-05-04 22:30:00,30.9,31.1,30.9,30.9,104262.92666536,3235373.0448921
2026-05-04 22:45:00,31.0,31.0,30.9,31.0,24296.21206436,753150.41965432
2026-05-04 23:00:00,31.0,31.0,31.0,31.0,5423.935483,168141.999973
2026-05-04 23:15:00,31.0,31.1,31.0,31.1,150400.59500541,4664793.88124388
2026-05-04 23:30:00,31.1,31.1,31.1,31.1,55892.66460017,1738261.86906529
2026-05-04 23:45:00,31.1,31.1,31.0,31.1,16532.41974761,514135.67350551
2026-05-05 00:00:00,31.1,31.1,31.0,31.1,83148.67498722,2585277.67503163
2026-05-05 00:15:00,31.1,31.1,31.1,31.1,26722.22249004,831061.11944024
2026-05-05 00:45:00,31.1,31.1,31.1,31.1,50820.57097723,1580519.75739185
2026-05-05 01:00:00,31.1,31.1,31.1,31.1,31064.14638339,966094.95252343
2026-05-05 01:15:00,31.1,31.1,31.0,31.0,1470.883891,45725.05154098
2026-05-05 02:30:00,31.1,31.2,31.1,31.2,38330.62157621,1192723.35666116
2026-05-05 02:45:00,31.2,31.2,31.1,31.1,56572.32252316,1763393.74282948
2026-05-05 03:15:00,31.2,31.2,31.2,31.2,50635.00304771,1579812.09508855
2026-05-05 04:45:00,31.2,31.3,31.2,31.3,195129.11120976,6088092.16750809
2026-05-05 05:00:00,31.3,31.3,31.3,31.3,15974.44089456,499999.99999973
2026-05-05 05:15:00,31.3,31.3,31.3,31.3,3609.56869008,112979.4999995
2026-05-05 05:30:00,31.2,31.3,31.2,31.3,70944.02235536,2218893.24726091
2026-05-05 06:00:00,31.3,31.3,31.3,31.3,13789.33536426,431606.19690134
2026-05-05 06:15:00,31.2,31.2,31.2,31.2,590.1233,18411.84696
2026-05-05 07:00:00,31.2,31.2,31.2,31.2,3249.7348,101391.72576
2026-05-05 07:15:00,31.2,31.2,31.2,31.2,89757.0899,2800421.20488
2026-05-05 07:30:00,31.2,31.3,31.1,31.1,135268.10744144,4218919.56176186
2026-05-05 07:45:00,31.2,31.2,31.2,31.2,759.2627923,23688.99911976
2026-05-05 08:00:00,31.2,31.2,31.2,31.2,1592.35668789,49681.52866217
2026-05-05 08:15:00,31.2,31.2,31.2,31.2,320.5128205,9999.9999996
2026-05-05 08:30:00,31.2,31.2,31.2,31.2,16025.64102564,499999.99999997
