,open,high,low,close,volume,value
2026-05-14 14:15:00,91.6,91.8,91.6,91.7,16810.425168,1540472.90127723
2026-05-14 14:30:00,91.7,92.0,91.7,91.9,34950.99429638,3212319.57906856
2026-05-14 14:45:00,92.1,92.5,92.0,92.2,27668.28248884,2551656.55491219
2026-05-14 15:00:00,92.1,92.2,92.0,92.2,31143.19338814,2869991.03747823
2026-05-14 15:15:00,92.1,92.2,91.9,91.9,125653.30337149,11553558.09848376
2026-05-14 15:30:00,91.9,92.1,91.9,91.9,14731.98638638,1356062.86052613
2026-05-14 15:45:00,92.1,92.1,91.9,91.9,5700.95548316,525003.71118253
2026-05-14 16:00:00,91.9,91.9,91.4,91.8,96792.66537582,8865468.71701394
2026-05-14 16:15:00,91.4,91.7,91.4,91.7,28423.63827548,2598280.47294811
2026-05-14 16:30:00,91.5,91.5,91.3,91.5,45133.95516914,4129012.22666009
2026-05-14 16:45:00,91.4,91.5,91.2,91.2,239399.75363264,21837404.89215824
2026-05-14 17:00:00,91.5,91.5,91.0,91.0,161349.5879079,14709101.21143912
2026-05-14 17:15:00,91.1,91.2,91.1,91.2,31347.45488365,2856520.68376016
2026-05-14 17:30:00,91.5,92.0,91.5,91.8,24064.32194047,2202286.57443366
2026-05-14 17:45:00,91.8,91.8,91.4,91.7,4778.89717137,438202.69645526
2026-05-14 18:00:00,91.3,91.7,91.1,91.4,65821.82328728,6000364.80694923
2026-05-14 18:15:00,91.1,91.1,91.1,91.1,4971.81352127,452932.2117877
2026-05-14 18:30:00,91.4,91.4,91.1,91.1,81332.20617719,7410426.58128772
2026-05-14 18:45:00,91.0,91.1,90.9,90.9,212365.98977126,19305598.27070246
2026-05-14 19:00:00,91.1,91.2,91.0,91.2,20396.39572627,1858532.82000795
2026-05-14 19:15:00,91.2,91.5,91.2,91.5,20684.64471569,1887704.01254157
2026-05-14 19:30:00,91.5,91.9,91.5,91.7,139837.88860454,12807896.84137039
2026-05-14 19:45:00,91.6,92.4,91.6,92.4,28373.40025472,2612810.56951408
2026-05-14 20:00:00,92.5,92.7,92.3,92.6,70430.61257492,6512182.57641505
2026-05-14 20:15:00,92.6,93.0,92.4,92.4,151052.78908671,14017035.64098061
2026-05-14 20:30:00,92.3,92.3,91.8,91.8,68220.63584512,6278237.02708373
2026-05-14 20:45:00,91.8,92.1,91.5,92.0,276767.97334921,25363115.39862809
2026-05-14 21:00:00,91.8,92.0,91.7,92.0,62445.41673981,5740075.21303164
2026-05-14 21:15:00,92.0,93.3,91.7,91.7,467149.90306158,43134779.03457612
2026-05-14 21:30:00,92.1,92.7,92.1,92.6,152149.71523802,14059345.40436189
2026-05-14 21:45:00,92.2,92.5,92.2,92.2,33337.52295613,3073768.3003419
2026-05-14 22:00:00,92.4,92.6,92.3,92.6,29325.14091798,2706748.32621568
2026-05-14 22:15:00,92.6,92.7,92.3,92.3,72627.45332154,6729292.0407591
2026-05-14 22:30:00,92.5,92.8,92.2,92.6,205430.93203984,19004534.37481116
2026-05-14 22:45:00,92.8,92.9,92.4,92.8,20070.94727782,1860232.48955002
2026-05-14 23:00:00,92.1,92.6,92.1,92.1,39840.54423633,3676125.16746013
2026-05-14 23:15:00,92.1,92.6,92.1,92.6,58698.52495387,5416033.86233485
2026-05-14 23:30:00,92.2,93.2,92.2,93.2,17228.76374348,1595355.30536443
2026-05-14 23:45:00,93.2,93.4,92.8,93.4,231037.75543213,21490413.04632418
2026-05-15 00:00:00,93.5,93.5,92.6,93.1,63550.62220202,5915064.87206623
2026-05-15 00:15:00,93.1,93.4,93.1,93.4,8814.005573,821498.34945544
2026-05-15 00:30:00,93.4,93.4,93.4,93.4,23336.77408725,2179654.69974915
2026-05-15 00:45:00,93.4,93.5,93.0,93.5,119406.27128094,11110755.30749618
2026-05-15 01:00:00,93.5,93.7,93.2,93.2,27138.99366298,2536258.04546145
2026-05-15 01:15:00,93.7,93.7,93.2,93.2,16725.7380647,1565585.8703673
2026-05-15 01:45:00,93.0,93.0,92.5,92.5,138890.38637995,12901629.50564634
2026-05-15 02:00:00,92.8,93.5,92.8,93.2,30425.55051964,2838092.39725454
2026-05-15 02:15:00,92.9,92.9,92.8,92.8,13317.63746759,1236130.93453222
2026-05-15 02:30:00,92.8,93.3,92.8,93.3,3699.15790059,344707.48602617
2026-05-15 02:45:00,93.3,93.5,93.3,93.4,3695.19758173,345001.00181393
2026-05-15 03:00:00,93.1,93.6,93.1,93.6,11262.03206398,1051070.68515654
2026-05-15 03:15:00,93.5,93.5,93.1,93.1,5988.71122995,559687.81550835
2026-05-15 03:30:00,93.5,93.5,93.2,93.3,101233.21864951,9440663.49999928
2026-05-15 03:45:00,93.3,93.3,93.3,93.3,32203.04324489,3004543.93474824
2026-05-15 04:00:00,93.3,93.3,93.3,93.3,8181.05609485,763292.53364951
2026-05-15 04:15:00,93.5,93.5,93.0,93.0,76860.58042061,7173717.38139135
2026-05-15 04:45:00,93.1,93.3,93.1,93.2,6627.93747108,617297.01478477
2026-05-15 05:00:00,93.2,93.2,93.0,93.0,19707.5476155,1834414.60208867
2026-05-15 05:15:00,93.0,93.1,93.0,93.0,113110.46492384,10520155.08025775
2026-05-15 05:30:00,92.9,92.9,92.9,92.9,7879.44736212,732000.65994095
2026-05-15 05:45:00,92.9,93.0,92.7,93.0,101541.19470231,9426163.90016847
2026-05-15 06:00:00,93.0,93.2,93.0,93.2,4480.61378617,416740.00056874
2026-05-15 06:15:00,93.2,93.2,93.2,93.2,1072.96137339,99999.99999995
2026-05-15 06:30:00,93.0,93.2,93.0,93.2,343481.76321746,31946233.44196346
2026-05-15 06:45:00,93.2,93.4,93.0,93.3,76163.47717838,7100737.55777294
2026-05-15 07:00:00,93.2,93.2,93.2,93.2,2144.85032162,199900.04997498
2026-05-15 07:15:00,93.3,93.4,93.3,93.4,27140.22177079,2534882.5496446
2026-05-15 07:30:00,93.4,93.4,93.4,93.4,22226.62758555,2075967.01649037
2026-05-15 07:45:00,93.3,93.3,93.1,93.1,33890.65689106,3158793.00176377
2026-05-15 08:00:00,93.0,93.0,92.7,92.7,46717.7881891,4338977.23000241
2026-05-15 08:15:00,92.4,92.9,92.4,92.9,20291.29472981,1881063.65417603
2026-05-15 08:30:00,92.8,92.8,92.8,92.8,85.4062353,7925.69863584
2026-05-15 08:45:00,92.6,92.6,91.9,92.4,172524.68664854,15896100.72986831
