,open,high,low,close,volume,value
2026-05-16 18:15:00,233.0,234.0,233.0,234.0,40029.30976474,9338426.55938309
2026-05-16 18:30:00,234.0,234.0,229.0,229.0,504757.15941865,116401487.24561466
2026-05-16 18:45:00,229.0,229.0,225.0,225.0,234555.48609329,53193438.57593502
2026-05-16 19:00:00,225.0,225.0,222.0,222.0,165832.26336457,37078960.46033963
2026-05-16 19:15:00,224.0,224.0,222.0,223.0,166874.46544816,37172124.85622822
2026-05-16 19:30:00,223.0,223.0,222.0,222.0,119939.98801603,26639751.4964264
2026-05-16 19:45:00,222.0,223.0,221.0,222.0,233709.17739857,51903056.33100683
2026-05-16 20:00:00,222.0,223.0,222.0,222.0,117230.12146606,26075980.78705449
2026-05-16 20:15:00,222.0,223.0,221.0,221.0,145116.8769184,32209611.7234811
2026-05-16 20:30:00,221.0,223.0,221.0,222.0,50263.16738264,11148752.15138277
2026-05-16 20:45:00,222.0,222.0,221.0,221.0,15612.41247844,3457615.36397446
2026-05-16 21:00:00,221.0,222.0,221.0,221.0,1564.25718837,346241.31613875
2026-05-16 21:15:00,221.0,222.0,216.0,216.0,326574.13771234,71488793.33800097
2026-05-16 21:30:00,216.0,217.0,214.0,215.0,479767.47989057,103168971.98980263
2026-05-16 21:45:00,215.0,219.0,215.0,217.0,167234.32807762,36283400.74933468
2026-05-16 22:00:00,217.0,219.0,217.0,217.0,70457.99260478,15305970.20397153
2026-05-16 22:15:00,217.0,219.0,217.0,218.0,27361.82128111,5970915.47319996
2026-05-16 22:30:00,218.0,222.0,218.0,221.0,159982.32655683,35249551.32971683
2026-05-16 22:45:00,221.0,223.0,220.0,221.0,172663.39468171,38328638.81115163
2026-05-16 23:00:00,220.0,221.0,220.0,220.0,55183.29603574,12140371.56165947
2026-05-16 23:15:00,219.0,220.0,218.0,220.0,170205.95579595,37136463.44845256
2026-05-16 23:30:00,220.0,222.0,220.0,222.0,68683.23778031,15183983.43781923
2026-05-16 23:45:00,222.0,224.0,222.0,222.0,121362.30844709,27006301.01998244
2026-05-17 00:00:00,222.0,223.0,221.0,223.0,185123.57011821,40929201.45031302
2026-05-17 00:15:00,223.0,224.0,223.0,224.0,22932.76968866,5114308.85249587
2026-05-17 00:30:00,224.0,224.0,224.0,224.0,66.96874999,15000.99999776
2026-05-17 00:45:00,224.0,224.0,224.0,224.0,868.391697,194519.740128
2026-05-17 01:00:00,223.0,225.0,223.0,225.0,20786.12116399,4668597.72402156
2026-05-17 01:15:00,224.0,225.0,223.0,224.0,1569.50210809,351472.9166566
2026-05-17 01:30:00,224.0,224.0,223.0,223.0,9432.17061414,2105451.18981036
2026-05-17 01:45:00,224.0,224.0,223.0,223.0,15673.59223627,3496136.25346843
2026-05-17 02:00:00,223.0,223.0,223.0,223.0,2140.0,477220.0
2026-05-17 02:15:00,223.0,223.0,223.0,223.0,44.84304932,9999.99999836
2026-05-17 02:45:00,225.0,225.0,225.0,225.0,506.66666666,113999.9999985
2026-05-17 03:00:00,225.0,225.0,223.0,224.0,13547.92484422,3034520.57857112
2026-05-17 03:15:00,224.0,224.0,224.0,224.0,19458.29880115,4358658.9314576
2026-05-17 03:30:00,224.0,224.0,224.0,224.0,20044.64285715,4490000.0000016
2026-05-17 03:45:00,225.0,225.0,225.0,225.0,26.0,5850.0
2026-05-17 04:00:00,225.0,225.0,225.0,225.0,88.8854,19999.215
2026-05-17 04:15:00,225.0,225.0,225.0,225.0,31.11111111,6999.99999975
2026-05-17 04:30:00,225.0,225.0,225.0,225.0,44.44444444,9999.999999
2026-05-17 05:00:00,225.0,227.0,225.0,225.0,70949.6077114,16072077.42195698
2026-05-17 05:15:00,227.0,228.0,227.0,228.0,4781.82500141,1089015.53131399
2026-05-17 05:45:00,227.0,227.0,227.0,227.0,5913.00198335,1342251.45022045
2026-05-17 06:00:00,228.0,228.0,228.0,228.0,1057.1947044,241040.3926032
2026-05-17 06:15:00,228.0,228.0,228.0,228.0,30.70175438,6999.99999864
2026-05-17 06:30:00,228.0,228.0,227.0,227.0,42907.550689,9779259.83121481
2026-05-17 07:00:00,227.0,228.0,227.0,227.0,19329.45876465,4387835.67204308
2026-05-17 07:15:00,227.0,227.0,226.0,226.0,36386.31819611,8259535.2581632
2026-05-17 07:30:00,226.0,226.0,226.0,226.0,2541.61461869,574404.90382394
2026-05-17 07:45:00,228.0,228.0,228.0,228.0,60.70175438,13839.99999864
2026-05-17 08:00:00,228.0,228.0,228.0,228.0,4685.96491228,1068399.99999984
2026-05-17 08:15:00,228.0,228.0,228.0,228.0,15853.60293422,3614621.46900216
2026-05-17 08:30:00,228.0,230.0,228.0,228.0,58626.33347846,13369864.09601436
2026-05-17 08:45:00,230.0,230.0,229.0,230.0,5637.95454716,1294555.63280333
2026-05-17 09:00:00,229.0,234.0,229.0,234.0,162155.78862985,37603462.41451267
2026-05-17 09:15:00,234.0,234.0,233.0,233.0,19684.70164416,4591022.55579224
2026-05-17 09:30:00,233.0,235.0,233.0,234.0,5541.71057935,1299169.00517407
2026-05-17 09:45:00,233.0,233.0,231.0,231.0,48799.97182547,11328747.43773651
2026-05-17 10:00:00,231.0,231.0,230.0,230.0,72246.32216179,16660539.57174035
2026-05-17 10:15:00,231.0,231.0,229.0,230.0,4470.09214666,1024865.51799184
2026-05-17 10:30:00,229.0,229.0,227.0,227.0,19289.62506579,4394078.18312239
2026-05-17 10:45:00,228.0,228.0,226.0,228.0,41671.08443335,9481967.0757578
2026-05-17 11:00:00,228.0,228.0,228.0,228.0,211.175,48147.9
2026-05-17 11:15:00,227.0,227.0,227.0,227.0,7158.37319435,1624950.71511745
2026-05-17 11:30:00,227.0,227.0,226.0,227.0,40394.26397204,9146196.83979066
2026-05-17 11:45:00,228.0,228.0,228.0,228.0,81372.47604268,18552924.53773104
2026-05-17 12:00:00,228.0,228.0,227.0,227.0,25351.2482435,5768781.56531275
2026-05-17 12:15:00,227.0,227.0,226.0,227.0,90070.452626,20363733.29978618
2026-05-17 12:30:00,228.0,228.0,227.0,228.0,1882.7178342,428386.44585862
2026-05-17 12:45:00,227.0,228.0,226.0,228.0,82423.6476686,18791289.44141274
2026-05-17 13:00:00,229.0,230.0,229.0,230.0,20392.56639449,4687407.80580921
2026-05-17 13:15:00,230.0,230.0,230.0,230.0,111520.58806961,25649735.2560103
2026-05-17 13:30:00,230.0,231.0,230.0,231.0,9305.0,2140495.0
2026-05-17 13:45:00,231.0,231.0,230.0,230.0,61645.8761704,14181160.92511832
2026-05-17 14:00:00,230.0,230.0,229.0,229.0,87612.73866449,20068089.29287252
2026-05-17 14:15:00,229.0,230.0,229.0,229.0,38215.76492175,8751583.32725391
2026-05-17 14:30:00,229.0,229.0,228.0,228.0,61229.10931483,14020194.74240175
2026-05-17 14:45:00,227.0,228.0,227.0,228.0,37267.06675609,8479624.22038852
2026-05-17 15:00:00,228.0,228.0,228.0,228.0,88.21052631,20111.99999868
2026-05-17 15:15:00,228.0,228.0,228.0,228.0,700.0,159600.0
