,open,high,low,close,volume,value
2026-05-10 15:30:00,142.0,143.0,142.0,143.0,212200.75917512,30342362.31732415
2026-05-10 15:45:00,143.0,144.0,143.0,144.0,82861.59871329,11853251.55980634
2026-05-10 16:00:00,144.0,144.0,143.0,143.0,23668.64871009,3392393.15512584
2026-05-10 16:15:00,144.0,144.0,144.0,144.0,69.44444444,9999.99999936
2026-05-10 16:30:00,144.0,144.0,144.0,144.0,91077.45194046,13115153.07942624
2026-05-10 16:45:00,144.0,145.0,144.0,145.0,139987.02929008,20275305.09340266
2026-05-10 17:00:00,145.0,146.0,145.0,146.0,91350.13997268,13247822.35768243
2026-05-10 17:15:00,146.0,146.0,145.0,145.0,114752.26530093,16654630.55596361
2026-05-10 17:30:00,146.0,146.0,145.0,146.0,8623.50350698,1251161.43316962
2026-05-10 17:45:00,145.0,146.0,145.0,145.0,8897.19549617,1293581.58578024
2026-05-10 18:00:00,145.0,145.0,145.0,145.0,2913.14423494,422405.9140663
2026-05-10 18:15:00,145.0,146.0,145.0,145.0,76870.72861361,11146324.14212413
2026-05-10 18:30:00,145.0,145.0,145.0,145.0,7216.55172413,1046399.99999885
2026-05-10 18:45:00,145.0,145.0,144.0,144.0,106.14395645,15352.29729636
2026-05-10 19:00:00,145.0,145.0,144.0,145.0,17756.50749271,2564419.62684294
2026-05-10 19:30:00,144.0,144.0,144.0,144.0,35.46,5106.24
2026-05-10 19:45:00,144.0,145.0,144.0,144.0,30889.52928825,4449092.21750799
2026-05-10 20:00:00,144.0,144.0,144.0,144.0,5630.36954233,810773.21409552
2026-05-10 20:15:00,145.0,146.0,145.0,146.0,1273438.3242075,185329644.09470558
2026-05-10 20:30:00,146.0,147.0,146.0,146.0,55395.07772713,8096041.1304739
2026-05-10 20:45:00,147.0,147.0,147.0,147.0,157195.62595246,23107757.01501162
2026-05-10 21:00:00,146.0,146.0,146.0,146.0,72307.04657533,10556828.79999818
2026-05-10 21:15:00,146.0,147.0,146.0,147.0,11462.34796987,1681521.93985158
2026-05-10 21:30:00,146.0,148.0,146.0,148.0,80146.24562332,11780199.8560076
2026-05-10 21:45:00,148.0,149.0,147.0,148.0,608744.57228205,89930763.55426815
2026-05-10 22:00:00,148.0,149.0,147.0,148.0,190279.82666721,28094916.01937352
2026-05-10 22:15:00,148.0,149.0,148.0,148.0,203341.74138534,30110399.09415781
2026-05-10 22:30:00,147.0,147.0,147.0,147.0,28120.79588505,4133756.99510235
2026-05-10 22:45:00,147.0,148.0,147.0,148.0,127550.34840952,18754809.47407827
2026-05-10 23:00:00,148.0,148.0,148.0,148.0,27812.17152909,4116201.38630532
2026-05-10 23:15:00,148.0,148.0,147.0,148.0,11227.36909043,1658265.34732856
2026-05-10 23:30:00,148.0,148.0,147.0,148.0,17831.86021292,2639046.72838027
2026-05-10 23:45:00,147.0,147.0,146.0,147.0,93406.96543556,13710152.01525318
2026-05-11 00:00:00,147.0,148.0,147.0,148.0,29268.86607445,4319140.68748449
2026-05-11 00:15:00,148.0,148.0,147.0,147.0,55303.93544457,8180972.39319786
2026-05-11 00:30:00,147.0,147.0,147.0,147.0,3664.52960526,538685.85197322
2026-05-11 00:45:00,147.0,148.0,147.0,148.0,19423.08089967,2855346.94630553
2026-05-11 01:00:00,148.0,148.0,148.0,148.0,59580.13175673,8817859.49999604
2026-05-11 01:15:00,147.0,147.0,147.0,147.0,5018.55070989,737726.95435383
2026-05-11 01:30:00,147.0,147.0,147.0,147.0,3000.0,441000.0
2026-05-11 01:45:00,148.0,149.0,148.0,149.0,46342.51645762,6903957.27310771
2026-05-11 02:00:00,148.0,149.0,148.0,149.0,15220.87733526,2254440.75895374
2026-05-11 02:15:00,149.0,150.0,149.0,150.0,26515.23278163,3950835.04393999
2026-05-11 02:30:00,149.0,149.0,148.0,148.0,24394.37095298,3634637.68129901
2026-05-11 02:45:00,149.0,149.0,148.0,149.0,11207.60000001,1667583.80000148
2026-05-11 03:00:00,148.0,150.0,148.0,150.0,1110.91540613,165766.83145858
2026-05-11 03:15:00,149.0,152.0,149.0,150.0,212025.53210043,31826768.58179173
2026-05-11 03:30:00,150.0,150.0,150.0,150.0,2000.0,300000.0
2026-05-11 03:45:00,151.0,151.0,151.0,151.0,91295.52861785,13785624.82129535
2026-05-11 04:00:00,151.0,151.0,150.0,151.0,41377.59282694,6247360.58186794
2026-05-11 04:15:00,151.0,152.0,150.0,151.0,65173.53890439,9841752.55890494
2026-05-11 04:30:00,151.0,151.0,151.0,151.0,5707.62315141,861851.09586291
2026-05-11 04:45:00,150.0,150.0,149.0,150.0,23427.97155916,3503955.36992108
2026-05-11 05:00:00,150.0,151.0,150.0,150.0,41511.44894349,6226959.72562945
2026-05-11 05:15:00,149.0,150.0,149.0,150.0,35050.07299055,5222831.24225861
2026-05-11 05:30:00,149.0,150.0,148.0,150.0,77051.74814893,11516477.12618914
2026-05-11 05:45:00,149.0,149.0,147.0,147.0,185306.69388446,27361871.28156783
2026-05-11 06:00:00,148.0,149.0,147.0,148.0,179735.56659226,26671761.17787978
2026-05-11 06:15:00,149.0,149.0,149.0,149.0,38847.11400013,5788219.98601937
2026-05-11 06:30:00,150.0,151.0,150.0,151.0,113407.22284267,17115950.83845938
2026-05-11 06:45:00,151.0,152.0,151.0,152.0,228870.23652044,34689995.34340079
2026-05-11 07:00:00,152.0,153.0,151.0,153.0,214594.20994982,32706620.80965256
2026-05-11 07:15:00,153.0,154.0,152.0,152.0,480055.67208016,73400252.73387156
2026-05-11 07:30:00,152.0,153.0,151.0,152.0,105215.88533878,15985889.67751741
2026-05-11 07:45:00,152.0,152.0,151.0,152.0,214782.58096587,32472024.25182132
2026-05-11 08:00:00,151.0,152.0,151.0,152.0,38026.77248595,5779347.10427508
2026-05-11 08:15:00,151.0,152.0,151.0,151.0,60600.10058806,9154114.15919179
2026-05-11 08:30:00,151.0,152.0,151.0,151.0,76473.23185742,11555357.95265721
