,open,high,low,close,volume,value
2026-05-18 01:45:00,394.0,394.0,393.0,394.0,17165.23195989,6757806.70679666
2026-05-18 02:00:00,393.0,394.0,392.0,393.0,29075.38980133,11425241.33111823
2026-05-18 02:15:00,392.0,394.0,392.0,394.0,21654.55693533,8488623.01589706
2026-05-18 02:45:00,393.0,393.0,393.0,393.0,259.5,101983.5
2026-05-18 03:00:00,394.0,395.0,393.0,393.0,32605.41736529,12874680.38014942
2026-05-18 03:15:00,393.0,393.0,392.0,393.0,46732.4304,18350488.4168
2026-05-18 03:30:00,393.0,393.0,390.0,390.0,73024.01924858,28585372.54544336
2026-05-18 03:45:00,390.0,392.0,390.0,392.0,7994.86939946,3133888.30207576
2026-05-18 04:00:00,393.0,393.0,392.0,392.0,2023.75493292,794600.15564264
2026-05-18 04:15:00,393.0,393.0,393.0,393.0,1600.1964098,628877.1890514
2026-05-18 04:30:00,393.0,395.0,393.0,395.0,35933.05661131,14175659.17750798
2026-05-18 04:45:00,395.0,396.0,393.0,393.0,3462.08782629,1366016.03568793
2026-05-18 05:00:00,393.0,393.0,392.0,392.0,5927.8522139,2326552.21311711
2026-05-18 05:15:00,392.0,392.0,390.0,390.0,2677.0402995,1045773.70114187
2026-05-18 05:30:00,391.0,391.0,391.0,391.0,1328.0,519248.0
2026-05-18 05:45:00,391.0,391.0,391.0,391.0,497.85400162,194660.91463342
2026-05-18 06:00:00,391.0,393.0,390.0,393.0,10385.3102949,4051225.28189392
2026-05-18 06:15:00,392.0,396.0,392.0,396.0,24725.21066054,9746184.8657519
2026-05-18 06:30:00,396.0,398.0,396.0,398.0,28300.32842084,11240133.30081321
2026-05-18 06:45:00,398.0,398.0,395.0,395.0,87645.25985655,34757721.47585018
2026-05-18 07:00:00,396.0,397.0,393.0,396.0,121241.81315282,47789690.23897271
2026-05-18 07:15:00,396.0,396.0,393.0,394.0,103340.69809644,40795000.6076313
2026-05-18 07:30:00,394.0,395.0,393.0,394.0,56023.75713453,22069422.49090171
2026-05-18 07:45:00,393.0,393.0,390.0,391.0,45814.84477444,17944719.138022
2026-05-18 08:00:00,392.0,393.0,390.0,391.0,119580.01555643,46773171.55868249
2026-05-18 08:15:00,389.0,390.0,387.0,387.0,44715.17789723,17411477.55622133
2026-05-18 08:30:00,388.0,389.0,373.0,379.0,949376.70821808,360350371.7311216
2026-05-18 08:45:00,379.0,389.0,378.0,387.0,615849.07688419,236975148.18631992
2026-05-18 09:00:00,387.0,387.0,378.0,381.0,542292.05120109,206391122.13860673
2026-05-18 09:15:00,381.0,384.0,380.0,380.0,64533.72166574,24647943.86935662
2026-05-18 09:30:00,382.0,383.0,380.0,383.0,100799.39664884,38479345.695762
2026-05-18 09:45:00,382.0,382.0,379.0,381.0,54704.24019456,20854040.21108894
2026-05-18 10:00:00,383.0,383.0,381.0,381.0,103675.01456829,39618226.7634771
2026-05-18 10:15:00,382.0,382.0,379.0,379.0,121746.13243064,46338946.92609566
2026-05-18 10:30:00,380.0,382.0,380.0,380.0,115453.91345367,43874298.78140799
2026-05-18 10:45:00,380.0,387.0,380.0,387.0,73201.23343156,28154801.63164203
2026-05-18 11:00:00,385.0,396.0,385.0,395.0,232235.58401676,90904469.85780026
2026-05-18 11:15:00,395.0,395.0,393.0,393.0,61103.26228632,24050554.93869494
2026-05-18 11:30:00,394.0,396.0,394.0,396.0,43806.15334787,17284685.25268688
2026-05-18 11:45:00,397.0,397.0,394.0,396.0,50830.89794746,20110991.27631046
2026-05-18 12:00:00,397.0,402.0,397.0,400.0,474903.46508573,189752097.74262574
2026-05-18 12:15:00,400.0,403.0,399.0,402.0,308552.37385845,123830938.87228183
2026-05-18 12:30:00,402.0,403.0,399.0,403.0,327491.12362174,131412579.94113167
2026-05-18 12:45:00,403.0,405.0,402.0,404.0,398616.18456666,160872397.7551862
2026-05-18 13:00:00,403.0,412.0,403.0,411.0,892196.65815762,363837345.98288196
