,open,high,low,close,volume,value
2026-05-18 06:15:00,79.1,79.3,79.0,79.1,322930.36399827,25557680.51512907
2026-05-18 06:30:00,79.1,79.1,79.0,79.0,158001.52001315,12485065.42243659
2026-05-18 06:45:00,79.0,79.1,78.8,79.1,73263.29650271,5780346.79548086
2026-05-18 07:00:00,78.9,78.9,78.0,78.1,3367759.99920241,263479200.79331443
2026-05-18 07:15:00,78.1,78.1,75.6,76.2,5528454.15625133,424343573.2576171
2026-05-18 07:30:00,76.4,77.9,76.4,77.9,1434229.88715256,110580868.58987698
2026-05-18 07:45:00,77.8,78.1,77.4,77.9,1409239.10406286,109607281.16258188
2026-05-18 08:00:00,78.0,78.2,77.8,78.1,404262.12837569,31469326.36964023
2026-05-18 08:15:00,78.2,78.6,78.0,78.2,670896.39339765,52500885.52882205
2026-05-18 08:30:00,78.2,78.6,75.3,76.7,2335798.26322239,179138086.97617295
2026-05-18 08:45:00,76.8,77.4,76.8,77.1,1396232.26908357,107553699.7888236
2026-05-18 09:00:00,77.0,77.1,75.7,76.4,3348345.91991735,255587471.20668977
2026-05-18 09:15:00,76.4,77.1,76.2,76.3,1099161.95134357,84092406.4603131
2026-05-18 09:30:00,76.4,76.5,76.0,76.5,924766.18076247,70542096.23381045
2026-05-18 09:45:00,76.4,76.4,75.8,76.2,3002844.14039279,228596932.41857415
2026-05-18 10:00:00,76.1,76.5,75.9,76.2,894802.94343139,68194442.52536458
2026-05-18 10:15:00,76.2,76.2,76.0,76.0,887946.69258312,67510641.93250555
2026-05-18 10:30:00,76.0,76.2,75.5,75.7,2613522.23258885,197928410.5091175
2026-05-18 10:45:00,75.7,76.0,75.5,75.9,2041516.68028858,154473724.78784546
2026-05-18 11:00:00,75.9,76.4,75.8,76.4,258644.68539424,19676127.51930334
2026-05-18 11:15:00,76.4,76.6,76.2,76.5,543117.16624144,41525765.88015577
2026-05-18 11:30:00,76.6,77.2,76.6,77.2,707928.26706788,54302967.11737886
2026-05-18 11:45:00,77.2,77.9,77.2,77.8,1957640.65953863,151859711.51101756
2026-05-18 12:00:00,77.8,78.2,77.6,77.6,581651.30491643,45355266.82082574
2026-05-18 12:15:00,77.6,77.9,77.6,77.9,729228.69721964,56753058.06601547
2026-05-18 12:30:00,77.9,77.9,77.4,77.8,1101131.34093889,85685423.54121202
2026-05-18 12:45:00,77.8,78.0,77.0,77.5,719440.42564501,55754662.08940534
2026-05-18 13:00:00,77.5,77.7,77.2,77.4,305547.27060379,23640216.5759266
