,open,high,low,close,volume,value
2026-05-18 06:30:00,71.9,72.5,71.9,72.4,577491.56172169,41711180.91581746
2026-05-18 06:45:00,72.4,72.4,72.1,72.1,166574.12672341,12036017.52567794
2026-05-18 07:00:00,72.1,72.1,71.5,71.8,343547.06028942,24654770.69819623
2026-05-18 07:15:00,71.8,71.9,71.4,71.7,650903.57231106,46613625.28394049
2026-05-18 07:30:00,71.7,71.7,71.5,71.7,333029.32289287,23850263.37068747
2026-05-18 07:45:00,71.7,71.7,71.4,71.6,170011.99024351,12176728.52940474
2026-05-18 08:00:00,71.6,71.6,71.2,71.5,1356709.16048384,96740925.9108874
2026-05-18 08:15:00,71.3,71.3,70.5,70.6,1300671.34960986,91989767.9757657
2026-05-18 08:30:00,70.6,70.6,67.5,68.5,9411736.49880184,648052062.4134345
2026-05-18 08:45:00,68.5,69.3,68.4,69.3,3585072.81643508,247525847.355709
2026-05-18 09:00:00,69.3,69.3,67.6,68.2,8482891.61898082,577443193.2937225
2026-05-18 09:15:00,68.2,69.0,68.2,68.9,3791108.72272653,260278716.43695697
2026-05-18 09:30:00,68.9,69.7,68.9,69.3,3326924.5616246,230668401.85946715
2026-05-18 09:45:00,69.2,69.2,68.9,69.1,705971.38751615,48769980.7936794
2026-05-18 10:00:00,69.3,69.4,68.9,68.9,425345.35330846,29428976.84841407
2026-05-18 10:15:00,68.8,68.8,68.2,68.2,1493314.00524732,102275739.24844354
2026-05-18 10:30:00,68.1,68.3,67.9,67.9,1513484.81700851,102935317.11920702
2026-05-18 10:45:00,67.9,68.9,67.8,68.7,1498121.56259151,102531654.99311908
2026-05-18 11:00:00,68.7,69.5,68.5,69.2,2003872.62539894,138484032.12524217
2026-05-18 11:15:00,69.3,69.4,68.9,69.2,428115.09430617,29591975.03311433
2026-05-18 11:30:00,69.4,69.5,69.0,69.2,1816900.25995668,125476026.42757425
2026-05-18 11:45:00,69.2,69.7,69.0,69.7,705409.50040427,48865985.86803845
2026-05-18 12:00:00,69.6,69.9,69.1,69.1,1478491.28667421,102870927.58815624
2026-05-18 12:15:00,69.1,69.2,68.7,68.8,1282494.596614,88383409.67928047
2026-05-18 12:30:00,68.7,68.7,68.3,68.7,1404874.44044004,96262956.75739366
2026-05-18 12:45:00,68.6,68.6,68.3,68.3,253576.81919187,17362153.11038229
2026-05-18 13:00:00,68.3,68.7,68.3,68.5,1209997.75592845,83002367.30894366
2026-05-18 13:15:00,68.5,68.5,68.4,68.5,167291.03042856,11444325.93668944
2026-05-18 13:30:00,68.8,69.3,68.5,69.3,1156678.213236,80086844.36065798
2026-05-18 13:45:00,69.3,69.7,69.3,69.7,389984.65951994,27079695.98955747
2026-05-18 14:00:00,69.6,69.6,69.3,69.3,339563.08864371,23588945.53336674
2026-05-18 14:15:00,69.4,69.9,69.3,69.6,2344218.16223437,163253396.4450747
2026-05-18 14:30:00,69.7,69.9,69.2,69.2,2533305.72922372,176233570.82175714
2026-05-18 14:45:00,69.2,69.3,68.5,68.5,735891.39577649,50646466.31106546
2026-05-18 15:00:00,68.4,68.7,67.8,68.2,1631333.87641615,111302251.9833537
2026-05-18 15:15:00,68.7,68.7,68.1,68.5,453980.65714147,31059048.74777241
2026-05-18 15:30:00,68.3,69.0,68.2,68.9,1461081.11800209,100449009.50587164
2026-05-18 15:45:00,68.9,69.2,68.9,69.1,714521.91067249,49353819.510785
2026-05-18 16:00:00,69.2,69.4,69.1,69.2,225016.25086862,15577760.47988282
2026-05-18 16:15:00,69.3,70.5,69.1,70.4,1906317.74758144,133260830.78246675
2026-05-18 16:30:00,70.4,70.5,69.9,70.3,1169740.38631183,82233154.08923046
2026-05-18 16:45:00,70.3,70.7,70.2,70.3,1428680.99578098,100618914.44946015
2026-05-18 17:00:00,70.3,70.7,70.2,70.7,3043316.64537313,214556564.06572425
2026-05-18 17:15:00,70.7,71.0,70.6,70.6,2893796.77115909,204696407.87701902
2026-05-18 17:30:00,70.6,70.6,69.8,69.8,3030938.83218437,212402468.264741
2026-05-18 17:45:00,69.7,71.1,69.6,71.1,1671061.44593631,117835832.13842395
2026-05-18 18:00:00,71.0,71.3,70.4,70.7,1496009.32701926,106224423.61147554
2026-05-18 18:15:00,70.7,70.8,70.0,70.0,657679.89658505,46259458.47382344
2026-05-18 18:30:00,69.9,70.0,69.7,69.8,783468.81555123,54722712.41842402
2026-05-18 18:45:00,69.7,69.8,69.4,69.6,975533.58844076,67885732.57249601
2026-05-18 19:00:00,69.7,69.7,68.8,69.6,3205929.26876698,221358209.7582653
2026-05-18 19:15:00,69.7,70.0,69.5,69.6,1712007.76376543,119475710.7193697
2026-05-18 19:30:00,69.6,69.9,69.4,69.7,357793.86000556,24925224.68761037
2026-05-18 19:45:00,69.7,70.0,69.4,69.4,249222.35805462,17391177.94616745
2026-05-18 20:00:00,69.4,69.6,69.3,69.3,547747.9662665,38024223.52393029
2026-05-18 20:15:00,69.3,69.6,69.1,69.6,369649.27475647,25605667.99786097
2026-05-18 20:30:00,69.6,71.0,69.5,70.9,4537973.39999905,319313754.9572751
2026-05-18 20:45:00,70.7,70.9,70.3,70.4,1813864.06986655,127968104.43394803
2026-05-18 21:00:00,70.5,71.1,70.5,70.9,876146.97535293,62099094.63321823
2026-05-18 21:15:00,70.8,71.2,70.2,70.6,1477556.68129668,104368407.50152905
2026-05-18 21:30:00,70.6,70.7,70.3,70.4,713048.78758393,50310261.548937
2026-05-18 21:45:00,70.5,70.7,70.1,70.6,1604464.46833177,112804623.70401593
2026-05-18 22:00:00,70.6,70.6,69.9,70.4,1332521.91298155,93607607.50595842
2026-05-18 22:15:00,70.3,70.8,70.2,70.7,374968.6191192,26411379.15953514
2026-05-18 22:30:00,70.8,70.9,70.4,70.7,888533.66685296,62735651.41614386
2026-05-18 22:45:00,70.6,71.5,70.5,71.1,3284182.35595899,233251973.8979911
2026-05-18 23:00:00,71.1,71.5,70.9,71.2,1304479.37131172,93031244.12303399
2026-05-18 23:15:00,71.3,71.8,71.1,71.3,2029910.35715276,144996425.0392328
2026-05-18 23:30:00,71.2,71.2,70.5,71.0,2077901.31604641,147115916.43574673
2026-05-18 23:45:00,70.9,71.0,70.5,71.0,523282.36332411,37010314.10790369
2026-05-19 00:00:00,70.8,70.8,69.7,70.0,2248794.05370948,157475451.9807737
2026-05-19 00:15:00,69.9,70.0,69.5,69.9,1502787.71168035,104846360.56211022
2026-05-19 00:30:00,69.9,70.7,69.9,70.5,549117.98968073,38618877.48766585
2026-05-19 00:45:00,70.5,70.8,70.3,70.7,581438.24933586,41035974.00741938
2026-05-19 01:00:00,70.7,71.7,70.5,71.5,2051507.46380612,146269167.63916352
2026-05-19 01:15:00,71.5,72.2,71.5,71.6,1199323.48835308,86182427.47126313
2026-05-19 01:30:00,71.5,72.0,71.3,71.6,319338.88221181,22857860.37693974
2026-05-19 01:45:00,71.6,72.1,71.6,71.8,807212.19515898,58087365.67784264
2026-05-19 02:00:00,71.8,72.1,71.8,72.1,954168.02715038,68709306.32941821
2026-05-19 02:15:00,72.1,73.1,72.1,72.8,3979202.67214453,287974184.43717915
2026-05-19 02:30:00,73.0,73.1,72.2,72.5,677467.14083849,49263058.99238963
2026-05-19 02:45:00,72.8,73.5,72.8,73.3,991829.19075819,72600458.05858852
2026-05-19 03:00:00,73.2,73.2,72.8,72.8,1062724.07420903,77640396.95343928
2026-05-19 03:15:00,72.8,72.8,71.9,72.3,2671474.82641078,193161319.78365344
2026-05-19 03:30:00,72.2,72.5,72.1,72.3,192866.59711804,13930721.13465817
2026-05-19 03:45:00,72.7,72.7,71.9,72.0,272742.94061608,19720306.53362434
2026-05-19 04:00:00,72.2,73.5,72.2,72.9,1217389.99963753,89043789.43503143
2026-05-19 04:15:00,72.8,72.9,72.0,72.0,757957.65084918,54943131.17602179
2026-05-19 04:30:00,72.2,72.6,72.2,72.5,784501.56471647,56817634.83568257
2026-05-19 04:45:00,72.6,73.3,72.4,73.3,1473520.0241735,107635312.88789262
2026-05-19 05:00:00,73.4,73.7,72.9,73.3,1940984.80563767,142292655.63185897
2026-05-19 05:15:00,73.3,73.3,72.7,72.8,306553.80760074,22353450.60694222
2026-05-19 05:30:00,72.6,72.8,72.3,72.7,420249.25819848,30504765.61689455
2026-05-19 05:45:00,72.6,72.8,72.4,72.4,321530.15388269,23339256.02475193
2026-05-19 06:00:00,72.3,72.4,72.1,72.2,333214.50078559,24079411.60094952
2026-05-19 06:15:00,72.2,73.0,72.2,73.0,1176027.78352076,85349760.30052216
2026-05-19 06:30:00,73.0,73.1,72.7,73.0,675303.460973,49186860.8702894
2026-05-19 06:45:00,72.7,72.7,72.4,72.5,951551.07073198,68998200.6843692
