,open,high,low,close,volume,value
2026-05-07 14:45:00,2.3,2.3,2.29,2.29,884433.20828714,2034153.17457571
2026-05-07 15:00:00,2.29,2.29,2.29,2.29,361691.90098533,828274.45325641
2026-05-07 15:30:00,2.3,2.31,2.3,2.31,5491664.88589733,12633071.19756386
2026-05-07 15:45:00,2.31,2.32,2.31,2.32,31604.35413793,73286.4503
2026-05-07 16:00:00,2.32,2.32,2.32,2.32,329920.34482758,765415.19999999
2026-05-07 16:15:00,2.31,2.31,2.31,2.31,4329.00432901,10000.00000001
2026-05-07 17:00:00,2.32,2.32,2.32,2.32,682374.09482757,1583107.89999996
2026-05-07 17:45:00,2.32,2.32,2.32,2.32,10038.66379309,23289.69999997
2026-05-07 18:00:00,2.32,2.32,2.32,2.32,30284.0,70258.88
2026-05-07 18:15:00,2.32,2.32,2.32,2.32,948102.0,2199596.64
2026-05-07 18:30:00,2.31,2.32,2.31,2.31,707589.0299438,1634961.69365294
2026-05-07 18:45:00,2.31,2.31,2.3,2.3,445887.44588745,1029870.12987014
2026-05-07 19:00:00,2.31,2.31,2.31,2.31,515498.0,1190800.38
2026-05-07 19:15:00,2.3,2.31,2.29,2.31,1452301.35203312,3340638.7641686
2026-05-07 19:45:00,2.31,2.31,2.3,2.3,4524195.07739848,10408553.63714933
2026-05-07 20:00:00,2.31,2.31,2.31,2.31,3694710.61031394,8534781.5098252
2026-05-07 20:15:00,2.31,2.31,2.31,2.31,5804923.74837185,13409373.85873897
2026-05-07 20:30:00,2.31,2.31,2.31,2.31,867215.06210084,2003266.79345294
2026-05-07 20:45:00,2.31,2.31,2.31,2.31,258575.05,597308.3655
2026-05-07 21:00:00,2.31,2.32,2.31,2.32,1669095.51386593,3871805.85823719
2026-05-07 21:15:00,2.32,2.32,2.32,2.32,6047552.03871258,14030320.72981319
2026-05-07 21:30:00,2.32,2.32,2.32,2.32,3217942.50338265,7465626.60784775
2026-05-07 21:45:00,2.31,2.32,2.31,2.32,3753409.6089114,8685172.55141292
2026-05-07 22:00:00,2.33,2.33,2.32,2.32,478737.18350237,1111099.45027485
2026-05-07 22:15:00,2.32,2.32,2.31,2.31,466825.48275862,1078724.77517241
2026-05-07 22:30:00,2.31,2.32,2.31,2.31,1051512.44118223,2431523.07973005
2026-05-07 22:45:00,2.31,2.31,2.3,2.31,1797218.27246927,4143497.11711222
2026-05-07 23:00:00,2.31,2.31,2.31,2.31,3213956.19047618,7424238.79999998
2026-05-07 23:15:00,2.31,2.31,2.31,2.31,64593.07359307,149209.99999999
2026-05-07 23:30:00,2.3,2.3,2.28,2.29,13262147.54700092,30399645.28851799
2026-05-07 23:45:00,2.28,2.3,2.28,2.3,2921186.60869564,6664420.42739128
2026-05-08 00:15:00,2.3,2.3,2.28,2.29,2854266.43006766,6513223.83550907
2026-05-08 00:30:00,2.29,2.3,2.29,2.29,2927433.35885975,6705196.03091926
2026-05-08 00:45:00,2.3,2.3,2.3,2.3,16746.725,38517.4675
2026-05-08 01:00:00,2.29,2.29,2.28,2.28,805739.60910574,1844074.17419428
2026-05-08 01:45:00,2.29,2.29,2.29,2.29,84894.15628764,194407.6178987
2026-05-08 02:00:00,2.29,2.3,2.29,2.3,1058230.99697519,2433690.44307319
2026-05-08 02:15:00,2.3,2.31,2.3,2.31,409709.56309728,943384.81763457
2026-05-08 02:45:00,2.31,2.31,2.31,2.31,4799389.43799968,11086589.60177926
2026-05-08 03:00:00,2.32,2.33,2.32,2.33,720220.66828766,1674548.05010173
2026-05-08 03:15:00,2.33,2.33,2.33,2.33,4978130.18530493,11599043.33176049
2026-05-08 03:30:00,2.33,2.33,2.32,2.32,876754.60515356,2034074.78982853
2026-05-08 04:00:00,2.32,2.32,2.32,2.32,111804.09795102,259385.50724637
2026-05-08 04:45:00,2.32,2.32,2.32,2.32,25633.58455955,59469.91617816
2026-05-08 05:00:00,2.32,2.33,2.32,2.33,248652.97639678,579231.4350045
2026-05-08 05:45:00,2.33,2.33,2.32,2.32,1071754.44058408,2496619.43359793
2026-05-08 06:00:00,2.32,2.32,2.32,2.32,503434.54935622,1167968.15450643
2026-05-08 06:15:00,2.31,2.33,2.31,2.33,3982118.34266284,9238582.48132898
2026-05-08 06:30:00,2.34,2.34,2.34,2.34,42735.04273504,99999.99999999
2026-05-08 06:45:00,2.33,2.33,2.32,2.32,133065.70963445,309999.99999999
2026-05-08 07:00:00,2.32,2.32,2.31,2.32,107777.28019108,250000.00000002
2026-05-08 07:15:00,2.33,2.33,2.32,2.32,1086290.54184706,2524313.18019744
2026-05-08 07:30:00,2.33,2.34,2.32,2.32,8715589.66470156,20324676.91530636
2026-05-08 07:45:00,2.32,2.34,2.32,2.34,4138458.60352682,9683925.98304892
