,open,high,low,close,volume,value
2026-05-15 13:15:00,52.3,52.5,52.0,52.4,274534.25342051,14331949.54495553
2026-05-15 13:30:00,52.4,52.4,52.0,52.4,205559.75281658,10718286.30992808
2026-05-15 13:45:00,52.3,52.4,52.1,52.1,110956.79377875,5791438.80736991
2026-05-15 14:00:00,52.2,52.3,52.0,52.2,242897.70049514,12662853.64602713
2026-05-15 14:15:00,52.2,52.3,51.5,51.7,736399.6790651,38163315.64063731
2026-05-15 14:30:00,51.7,51.7,51.2,51.4,658676.77135352,33848336.77572343
2026-05-15 14:45:00,51.4,51.5,50.9,51.2,1799079.6931862,91998959.42341794
2026-05-15 15:00:00,51.0,51.9,51.0,51.8,1089561.60538382,55994621.21231979
2026-05-15 15:15:00,52.0,52.0,51.4,51.6,517155.0778879,26690286.22064243
2026-05-15 15:30:00,51.7,51.8,51.2,51.2,655121.25708495,33706879.84220945
2026-05-15 15:45:00,51.3,51.9,51.2,51.9,864055.36192648,44403817.12679029
2026-05-15 16:00:00,51.9,51.9,51.6,51.6,208625.21272345,10800272.69925068
2026-05-15 16:15:00,51.6,51.9,51.5,51.9,168991.06908071,8742010.47095167
2026-05-15 16:30:00,52.0,52.1,51.6,51.7,394190.4161505,20410323.50196613
2026-05-15 16:45:00,51.8,51.8,51.4,51.7,275779.55327005,14214271.93962616
2026-05-15 17:00:00,51.6,51.8,51.5,51.7,141093.04065116,7275767.66151145
2026-05-15 17:15:00,51.7,51.9,51.3,51.3,288281.7198598,14873384.04970107
2026-05-15 17:30:00,51.3,51.3,50.8,51.1,1121393.9040261,57133566.71873663
2026-05-15 17:45:00,51.2,51.2,50.5,50.9,1305681.98605238,66183553.627774
2026-05-15 18:00:00,50.9,51.1,50.6,50.6,336111.76173683,17060222.9539286
2026-05-15 18:15:00,50.6,50.8,50.5,50.5,1353877.17582209,68455514.91405676
2026-05-15 18:30:00,50.6,51.0,50.5,50.9,802499.54651813,40700902.50202197
2026-05-15 18:45:00,51.0,51.2,50.7,50.7,461360.55463252,23518042.82520714
2026-05-15 19:00:00,50.8,50.8,50.1,50.3,1304005.25305579,65653035.23289609
2026-05-15 19:15:00,50.3,50.5,50.1,50.4,398426.26190301,20025331.22773586
2026-05-15 19:30:00,50.3,50.8,50.2,50.8,333517.9983167,16772577.81997244
2026-05-15 19:45:00,50.8,50.9,50.4,50.5,358745.5106984,18157316.67061465
2026-05-15 20:00:00,50.5,50.9,50.5,50.6,404321.79894514,20492938.12574008
2026-05-15 20:15:00,50.6,50.7,50.4,50.7,125817.31546887,6356252.66797985
2026-05-15 20:30:00,50.7,50.8,50.4,50.6,1263217.82179873,63955048.74398461
