,open,high,low,close,volume,value
2026-05-14 06:00:00,113.0,113.0,112.0,112.0,209688.56622586,23486994.92450795
2026-05-14 06:15:00,112.0,112.0,111.0,111.0,97743.8441542,10945640.5565958
2026-05-14 06:30:00,112.0,112.0,111.0,111.0,12155.73066286,1349330.7464346
2026-05-14 06:45:00,112.0,112.0,112.0,112.0,2008.93749998,225000.99999776
2026-05-14 07:00:00,111.0,111.0,111.0,111.0,39369.81896451,4370049.90506061
2026-05-14 07:15:00,112.0,112.0,111.0,111.0,96279.20973385,10750374.46510049
2026-05-14 07:30:00,112.0,112.0,111.0,112.0,27591.50963402,3075833.45908224
2026-05-14 07:45:00,112.0,112.0,111.0,111.0,118506.03315556,13163089.32758635
2026-05-14 08:00:00,111.0,112.0,111.0,112.0,57638.61681794,6454756.23726323
2026-05-14 08:15:00,111.0,112.0,111.0,111.0,242621.70471571,26931198.50915809
2026-05-14 08:30:00,111.0,112.0,111.0,111.0,5350.60722615,598381.68781693
2026-05-14 08:45:00,112.0,112.0,111.0,112.0,81120.26310911,9026759.91939691
2026-05-14 09:00:00,111.0,112.0,111.0,111.0,228091.31838613,25318225.62657471
2026-05-14 09:15:00,111.0,112.0,111.0,112.0,1158932.93657213,128737825.93185014
2026-05-14 09:30:00,111.0,112.0,111.0,112.0,291500.27746383,32357315.76734444
2026-05-14 09:45:00,111.0,112.0,111.0,112.0,436528.98762381,48488376.81424291
2026-05-14 10:00:00,112.0,112.0,110.0,111.0,185753.65978035,20625852.17168757
2026-05-14 10:15:00,110.0,111.0,110.0,111.0,352315.37914712,39020717.34039773
2026-05-14 10:30:00,111.0,111.0,110.0,111.0,238339.38330428,26297975.79791157
2026-05-14 10:45:00,111.0,111.0,110.0,110.0,75980.28090026,8403294.35572384
2026-05-14 11:00:00,110.0,111.0,110.0,111.0,63594.62916776,7003545.43956673
2026-05-14 11:15:00,111.0,111.0,111.0,111.0,5974.99907666,663224.89750926
2026-05-14 11:30:00,111.0,111.0,110.0,110.0,87830.79178221,9662883.96022361
2026-05-14 11:45:00,111.0,111.0,109.0,110.0,383606.94901324,42149312.56272031
2026-05-14 12:00:00,109.0,109.0,109.0,109.0,540794.42091148,58946591.87935132
2026-05-14 12:15:00,109.0,110.0,108.0,109.0,790872.76441313,85501495.17443338
2026-05-14 12:30:00,108.0,109.0,108.0,109.0,129952.48204836,14079662.95809029
2026-05-14 12:45:00,108.0,108.0,107.0,108.0,1048421.01669594,113004138.43305852
2026-05-14 13:00:00,107.0,109.0,107.0,108.0,629767.88309796,67949691.29772666
2026-05-14 13:15:00,109.0,109.0,108.0,109.0,202256.01328363,22045531.24808639
2026-05-14 13:30:00,109.0,109.0,108.0,109.0,137704.01575169,14988905.87424954
2026-05-14 13:45:00,109.0,109.0,108.0,109.0,139844.18120163,15242153.68201216
2026-05-14 14:00:00,109.0,109.0,108.0,109.0,154868.0975803,16880201.70289265
2026-05-14 14:15:00,109.0,109.0,109.0,109.0,225938.19831597,24627263.61644073
2026-05-14 14:30:00,109.0,110.0,108.0,109.0,192370.41901641,21080183.15590601
2026-05-14 14:45:00,110.0,110.0,109.0,110.0,20078.36503313,2204273.05027343
2026-05-14 15:00:00,110.0,110.0,109.0,110.0,704470.71400048,76807378.53145096
2026-05-14 15:15:00,110.0,110.0,109.0,109.0,211682.70403493,23077960.19435282
2026-05-14 15:30:00,109.0,109.0,108.0,109.0,309960.11952034,33773576.16923871
2026-05-14 15:45:00,109.0,109.0,109.0,109.0,5489.01054965,598302.14991185
2026-05-14 16:00:00,109.0,110.0,109.0,109.0,81937.01639091,8931952.98660919
2026-05-14 16:15:00,109.0,110.0,109.0,109.0,42586.41388671,4642194.34300918
2026-05-14 16:30:00,109.0,109.0,109.0,109.0,25161.52744542,2742606.49155078
2026-05-14 16:45:00,109.0,109.0,109.0,109.0,212264.98779821,23136883.67000489
2026-05-14 17:00:00,110.0,110.0,109.0,109.0,111695.67999999,12175771.68181709
2026-05-14 17:15:00,110.0,110.0,109.0,109.0,6079.90972044,667894.44920129
2026-05-14 17:30:00,109.0,110.0,109.0,110.0,227580.24524292,25022901.20524496
2026-05-14 17:45:00,110.0,110.0,110.0,110.0,27330.65420268,3006371.9622948
2026-05-14 18:00:00,110.0,110.0,110.0,110.0,43089.87400502,4739886.1405522
2026-05-14 18:15:00,110.0,110.0,110.0,110.0,1968.95664348,216585.2307828
2026-05-14 18:30:00,109.0,109.0,109.0,109.0,26416.00324675,2879344.35389575
2026-05-14 18:45:00,109.0,110.0,109.0,109.0,14623.52819212,1607625.95742814
2026-05-14 19:00:00,109.0,110.0,109.0,110.0,48499.01234363,5288446.27017511
2026-05-14 19:15:00,110.0,110.0,110.0,110.0,10067.81006769,1107459.1074459
2026-05-14 19:30:00,109.0,110.0,109.0,110.0,1176.80961889,128363.15754991
2026-05-14 19:45:00,110.0,110.0,109.0,109.0,1104.47669295,120933.14148602
2026-05-14 20:00:00,109.0,110.0,109.0,110.0,16377.20582976,1798517.69942359
2026-05-14 20:15:00,110.0,110.0,110.0,110.0,188008.55845464,20680941.4300104
2026-05-14 20:30:00,110.0,110.0,109.0,110.0,300662.91223227,33072831.05983542
2026-05-14 20:45:00,109.0,110.0,109.0,109.0,245600.52747252,26774920.40547634
2026-05-14 21:00:00,109.0,110.0,109.0,109.0,145654.45252915,16000455.02670021
2026-05-14 21:15:00,110.0,110.0,110.0,110.0,273415.0102731,30075651.130041
2026-05-14 21:30:00,110.0,110.0,110.0,110.0,33998.05179053,3739785.6969583
2026-05-14 21:45:00,111.0,112.0,111.0,112.0,100964.01967651,11217614.15123546
2026-05-14 22:00:00,111.0,112.0,110.0,111.0,164308.04112602,18229044.48597776
2026-05-14 22:15:00,111.0,111.0,110.0,110.0,103994.69051353,11523301.14828532
2026-05-14 22:30:00,110.0,111.0,110.0,110.0,27394.84017935,3032081.87017895
2026-05-14 22:45:00,111.0,111.0,110.0,111.0,37808.01900867,4195600.83887308
2026-05-14 23:00:00,111.0,111.0,110.0,110.0,114725.70265837,12627023.7969252
2026-05-14 23:15:00,111.0,111.0,111.0,111.0,5912.35357826,656271.24718686
2026-05-14 23:30:00,111.0,112.0,111.0,111.0,248131.42440377,27546983.43024704
2026-05-14 23:45:00,111.0,112.0,111.0,112.0,443354.91816749,49329956.25542341
2026-05-15 00:00:00,112.0,112.0,111.0,112.0,32452.36125562,3605086.79660676
2026-05-15 00:15:00,112.0,113.0,112.0,112.0,720876.19281784,80766703.50194925
2026-05-15 00:30:00,112.0,113.0,112.0,113.0,72816.99981378,8197926.40392211
2026-05-15 00:45:00,112.0,112.0,112.0,112.0,28093.8036794,3146506.0120928
2026-05-15 01:00:00,112.0,114.0,112.0,112.0,1540750.74468984,174090193.20888734
2026-05-15 01:15:00,113.0,113.0,112.0,112.0,690388.61172111,77438328.45031264
2026-05-15 01:30:00,113.0,113.0,111.0,111.0,511583.58433736,57322268.53277912
2026-05-15 01:45:00,113.0,113.0,112.0,112.0,226370.1286095,25354840.64272871
2026-05-15 02:00:00,112.0,113.0,112.0,113.0,4582.13276421,517066.71664144
2026-05-15 02:15:00,112.0,112.0,112.0,112.0,1845.29955023,206673.54962576
2026-05-15 02:30:00,112.0,112.0,112.0,112.0,9503.65168293,1064408.98848816
2026-05-15 02:45:00,113.0,113.0,113.0,113.0,44.25663716,5000.99999908
2026-05-15 03:00:00,112.0,112.0,112.0,112.0,12750.0,1428000.0
2026-05-15 03:15:00,113.0,113.0,113.0,113.0,588.49557522,66499.99999986
2026-05-15 03:30:00,112.0,113.0,112.0,112.0,43852.67686338,4913013.71514608
2026-05-15 03:45:00,112.0,112.0,111.0,111.0,1264143.43225868,140834684.92814872
2026-05-15 04:00:00,112.0,112.0,112.0,112.0,74047.18327696,8293284.52701952
2026-05-15 04:15:00,111.0,112.0,111.0,111.0,10384.39817067,1154381.39560508
