,open,high,low,close,volume,value
2026-05-11 09:15:00,52.2,53.2,49.9,51.0,27230478.10281678,1400701692.5105972
2026-05-11 09:30:00,51.0,51.6,50.7,51.4,5316183.75793146,272081477.0073986
2026-05-11 09:45:00,51.4,51.7,49.5,49.9,13084809.19077561,659785088.5419407
2026-05-11 10:00:00,49.9,50.1,49.4,49.5,3227692.61893958,160812367.88833874
2026-05-11 10:15:00,49.5,50.1,49.3,49.8,4093596.49843517,202859918.8266951
2026-05-11 10:30:00,50.0,50.0,49.5,49.7,1092426.10986232,54188058.91036474
2026-05-11 10:45:00,49.7,49.7,49.5,49.6,666149.01466143,33038314.75129981
2026-05-11 11:00:00,49.5,49.8,49.5,49.6,378314.20591953,18764307.85260555
2026-05-11 11:15:00,49.7,49.7,49.4,49.4,1046491.19598729,51866065.91691987
2026-05-11 11:30:00,49.4,49.5,49.1,49.1,926835.93747094,45679529.58311962
2026-05-11 11:45:00,49.2,49.5,49.1,49.4,555653.22432192,27407534.83724387
2026-05-11 12:00:00,49.3,49.5,49.2,49.2,683750.83154857,33754435.18167457
2026-05-11 12:15:00,49.2,49.2,49.0,49.0,1049773.18376212,51493845.37827299
2026-05-11 12:30:00,49.0,49.1,48.6,49.1,1569837.17458819,76606688.19886208
2026-05-11 12:45:00,49.0,49.4,49.0,49.4,631031.95781451,31037677.31365826
2026-05-11 13:00:00,49.5,49.5,49.1,49.1,342343.03177198,16848001.50173702
2026-05-11 13:15:00,49.2,49.4,49.2,49.4,187501.58590375,9240396.08097337
2026-05-11 13:30:00,49.4,49.5,49.3,49.3,49265.68398089,2434713.41942122
2026-05-11 13:45:00,49.4,49.4,49.4,49.4,241656.66399632,11937839.20141821
2026-05-11 14:00:00,49.4,49.5,49.3,49.5,157765.79171287,7789409.06419975
2026-05-11 14:15:00,49.5,49.5,49.4,49.5,60425.85634635,2991045.94231406
2026-05-11 14:30:00,49.5,49.6,49.5,49.5,40739.52078017,2020009.87307473
2026-05-11 14:45:00,49.5,49.5,49.4,49.5,388762.89931835,19226143.66773028
2026-05-11 15:00:00,49.5,49.5,49.4,49.4,447780.30034299,22122832.10004517
2026-05-11 15:15:00,49.4,49.5,49.3,49.5,1350442.34171922,66712520.86750537
2026-05-11 15:30:00,49.3,49.4,49.1,49.2,333906.80359818,16447943.35255526
2026-05-11 15:45:00,49.2,49.4,49.2,49.2,365177.02898099,17968563.47553987
2026-05-11 16:00:00,49.4,49.5,49.1,49.4,264081.61577482,13025141.19670748
2026-05-11 16:15:00,49.4,49.5,49.3,49.3,120275.73230344,5939283.19141824
2026-05-11 16:30:00,49.3,49.3,49.1,49.1,521568.88513079,25630035.92052896
2026-05-11 16:45:00,49.3,49.5,49.2,49.5,188277.58091907,9304135.80129212
2026-05-11 17:00:00,49.5,49.5,49.2,49.3,316734.35675716,15611496.23593816
2026-05-11 17:15:00,49.3,49.3,49.2,49.3,196066.32388724,9662069.76764093
2026-05-11 17:30:00,49.2,49.4,49.1,49.4,122673.74498299,6039763.20144498
2026-05-11 17:45:00,49.5,49.8,49.4,49.7,423117.43400364,21002142.51738789
2026-05-11 18:00:00,49.7,49.9,49.6,49.9,282356.1049381,14055535.82498607
2026-05-11 18:15:00,49.9,50.0,49.8,50.0,433957.18462996,21621023.32020268
2026-05-11 18:30:00,50.0,50.0,49.8,49.9,507073.24593174,25297452.95680145
2026-05-11 18:45:00,49.9,50.0,49.7,49.8,202536.47106405,10102218.92051653
2026-05-11 19:00:00,50.0,50.2,49.9,50.2,289937.86241532,14516568.99602845
2026-05-11 19:15:00,50.2,50.2,50.0,50.0,199459.65198109,9990200.86915958
2026-05-11 19:30:00,50.0,50.2,49.8,49.8,104809.32770213,5235548.37591845
2026-05-11 19:45:00,49.8,49.8,49.8,49.8,287334.7980656,14309272.94366688
2026-05-11 20:00:00,49.9,49.9,49.8,49.9,154169.31379315,7680481.87611216
2026-05-11 20:15:00,49.9,50.0,49.9,50.0,169722.63388655,8476209.30600631
2026-05-11 20:30:00,49.9,50.0,49.9,49.9,82679.11236689,4127996.51245829
2026-05-11 20:45:00,49.9,50.0,49.8,49.9,149217.29990094,7451878.10164665
2026-05-11 21:00:00,49.9,49.9,49.7,49.7,247812.51475659,12353719.10285349
2026-05-11 21:15:00,49.7,49.8,49.7,49.8,231713.85350663,11521158.24203178
2026-05-11 21:30:00,49.8,50.0,49.8,50.0,297582.30215418,14866500.1282343
2026-05-11 21:45:00,50.0,50.0,49.8,49.8,487137.71954453,24277214.27121573
2026-05-11 22:00:00,50.0,50.1,49.9,49.9,480528.43677606,24027778.14908398
2026-05-11 22:15:00,49.9,50.5,49.9,50.5,2051306.81048306,103137372.87318808
2026-05-11 22:30:00,50.4,50.5,50.1,50.2,876671.61608659,44149541.72360996
2026-05-11 22:45:00,50.3,50.5,50.2,50.2,311099.14145138,15650764.9104661
2026-05-11 23:00:00,50.2,50.6,50.2,50.3,211146.03192481,10641022.88880487
2026-05-11 23:15:00,50.3,50.4,50.1,50.1,264873.76610251,13294138.80142517
2026-05-11 23:30:00,50.2,50.3,49.8,50.1,744521.77823135,37281235.86628304
2026-05-11 23:45:00,50.1,50.1,49.8,49.9,726115.97046428,36212279.85027588
2026-05-12 00:00:00,49.9,49.9,49.7,49.9,374008.85475249,18631344.38575759
2026-05-12 00:15:00,49.8,50.0,49.8,50.0,104160.16138116,5193941.41786653
2026-05-12 00:30:00,50.0,50.0,49.8,50.0,287694.87843065,14363035.72140148
2026-05-12 00:45:00,50.0,50.1,50.0,50.1,133718.94766632,6697919.37106403
2026-05-12 01:00:00,50.1,50.2,50.0,50.2,101065.2614153,5064656.47707909
2026-05-12 01:15:00,50.2,50.2,49.9,49.9,117538.59747191,5867328.27997
2026-05-12 01:30:00,49.9,49.9,49.9,49.9,9956.45767296,496827.2378807
2026-05-12 01:45:00,49.9,49.9,49.8,49.9,151785.13538726,7563697.93045577
2026-05-12 02:00:00,49.9,49.9,49.7,49.7,58361.24452116,2908987.08636898
2026-05-12 02:15:00,49.9,49.9,49.8,49.9,52245.11131669,2605748.65470283
2026-05-12 02:30:00,50.1,50.1,50.1,50.1,399.2015968,19999.99999968
2026-05-12 02:45:00,50.0,50.0,49.9,50.0,48806.61426678,2439338.65691232
2026-05-12 03:00:00,50.0,50.0,50.0,50.0,164930.35482258,8246517.741129
2026-05-12 03:15:00,49.9,50.0,49.9,50.0,5382.51016111,268687.25703939
2026-05-12 03:30:00,49.8,49.9,49.8,49.8,8320.84168336,414409.99999966
2026-05-12 03:45:00,49.8,49.8,49.8,49.8,10726.61056308,534185.20604138
2026-05-12 04:00:00,49.8,49.8,49.8,49.8,34075.70628204,1696970.17284559
2026-05-12 04:15:00,49.8,51.3,49.7,50.3,1445639.37005381,72763624.77200226
2026-05-12 04:30:00,50.3,50.5,49.8,50.1,276215.98692867,13810441.38116074
2026-05-12 04:45:00,50.0,50.0,50.0,50.0,8560.80414202,428040.207101
2026-05-12 05:00:00,50.0,50.0,50.0,50.0,8956.83569979,447841.7849895
2026-05-12 05:15:00,50.0,50.0,49.8,49.8,41818.21811599,2090387.85209021
2026-05-12 05:30:00,50.0,50.0,49.8,49.8,6076.27898365,302730.71018577
2026-05-12 05:45:00,49.8,49.9,49.8,49.8,55321.88396825,2755271.32741045
2026-05-12 06:00:00,49.9,49.9,49.8,49.8,132899.64755392,6620283.69929743
2026-05-12 06:15:00,49.9,50.0,49.9,50.0,16306.38394601,815226.39411959
2026-05-12 06:30:00,50.0,50.1,49.9,49.9,23742.90831268,1186901.063119
2026-05-12 06:45:00,50.0,50.1,49.9,50.1,98882.6552044,4941929.39200745
2026-05-12 07:00:00,50.0,50.0,49.9,49.9,46633.14972134,2327355.56976631
2026-05-12 07:15:00,49.9,50.2,49.9,50.2,64181.64947448,3207230.75062773
2026-05-12 07:30:00,50.1,50.2,50.0,50.2,52882.41949376,2647793.23614558
2026-05-12 07:45:00,50.2,50.3,50.1,50.1,93902.40374501,4711824.0019995
2026-05-12 08:00:00,50.1,50.2,50.0,50.0,174916.97630111,8754514.37555882
2026-05-12 08:15:00,49.9,49.9,49.8,49.9,440015.44175312,21934904.97742554
2026-05-12 08:30:00,50.0,50.0,49.9,49.9,86894.3994165,4336832.13408976
2026-05-12 08:45:00,50.1,50.1,49.9,50.0,182710.35043698,9125560.8013436
2026-05-12 09:00:00,50.0,50.0,49.5,49.6,1400573.94006424,69556301.84956253
2026-05-12 09:15:00,49.5,49.6,49.3,49.6,791804.21713226,39147465.10896005
2026-05-12 09:30:00,49.6,49.8,49.6,49.7,129330.74082485,6420856.25409724
2026-05-12 09:45:00,49.8,49.8,49.7,49.7,157671.95945858,7852031.70003878
2026-05-12 10:00:00,49.8,49.9,49.5,49.5,300533.08141881,14920454.55740527
2026-05-12 10:15:00,49.5,49.7,49.5,49.7,272719.43296147,13503008.17009972
2026-05-12 10:30:00,49.5,49.5,49.0,49.3,576229.76224359,28402163.4847766
2026-05-12 10:45:00,49.3,49.4,49.1,49.3,465233.11622363,22930714.01466491
2026-05-12 11:00:00,49.3,49.4,49.2,49.4,271381.60372356,13381375.65968549
2026-05-12 11:15:00,49.3,49.3,49.2,49.3,98463.01882194,4853632.7685157
2026-05-12 11:30:00,49.3,49.3,49.1,49.2,402603.27175704,19782816.4438746
2026-05-12 11:45:00,49.2,49.3,49.1,49.3,267006.9316955,13124376.13238938
2026-05-12 12:00:00,49.3,49.3,49.0,49.2,438987.49069855,21529405.56116487
2026-05-12 12:15:00,49.2,49.2,49.0,49.1,259815.55376252,12743566.12191338
2026-05-12 12:30:00,49.0,49.2,48.9,49.1,268807.64287135,13166477.22432022
2026-05-12 12:45:00,49.1,49.1,48.9,48.9,240055.4910871,11742104.5839408
2026-05-12 13:00:00,49.0,49.0,48.9,49.0,94260.89282612,4618549.81571096
2026-05-12 13:15:00,49.0,49.2,49.0,49.2,40706.05791559,1996914.4924627
2026-05-12 13:30:00,49.1,49.2,49.1,49.2,1191.93857965,58543.37811878
2026-05-12 13:45:00,49.2,49.2,49.1,49.1,83932.95678736,4123705.35121291
2026-05-12 14:00:00,49.1,49.2,49.0,49.0,46717.52832491,2293437.67587402
2026-05-12 14:15:00,49.2,49.2,49.0,49.2,16387.02852995,805289.5561792
2026-05-12 14:30:00,49.2,49.2,49.2,49.2,144876.97508968,7127947.17441226
2026-05-12 14:45:00,49.3,49.3,49.3,49.3,41154.95263763,2028939.16503516
2026-05-12 15:00:00,49.2,49.3,49.2,49.2,209995.60091405,10337849.66806967
2026-05-12 15:15:00,49.2,49.3,49.1,49.1,80160.21624649,3945175.73636997
2026-05-12 15:30:00,49.3,49.3,49.2,49.2,16310.0546432,802511.83273115
2026-05-12 15:45:00,49.3,49.3,49.1,49.1,102986.0122745,5064114.59708175
2026-05-12 16:00:00,49.0,49.2,48.8,49.0,656421.45546119,32141541.80199471
2026-05-12 16:15:00,49.1,49.2,49.0,49.2,355910.54077935,17458337.29727697
2026-05-12 16:30:00,49.2,49.2,49.1,49.1,53312.97765749,2620762.72839079
2026-05-12 16:45:00,49.0,49.1,48.9,49.1,71377.68441515,3500408.22796161
2026-05-12 17:00:00,49.0,49.1,49.0,49.1,28605.29961476,1403580.17750834
2026-05-12 17:15:00,49.0,49.0,48.9,48.9,110752.17330022,5425258.22071567
2026-05-12 17:30:00,48.9,49.0,48.7,48.9,684600.43880377,33452742.27700313
2026-05-12 17:45:00,49.0,49.1,49.0,49.0,115793.01384046,5673864.62401587
2026-05-12 18:00:00,49.0,49.2,49.0,49.1,84499.08679231,4141951.92466441
2026-05-12 18:15:00,49.0,49.0,48.8,48.8,300617.9317432,14695718.89262153
2026-05-12 18:30:00,48.9,49.1,48.9,48.9,161435.76188799,7905830.26646397
2026-05-12 18:45:00,49.1,49.1,48.8,48.8,157521.87719266,7723691.35350837
2026-05-12 19:00:00,48.8,49.0,48.8,49.0,20228.39209173,988012.28917846
2026-05-12 19:15:00,48.9,49.0,48.8,48.9,93300.51244863,4561851.72860168
