,open,high,low,close,volume,value
2026-05-08 04:45:00,846.0,846.0,846.0,846.0,5.92198582,5010.00000372
2026-05-08 05:00:00,847.0,849.0,846.0,849.0,1753.1137084,1486929.8490401
2026-05-08 05:15:00,848.0,848.0,848.0,848.0,36.29,30773.92
2026-05-08 05:30:00,846.0,846.0,846.0,846.0,629.16,532269.36
2026-05-08 05:45:00,848.0,848.0,844.0,844.0,337.09326723,284530.3071648
2026-05-08 06:00:00,840.0,840.0,834.0,838.0,1839.71464684,1536988.04145374
2026-05-08 06:15:00,838.0,841.0,838.0,841.0,51.97604791,43651.85629231
2026-05-08 06:30:00,842.0,846.0,841.0,841.0,4160.58166086,3519197.93801089
2026-05-08 06:45:00,841.0,841.0,841.0,841.0,39.38192627,33120.19999307
2026-05-08 07:00:00,836.0,838.0,835.0,838.0,6812.40695287,5688453.53584974
2026-05-08 07:15:00,838.0,838.0,838.0,838.0,143.47494032,120231.99998816
2026-05-08 07:30:00,838.0,838.0,832.0,832.0,1383.39560197,1158972.0780012
2026-05-08 07:45:00,833.0,835.0,833.0,835.0,377.24265073,314568.01908747
2026-05-08 08:00:00,835.0,836.0,835.0,836.0,6111.75963548,5103331.25734828
2026-05-08 08:15:00,835.0,835.0,834.0,834.0,4049.40387327,3377209.48148718
2026-05-08 08:30:00,834.0,834.0,834.0,834.0,1198.35765569,999430.28484546
2026-05-08 08:45:00,834.0,838.0,834.0,838.0,27344.32164893,22859744.26217616
2026-05-08 09:00:00,839.0,839.0,833.0,833.0,32021.94103908,26719713.29568268
2026-05-08 09:15:00,835.0,836.0,832.0,832.0,6496.69837467,5417605.36444711
2026-05-08 09:30:00,833.0,835.0,831.0,831.0,20140.46270277,16751249.30571641
2026-05-08 09:45:00,831.0,831.0,830.0,830.0,1745.27465887,1448719.50371596
2026-05-08 10:00:00,832.0,833.0,830.0,833.0,32883.72014262,27368491.96210176
2026-05-08 10:15:00,833.0,833.0,831.0,831.0,630.06504372,524325.45973876
2026-05-08 10:30:00,831.0,832.0,831.0,832.0,27239.3305641,22648015.45920482
2026-05-08 10:45:00,832.0,835.0,832.0,835.0,7360.91711826,6131253.32366329
2026-05-08 11:00:00,834.0,836.0,832.0,832.0,2048.61649308,1707716.27810468
2026-05-08 11:15:00,831.0,834.0,830.0,830.0,22187.8382481,18434640.07750282
2026-05-08 11:30:00,833.0,834.0,833.0,834.0,4639.40827253,3864633.08023904
2026-05-08 11:45:00,834.0,834.0,833.0,833.0,3104.90471159,2587089.56908191
2026-05-08 12:00:00,831.0,832.0,829.0,832.0,4835.48778316,4012262.53421147
2026-05-08 12:15:00,835.0,835.0,835.0,835.0,5.98922155,5000.99999425
2026-05-08 12:30:00,835.0,835.0,835.0,835.0,119.70661375,99955.02248125
2026-05-08 12:45:00,834.0,836.0,834.0,836.0,4002.89877565,3345232.9999963
2026-05-08 13:00:00,832.0,835.0,832.0,835.0,3066.0853754,2551000.99999748
2026-05-08 13:15:00,834.0,834.0,832.0,832.0,3910.0,3254151.5684217
2026-05-08 13:30:00,834.0,835.0,834.0,835.0,123.25585741,102801.36713735
2026-05-08 13:45:00,835.0,835.0,835.0,835.0,479.04191616,399999.9999936
2026-05-08 14:00:00,834.0,836.0,834.0,836.0,329.85540637,275111.34447342
2026-05-08 14:15:00,835.0,835.0,834.0,834.0,17666.7832578,14740781.00579452
2026-05-08 14:30:00,833.0,833.0,832.0,832.0,2225.1694887,1852294.19968623
2026-05-08 14:45:00,831.0,832.0,831.0,832.0,7294.91627503,6064616.7265766
2026-05-08 15:00:00,832.0,833.0,830.0,830.0,11260.3935993,9357134.39498097
2026-05-08 15:15:00,833.0,833.0,833.0,833.0,456.98009922,380664.42265026
2026-05-08 15:30:00,832.0,835.0,832.0,835.0,4526.04241548,3765685.25734404
2026-05-08 15:45:00,832.0,832.0,832.0,832.0,1973.69932944,1642117.84209408
2026-05-08 16:00:00,831.0,831.0,828.0,829.0,11272.76004976,9352045.4013914
2026-05-08 16:15:00,830.0,830.0,830.0,830.0,12.43781094,10323.3830802
2026-05-08 16:30:00,832.0,832.0,832.0,832.0,5865.81497316,4880358.05766912
2026-05-08 16:45:00,835.0,835.0,835.0,835.0,119.76047904,99999.9999984
2026-05-08 17:00:00,832.0,832.0,832.0,832.0,2754.70814223,2291917.17433536
