,open,high,low,close,volume,value
2026-05-15 05:15:00,54.2,54.3,53.9,53.9,323058.57435976,17475106.83518949
2026-05-15 05:30:00,54.0,54.2,54.0,54.2,92439.33482767,5010018.55287576
2026-05-15 05:45:00,54.2,54.3,54.1,54.1,123968.64237022,6722492.84780533
2026-05-15 06:00:00,54.1,54.1,53.8,53.8,143369.17749823,7748609.91360569
2026-05-15 06:15:00,53.8,53.9,53.8,53.9,30565.7352457,1644464.3855322
2026-05-15 06:30:00,54.1,54.1,54.1,54.1,184.75050829,9995.00249849
2026-05-15 06:45:00,54.1,54.1,54.1,54.1,3028.15157116,163822.99999976
2026-05-15 07:00:00,53.9,54.2,53.7,54.1,53930.93788911,2903868.4791582
2026-05-15 07:15:00,54.1,54.1,54.1,54.1,2657.68457099,143780.73529056
2026-05-15 07:30:00,54.0,54.1,54.0,54.1,1060.56992962,57310.77619948
2026-05-15 07:45:00,54.0,54.0,53.9,53.9,29857.52306494,1610264.93764471
2026-05-15 08:00:00,53.8,53.9,53.7,53.9,28240.55469139,1519829.52763014
2026-05-15 08:15:00,53.9,53.9,53.9,53.9,7185.18518518,387281.4814812
2026-05-15 08:30:00,53.8,53.8,53.8,53.8,20722.65062921,1114878.6038515
2026-05-15 08:45:00,53.7,53.7,53.5,53.6,114800.02021416,6148229.88598253
2026-05-15 09:00:00,53.5,53.8,53.3,53.8,236446.11570564,12668056.29966105
2026-05-15 09:15:00,53.8,53.8,53.6,53.6,37836.7033457,2028260.49764555
2026-05-15 09:30:00,53.6,53.8,53.4,53.5,109180.49148607,5861550.84318254
2026-05-15 10:00:00,53.7,53.7,53.7,53.7,73200.0,3930840.0
2026-05-15 10:15:00,53.7,53.7,53.4,53.6,279571.69774749,14946239.50437863
2026-05-15 10:30:00,53.5,53.6,53.2,53.3,367565.1302031,19591977.75492986
2026-05-15 10:45:00,53.3,53.5,53.3,53.3,68094.38682908,3636090.27176654
2026-05-15 11:00:00,53.2,53.5,53.2,53.2,265284.97986994,14185290.4740423
2026-05-15 11:15:00,53.2,53.2,53.0,53.1,335437.22160698,17784270.90647899
2026-05-15 11:30:00,53.0,53.4,53.0,53.4,62108.84527559,3303801.67538086
2026-05-15 11:45:00,53.4,53.4,53.4,53.4,57482.05743063,3069541.86679564
2026-05-15 12:00:00,53.5,53.5,53.5,53.5,18045.6906482,965444.4496787
2026-05-15 12:15:00,53.2,53.2,53.2,53.2,120.0,6384.0
2026-05-15 12:30:00,53.2,53.2,53.1,53.1,81856.50252419,4349352.9462654
2026-05-15 12:45:00,53.1,53.1,53.1,53.1,80948.22645117,4298350.82455713
2026-05-15 13:00:00,53.1,53.1,52.9,52.9,66694.29733485,3532126.77773321
2026-05-15 13:15:00,52.9,53.0,52.7,52.7,274455.76123537,14517157.3805922
2026-05-15 13:30:00,52.7,52.7,52.2,52.5,343380.76994804,17979502.7435006
2026-05-15 13:45:00,52.5,52.5,52.2,52.4,57283.64739674,2994407.48353751
2026-05-15 14:00:00,52.2,52.4,52.2,52.3,70591.34166829,3689791.11736657
2026-05-15 14:15:00,52.2,52.5,52.1,52.5,479842.61045752,25064292.72169811
2026-05-15 14:30:00,52.3,52.3,51.6,51.7,254093.63862704,13181667.59118925
2026-05-15 14:45:00,51.7,51.9,51.6,51.6,121926.25294425,6294324.31309172
2026-05-15 15:00:00,51.5,51.8,51.4,51.7,605570.67692674,31331110.19057874
2026-05-15 15:15:00,51.9,51.9,51.6,51.6,328847.59258646,17036009.16679633
2026-05-15 15:30:00,51.9,52.0,51.9,52.0,32245.57248394,1675632.56593488
2026-05-15 15:45:00,52.0,52.0,51.8,52.0,1206936.1930968,62646650.47775349
2026-05-15 16:00:00,51.9,51.9,51.8,51.8,386953.87502167,20055276.14809802
2026-05-15 16:15:00,51.9,52.3,51.9,52.3,556789.64798727,28956158.25453972
2026-05-15 16:30:00,52.2,52.2,51.9,51.9,233644.73318275,12155478.41491318
2026-05-15 16:45:00,51.9,52.1,51.8,52.1,954071.98017319,49606435.57580393
2026-05-15 17:00:00,51.9,52.2,51.9,52.2,272074.8988107,14194480.49053686
2026-05-15 17:15:00,52.0,52.0,51.6,51.7,245106.12959551,12696091.924807
2026-05-15 17:30:00,51.6,51.8,51.5,51.8,82957.93719318,4282905.42253604
2026-05-15 17:45:00,51.8,51.8,51.7,51.7,97977.14109418,5067054.36177916
2026-05-15 18:00:00,51.7,51.7,51.6,51.6,31389.87330874,1621279.83144991
2026-05-15 18:15:00,51.6,51.6,51.0,51.1,156969.770531,8024815.57072213
2026-05-15 18:30:00,51.1,51.2,50.9,51.0,53456.37544907,2734116.00148734
2026-05-15 18:45:00,50.9,51.0,50.7,51.0,387269.99391685,19696970.54503726
2026-05-15 19:00:00,51.0,51.1,51.0,51.1,63747.30057762,3251891.88943106
2026-05-15 19:15:00,51.0,51.0,50.8,50.9,199331.6583885,10150614.93285144
2026-05-15 19:30:00,50.9,50.9,50.7,50.8,96600.66117081,4904475.34615259
2026-05-15 19:45:00,51.1,51.1,51.0,51.0,2099.1404781,107069.99999954
2026-05-15 20:00:00,51.0,51.0,50.8,50.8,61201.9971832,3109474.38421501
2026-05-15 20:15:00,50.9,50.9,50.7,50.8,391939.44263348,19910114.83277637
2026-05-15 20:30:00,50.8,50.9,50.7,50.9,41540.08652145,2108611.97737602
2026-05-15 20:45:00,50.7,50.9,50.7,50.9,44695.64814047,2268867.10537998
2026-05-15 21:00:00,50.9,51.1,50.8,50.8,31759.945524,1614407.24273709
2026-05-15 21:15:00,50.8,51.0,50.7,50.7,49622.96079983,2526294.89680844
2026-05-15 21:30:00,50.6,50.7,50.4,50.6,851671.96492934,43010775.05171906
2026-05-15 21:45:00,50.5,50.6,50.4,50.5,68745.36606792,3465201.30187563
2026-05-15 22:00:00,50.4,50.5,50.3,50.5,92463.90428909,4654558.87772404
2026-05-15 22:15:00,50.5,50.5,50.5,50.5,50000.0,2525000.0
2026-05-15 22:30:00,50.5,50.5,49.7,49.9,831318.57280704,41720220.64695096
2026-05-15 22:45:00,49.7,50.0,49.1,49.6,1192132.91918426,58977212.7632681
2026-05-15 23:00:00,49.3,50.5,49.1,50.4,1930617.46589184,96800430.2666711
2026-05-15 23:15:00,50.4,50.7,50.4,50.5,152832.6869018,7728421.72712657
2026-05-15 23:30:00,50.6,50.6,50.3,50.3,237540.49691895,11979310.5218494
2026-05-15 23:45:00,50.2,50.2,50.0,50.0,290449.99369257,14525290.30195127
2026-05-16 00:00:00,50.0,50.1,49.8,50.1,16624.51297422,830904.3645343
2026-05-16 00:15:00,50.3,50.3,49.8,50.1,393034.92065677,19685380.27249309
2026-05-16 00:30:00,50.1,50.2,50.0,50.0,35810.85835947,1790914.63323455
2026-05-16 00:45:00,50.0,50.0,50.0,50.0,40785.00964417,2039250.4822085
2026-05-16 01:00:00,50.0,50.2,49.9,50.2,472835.04230327,23693974.34478803
2026-05-16 01:15:00,50.2,50.5,50.2,50.5,155155.02659163,7807256.25340057
2026-05-16 01:30:00,51.1,51.1,50.4,50.7,134290.39054316,6821753.85950443
2026-05-16 01:45:00,50.7,50.7,50.7,50.7,18979.98515935,962285.24757905
2026-05-16 02:00:00,51.0,51.0,50.8,50.8,8369.5803158,425194.30556112
2026-05-16 02:15:00,50.8,51.3,50.7,51.3,226267.60686504,11474229.49882232
2026-05-16 02:30:00,51.5,51.6,51.2,51.5,155298.72984803,7984221.80626709
2026-05-16 02:45:00,51.6,51.7,51.6,51.7,20519.00170164,1060813.00812983
2026-05-16 03:00:00,51.8,52.0,51.6,51.6,14993.51102809,774790.65904992
2026-05-16 03:15:00,51.5,51.5,51.3,51.4,115996.41020143,5954052.40255666
2026-05-16 03:45:00,51.4,51.4,51.4,51.4,99.22178989,5100.00000035
2026-05-16 04:15:00,51.3,51.3,51.3,51.3,2143.87026797,109980.54474686
2026-05-16 04:30:00,51.2,51.3,50.9,50.9,445656.07616204,22839255.06108641
2026-05-16 04:45:00,50.8,51.0,50.7,51.0,2260.1198043,114668.88371483
2026-05-16 05:00:00,50.8,50.8,50.8,50.8,126.1172,6406.75376
2026-05-16 05:15:00,50.7,50.7,50.7,50.7,99074.2785351,5023065.92172957
2026-05-16 05:30:00,50.7,50.7,50.7,50.7,79868.86949359,4049351.68332501
2026-05-16 05:45:00,50.7,50.7,50.7,50.7,382.91913214,19413.9999995
2026-05-16 06:00:00,50.6,50.6,50.6,50.6,893.08360916,45190.0306235
2026-05-16 06:15:00,51.3,51.3,50.9,51.0,88883.48162969,4551001.43795122
2026-05-16 06:30:00,51.0,51.0,50.7,50.7,166654.26331075,8455390.67935406
2026-05-16 06:45:00,50.7,50.8,50.6,50.6,28458.13394745,1442817.54830664
2026-05-16 07:00:00,50.6,50.6,50.6,50.6,395.256917,20000.0000002
2026-05-16 07:15:00,50.6,50.7,50.6,50.7,55935.10610387,2830376.28262826
2026-05-16 07:30:00,50.7,50.7,50.5,50.5,6875.8013162,347755.20602513
2026-05-16 07:45:00,50.6,50.6,50.6,50.6,78654.44772334,3979915.054801
2026-05-16 08:00:00,50.8,50.8,50.7,50.8,2563.69790336,130186.27503893
2026-05-16 08:15:00,50.7,50.7,50.7,50.7,212037.63630726,10750308.16077808
2026-05-16 08:30:00,50.6,50.6,50.3,50.5,220354.48802836,11096382.57044359
2026-05-16 08:45:00,50.5,50.7,50.5,50.7,21669.39191282,1098245.12197118
2026-05-16 09:00:00,50.5,50.6,50.3,50.6,180207.24958246,9087160.23401231
2026-05-16 09:15:00,50.6,50.6,50.4,50.5,86070.07573861,4342528.77305583
2026-05-16 09:30:00,50.6,50.7,50.6,50.7,141875.89687753,7190512.91380984
2026-05-16 09:45:00,50.7,50.7,50.4,50.4,47344.5303412,2395163.33297204
2026-05-16 10:00:00,50.3,50.3,50.2,50.3,104039.21769632,5233006.8792631
2026-05-16 10:15:00,50.2,50.2,50.2,50.2,996.01593625,49999.99999975
2026-05-16 10:30:00,50.2,50.2,50.2,50.2,32805.63593216,1646842.92379443
2026-05-16 10:45:00,50.3,50.6,50.3,50.6,519754.4916751,26239824.52229396
2026-05-16 11:00:00,50.6,50.6,50.5,50.6,91071.50022739,4605028.28502793
2026-05-16 11:15:00,50.5,50.5,50.5,50.5,82252.87091065,4153769.98098783
2026-05-16 11:30:00,50.5,50.5,50.3,50.4,54224.36038981,2734176.42436003
2026-05-16 11:45:00,50.4,50.4,50.3,50.3,32187.78988018,1619100.37263997
2026-05-16 12:00:00,50.6,50.6,50.4,50.4,319888.52192423,16122415.18529308
2026-05-16 12:15:00,50.4,50.4,50.4,50.4,19327.26190475,974093.9999994
2026-05-16 12:30:00,50.3,50.3,50.2,50.2,33224.9262704,1671022.55634136
2026-05-16 12:45:00,50.2,50.3,50.2,50.3,33432.13822208,1681486.87529962
2026-05-16 13:00:00,50.3,50.5,50.2,50.4,202478.12646846,10198047.37891976
2026-05-16 13:15:00,50.3,50.3,50.3,50.3,1023.11729621,51462.79999936
2026-05-16 13:30:00,50.2,50.2,49.7,49.9,676336.79794005,33676642.10021511
2026-05-16 13:45:00,49.9,50.2,49.7,50.2,83412.52020228,4167817.75588046
2026-05-16 14:00:00,50.0,50.0,50.0,50.0,28000.0,1400000.0
2026-05-16 14:15:00,49.9,49.9,49.8,49.8,85878.23962997,4278625.98925623
2026-05-16 14:30:00,49.8,49.9,49.6,49.8,61159.09654004,3037635.85118971
2026-05-16 14:45:00,49.8,50.1,49.7,49.8,159900.86608735,7953773.77341217
2026-05-16 15:00:00,49.8,49.8,49.3,49.6,194642.53777779,9634684.66748125
2026-05-16 15:15:00,49.4,49.6,49.3,49.4,77114.3051443,3805917.37919951
2026-05-16 15:30:00,49.4,49.4,49.0,49.2,138384.02367174,6794979.27052752
2026-05-16 15:45:00,49.2,49.3,48.8,49.3,362740.74574767,17830280.28381797
2026-05-16 16:00:00,49.2,50.2,49.1,50.1,1030427.88141138,51213239.21977065
2026-05-16 16:15:00,50.0,50.6,49.7,50.5,501523.14942767,25161445.5981573
2026-05-16 16:30:00,50.4,50.4,50.1,50.4,36884.78555532,1848755.15447457
2026-05-16 16:45:00,50.1,50.3,50.0,50.3,59147.05924495,2962783.9514991
2026-05-16 17:00:00,50.2,50.4,50.2,50.2,271371.80803441,13622894.05655447
2026-05-16 17:15:00,50.0,50.0,49.6,49.7,151592.74393575,7562840.89163961
2026-05-16 17:30:00,49.7,50.0,49.7,50.0,102916.90066559,5121317.73096957
2026-05-16 17:45:00,50.0,50.0,49.7,49.8,59717.16228208,2970453.1638569
2026-05-16 18:00:00,49.6,49.8,49.5,49.5,2443.28436569,121433.62592749
2026-05-16 18:15:00,49.6,49.6,48.8,49.0,526420.08582765,25836392.67216711
2026-05-16 18:30:00,49.1,49.4,49.0,49.3,187060.95953552,9218854.33619839
2026-05-16 18:45:00,49.1,49.1,48.8,49.0,137685.18869464,6746337.70385139
2026-05-16 19:00:00,49.0,49.0,48.4,48.7,244784.54315033,11880315.34149886
2026-05-16 19:15:00,48.7,49.0,48.4,48.4,240866.33141578,11763820.98800707
2026-05-16 19:30:00,48.6,48.7,48.4,48.5,9363.31055368,454584.41160474
2026-05-16 19:45:00,48.5,48.9,48.5,48.9,199600.403218,9681834.35447293
2026-05-16 20:00:00,49.0,49.3,48.9,49.1,18340.74984049,900347.04661811
2026-05-16 20:15:00,49.2,49.2,49.0,49.0,122656.14004966,6034499.26763268
2026-05-16 20:30:00,49.0,49.2,48.9,49.1,133219.7853393,6533913.49077298
2026-05-16 20:45:00,49.0,49.0,48.9,48.9,7558.13227043,369796.33401181
2026-05-16 21:00:00,48.9,48.9,48.6,48.8,2547481.84462044,124306287.14222288
2026-05-16 21:15:00,48.8,48.8,48.7,48.7,43903.16035485,2142269.30728389
2026-05-16 21:30:00,48.7,48.8,48.7,48.8,266988.16075274,13002770.18058185
2026-05-16 21:45:00,48.8,48.8,48.7,48.7,242568.55,11815345.24056856
2026-05-16 22:00:00,48.7,48.7,48.6,48.6,36326.35464065,1765553.23799966
2026-05-16 22:15:00,48.8,48.8,48.8,48.8,52704.82075933,2571995.2530553
2026-05-16 22:30:00,48.8,48.8,48.6,48.6,40627.73784934,1976499.69430663
2026-05-16 22:45:00,48.6,48.7,48.6,48.6,270734.73412956,13159176.07869662
2026-05-16 23:00:00,48.7,48.7,48.6,48.6,17217.48038285,837346.04339558
2026-05-16 23:15:00,48.7,48.8,48.7,48.8,46438.96172304,2262472.68783546
2026-05-16 23:30:00,48.8,48.9,48.8,48.9,12500.0,611100.0
2026-05-16 23:45:00,49.1,49.1,48.8,49.0,527573.98924157,25783090.87258051
