,open,high,low,close,volume,value
2026-05-13 04:30:00,9.14,9.15,9.13,9.13,213524.43343205,1951551.80141871
2026-05-13 04:45:00,9.15,9.19,9.15,9.19,704735.89761809,6450573.94479386
2026-05-13 05:00:00,9.19,9.31,9.19,9.31,1373511.55992883,12743031.26645437
2026-05-13 05:15:00,9.3,9.33,9.25,9.3,1143588.49780409,10647930.50235325
2026-05-13 05:30:00,9.3,9.31,9.29,9.29,56293.12141169,523423.49015792
2026-05-13 05:45:00,9.29,9.29,9.29,9.29,43057.05059203,399999.99999996
2026-05-13 06:00:00,9.28,9.28,9.26,9.26,198259.73364743,1836100.18733864
2026-05-13 06:15:00,9.26,9.31,9.25,9.31,693836.67988379,6432370.50104908
2026-05-13 06:30:00,9.31,9.33,9.31,9.33,1483177.09364915,13814326.62112015
2026-05-13 06:45:00,9.29,9.33,9.29,9.32,95648.41772429,890869.04408108
2026-05-13 07:00:00,9.29,9.32,9.28,9.3,90328.37014769,839305.02300754
2026-05-13 07:15:00,9.31,9.42,9.31,9.42,925305.04118557,8665890.11758959
2026-05-13 07:30:00,9.4,9.42,9.34,9.34,2543688.86858255,23821955.5767572
2026-05-13 07:45:00,9.35,9.4,9.34,9.34,834819.37810587,7819185.16867404
2026-05-13 08:00:00,9.32,9.4,9.29,9.33,2821406.96490353,26320554.63764493
2026-05-13 08:15:00,9.32,9.36,9.24,9.24,1336767.58071297,12412489.64444177
2026-05-13 08:30:00,9.29,9.29,9.25,9.29,276796.58785846,2561814.90710479
2026-05-13 08:45:00,9.29,9.38,9.27,9.28,1505312.0110543,14027147.62463604
2026-05-13 09:00:00,9.28,9.32,9.27,9.27,877828.73604188,8149784.93705272
2026-05-13 09:15:00,9.26,9.27,9.22,9.26,701904.20416347,6495856.85454412
2026-05-13 09:30:00,9.26,9.26,9.26,9.26,10077.83278327,93320.73157308
2026-05-13 09:45:00,9.27,9.35,9.27,9.35,992270.84910412,9244971.38863574
2026-05-13 10:00:00,9.35,9.35,9.28,9.33,1087066.24340195,10127719.43668717
2026-05-13 10:15:00,9.33,9.33,9.33,9.33,352485.10093826,3288685.99175397
2026-05-13 10:30:00,9.33,9.35,9.31,9.34,364544.56008568,3400633.86783504
2026-05-13 10:45:00,9.34,9.34,9.32,9.34,487444.73629348,4548603.52599649
2026-05-13 11:00:00,9.34,9.34,9.31,9.32,801850.27386663,7476613.49003284
2026-05-13 11:15:00,9.31,9.32,9.3,9.32,144589.5673931,1345017.62209431
2026-05-13 11:30:00,9.3,9.3,9.27,9.27,1845504.83378514,17125441.94737664
2026-05-13 11:45:00,9.3,9.3,9.27,9.3,472322.69987276,4378999.94881667
2026-05-13 12:00:00,9.3,9.3,9.27,9.27,384891.43811713,3572499.23001988
2026-05-13 12:15:00,9.29,9.29,9.27,9.29,206852.57905974,1918600.45946498
2026-05-13 12:30:00,9.27,9.29,9.26,9.26,899054.09161427,8330711.52552586
2026-05-13 12:45:00,9.26,9.29,9.24,9.28,1467615.82505936,13598524.5602631
2026-05-13 13:00:00,9.28,9.29,9.28,9.28,514793.61341969,4778591.09516085
2026-05-13 13:15:00,9.28,9.28,9.27,9.28,1153653.39513742,10695018.78859871
2026-05-13 13:30:00,9.27,9.29,9.27,9.29,613904.81227237,5696208.87550543
2026-05-13 13:45:00,9.29,9.29,9.25,9.27,574543.24470639,5322103.81908594
2026-05-13 14:00:00,9.27,9.28,9.27,9.28,85916.49387247,796650.51804483
2026-05-13 14:15:00,9.28,9.28,9.24,9.27,204442.41905947,1891299.81333113
2026-05-13 14:30:00,9.27,9.27,9.18,9.21,3733042.74322554,34414243.21919849
2026-05-13 14:45:00,9.21,9.25,9.21,9.25,683149.72051011,6294419.0099736
2026-05-13 15:00:00,9.25,9.27,9.22,9.27,1126103.78665002,10420552.89559643
2026-05-13 15:15:00,9.24,9.28,9.24,9.27,657038.80936921,6090857.57371277
2026-05-13 15:30:00,9.24,9.27,9.24,9.25,233126.55793819,2154229.689257
2026-05-13 15:45:00,9.25,9.25,9.25,9.25,222212.01339753,2055461.12392715
2026-05-13 16:00:00,9.25,9.29,9.25,9.29,851638.84803024,7903163.10314151
2026-05-13 16:15:00,9.29,9.29,9.29,9.29,1076.4262648,9999.99999999
2026-05-13 16:30:00,9.28,9.29,9.23,9.26,803528.70605631,7422654.82425015
2026-05-13 16:45:00,9.24,9.26,9.24,9.25,150249.84104646,1389530.72871478
2026-05-13 17:00:00,9.24,9.24,9.24,9.24,171079.59350173,1580775.44395599
2026-05-13 17:15:00,9.23,9.25,9.21,9.21,1996807.47424453,18428924.96332082
