,open,high,low,close,volume,value
2026-05-16 01:00:00,4.19,4.19,4.17,4.18,9671943.16647999,40453448.23421391
2026-05-16 01:15:00,4.18,4.21,4.18,4.21,1527763.19206641,6391432.93272185
2026-05-16 01:30:00,4.21,4.23,4.21,4.22,83492.87885097,352351.41362097
2026-05-16 01:45:00,4.21,4.22,4.21,4.22,15065.84789189,63510.15801348
2026-05-16 02:00:00,4.22,4.22,4.22,4.22,272535.50992484,1150099.85188282
2026-05-16 02:15:00,4.22,4.24,4.21,4.24,704257.57463488,2972990.47763559
2026-05-16 02:30:00,4.24,4.24,4.22,4.24,2145093.98704632,9089182.50295115
2026-05-16 02:45:00,4.24,4.24,4.24,4.24,136755.98382019,579845.37139761
2026-05-16 03:00:00,4.25,4.25,4.23,4.25,200694.07028185,851554.65812073
2026-05-16 03:15:00,4.24,4.24,4.23,4.23,140723.83873932,595630.45844778
2026-05-16 03:30:00,4.23,4.23,4.21,4.21,945247.658156,3993795.5214122
2026-05-16 03:45:00,4.24,4.24,4.24,4.24,1181.60377358,5009.99999998
2026-05-16 04:00:00,4.24,4.24,4.22,4.22,3812973.92172695,16143391.17696544
2026-05-16 04:15:00,4.22,4.23,4.22,4.23,384589.60595861,1626276.11662832
2026-05-16 04:30:00,4.24,4.24,4.23,4.23,278906.22764805,1179808.77182854
2026-05-16 04:45:00,4.22,4.22,4.21,4.21,198791.95424712,838890.09917938
2026-05-16 05:00:00,4.21,4.21,4.2,4.2,427814.90478685,1798214.63157716
2026-05-16 05:15:00,4.21,4.21,4.2,4.2,1266068.25127019,5325324.3819164
2026-05-16 05:30:00,4.19,4.2,4.18,4.2,193347.53991298,810406.06362882
2026-05-16 05:45:00,4.19,4.19,4.18,4.19,337838.75578121,1415521.10994558
2026-05-16 06:00:00,4.19,4.2,4.19,4.19,658408.90441574,2758971.40474005
2026-05-16 06:15:00,4.2,4.2,4.19,4.2,1369404.10962726,5741497.26043449
2026-05-16 06:30:00,4.2,4.2,4.2,4.2,11904.76190476,49999.99999999
2026-05-16 06:45:00,4.2,4.2,4.19,4.19,373801.42475537,1566251.77924881
2026-05-16 07:00:00,4.18,4.19,4.18,4.19,2467818.14735949,10339042.00536453
2026-05-16 07:15:00,4.2,4.2,4.18,4.18,4590633.98249519,19200820.04440129
2026-05-16 07:30:00,4.18,4.18,4.16,4.17,4317555.93823611,18011139.94736097
2026-05-16 07:45:00,4.18,4.19,4.17,4.19,2895005.57060028,12118133.8309013
2026-05-16 08:00:00,4.19,4.2,4.19,4.19,2946653.35040892,12371535.50949562
2026-05-16 08:15:00,4.19,4.2,4.18,4.2,7445090.00483571,31247762.8789762
2026-05-16 08:30:00,4.2,4.2,4.19,4.19,70709.006,296663.45068699
2026-05-16 08:45:00,4.2,4.24,4.2,4.24,6656170.30180085,28122991.7178533
2026-05-16 09:00:00,4.21,4.23,4.19,4.23,1658772.86879243,6970527.59124104
2026-05-16 09:15:00,4.23,4.25,4.22,4.25,1834644.18324006,7751822.00806168
2026-05-16 09:30:00,4.25,4.26,4.23,4.24,2317805.08556518,9850184.58395477
2026-05-16 09:45:00,4.25,4.25,4.23,4.23,4336935.81208653,18363251.82241677
2026-05-16 10:00:00,4.22,4.23,4.2,4.2,6019877.3383328,25370508.16930827
2026-05-16 10:15:00,4.21,4.21,4.19,4.19,8166197.06970823,34269296.87429689
2026-05-16 10:30:00,4.2,4.29,4.2,4.25,21817632.0944815,92753282.11916071
2026-05-16 10:45:00,4.25,4.25,4.24,4.24,650726.85077738,2759787.72964903
2026-05-16 11:00:00,4.26,4.26,4.24,4.24,5782588.77853461,24595849.65361984
2026-05-16 11:15:00,4.27,4.27,4.25,4.25,156423.32917982,667523.00649669
2026-05-16 11:30:00,4.24,4.3,4.24,4.25,3010438.9080663,12849574.35203278
2026-05-16 11:45:00,4.24,4.24,4.24,4.24,10564.31243837,44792.68473869
2026-05-16 12:15:00,4.26,4.26,4.25,4.25,61207.51264761,260155.40762558
2026-05-16 12:30:00,4.24,4.25,4.23,4.23,3743077.32310453,15871881.35765558
2026-05-16 12:45:00,4.23,4.24,4.21,4.21,1454004.22380334,6132378.47111101
2026-05-16 13:00:00,4.21,4.22,4.19,4.19,1193645.96068916,5017210.24123588
2026-05-16 13:15:00,4.19,4.2,4.19,4.19,1984414.26232681,8315701.38778758
2026-05-16 13:30:00,4.18,4.2,4.16,4.2,7117504.16560925,29692020.1122706
2026-05-16 13:45:00,4.2,4.2,4.18,4.19,537846.65863649,2252845.06043394
2026-05-16 14:00:00,4.19,4.19,4.18,4.18,1641168.07658139,6860583.50295621
2026-05-16 14:30:00,4.18,4.21,4.18,4.21,459837.22169816,1935196.99999997
2026-05-16 14:45:00,4.19,4.19,4.19,4.19,461891.96910588,1935327.35055364
2026-05-16 15:00:00,4.19,4.19,4.17,4.17,426078.72673171,1780091.26117266
2026-05-16 15:15:00,4.17,4.18,4.15,4.16,6002091.83874137,24941245.03915031
2026-05-16 15:30:00,4.16,4.18,4.14,4.16,7732231.07362632,32155194.63049959
2026-05-16 15:45:00,4.16,4.16,4.12,4.15,10795233.458394,44523471.6003076
2026-05-16 16:00:00,4.14,4.15,4.01,4.04,35642057.4201199,145267808.72726765
2026-05-16 16:15:00,4.04,4.08,4.02,4.08,14240159.56068385,57509766.45626847
2026-05-16 16:30:00,4.07,4.1,4.06,4.09,4491361.37686327,18318598.73766955
2026-05-16 16:45:00,4.1,4.1,4.05,4.06,3335348.13746072,13550993.71226402
2026-05-16 17:00:00,4.06,4.09,4.04,4.09,16287844.88804332,66264194.32098014
