,open,high,low,close,volume,value
2026-04-30 19:15:00,116.0,116.0,116.0,116.0,862.06896551,99999.99999916
2026-04-30 19:45:00,116.0,116.0,115.0,115.0,781.10944528,90000.0000003
2026-04-30 20:30:00,116.0,116.0,116.0,116.0,862.06896551,99999.99999916
2026-04-30 20:45:00,116.0,116.0,116.0,116.0,5563.71267487,645390.67028492
2026-04-30 21:15:00,116.0,116.0,116.0,116.0,8010.19508375,929182.629715
2026-04-30 21:30:00,115.0,116.0,115.0,116.0,102.17391304,11799.9999996
2026-04-30 21:45:00,116.0,116.0,116.0,116.0,20051.65517239,2325991.99999724
2026-04-30 22:00:00,116.0,116.0,116.0,116.0,713.16614418,82727.27272488
2026-04-30 22:15:00,116.0,116.0,116.0,116.0,1120.71034481,130002.39999796
2026-04-30 22:30:00,116.0,116.0,116.0,116.0,37092.49802825,4302729.771277
2026-04-30 23:00:00,116.0,116.0,116.0,116.0,5069.38146551,588048.24999916
2026-04-30 23:30:00,117.0,117.0,117.0,117.0,7942.35788088,929255.87206296
2026-05-01 00:15:00,116.0,116.0,116.0,116.0,1749.81930522,202979.03940552
2026-05-01 00:30:00,117.0,117.0,117.0,117.0,8542.73717841,999500.24987397
2026-05-01 01:15:00,117.0,117.0,116.0,116.0,13468.22403782,1574103.02257514
2026-05-01 01:45:00,116.0,116.0,116.0,116.0,2236.0757659,259384.7888444
2026-05-01 03:15:00,117.0,117.0,117.0,117.0,50.0,5850.0
2026-05-01 03:45:00,116.0,116.0,116.0,116.0,39093.81034479,4534881.99999564
2026-05-01 04:45:00,116.0,116.0,116.0,116.0,920.28123867,106752.62368572
2026-05-01 05:00:00,116.0,116.0,116.0,116.0,8764.33578082,1016662.95057512
2026-05-01 06:30:00,116.0,116.0,116.0,116.0,65.78947368,7631.57894688
2026-05-01 06:45:00,116.0,116.0,116.0,116.0,1113.40881283,129155.42228828
2026-05-01 07:15:00,116.0,116.0,116.0,116.0,168.77937615,19578.4076334
2026-05-01 07:45:00,117.0,117.0,117.0,117.0,4669.28632478,546306.49999926
2026-05-01 08:30:00,116.0,116.0,116.0,116.0,53083.72443719,6157712.03471404
2026-05-01 08:45:00,117.0,117.0,117.0,117.0,32291.75156011,3778134.93253287
2026-05-01 09:00:00,116.0,117.0,115.0,116.0,30026.78100594,3479826.89618097
2026-05-01 09:15:00,116.0,116.0,115.0,116.0,88829.7730445,10219705.2752704
2026-05-01 09:45:00,116.0,116.0,116.0,116.0,20901.01500973,2424517.74112868
2026-05-01 10:00:00,116.0,116.0,116.0,116.0,45410.01912836,5267562.21888976
2026-05-01 10:15:00,116.0,116.0,116.0,116.0,500.0,58000.0
2026-05-01 10:30:00,116.0,116.0,116.0,116.0,1229.67241379,142641.99999964
2026-05-01 10:45:00,116.0,116.0,116.0,116.0,500.0,58000.0
2026-05-01 11:00:00,116.0,116.0,116.0,116.0,14655.17241377,1699999.99999732
2026-05-01 11:15:00,116.0,116.0,116.0,116.0,1724.13793102,199999.99999832
2026-05-01 11:45:00,115.0,116.0,115.0,116.0,1731.6341829,199999.99999901
2026-05-01 12:00:00,116.0,116.0,115.0,115.0,5338.68965516,614859.65517098
2026-05-01 12:30:00,115.0,116.0,115.0,115.0,174917.84753452,20118537.29668569
2026-05-01 12:45:00,116.0,116.0,115.0,116.0,46532.76080736,5352390.2345254
2026-05-01 13:15:00,116.0,116.0,116.0,116.0,431.03448275,49999.999999
2026-05-01 13:45:00,116.0,116.0,116.0,116.0,862.06896551,99999.99999916
2026-05-01 14:00:00,115.0,115.0,115.0,115.0,900.0,103500.0
2026-05-01 15:00:00,115.0,115.0,115.0,115.0,412.34104433,47419.22009795
2026-05-01 15:45:00,115.0,115.0,115.0,115.0,63950.58726437,7354317.53540255
2026-05-01 16:00:00,115.0,115.0,115.0,115.0,5189.84575508,596832.2618342
2026-05-01 16:15:00,116.0,116.0,116.0,116.0,44329.31809956,5142200.89954896
2026-05-01 16:30:00,115.0,115.0,115.0,115.0,8000.0,920000.0
2026-05-01 16:45:00,116.0,116.0,116.0,116.0,50.0,5800.0
2026-05-01 17:15:00,115.0,115.0,115.0,115.0,1500.0,172500.0
2026-05-01 17:30:00,116.0,116.0,116.0,116.0,972.13822325,112768.033897
2026-05-01 17:45:00,116.0,116.0,116.0,116.0,85.73299557,9945.02748612
2026-05-01 18:00:00,116.0,116.0,116.0,116.0,200.0,23200.0
2026-05-01 18:30:00,115.0,115.0,115.0,115.0,43467.24913405,4998733.65041575
2026-05-01 18:45:00,115.0,116.0,115.0,116.0,5044.15948275,580164.5474128
2026-05-01 19:00:00,115.0,115.0,115.0,115.0,84.74576271,9745.76271165
2026-05-01 20:00:00,116.0,116.0,116.0,116.0,412.97413793,47904.99999988
2026-05-01 20:15:00,115.0,115.0,115.0,115.0,913.56521739,105059.99999985
2026-05-01 20:45:00,116.0,116.0,115.0,115.0,1716.76982021,198290.59828966
2026-05-01 21:00:00,115.0,115.0,115.0,115.0,86.20689655,9913.79310325
2026-05-01 21:30:00,116.0,116.0,116.0,116.0,50.0,5800.0
2026-05-01 21:45:00,115.0,115.0,115.0,115.0,54.05405405,6216.21621575
2026-05-01 22:45:00,116.0,116.0,116.0,116.0,10340.51939546,1199500.24987336
2026-05-01 23:00:00,115.0,115.0,115.0,115.0,1416.55782364,162904.1497186
2026-05-01 23:15:00,116.0,116.0,116.0,116.0,2126.27586206,246647.99999896
2026-05-01 23:30:00,116.0,116.0,116.0,116.0,11108.22175119,1288553.72313804
2026-05-01 23:45:00,115.0,115.0,115.0,115.0,344.37391305,39603.00000075
2026-05-02 00:45:00,115.0,115.0,115.0,115.0,1964.14709559,225876.91599285
2026-05-02 01:00:00,116.0,116.0,116.0,116.0,862.06896551,99999.99999916
2026-05-02 01:15:00,115.0,116.0,115.0,116.0,8210.80838889,946052.44791178
2026-05-02 03:45:00,116.0,116.0,116.0,116.0,862.06896551,99999.99999916
2026-05-02 05:45:00,116.0,116.0,116.0,116.0,86.20689655,9999.9999998
2026-05-02 06:15:00,116.0,116.0,116.0,116.0,4310.34482758,499999.99999928
2026-05-02 06:45:00,116.0,116.0,116.0,116.0,2155.17241378,249999.99999848
2026-05-02 07:00:00,116.0,116.0,115.0,115.0,119518.66872746,13745456.65395516
2026-05-02 07:15:00,115.0,115.0,115.0,115.0,26378.1500554,3033487.256371
2026-05-02 07:30:00,116.0,116.0,115.0,115.0,722.55762304,83154.66975304
2026-05-02 07:45:00,115.0,115.0,115.0,115.0,2235.50356698,257082.9102027
2026-05-02 08:00:00,115.0,115.0,115.0,115.0,296.31681877,34076.43415855
2026-05-02 08:15:00,116.0,116.0,116.0,116.0,4310.34482758,499999.99999928
2026-05-02 08:30:00,116.0,116.0,116.0,116.0,4310.34482758,499999.99999928
2026-05-02 09:00:00,116.0,116.0,116.0,116.0,862.06896551,99999.99999916
2026-05-02 10:30:00,116.0,116.0,116.0,116.0,86.20689655,9999.9999998
2026-05-02 10:45:00,116.0,116.0,116.0,116.0,3470.76461768,402608.69565088
2026-05-02 11:15:00,116.0,116.0,116.0,116.0,8616.38146444,999500.24987504
2026-05-02 11:30:00,115.0,115.0,115.0,115.0,4037.19331628,464277.2313722
2026-05-02 12:30:00,115.0,115.0,115.0,115.0,1385.30734632,159310.3448268
2026-05-02 13:00:00,115.0,115.0,115.0,115.0,2225.08920978,255885.2591247
2026-05-02 13:30:00,116.0,116.0,116.0,116.0,296.10970376,34348.72563616
2026-05-02 14:00:00,115.0,115.0,115.0,115.0,528.45261484,60772.0507066
2026-05-02 14:15:00,115.0,115.0,115.0,115.0,3608.69565217,414999.99999955
2026-05-02 16:00:00,115.0,115.0,115.0,115.0,8695.65217391,999999.99999965
2026-05-02 18:30:00,116.0,116.0,116.0,116.0,862.06896551,99999.99999916
