,open,high,low,close,volume,value
2026-05-18 01:30:00,9540.0,9540.0,9515.0,9515.0,1158.76054037,11029626.96569815
2026-05-18 01:45:00,9520.0,9520.0,9490.0,9490.0,1274.72696725,12109945.86425055
2026-05-18 02:00:00,9485.0,9495.0,9470.0,9470.0,1201.46149952,11388654.791664
2026-05-18 02:15:00,9480.0,9480.0,9465.0,9475.0,140.47222932,1330251.35115035
2026-05-18 02:30:00,9475.0,9475.0,9430.0,9430.0,1150.44842844,10868015.0691223
2026-05-18 02:45:00,9460.0,9470.0,9460.0,9460.0,1341.52599956,12692604.8534088
2026-05-18 03:00:00,9470.0,9500.0,9455.0,9460.0,12733.21631894,120547572.8135064
2026-05-18 03:15:00,9445.0,9445.0,9425.0,9430.0,5203.89919318,49098823.3234902
2026-05-18 03:30:00,9450.0,9455.0,9440.0,9450.0,629.30183355,5946685.9847598
2026-05-18 03:45:00,9440.0,9490.0,9430.0,9490.0,662.34945421,6254328.4944496
2026-05-18 04:00:00,9490.0,9490.0,9485.0,9485.0,32.67012017,310016.2604133
2026-05-18 04:15:00,9485.0,9485.0,9485.0,9485.0,309.66079877,2937132.67633345
2026-05-18 04:30:00,9480.0,9515.0,9480.0,9515.0,717.81330303,6817439.74724345
2026-05-18 04:45:00,9520.0,9530.0,9510.0,9510.0,3982.38503729,37944342.343765
2026-05-18 05:00:00,9490.0,9490.0,9485.0,9490.0,1717.35591473,16290231.5290801
2026-05-18 05:15:00,9490.0,9490.0,9475.0,9475.0,211.00995929,2000798.4286092
2026-05-18 05:30:00,9490.0,9510.0,9490.0,9490.0,142.49687896,1352326.9270716
2026-05-18 05:45:00,9490.0,9505.0,9490.0,9505.0,394.33406654,3745516.0827753
2026-05-18 06:00:00,9495.0,9500.0,9480.0,9500.0,1906.11096984,18090738.8770994
2026-05-18 06:15:00,9500.0,9525.0,9500.0,9525.0,447.32708087,4255933.8598021
2026-05-18 06:30:00,9530.0,9550.0,9525.0,9545.0,444.28498393,4237133.96087495
2026-05-18 06:45:00,9550.0,9550.0,9530.0,9530.0,352.98952608,3365411.4342358
2026-05-18 07:00:00,9525.0,9530.0,9475.0,9500.0,2708.23430042,25745787.43299755
2026-05-18 07:15:00,9500.0,9500.0,9440.0,9460.0,4446.79632392,42038992.079303
2026-05-18 07:30:00,9460.0,9470.0,9450.0,9470.0,818.14865468,7738613.14121405
2026-05-18 07:45:00,9460.0,9460.0,9420.0,9430.0,2921.36914746,27554606.59234995
2026-05-18 08:00:00,9430.0,9430.0,9410.0,9425.0,1340.71502067,12630881.93516335
2026-05-18 08:15:00,9415.0,9415.0,9345.0,9345.0,5022.26002071,47132995.8858655
2026-05-18 08:30:00,9345.0,9380.0,9040.0,9175.0,21682.11952564,199145488.37742275
2026-05-18 08:45:00,9175.0,9295.0,9165.0,9290.0,11626.96897339,107071493.23170835
2026-05-18 09:00:00,9280.0,9280.0,9140.0,9190.0,10041.28014692,92224987.5423638
2026-05-18 09:15:00,9195.0,9225.0,9185.0,9185.0,2685.23026088,24689688.31067865
2026-05-18 09:30:00,9190.0,9205.0,9170.0,9195.0,2825.54074403,25959607.19752655
2026-05-18 09:45:00,9185.0,9210.0,9175.0,9210.0,8613.77714326,79201002.2623553
2026-05-18 10:00:00,9210.0,9240.0,9185.0,9215.0,7292.28284226,67192316.0238852
2026-05-18 10:15:00,9200.0,9205.0,9165.0,9170.0,6529.93525162,59939589.4139865
2026-05-18 10:30:00,9175.0,9175.0,9150.0,9160.0,2084.65897638,19098341.0630642
2026-05-18 10:45:00,9150.0,9240.0,9150.0,9230.0,3001.13618078,27610702.7507999
2026-05-18 11:00:00,9230.0,9270.0,9230.0,9270.0,8490.21962463,78516578.44329084
2026-05-18 11:15:00,9270.0,9270.0,9265.0,9265.0,615.890377,5709249.82824925
2026-05-18 11:30:00,9265.0,9265.0,9235.0,9245.0,2933.44899224,27126575.5821311
2026-05-18 11:45:00,9265.0,9265.0,9245.0,9250.0,768.6144869,7109588.81536255
2026-05-18 12:00:00,9250.0,9300.0,9250.0,9280.0,1033.2253155,9593508.6397027
2026-05-18 12:15:00,9280.0,9280.0,9250.0,9260.0,737.241238,6822591.1424901
2026-05-18 12:30:00,9260.0,9260.0,9225.0,9225.0,1414.1326256,13055820.29294655
2026-05-18 12:45:00,9245.0,9245.0,9230.0,9230.0,1313.18185804,12127179.17946965
2026-05-18 13:00:00,9250.0,9250.0,9235.0,9245.0,1972.53421857,18230423.8106402
2026-05-18 13:15:00,9245.0,9255.0,9215.0,9215.0,1245.83469002,11520720.9949006
2026-05-18 13:30:00,9215.0,9235.0,9215.0,9235.0,511.24803496,4716601.19938485
2026-05-18 13:45:00,9255.0,9260.0,9220.0,9240.0,3820.42238802,35274399.8033891
2026-05-18 14:00:00,9245.0,9245.0,9240.0,9240.0,307.82444862,2845384.43878025
2026-05-18 14:15:00,9240.0,9240.0,9230.0,9230.0,1860.37472883,17179646.94847325
2026-05-18 14:30:00,9230.0,9230.0,9210.0,9210.0,2554.32564271,23536624.45648265
2026-05-18 14:45:00,9210.0,9220.0,9205.0,9205.0,2246.55764932,20687570.06016095
2026-05-18 15:00:00,9200.0,9205.0,9150.0,9175.0,6557.43392971,60083230.35203015
2026-05-18 15:15:00,9185.0,9200.0,9140.0,9140.0,2501.0673747,22892544.8054535
2026-05-18 15:30:00,9145.0,9165.0,9135.0,9150.0,2601.80742721,23809340.6525653
2026-05-18 15:45:00,9155.0,9155.0,9150.0,9150.0,973.54394065,8908067.45072135
2026-05-18 16:00:00,9170.0,9180.0,9135.0,9150.0,2679.79645007,24534613.2190122
2026-05-18 16:15:00,9140.0,9165.0,9110.0,9165.0,1787.4992177,16321792.4026554
2026-05-18 16:30:00,9160.0,9165.0,9120.0,9130.0,3648.16765726,33299260.691256
2026-05-18 16:45:00,9125.0,9150.0,9120.0,9150.0,1688.39659289,15418567.27160225
2026-05-18 17:00:00,9150.0,9165.0,9150.0,9160.0,1308.55813328,11982741.76385705
2026-05-18 17:15:00,9160.0,9175.0,9155.0,9160.0,660.93146052,6053961.80713075
2026-05-18 17:30:00,9160.0,9160.0,9140.0,9140.0,1128.63301432,10323258.1881711
2026-05-18 17:45:00,9140.0,9165.0,9140.0,9165.0,591.45724482,5416971.5014038
2026-05-18 18:00:00,9175.0,9175.0,9135.0,9145.0,616.82847383,5640112.66330285
2026-05-18 18:15:00,9150.0,9155.0,9135.0,9135.0,432.38587401,3954455.64934545
2026-05-18 18:30:00,9135.0,9145.0,9135.0,9145.0,126.42911257,1156119.75445265
2026-05-18 18:45:00,9145.0,9145.0,9110.0,9110.0,4955.33893155,45170031.7346842
2026-05-18 19:00:00,9105.0,9105.0,9070.0,9090.0,4121.61837805,37483719.62584885
2026-05-18 19:15:00,9090.0,9095.0,9050.0,9050.0,5869.50584181,53181413.97043485
2026-05-18 19:30:00,9065.0,9065.0,9040.0,9055.0,3539.08907612,32026142.3007865
2026-05-18 19:45:00,9055.0,9075.0,9045.0,9055.0,629.92807818,5702887.05170145
2026-05-18 20:00:00,9055.0,9055.0,9035.0,9035.0,5529.89044596,49988361.8115029
2026-05-18 20:15:00,9035.0,9060.0,9030.0,9055.0,3098.02160572,28036682.52544165
2026-05-18 20:30:00,9050.0,9175.0,9050.0,9160.0,4024.0909018,36759495.40933815
2026-05-18 20:45:00,9165.0,9175.0,9135.0,9150.0,3489.08861583,31955340.4997858
2026-05-18 21:00:00,9180.0,9230.0,9180.0,9220.0,3187.4305285,29368588.8147299
2026-05-18 21:15:00,9220.0,9245.0,9200.0,9200.0,774.57865376,7144607.85175485
2026-05-18 21:30:00,9250.0,9280.0,9230.0,9275.0,807.10675158,7486155.10618625
2026-05-18 21:45:00,9275.0,9290.0,9245.0,9245.0,4881.07080084,45244150.2427262
2026-05-18 22:00:00,9250.0,9250.0,9215.0,9225.0,4496.09946305,41541631.04065535
2026-05-18 22:15:00,9230.0,9250.0,9225.0,9225.0,1633.1991628,15088860.5851179
2026-05-18 22:30:00,9215.0,9215.0,9155.0,9170.0,4293.37122885,39447761.3521493
2026-05-18 22:45:00,9170.0,9210.0,9170.0,9185.0,4378.86640544,40236250.93058195
2026-05-18 23:00:00,9185.0,9190.0,9160.0,9160.0,4196.90535169,38535862.72910895
2026-05-18 23:15:00,9160.0,9180.0,9135.0,9150.0,1198.73933475,10981665.53350575
