,open,high,low,close,volume,value
2026-05-17 16:30:00,1255.0,1259.0,1255.0,1259.0,9766.22930897,12266665.99846903
2026-05-17 16:45:00,1259.0,1260.0,1259.0,1259.0,1959.93977502,2467901.99103589
2026-05-17 17:00:00,1259.0,1260.0,1255.0,1260.0,4611.55583542,5794777.64891354
2026-05-17 17:15:00,1258.0,1259.0,1258.0,1258.0,2996.6844951,3771955.28392618
2026-05-17 17:30:00,1255.0,1259.0,1254.0,1255.0,4448.53556399,5582699.25563118
2026-05-17 17:45:00,1256.0,1259.0,1255.0,1255.0,858.35396854,1078591.58516534
2026-05-17 18:00:00,1257.0,1258.0,1253.0,1256.0,22173.17525569,27833496.86031967
2026-05-17 18:15:00,1254.0,1255.0,1254.0,1254.0,5061.6820277,6347419.39062423
2026-05-17 18:30:00,1254.0,1254.0,1251.0,1251.0,7287.56552483,9124459.85183507
2026-05-17 18:45:00,1257.0,1258.0,1257.0,1257.0,148.58433472,186849.99999901
2026-05-17 19:00:00,1259.0,1261.0,1259.0,1261.0,7938.71807852,10005956.52949629
2026-05-17 19:15:00,1262.0,1267.0,1262.0,1266.0,28639.06008309,36242427.21816807
2026-05-17 19:30:00,1267.0,1270.0,1265.0,1265.0,24043.92996098,30481591.84802472
2026-05-17 19:45:00,1265.0,1265.0,1264.0,1265.0,11134.43074831,14082900.0914439
2026-05-17 20:00:00,1265.0,1265.0,1260.0,1261.0,13121.19329424,16575320.57302372
2026-05-17 20:15:00,1260.0,1260.0,1257.0,1257.0,71442.56726028,89911550.44192293
2026-05-17 20:30:00,1260.0,1263.0,1257.0,1258.0,14958.20139868,18818774.76841149
2026-05-17 20:45:00,1260.0,1260.0,1258.0,1259.0,26.46746208,33307.97759201
2026-05-17 21:00:00,1259.0,1259.0,1258.0,1258.0,4729.77025082,5954379.06859127
2026-05-17 21:15:00,1259.0,1262.0,1258.0,1261.0,2234.46945843,2811862.91981583
2026-05-17 21:30:00,1260.0,1261.0,1260.0,1261.0,120.49604619,151874.00997576
2026-05-17 21:45:00,1259.0,1261.0,1259.0,1261.0,1635.87301165,2062568.64506145
2026-05-17 22:00:00,1260.0,1262.0,1258.0,1258.0,11755.2122402,14801721.22261701
2026-05-17 22:15:00,1259.0,1259.0,1258.0,1258.0,1285.53070198,1617245.71571991
2026-05-17 22:30:00,1261.0,1264.0,1261.0,1263.0,9439.15678227,11913580.73423147
2026-05-17 22:45:00,1263.0,1263.0,1260.0,1261.0,10208.98601036,12882523.48659832
2026-05-17 23:00:00,1260.0,1260.0,1257.0,1257.0,46620.40970153,58649163.62580491
2026-05-17 23:15:00,1256.0,1256.0,1249.0,1252.0,43827.2095856,54896758.52295504
2026-05-17 23:30:00,1252.0,1252.0,1249.0,1252.0,6260.33916441,7821933.62376376
2026-05-17 23:45:00,1252.0,1257.0,1252.0,1252.0,1526.40841655,1911323.08823445
2026-05-18 00:00:00,1254.0,1256.0,1254.0,1256.0,148.92050381,186834.27515352
2026-05-18 00:15:00,1254.0,1254.0,1254.0,1254.0,1746.71781452,2190384.13940808
2026-05-18 00:30:00,1254.0,1254.0,1254.0,1254.0,80.30081791,100697.22565914
2026-05-18 00:45:00,1256.0,1256.0,1253.0,1253.0,885.40256678,1111853.24093935
2026-05-18 01:00:00,1255.0,1258.0,1255.0,1255.0,607.5730557,762566.55056325
2026-05-18 01:15:00,1256.0,1256.0,1256.0,1256.0,23.8853503,29999.9999768
2026-05-18 01:30:00,1258.0,1258.0,1258.0,1258.0,4.63404,5829.62232
2026-05-18 01:45:00,1257.0,1258.0,1256.0,1256.0,1478.59041856,1858589.80094095
2026-05-18 02:00:00,1255.0,1255.0,1248.0,1248.0,21385.8086351,26704012.34364933
2026-05-18 02:15:00,1249.0,1251.0,1248.0,1251.0,514.73867,642412.21551452
2026-05-18 02:30:00,1248.0,1248.0,1247.0,1247.0,625.37422051,780184.16579648
2026-05-18 02:45:00,1248.0,1250.0,1248.0,1249.0,248.13533398,310043.99997949
2026-05-18 03:00:00,1249.0,1249.0,1249.0,1249.0,85.71577261,107058.99998989
2026-05-18 03:15:00,1247.0,1247.0,1245.0,1245.0,632.29615958,787297.91747194
2026-05-18 03:30:00,1250.0,1250.0,1250.0,1250.0,2441.8005997,3052250.749625
