,open,high,low,close,volume,value
2026-05-06 16:00:00,202.0,203.0,202.0,203.0,5920.72050443,1197906.26239929
2026-05-06 16:15:00,203.0,204.0,203.0,203.0,5139.34450041,1048120.94794859
2026-05-06 16:30:00,203.0,203.0,202.0,202.0,55552.73133358,11262352.97556822
2026-05-06 16:45:00,204.0,204.0,204.0,204.0,273.85878646,55867.19243784
2026-05-06 17:15:00,204.0,204.0,204.0,204.0,1469.85294117,299849.99999868
2026-05-06 17:30:00,203.0,203.0,203.0,203.0,400.0,81200.0
2026-05-06 17:45:00,203.0,205.0,203.0,204.0,26714.1403752,5462056.87446675
2026-05-06 18:00:00,204.0,204.0,204.0,204.0,51793.5362002,10565881.3848408
2026-05-06 18:15:00,204.0,205.0,204.0,205.0,45381.12371201,9297207.36096205
2026-05-06 18:30:00,205.0,205.0,205.0,205.0,1565.51007133,320929.56462265
2026-05-06 18:45:00,205.0,205.0,205.0,205.0,8188.18273708,1678577.4611014
2026-05-06 19:00:00,206.0,206.0,205.0,205.0,5706.90686938,1175597.31509228
2026-05-06 19:15:00,206.0,206.0,205.0,205.0,1108.10957123,227210.98153175
2026-05-06 19:30:00,205.0,205.0,205.0,205.0,34884.00611802,7151221.2541941
2026-05-06 19:45:00,206.0,206.0,206.0,206.0,2820.82646952,581090.25272112
2026-05-06 20:00:00,206.0,206.0,205.0,206.0,15760.05973681,3243882.11983245
2026-05-06 20:15:00,206.0,206.0,206.0,206.0,18346.45832421,3779370.41478726
2026-05-06 20:30:00,206.0,206.0,206.0,206.0,2306.3580097,475109.7499982
2026-05-06 20:45:00,205.0,206.0,205.0,206.0,4114.51392238,843555.3540879
2026-05-06 21:00:00,205.0,205.0,205.0,205.0,8399.41545439,1721880.16814995
2026-05-06 21:15:00,205.0,205.0,205.0,205.0,1769.04390241,362653.99999405
2026-05-06 21:30:00,204.0,206.0,204.0,206.0,3860.43968498,787821.55730588
2026-05-06 21:45:00,205.0,206.0,205.0,206.0,5835.61799797,1201147.20857192
2026-05-06 22:00:00,205.0,205.0,205.0,205.0,61.16072608,12537.9488464
2026-05-06 22:15:00,205.0,205.0,205.0,205.0,2429.28291951,498002.99849955
2026-05-06 22:30:00,205.0,206.0,204.0,204.0,23941.62223409,4899938.30972786
2026-05-06 22:45:00,205.0,205.0,204.0,204.0,9859.21265723,2015227.32517653
2026-05-06 23:00:00,204.0,205.0,203.0,204.0,91400.53719879,18631989.59940746
2026-05-06 23:15:00,204.0,204.0,203.0,203.0,250595.69206466,50891911.62350976
2026-05-06 23:30:00,205.0,205.0,205.0,205.0,5693.1,1167085.5
2026-05-06 23:45:00,203.0,204.0,203.0,204.0,1893.77475128,385000.00000003
2026-05-07 00:15:00,204.0,204.0,204.0,204.0,8300.0,1693200.0
2026-05-07 00:30:00,203.0,203.0,202.0,203.0,10516.81401026,2125015.59778398
2026-05-07 00:45:00,204.0,204.0,204.0,204.0,2450.98039215,499999.9999986
2026-05-07 01:00:00,204.0,205.0,203.0,203.0,11448.39688179,2344876.05194218
2026-05-07 01:30:00,204.0,204.0,204.0,204.0,9803.92156863,2000000.00000052
2026-05-07 02:30:00,203.0,204.0,203.0,204.0,2026.0448,413066.83378129
2026-05-07 03:00:00,203.0,203.0,203.0,203.0,244.0,49532.0
2026-05-07 04:00:00,204.0,204.0,204.0,204.0,25.0,5100.0
2026-05-07 04:15:00,203.0,203.0,202.0,202.0,10033.8268,2026866.8404
2026-05-07 05:00:00,203.0,203.0,203.0,203.0,15900.65558353,3227833.08345659
2026-05-07 05:30:00,204.0,204.0,202.0,203.0,39036.11745816,7909501.68638015
2026-05-07 06:00:00,204.0,204.0,204.0,204.0,25249.0792832,5150812.1737728
2026-05-07 06:15:00,203.0,203.0,203.0,203.0,10000.0,2030000.0
2026-05-07 06:45:00,205.0,205.0,205.0,205.0,16401.20255207,3362246.52317435
2026-05-07 07:00:00,205.0,205.0,205.0,205.0,532.60686729,109184.40779445
2026-05-07 07:15:00,205.0,205.0,203.0,203.0,30754.11356136,6245909.56712226
2026-05-07 07:30:00,204.0,204.0,204.0,204.0,6287.28235384,1282605.60018336
2026-05-07 07:45:00,204.0,204.0,203.0,203.0,738.12665641,150077.02104035
2026-05-07 08:00:00,204.0,204.0,202.0,204.0,46682.33257602,9488581.95665399
2026-05-07 08:15:00,203.0,203.0,203.0,203.0,187.81407035,38126.25628105
2026-05-07 08:30:00,203.0,204.0,203.0,203.0,4188.27273995,853892.16216481
2026-05-07 08:45:00,203.0,203.0,203.0,203.0,14819.28309627,3008314.46854281
2026-05-07 09:00:00,204.0,205.0,204.0,204.0,44177.14048709,9019858.00985962
2026-05-07 09:15:00,204.0,206.0,204.0,205.0,56551.0859073,11595469.97105182
2026-05-07 09:30:00,205.0,205.0,204.0,204.0,91130.02003482,18604887.13411635
2026-05-07 09:45:00,204.0,206.0,204.0,206.0,16590.76840668,3388256.0500639
2026-05-07 10:00:00,205.0,206.0,204.0,205.0,110175.83722427,22553745.53967633
2026-05-07 10:15:00,206.0,206.0,204.0,206.0,77580.31721301,15867872.20820395
2026-05-07 10:30:00,205.0,209.0,205.0,206.0,817431.52131573,169358301.14878044
2026-05-07 10:45:00,207.0,208.0,205.0,207.0,242273.46953586,49990204.67709626
2026-05-07 11:00:00,207.0,208.0,206.0,207.0,216930.54612078,44815246.02115884
2026-05-07 11:15:00,207.0,208.0,206.0,207.0,259738.01220968,53708717.93713465
2026-05-07 11:30:00,207.0,209.0,206.0,208.0,195231.3816355,40464385.83598564
2026-05-07 11:45:00,209.0,209.0,207.0,208.0,33277.41282967,6920324.43983892
2026-05-07 12:00:00,208.0,209.0,207.0,209.0,37281.96592886,7751033.37453587
2026-05-07 12:15:00,208.0,211.0,208.0,209.0,409150.23887414,85826299.14291334
2026-05-07 12:30:00,210.0,211.0,209.0,211.0,184728.55147356,38819861.66360755
2026-05-07 12:45:00,210.0,211.0,210.0,210.0,140908.45525658,29642748.679858
2026-05-07 13:00:00,210.0,211.0,209.0,211.0,88975.95204646,18684982.23902513
2026-05-07 13:15:00,211.0,211.0,209.0,211.0,132110.14794963,27743011.6413602
2026-05-07 13:30:00,211.0,211.0,210.0,211.0,78834.99221987,16631846.92861751
2026-05-07 13:45:00,210.0,211.0,209.0,210.0,128276.29071215,26913745.62176879
2026-05-07 14:00:00,210.0,213.0,210.0,210.0,629489.86277249,132805471.7630103
2026-05-07 14:15:00,210.0,213.0,210.0,213.0,219205.91298638,46293485.78382549
2026-05-07 14:30:00,212.0,214.0,211.0,214.0,74536.88516761,15781196.13125897
2026-05-07 14:45:00,213.0,214.0,212.0,212.0,262199.86465557,55831476.3830567
2026-05-07 15:00:00,212.0,213.0,211.0,212.0,52685.7499562,11169100.31979208
