,open,high,low,close,volume,value
2026-05-18 05:00:00,13410.0,13430.0,13410.0,13410.0,184.60581287,2475603.9505867
2026-05-18 05:15:00,13410.0,13440.0,13400.0,13400.0,651.2178794,8737741.2465222
2026-05-18 05:30:00,13390.0,13400.0,13380.0,13400.0,346.56217731,4637104.3004431
2026-05-18 05:45:00,13430.0,13430.0,13400.0,13400.0,16.22811857,217692.7788375
2026-05-18 06:15:00,13400.0,13440.0,13400.0,13440.0,759.47932116,10199204.6095134
2026-05-18 06:30:00,13450.0,13450.0,13440.0,13440.0,169.30462586,2276165.5941604
2026-05-18 06:45:00,13440.0,13440.0,13420.0,13440.0,1057.58476322,14201542.4335475
2026-05-18 07:00:00,13440.0,13440.0,13360.0,13360.0,534.58232878,7159267.1215732
2026-05-18 07:15:00,13390.0,13390.0,13350.0,13350.0,564.16998116,7542982.6717651
2026-05-18 07:30:00,13350.0,13370.0,13330.0,13340.0,433.70369856,5786387.3858385
2026-05-18 07:45:00,13340.0,13340.0,13300.0,13320.0,2377.06059631,31643678.1947903
2026-05-18 08:00:00,13340.0,13340.0,13290.0,13310.0,1230.01373288,16361544.0093856
2026-05-18 08:15:00,13310.0,13310.0,13250.0,13250.0,3219.51805737,42728592.0220415
2026-05-18 08:30:00,13250.0,13260.0,12910.0,13110.0,23148.2765083,302384916.6407073
2026-05-18 08:45:00,13110.0,13250.0,13100.0,13230.0,7215.45857672,94944231.3092985
2026-05-18 09:00:00,13230.0,13230.0,13110.0,13140.0,5421.31641353,71366721.1306702
2026-05-18 09:15:00,13150.0,13200.0,13150.0,13180.0,5461.90262107,71970388.4668725
2026-05-18 09:30:00,13180.0,13190.0,13120.0,13130.0,6970.75943996,91680883.919411
2026-05-18 09:45:00,13130.0,13170.0,13120.0,13170.0,4679.44846165,61542101.1342069
2026-05-18 10:00:00,13170.0,13190.0,13150.0,13170.0,2668.01969656,35132818.4018794
2026-05-18 10:15:00,13170.0,13170.0,13100.0,13100.0,2005.79262098,26316342.3225396
2026-05-18 10:30:00,13120.0,13130.0,13090.0,13090.0,2795.80471916,36666975.1826057
2026-05-18 10:45:00,13090.0,13190.0,13060.0,13190.0,5653.90645093,74111808.9447927
2026-05-18 11:00:00,13180.0,13240.0,13180.0,13240.0,2406.08125865,31756859.1916547
2026-05-18 11:15:00,13240.0,13290.0,13230.0,13230.0,733.7076605,9734993.1814612
2026-05-18 11:30:00,13250.0,13280.0,13210.0,13230.0,2558.29556999,33865324.7382408
2026-05-18 11:45:00,13250.0,13280.0,13190.0,13200.0,11078.07879682,146626471.8106024
2026-05-18 12:00:00,13220.0,13310.0,13220.0,13240.0,6565.39999499,87100537.3745608
2026-05-18 12:15:00,13240.0,13250.0,13210.0,13220.0,8251.52714479,109107062.1686395
2026-05-18 12:30:00,13220.0,13220.0,13150.0,13180.0,3397.78378353,44753831.5222215
2026-05-18 12:45:00,13200.0,13200.0,13160.0,13160.0,2030.62426257,26734261.4129647
2026-05-18 13:00:00,13170.0,13180.0,13160.0,13180.0,562.02287544,7398795.3154701
2026-05-18 13:15:00,13180.0,13200.0,13140.0,13140.0,465.48260463,6122450.7337172
2026-05-18 13:30:00,13140.0,13200.0,13140.0,13200.0,2027.95535797,26692850.319175
2026-05-18 13:45:00,13200.0,13210.0,13170.0,13190.0,1128.68918612,14886513.296502
2026-05-18 14:00:00,13200.0,13210.0,13180.0,13180.0,60.41439317,796658.5600926
2026-05-18 14:15:00,13180.0,13210.0,13170.0,13170.0,342.74415763,4517568.6960607
2026-05-18 14:30:00,13170.0,13180.0,13150.0,13160.0,1569.03253327,20648818.3667494
2026-05-18 14:45:00,13160.0,13160.0,13130.0,13130.0,538.90116188,7084010.7285717
2026-05-18 15:00:00,13130.0,13160.0,13100.0,13110.0,2663.39110418,34972680.7972187
2026-05-18 15:15:00,13140.0,13140.0,13070.0,13100.0,1132.70188824,14845293.790452
2026-05-18 15:30:00,13100.0,13130.0,13070.0,13090.0,1357.13703787,17769277.1384808
2026-05-18 15:45:00,13140.0,13150.0,13120.0,13140.0,102.35196025,1344546.1499422
2026-05-18 16:00:00,13140.0,13150.0,13070.0,13070.0,698.3694708,9153123.2824276
2026-05-18 16:15:00,13070.0,13140.0,13060.0,13140.0,2485.69062269,32491434.8160781
2026-05-18 16:30:00,13130.0,13130.0,13060.0,13070.0,287.23004374,3756070.6048001
2026-05-18 16:45:00,13060.0,13090.0,13060.0,13090.0,3789.65595166,49528393.3490948
2026-05-18 17:00:00,13090.0,13130.0,13080.0,13090.0,7315.66784438,95786115.1137311
2026-05-18 17:15:00,13090.0,13100.0,13070.0,13100.0,1313.38942414,17183702.2675988
2026-05-18 17:30:00,13100.0,13100.0,13000.0,13010.0,7007.48075696,91348784.1062364
2026-05-18 17:45:00,13010.0,13030.0,12960.0,13000.0,6010.8430207,78082668.2718715
2026-05-18 18:00:00,13000.0,13020.0,12940.0,12990.0,3055.99151856,39701587.85974
2026-05-18 18:15:00,12950.0,12980.0,12950.0,12960.0,705.06266604,9137140.3391431
2026-05-18 18:30:00,12970.0,13000.0,12960.0,13000.0,726.77484929,9443389.0845856
2026-05-18 18:45:00,12990.0,13000.0,12970.0,12970.0,345.69651263,4486507.8959284
2026-05-18 19:00:00,12970.0,12980.0,12940.0,12950.0,3523.16242249,45631174.7064026
2026-05-18 19:15:00,12950.0,12950.0,12910.0,12950.0,3112.5916369,40234246.2602839
2026-05-18 19:30:00,12940.0,12960.0,12910.0,12910.0,1173.26666876,15176035.8022905
2026-05-18 19:45:00,12920.0,12960.0,12910.0,12920.0,617.36287876,7986534.8911521
2026-05-18 20:00:00,12910.0,12940.0,12910.0,12940.0,1442.37731919,18633520.1733539
2026-05-18 20:15:00,12930.0,12940.0,12920.0,12940.0,1575.75792563,20378466.8876338
2026-05-18 20:30:00,12940.0,13090.0,12940.0,13070.0,7567.54765933,98814677.1692664
2026-05-18 20:45:00,13040.0,13040.0,13010.0,13020.0,1610.67559683,20975692.9977038
2026-05-18 21:00:00,13020.0,13080.0,13020.0,13060.0,2330.41884157,30426359.4531127
2026-05-18 21:15:00,13070.0,13110.0,13060.0,13060.0,1796.4283882,23490043.0064404
2026-05-18 21:30:00,13070.0,13140.0,13060.0,13130.0,1281.492103,16776501.9721876
2026-05-18 21:45:00,13140.0,13150.0,13100.0,13110.0,3584.51550719,47028080.2998188
2026-05-18 22:00:00,13120.0,13140.0,13060.0,13060.0,8962.45831428,117361984.2530064
2026-05-18 22:15:00,13070.0,13090.0,13070.0,13080.0,435.71199689,5697562.472458
2026-05-18 22:30:00,13060.0,13080.0,13000.0,13060.0,2576.82654431,33570884.1685794
