,open,high,low,close,volume,value
2026-05-10 11:30:00,654.0,654.0,654.0,654.0,795.30989473,520132.67115342
2026-05-10 11:45:00,655.0,655.0,655.0,655.0,763.35877862,499999.9999961
2026-05-10 12:00:00,654.0,654.0,654.0,654.0,367.42770167,240297.71689218
2026-05-10 12:15:00,653.0,653.0,653.0,653.0,2616.50074556,1708574.98685068
2026-05-10 12:30:00,653.0,653.0,650.0,653.0,32206.67732827,20944586.57967014
2026-05-10 12:45:00,655.0,655.0,655.0,655.0,12.21374045,7999.99999475
2026-05-10 13:00:00,655.0,655.0,655.0,655.0,1150.75839694,753746.7499957
2026-05-10 13:15:00,655.0,656.0,655.0,656.0,46146.55288614,30238568.99450706
2026-05-10 13:30:00,654.0,656.0,654.0,656.0,16572.2886957,10848365.31120848
2026-05-10 13:45:00,655.0,656.0,655.0,655.0,600.0,393205.67454268
2026-05-10 14:00:00,655.0,655.0,652.0,655.0,39933.49552143,26072266.40832676
2026-05-10 14:15:00,657.0,659.0,657.0,659.0,4131.02965811,2720212.03535517
2026-05-10 14:30:00,660.0,660.0,659.0,659.0,4771.67727272,3146046.9999952
2026-05-10 14:45:00,660.0,662.0,659.0,660.0,76076.09995634,50235848.62477101
2026-05-10 15:00:00,659.0,661.0,659.0,661.0,28574.52995724,18834367.51679478
2026-05-10 15:15:00,660.0,660.0,658.0,658.0,2625.92631606,1732579.79962937
2026-05-10 15:30:00,658.0,660.0,658.0,660.0,106.10658941,69969.6509833
2026-05-10 15:45:00,660.0,662.0,660.0,662.0,835.82751074,553022.42445693
2026-05-10 16:00:00,663.0,669.0,663.0,666.0,20654.64224851,13766040.01062304
2026-05-10 16:15:00,667.0,669.0,667.0,669.0,5261.91255662,3519280.52857878
2026-05-10 16:45:00,669.0,669.0,669.0,669.0,7473.84155455,4999999.99999395
2026-05-10 17:00:00,669.0,673.0,668.0,673.0,33101.44752683,22264565.90850657
2026-05-10 17:15:00,669.0,672.0,669.0,672.0,4256.5426768,2857449.22575446
2026-05-10 17:30:00,672.0,672.0,672.0,672.0,101.98798585,68535.9264912
2026-05-10 17:45:00,672.0,674.0,672.0,674.0,1764.27712266,1187515.73043892
2026-05-10 18:00:00,674.0,676.0,674.0,674.0,122.74816,82808.28915762
2026-05-10 18:15:00,677.0,677.0,672.0,672.0,905.48650053,609685.83407311
2026-05-10 18:30:00,671.0,671.0,666.0,666.0,282.35752238,189263.40238221
2026-05-10 18:45:00,665.0,669.0,665.0,669.0,431.37580683,287313.79024165
2026-05-10 19:00:00,665.0,665.0,663.0,663.0,38.06259894,25251.83756268
2026-05-10 19:45:00,663.0,665.0,663.0,665.0,10331.98399286,6850131.0375989
2026-05-10 20:00:00,664.0,664.0,664.0,664.0,7.67742,5097.80688
2026-05-10 20:15:00,664.0,664.0,661.0,661.0,7619.33137928,5039759.99999037
2026-05-10 20:30:00,664.0,664.0,661.0,663.0,4741.35572144,3142001.96057833
2026-05-10 20:45:00,663.0,663.0,661.0,661.0,270.43288707,178995.81150485
2026-05-10 21:00:00,661.0,661.0,661.0,661.0,2124.71040348,1404433.57670028
2026-05-10 21:15:00,662.0,662.0,661.0,661.0,1369.1933056,905848.66880824
2026-05-10 21:30:00,662.0,662.0,662.0,662.0,673.84581642,446085.93047004
