,open,high,low,close,volume,value
2026-05-11 00:00:00,8.85,8.87,8.85,8.87,95562.9777644,847619.31143365
2026-05-11 00:15:00,8.87,8.88,8.86,8.88,933024.88788168,8275632.9435694
2026-05-11 00:30:00,8.88,8.88,8.86,8.86,511116.00373544,4533007.65478677
2026-05-11 00:45:00,8.86,8.88,8.86,8.88,360953.46318585,3203782.02233264
2026-05-11 01:00:00,8.89,8.89,8.89,8.89,298677.07981337,2655239.23954086
2026-05-11 01:15:00,8.9,8.9,8.88,8.88,786678.93682032,6998911.21651691
2026-05-11 01:30:00,8.88,8.9,8.88,8.88,2313961.48370776,20556082.23240715
2026-05-11 01:45:00,8.89,8.91,8.89,8.91,1319647.01478813,11732705.94023282
2026-05-11 02:00:00,8.91,8.92,8.88,8.88,981586.70067038,8746898.67455254
2026-05-11 02:15:00,8.88,8.92,8.88,8.92,568751.76514716,5055456.44152749
2026-05-11 02:30:00,8.92,8.93,8.91,8.92,205080.13811027,1828996.16652416
2026-05-11 02:45:00,8.92,8.93,8.92,8.92,361441.51512377,3224260.10490403
2026-05-11 03:00:00,8.92,8.93,8.9,8.9,229973.70507462,2048472.25711205
2026-05-11 03:15:00,8.91,8.94,8.91,8.93,2114160.89811096,18875228.22962073
2026-05-11 03:30:00,8.93,8.93,8.92,8.92,48105.63762571,429515.69762133
2026-05-11 03:45:00,8.91,8.92,8.91,8.92,124452.90277967,1110114.28000004
2026-05-11 04:00:00,8.92,8.92,8.91,8.92,685869.49943883,6112355.76720537
2026-05-11 04:15:00,8.92,8.94,8.92,8.93,1852783.5415814,16529161.03701311
2026-05-11 04:30:00,8.93,8.93,8.91,8.91,269273.37533953,2401219.96360188
2026-05-11 04:45:00,8.91,8.91,8.91,8.91,210897.17514125,1879093.83050854
2026-05-11 05:00:00,8.91,8.91,8.91,8.91,136638.77584788,1217451.49280461
2026-05-11 05:15:00,8.9,8.9,8.86,8.87,2257448.77066852,20071628.93958165
2026-05-11 05:30:00,8.87,8.89,8.85,8.85,2545292.02719133,22579119.93177603
2026-05-11 05:45:00,8.85,8.85,8.73,8.79,2257810.98808915,19892816.69298283
2026-05-11 06:00:00,8.82,8.84,8.78,8.79,323157.85518389,2843768.87502361
2026-05-11 06:15:00,8.77,8.84,8.77,8.82,120294.17148279,1055676.47481316
2026-05-11 06:30:00,8.83,8.83,8.83,8.83,2000.0,17660.0
