,open,high,low,close,volume,value
2026-05-16 21:45:00,94.0,94.0,92.9,93.3,208280.72386964,19445154.64245989
2026-05-16 22:00:00,93.2,93.4,92.7,93.1,62708.51115374,5832901.83235876
2026-05-16 22:15:00,93.1,93.4,93.1,93.3,7969.26822773,741992.69050819
2026-05-16 22:30:00,93.3,93.4,93.2,93.4,26210.13898806,2442931.78471503
2026-05-16 22:45:00,93.3,93.7,93.3,93.7,22550.23767812,2106741.38924535
2026-05-16 23:00:00,93.4,93.7,92.9,92.9,225071.82896371,20957784.09807817
2026-05-16 23:15:00,93.0,93.3,92.9,93.3,71268.76512752,6628016.66004507
2026-05-16 23:30:00,93.2,93.6,93.2,93.6,117278.42097382,10940310.96035849
2026-05-16 23:45:00,93.6,93.6,93.0,93.2,29102.47106307,2708731.62283901
2026-05-17 00:00:00,93.3,93.3,93.1,93.1,17320.27899636,1615919.36781411
2026-05-17 00:15:00,93.1,93.4,93.1,93.4,9854.40278345,920368.99655855
2026-05-17 00:30:00,94.0,94.8,94.0,94.3,186452.23657311,17569981.21291034
2026-05-17 00:45:00,94.1,94.5,94.1,94.5,41809.69123132,3940551.54063631
2026-05-17 01:00:00,94.4,94.8,94.3,94.6,104208.5158375,9856019.01146914
2026-05-17 01:15:00,94.8,94.8,94.8,94.8,13046.98269331,1236853.95932579
2026-05-17 01:30:00,94.5,94.5,94.0,94.0,27365.15284881,2577284.55827797
2026-05-17 01:45:00,94.0,94.0,94.0,94.0,1194.21381746,112256.09884124
2026-05-17 02:45:00,94.0,94.0,93.7,93.7,397440.36025986,37281204.38203438
2026-05-17 03:00:00,94.0,94.0,94.0,94.0,3188.29787234,299699.99999996
2026-05-17 03:15:00,94.0,94.0,93.9,93.9,8435.02883451,792887.27044394
2026-05-17 03:30:00,93.9,94.4,93.9,94.4,33210.55908354,3134361.32845288
2026-05-17 03:45:00,94.1,94.1,94.1,94.1,106.26992562,10000.00000084
2026-05-17 04:00:00,94.1,94.1,94.1,94.1,175.01594048,16468.99999917
2026-05-17 04:15:00,94.0,94.0,94.0,94.0,111888.99167436,10517565.21738984
2026-05-17 04:30:00,93.7,93.7,93.7,93.7,400.0,37480.0
2026-05-17 05:00:00,94.1,94.1,94.1,94.1,8735.66435155,822026.01548086
2026-05-17 05:45:00,94.3,94.3,94.3,94.3,22539.81344012,2125504.40740332
2026-05-17 06:00:00,94.1,94.1,93.9,93.9,17330.86848271,1628000.67422466
2026-05-17 06:15:00,94.3,94.3,93.6,93.6,31567.56406119,2958166.92809121
2026-05-17 06:30:00,94.2,94.4,94.1,94.1,41394.01408275,3897247.29113732
2026-05-17 06:45:00,94.1,94.1,94.1,94.1,3923.00034615,369154.33257272
2026-05-17 07:00:00,94.1,94.1,94.0,94.0,51443.07569415,4835659.1216263
2026-05-17 07:15:00,94.1,94.2,94.1,94.2,12529.7703871,1179774.36961281
2026-05-17 07:30:00,94.2,94.2,94.2,94.2,23551.44436115,2218546.05882033
2026-05-17 07:45:00,94.1,94.1,94.1,94.1,1295.44982358,121901.82839888
2026-05-17 08:00:00,94.0,94.1,93.6,93.9,74798.03319053,7028361.51986538
2026-05-17 08:15:00,93.9,94.0,93.9,94.0,314.67519646,29570.45945823
2026-05-17 08:30:00,93.9,93.9,93.8,93.8,5331.8137758,500129.57249004
2026-05-17 08:45:00,93.8,94.0,93.8,93.8,22231.73921162,2088656.34865742
2026-05-17 09:00:00,93.8,93.8,93.0,93.2,338275.70125063,31551452.16357002
2026-05-17 09:15:00,93.3,93.3,92.8,92.9,110326.29350528,10251100.56556737
2026-05-17 09:30:00,92.8,92.9,92.4,92.8,169659.0505738,15699239.50504776
2026-05-17 09:45:00,92.6,92.6,91.5,91.7,645568.24054517,59340490.9131914
2026-05-17 10:00:00,91.9,91.9,91.5,91.9,98838.04548725,9065285.88571624
2026-05-17 10:15:00,91.9,91.9,91.3,91.3,156188.73738756,14270329.66301008
2026-05-17 10:30:00,91.3,91.4,91.0,91.0,347204.67092654,31629087.22496958
2026-05-17 10:45:00,91.2,91.5,90.8,90.8,239263.6144623,21773107.97861676
2026-05-17 11:00:00,90.7,91.8,90.7,91.3,20948.61439357,1919664.94672902
2026-05-17 11:15:00,91.7,92.0,91.5,91.5,243389.23449172,22347633.42100503
2026-05-17 11:30:00,91.5,91.6,91.3,91.3,310001.86183404,28331250.8728317
2026-05-17 11:45:00,91.3,91.3,91.1,91.1,22270.88237515,2031137.57158349
2026-05-17 12:00:00,91.5,91.5,91.2,91.2,71063.15337123,6487885.3035579
2026-05-17 12:15:00,91.4,91.6,91.4,91.6,7315.08601473,669982.85410439
2026-05-17 12:30:00,91.7,92.5,91.7,92.3,519713.73002457,47886508.46522256
2026-05-17 12:45:00,92.2,92.2,92.2,92.2,25062.38617468,2310752.0053055
2026-05-17 13:00:00,92.5,92.8,92.5,92.8,63085.08773472,5846310.13427825
2026-05-17 13:15:00,92.8,93.1,92.7,93.0,163800.68750699,15243727.39879046
2026-05-17 13:30:00,93.0,93.0,92.9,92.9,5467.42158558,508425.20745894
2026-05-17 13:45:00,93.1,93.1,92.3,92.4,494668.78837721,45755608.62437032
2026-05-17 14:00:00,92.2,92.4,92.2,92.4,108501.98042898,10005316.65822634
2026-05-17 14:15:00,92.4,92.4,92.3,92.3,11915.62770562,1100983.99999929
2026-05-17 14:30:00,92.3,92.3,91.8,92.2,94384.39196071,8668989.85722002
2026-05-17 14:45:00,92.2,92.5,91.9,91.9,194176.18756375,17854716.60690418
2026-05-17 15:00:00,91.9,92.4,91.9,92.4,47765.1672442,4407245.31302352
2026-05-17 15:15:00,92.4,92.4,92.4,92.4,23958.22510822,2213739.99999953
2026-05-17 15:30:00,92.4,92.6,92.3,92.6,74934.63971148,6925939.23439445
2026-05-17 15:45:00,92.6,92.8,92.5,92.8,26025.97365346,2411296.02954751
2026-05-17 16:00:00,92.8,93.1,92.8,93.1,73164.24333191,6794417.59508762
2026-05-17 16:15:00,92.9,93.0,92.8,93.0,103658.2542939,9628676.81471965
2026-05-17 16:30:00,93.1,95.6,93.1,95.6,651469.0433755,61654669.30690736
2026-05-17 16:45:00,95.6,98.3,95.2,97.5,1712140.70685156,166411077.05280256
