,open,high,low,close,volume,value
2026-05-07 18:00:00,2517.0,2531.0,2517.0,2531.0,967.55170311,2435485.71802449
2026-05-07 18:15:00,2518.0,2528.0,2511.0,2515.0,1084.21601285,2725862.76582561
2026-05-07 18:30:00,2515.0,2517.0,2515.0,2515.0,22.31073141,56119.44178243
2026-05-07 18:45:00,2515.0,2517.0,2512.0,2517.0,1720.14614024,4321051.03858431
2026-05-07 19:00:00,2518.0,2518.0,2518.0,2518.0,21.10235294,53135.72470292
2026-05-07 19:15:00,2512.0,2512.0,2510.0,2510.0,7085.4810027,17790009.98331383
2026-05-07 19:30:00,2510.0,2523.0,2510.0,2517.0,4985.23183197,12516986.66428864
2026-05-07 19:45:00,2520.0,2520.0,2520.0,2520.0,497.93307776,1254791.3559552
2026-05-07 20:00:00,2520.0,2520.0,2514.0,2514.0,1281.07896946,3225634.19802696
2026-05-07 20:15:00,2515.0,2515.0,2515.0,2515.0,659.90599533,1659663.57825495
2026-05-07 20:30:00,2520.0,2527.0,2515.0,2527.0,7766.83794823,19546102.97728471
2026-05-07 20:45:00,2525.0,2526.0,2518.0,2520.0,1963.16887276,4950931.07936389
2026-05-07 21:00:00,2520.0,2521.0,2520.0,2521.0,18.9948,47879.8908
2026-05-07 21:15:00,2525.0,2530.0,2525.0,2525.0,1708.60473388,4314545.5150433
2026-05-07 21:30:00,2531.0,2533.0,2530.0,2530.0,1177.87882814,2981522.16993074
2026-05-07 21:45:00,2531.0,2534.0,2527.0,2534.0,343.244531,868417.05079583
2026-05-07 22:00:00,2534.0,2549.0,2529.0,2544.0,6632.90124609,16854690.56380664
2026-05-07 22:15:00,2530.0,2538.0,2530.0,2533.0,557.70585717,1412406.86847515
2026-05-07 22:30:00,2530.0,2530.0,2519.0,2519.0,1398.37354607,3533085.30923287
2026-05-07 22:45:00,2519.0,2521.0,2515.0,2516.0,3219.06884791,8101775.77981587
2026-05-07 23:00:00,2516.0,2534.0,2516.0,2534.0,2766.6071467,6966435.74055248
2026-05-07 23:30:00,2519.0,2520.0,2505.0,2505.0,13555.63055098,34035902.14470601
2026-05-07 23:45:00,2523.0,2533.0,2517.0,2528.0,431.19745261,1089283.28449768
2026-05-08 00:00:00,2524.0,2529.0,2524.0,2529.0,718.53798428,1816511.62697412
2026-05-08 00:15:00,2524.0,2524.0,2469.0,2490.0,13162.40228368,32812367.48927189
2026-05-08 00:30:00,2496.0,2498.0,2496.0,2497.0,1321.14958195,3298769.39768912
2026-05-08 00:45:00,2503.0,2511.0,2503.0,2511.0,188.91214057,473513.07071735
2026-05-08 01:00:00,2507.0,2507.0,2500.0,2500.0,200.27075837,500720.72858978
2026-05-08 01:30:00,2518.0,2518.0,2518.0,2518.0,1.98610007,5000.99997626
2026-05-08 01:45:00,2517.0,2520.0,2517.0,2520.0,87.9517783,221626.5599811
2026-05-08 02:15:00,2530.0,2530.0,2518.0,2522.0,278.48892935,702273.1404555
2026-05-08 02:30:00,2522.0,2527.0,2522.0,2527.0,1177.78356593,2970500.02900801
2026-05-08 02:45:00,2532.0,2540.0,2529.0,2540.0,982.83960783,2490232.80564033
2026-05-08 03:00:00,2540.0,2541.0,2540.0,2541.0,534.89696621,1358681.9231414
2026-05-08 03:15:00,2544.0,2544.0,2544.0,2544.0,3.93081761,9999.99999984
2026-05-08 03:45:00,2533.0,2533.0,2533.0,2533.0,5.920925,14997.703025
2026-05-08 04:00:00,2532.0,2532.0,2532.0,2532.0,58.6,148375.2
2026-05-08 04:15:00,2534.0,2534.0,2534.0,2534.0,5.97947908,15151.99998872
2026-05-08 05:00:00,2537.0,2537.0,2537.0,2537.0,108.63393174,275604.28482438
2026-05-08 05:45:00,2531.0,2531.0,2530.0,2530.0,137.3764047,347604.87519793
2026-05-08 06:00:00,2520.0,2521.0,2514.0,2517.0,4853.53464701,12212414.45700291
