,open,high,low,close,volume,value
2026-05-11 20:00:00,6.03,6.03,6.0,6.0,1402583.70462684,8445605.90200014
2026-05-11 20:15:00,6.03,6.03,6.01,6.01,859294.23840018,5172655.78041478
2026-05-11 20:30:00,6.01,6.02,6.0,6.02,820664.1585527,4924583.78714353
2026-05-11 20:45:00,6.0,6.01,5.99,6.01,97096.38065928,581801.25706152
2026-05-11 21:00:00,6.0,6.01,5.99,6.01,460478.43044526,2763096.32295708
2026-05-11 21:15:00,6.01,6.01,6.01,6.01,47823.19903067,287417.42617433
2026-05-11 21:30:00,6.02,6.02,6.01,6.01,339003.24921271,2040783.27361556
2026-05-11 21:45:00,6.01,6.02,6.0,6.02,193972.13983798,1164548.55496998
2026-05-11 22:00:00,6.01,6.02,6.01,6.02,76136.88349504,457724.49538659
2026-05-11 22:15:00,6.01,6.02,6.01,6.02,19972.42524917,120217.0
2026-05-11 22:30:00,6.0,6.01,5.97,6.01,1763618.09824067,10558338.69826229
2026-05-11 22:45:00,6.0,6.01,5.99,6.0,2358555.98927358,14159473.17923439
2026-05-11 23:00:00,5.99,6.03,5.99,6.03,3492153.97456051,21018116.732264
2026-05-11 23:15:00,6.0,6.01,6.0,6.0,1835028.2558615,11010413.23899595
2026-05-11 23:30:00,6.0,6.0,5.98,5.98,216869.66921396,1297213.95523281
2026-05-11 23:45:00,5.98,6.0,5.98,6.0,820062.83975671,4917839.66547326
2026-05-12 00:00:00,5.97,5.97,5.97,5.97,495834.68437773,2960133.06573505
2026-05-12 00:15:00,5.98,5.99,5.98,5.99,195451.84755573,1169038.3538004
2026-05-12 00:30:00,6.01,6.01,6.01,6.01,451510.55764664,2713578.45145631
2026-05-12 00:45:00,6.01,6.03,6.01,6.03,2538388.96770067,15282342.55198649
2026-05-12 01:00:00,6.04,6.04,6.03,6.04,387447.03249753,2338096.99999984
2026-05-12 01:15:00,6.03,6.03,6.01,6.01,422879.04166686,2543196.54337921
2026-05-12 01:30:00,6.01,6.02,6.0,6.01,87059.4736226,522847.86523261
2026-05-12 01:45:00,6.01,6.02,6.01,6.02,4170.21464778,25087.99999994
2026-05-12 02:00:00,6.01,6.02,6.01,6.02,126981.72938741,763176.80823627
2026-05-12 02:15:00,6.03,6.03,6.03,6.03,2493.69817578,15036.99999995
2026-05-12 02:30:00,6.02,6.04,6.02,6.04,2486.69116191,15003.0
2026-05-12 02:45:00,6.05,6.06,6.05,6.06,11968.58145058,72507.62734697
2026-05-12 03:00:00,6.02,6.02,6.02,6.02,12755.11955055,76785.81969431
2026-05-12 03:15:00,6.04,6.04,6.04,6.04,455007.34740245,2748244.3783108
2026-05-12 03:30:00,6.06,6.06,6.05,6.06,53797.59491622,325495.25287349
2026-05-12 03:45:00,6.06,6.06,6.04,6.05,23035.8457053,139254.08490861
2026-05-12 04:00:00,6.03,6.05,6.02,6.05,345647.3866713,2081174.60051961
2026-05-12 04:15:00,6.03,6.04,6.03,6.04,1657.33336628,10001.99999999
2026-05-12 04:30:00,6.05,6.06,6.05,6.06,2003.47552475,12129.27939999
2026-05-12 05:00:00,6.06,6.06,6.03,6.03,270482.22411366,1637619.05800633
2026-05-12 05:15:00,6.06,6.06,6.06,6.06,825.24752475,5000.99999999
2026-05-12 05:30:00,6.05,6.05,6.05,6.05,827.10743801,5003.99999996
2026-05-12 05:45:00,6.05,6.05,6.05,6.05,1652.89256198,9999.99999998
2026-05-12 06:30:00,6.05,6.05,6.05,6.05,1359046.75761292,8222232.88355817
2026-05-12 06:45:00,6.05,6.06,6.04,6.05,553612.64435532,3348381.26446266
2026-05-12 07:00:00,6.06,6.06,6.06,6.06,825.08250825,5000.0
2026-05-12 07:15:00,6.04,6.06,6.04,6.06,18290.59688043,110508.20845813
2026-05-12 07:30:00,6.05,6.06,6.05,6.06,250183.65404756,1516092.31852821
2026-05-12 07:45:00,6.04,6.06,6.04,6.04,428303.89178087,2586988.50965678
2026-05-12 08:00:00,6.04,6.04,6.01,6.03,2252184.62979593,13586344.05969645
2026-05-12 08:15:00,6.0,6.04,6.0,6.01,19662.27805323,118049.60222281
2026-05-12 08:30:00,6.02,6.05,6.02,6.05,1559260.15231378,9401265.3823337
2026-05-12 08:45:00,6.05,6.05,6.04,6.05,622079.76204168,3759840.00074952
2026-05-12 09:00:00,6.04,6.04,6.02,6.02,1477318.35933509,8900101.27025604
2026-05-12 09:15:00,6.04,6.04,6.02,6.02,623131.93061943,3751844.91483175
2026-05-12 09:30:00,6.04,6.05,6.04,6.05,850624.16489135,5140778.22205946
2026-05-12 09:45:00,6.05,6.06,6.05,6.06,20165.91326691,122116.87835703
2026-05-12 10:00:00,6.05,6.05,6.05,6.05,2844245.60812708,17207685.92916883
2026-05-12 10:15:00,6.05,6.05,6.02,6.05,1564702.39135166,9441358.74729643
2026-05-12 10:30:00,6.05,6.05,5.97,5.99,7229724.71395289,43308762.49697698
2026-05-12 10:45:00,5.98,6.0,5.98,5.99,502043.3946444,3007128.99718271
2026-05-12 11:00:00,5.98,5.99,5.98,5.99,933688.74891271,5584271.20867476
2026-05-12 11:15:00,5.99,6.01,5.99,5.99,1437347.2222002,8612039.31189434
2026-05-12 11:30:00,5.99,6.01,5.99,6.01,1274354.68691652,7651825.1060816
2026-05-12 11:45:00,6.0,6.01,6.0,6.01,553374.37459276,3324152.14113962
2026-05-12 12:00:00,6.01,6.03,6.01,6.03,151841.82452719,912592.56607176
2026-05-12 12:15:00,6.03,6.03,6.02,6.02,225263.38940291,1357320.33480594
