,open,high,low,close,volume,value
2026-05-06 12:45:00,2.02,2.03,2.02,2.03,3358473.15841403,6797434.09128405
2026-05-06 13:00:00,2.03,2.04,2.03,2.04,7077122.80631208,14371486.13564662
2026-05-06 13:15:00,2.03,2.04,2.02,2.04,1606839.93837723,3256199.41797773
2026-05-06 13:30:00,2.04,2.04,2.02,2.03,566181.28033684,1145491.86311556
2026-05-06 13:45:00,2.03,2.03,2.03,2.03,458700.0834558,931161.16941527
2026-05-06 14:00:00,2.02,2.03,2.02,2.03,575164.42665203,1166692.69699471
2026-05-06 14:15:00,2.03,2.03,2.02,2.02,635949.53050813,1285001.21962201
2026-05-06 14:30:00,2.03,2.04,2.03,2.03,1104593.43655505,2249039.26037808
2026-05-06 14:45:00,2.02,2.02,2.02,2.02,250292.0,505589.84
2026-05-06 15:45:00,2.02,2.02,2.02,2.02,68598.58160528,138569.13484267
2026-05-06 16:00:00,2.02,2.02,2.02,2.02,25470.68597561,51450.78567073
2026-05-06 16:15:00,2.03,2.03,2.02,2.02,2549599.33197388,5150817.74956106
2026-05-06 16:30:00,2.03,2.03,2.03,2.03,1301903.21484804,2642863.52614152
2026-05-06 16:45:00,2.03,2.04,2.02,2.02,514727.72071921,1044434.98452632
2026-05-06 17:00:00,2.02,2.03,2.02,2.03,71895.330016,145747.51993248
2026-05-06 17:15:00,2.03,2.04,2.03,2.04,1408014.41932582,2858868.66499829
2026-05-06 17:30:00,2.04,2.04,2.03,2.04,568356.47506637,1154864.33913539
2026-05-06 17:45:00,2.03,2.03,2.03,2.03,3312120.4022986,6723604.41666616
2026-05-06 18:00:00,2.04,2.04,2.03,2.03,221161.41514582,449482.17689747
2026-05-06 18:15:00,2.03,2.04,2.02,2.03,2925583.27513566,5939369.45017809
2026-05-06 18:30:00,2.03,2.04,2.02,2.02,1540078.50977938,3120562.10995644
2026-05-06 18:45:00,2.03,2.03,2.02,2.03,945575.67935975,1910196.60737524
2026-05-06 19:00:00,2.03,2.03,2.03,2.03,196198.20188725,398282.34983112
2026-05-06 19:15:00,2.04,2.04,2.02,2.02,1556660.31333785,3159022.13765808
2026-05-06 19:30:00,2.03,2.03,2.03,2.03,70225.5233628,142557.81242648
2026-05-06 19:45:00,2.03,2.03,2.02,2.03,2469582.60615094,5013187.40629682
2026-05-06 20:00:00,2.03,2.03,2.02,2.02,244670.10837438,494282.87999999
2026-05-06 20:15:00,2.03,2.03,2.03,2.03,1919374.79726287,3896330.83844363
2026-05-06 20:30:00,2.02,2.03,2.02,2.02,3993785.22603263,8067492.86257591
2026-05-06 20:45:00,2.02,2.03,2.02,2.03,853823.48139309,1725738.68958133
2026-05-06 21:00:00,2.02,2.02,2.02,2.02,857519.12937539,1732188.64133829
2026-05-06 21:15:00,2.02,2.02,2.02,2.02,74689.35279246,150872.49264077
2026-05-06 21:30:00,2.02,2.03,2.02,2.02,1802737.74832376,3658849.6231626
2026-05-06 21:45:00,2.02,2.02,2.02,2.02,4926108.37438422,9950738.91625612
2026-05-06 22:00:00,2.02,2.02,2.02,2.02,89949.82696805,181698.65047546
2026-05-06 22:15:00,2.03,2.03,2.03,2.03,1009849.26256083,2049994.00299848
2026-05-06 22:30:00,2.03,2.03,2.03,2.03,8437.371,17127.86313
2026-05-06 22:45:00,2.03,2.03,2.02,2.02,99217.89178573,200910.33748561
2026-05-06 23:00:00,2.02,2.03,2.01,2.03,6767683.95678219,13684420.46848812
2026-05-06 23:15:00,2.03,2.03,2.03,2.03,49261.08374384,100000.0
2026-05-06 23:30:00,2.02,2.03,2.02,2.03,32036.8482661,65009.99999998
2026-05-06 23:45:00,2.02,2.03,2.02,2.03,632334.73452737,1282520.78332573
2026-05-07 00:00:00,2.03,2.03,2.03,2.03,40289.3830957,81787.44768427
2026-05-07 00:15:00,2.03,2.03,2.03,2.03,287727.09359605,584085.99999998
2026-05-07 00:30:00,2.02,2.03,2.02,2.03,75009.07001802,152169.88996909
2026-05-07 00:45:00,2.03,2.03,2.03,2.03,738916.25615763,1499999.99999999
2026-05-07 01:00:00,2.03,2.03,2.03,2.03,554561.57635467,1125759.99999998
2026-05-07 01:15:00,2.03,2.03,2.03,2.03,1792386.33449814,3638544.25903122
2026-05-07 01:45:00,2.04,2.04,2.03,2.03,591548.69009743,1203788.89778111
2026-05-07 02:30:00,2.04,2.04,2.04,2.04,1312061.24252765,2676604.93475641
2026-05-07 02:45:00,2.04,2.04,2.04,2.04,245098.03921568,499999.99999999
2026-05-07 03:00:00,2.04,2.04,2.04,2.04,245098.03921568,499999.99999999
2026-05-07 03:15:00,2.04,2.04,2.04,2.04,162233.34435722,330956.02248873
2026-05-07 05:30:00,2.04,2.04,2.03,2.03,36701.0364145,74821.09467774
2026-05-07 05:45:00,2.04,2.04,2.04,2.04,49019.60784313,99999.99999999
2026-05-07 06:00:00,2.03,2.04,2.03,2.04,56836.77768957,115456.83040829
2026-05-07 06:15:00,2.04,2.04,2.04,2.04,49019.60784313,99999.99999999
2026-05-07 06:30:00,2.04,2.04,2.04,2.04,9799.01960784,19989.99999999
2026-05-07 06:45:00,2.03,2.03,2.03,2.03,49019.60784313,99509.80392155
2026-05-07 07:15:00,2.03,2.03,2.03,2.03,58325.14730029,118400.04901959
2026-05-07 07:30:00,2.03,2.03,2.03,2.03,815466.48801964,1655396.97067987
2026-05-07 07:45:00,2.03,2.03,2.03,2.03,1158938.35146142,2352644.85346668
2026-05-07 08:00:00,2.03,2.04,2.03,2.04,1103648.25856385,2247961.6008289
2026-05-07 08:15:00,2.03,2.04,2.03,2.04,515426.11084959,1046410.50212251
2026-05-07 08:30:00,2.04,2.04,2.04,2.04,5216222.71521102,10641094.33903048
2026-05-07 08:45:00,2.04,2.04,2.03,2.03,96024.75247524,195865.24752474
2026-05-07 09:00:00,2.03,2.04,2.03,2.03,1996505.66410533,4052961.2528643
2026-05-07 09:15:00,2.03,2.04,2.03,2.04,546657.33335421,1110202.1915871
2026-05-07 09:30:00,2.03,2.03,2.03,2.03,1145715.67333607,2325802.81687222
2026-05-07 09:45:00,2.03,2.04,2.03,2.04,2034210.0899298,4144550.00412589
2026-05-07 10:00:00,2.03,2.03,2.02,2.03,75419.18624922,152559.07616473
2026-05-07 10:15:00,2.03,2.03,2.03,2.03,5000.0,10150.0
2026-05-07 10:30:00,2.03,2.03,2.03,2.03,610471.8372521,1239257.82962176
2026-05-07 10:45:00,2.03,2.03,2.03,2.03,98522.16748769,200000.00000001
2026-05-07 11:00:00,2.03,2.05,2.03,2.03,5683574.2124932,11609768.90956004
2026-05-07 11:15:00,2.03,2.03,2.03,2.03,24630.54187192,50000.0
2026-05-07 11:30:00,2.04,2.04,2.04,2.04,4901.96078431,9999.99999999
2026-05-07 11:45:00,2.04,2.04,2.02,2.03,125911.00681033,255659.91194713
2026-05-07 12:00:00,2.03,2.04,2.03,2.04,287208.1119891,585648.80557317
2026-05-07 12:15:00,2.04,2.04,2.03,2.03,2649441.69002158,5402039.8762681
2026-05-07 12:30:00,2.04,2.04,2.04,2.04,1537975.01550018,3137469.03162037
2026-05-07 12:45:00,2.03,2.03,2.03,2.03,197512.2195,400949.805585
2026-05-07 13:00:00,2.04,2.08,2.04,2.07,37494361.08759338,77271478.78572023
2026-05-07 13:15:00,2.06,2.07,2.05,2.05,3852328.89696092,7935192.45527573
2026-05-07 13:30:00,2.05,2.07,2.05,2.06,5243222.14724732,10798590.57600226
2026-05-07 13:45:00,2.06,2.07,2.06,2.06,5941878.9350128,12250563.67266073
2026-05-07 14:00:00,2.06,2.08,2.06,2.07,9957750.18996936,20623055.12672504
2026-05-07 14:15:00,2.06,2.07,2.05,2.07,2083568.11872021,4280987.7971733
2026-05-07 14:30:00,2.06,2.07,2.04,2.05,7872670.69521377,16165011.29109297
2026-05-07 14:45:00,2.04,2.05,2.04,2.04,3507262.32541821,7155040.26580437
2026-05-07 15:00:00,2.04,2.05,2.04,2.05,141193.75904721,289041.34065317
2026-05-07 15:15:00,2.05,2.05,2.05,2.05,25000.0,51250.0
2026-05-07 15:30:00,2.04,2.05,2.04,2.05,8255415.27980645,16866640.79042905
2026-05-07 15:45:00,2.05,2.05,2.05,2.05,101608.71153212,208297.85864085
2026-05-07 16:00:00,2.05,2.05,2.04,2.04,1647256.42577879,3362082.16198522
2026-05-07 16:15:00,2.04,2.04,2.03,2.03,1767848.50408717,3591617.43747653
2026-05-07 16:30:00,2.04,2.05,2.03,2.05,1268335.13275378,2578413.08606025
2026-05-07 16:45:00,2.05,2.05,2.05,2.05,455124.21520352,933004.64116722
2026-05-07 17:00:00,2.05,2.05,2.05,2.05,17119.46341463,35094.89999999
2026-05-07 17:15:00,2.05,2.05,2.05,2.05,2485.31707317,5094.9
2026-05-07 17:30:00,2.05,2.05,2.05,2.05,487804.87804878,1000000.0
2026-05-07 17:45:00,2.05,2.05,2.04,2.04,72834.84645932,148609.91604531
2026-05-07 18:00:00,2.04,2.04,2.04,2.04,20588.23529412,42000.0
2026-05-07 18:15:00,2.04,2.04,2.04,2.04,5200177.92292589,10608362.96276882
2026-05-07 18:45:00,2.04,2.04,2.04,2.04,471684.44116622,962236.25997909
2026-05-07 19:00:00,2.04,2.04,2.04,2.04,2209566.66666666,4507515.99999999
2026-05-07 19:15:00,2.04,2.04,2.04,2.04,495049.50495049,1009900.990099
2026-05-07 20:00:00,2.05,2.06,2.04,2.04,3291539.21543732,6752037.25528153
2026-05-07 20:30:00,2.05,2.05,2.05,2.05,2452.68292682,5027.99999998
2026-05-07 20:45:00,2.05,2.05,2.05,2.05,8508.787,17443.01335
2026-05-07 21:00:00,2.04,2.04,2.04,2.04,2574936.20543616,5252869.85908977
2026-05-07 21:15:00,2.04,2.04,2.04,2.04,1018928.77346078,2078614.69785999
2026-05-07 21:30:00,2.04,2.05,2.04,2.05,904504.12674988,1853731.9244292
2026-05-07 21:45:00,2.06,2.06,2.06,2.06,2895261.18008955,5964238.03098447
2026-05-07 22:00:00,2.06,2.06,2.05,2.05,423355.91025336,872055.44999997
2026-05-07 22:15:00,2.05,2.05,2.05,2.05,48829.26827135,100099.99995627
2026-05-07 22:45:00,2.05,2.05,2.05,2.05,1519534.96945645,3115046.68738572
2026-05-07 23:15:00,2.06,2.06,2.05,2.05,33513.57082521,68995.9415509
2026-05-07 23:30:00,2.05,2.05,2.04,2.04,5000278.37257337,10217998.29718135
2026-05-07 23:45:00,2.03,2.03,2.03,2.03,721677.18400189,1465004.68352384
2026-05-08 00:00:00,2.04,2.04,2.04,2.04,49019.60784313,99999.99999999
2026-05-08 00:15:00,2.03,2.03,2.03,2.03,41605.16605166,84458.48708487
2026-05-08 00:30:00,2.04,2.04,2.03,2.04,225400.37129551,459545.69954887
2026-05-08 00:45:00,2.04,2.04,2.04,2.04,5000.0,10200.0
2026-05-08 01:00:00,2.03,2.04,2.03,2.04,139803.92156862,283899.99999998
2026-05-08 01:15:00,2.03,2.03,2.03,2.03,24630.54187193,50000.00000002
2026-05-08 01:45:00,2.03,2.03,2.03,2.03,24630.54187193,50000.00000002
2026-05-08 02:00:00,2.03,2.03,2.03,2.03,1818478.67588404,3691511.7120446
2026-05-08 02:15:00,2.03,2.03,2.03,2.03,256202.91047914,520091.90827265
2026-05-08 03:00:00,2.03,2.03,2.03,2.03,14778.81773399,30001.0
2026-05-08 03:45:00,2.03,2.03,2.03,2.03,4044.69298197,8210.7267534
2026-05-08 06:00:00,2.03,2.03,2.03,2.03,95238.09523809,193333.33333332
2026-05-08 06:15:00,2.04,2.04,2.04,2.04,259804.16996636,530000.50673137
2026-05-08 06:30:00,2.04,2.04,2.03,2.03,535845.38180467,1092976.7956303
2026-05-08 06:45:00,2.03,2.03,2.03,2.03,58912.14056836,119591.64535377
2026-05-08 07:00:00,2.03,2.03,2.03,2.03,96618.35748792,196135.26570048
2026-05-08 07:15:00,2.03,2.03,2.03,2.03,2713800.19155087,5509014.38884827
2026-05-08 07:45:00,2.04,2.04,2.04,2.04,70500.5340467,143821.08945527
2026-05-08 08:00:00,2.03,2.03,2.03,2.03,640394.08866995,1300000.0
2026-05-08 08:15:00,2.03,2.03,2.03,2.03,26884.46601941,54575.4660194
2026-05-08 09:00:00,2.03,2.04,2.03,2.04,1404241.74936976,2864411.62282059
2026-05-08 09:15:00,2.03,2.03,2.03,2.03,12863.52911715,26112.96410781
2026-05-08 09:45:00,2.03,2.03,2.03,2.03,128537.05768991,260930.22711052
2026-05-08 10:00:00,2.04,2.04,2.04,2.04,44035.34430588,89832.102384
2026-05-08 10:15:00,2.04,2.04,2.02,2.04,2551771.65658798,5175836.17378808
2026-05-08 10:30:00,2.02,2.04,2.02,2.04,29785.48392135,60243.92487697
2026-05-08 10:45:00,2.04,2.04,2.04,2.04,54519.60784313,111219.99999999
2026-05-08 11:15:00,2.04,2.04,2.04,2.04,6251.13547501,12752.31636902
2026-05-08 12:30:00,2.03,2.03,2.02,2.02,8231700.30947835,16636984.26170593
2026-05-08 12:45:00,2.02,2.02,2.0,2.02,28044168.33462515,56321972.59419624
2026-05-08 13:00:00,2.02,2.02,2.01,2.01,90085.9915587,181667.29352804
2026-05-08 13:15:00,2.01,2.02,2.01,2.02,71128.5897453,143448.12690162
2026-05-08 13:30:00,2.02,2.02,2.01,2.01,237225.46008928,476891.47776905
2026-05-08 13:45:00,2.02,2.02,2.02,2.02,70112.23435309,141626.71339324
2026-05-08 14:00:00,2.02,2.03,2.02,2.03,1569869.85651877,3176025.22849255
2026-05-08 14:30:00,2.02,2.03,2.02,2.03,366933.20716686,741665.33858627
2026-05-08 14:45:00,2.03,2.03,2.03,2.03,23352.995,47406.57985
2026-05-08 15:00:00,2.03,2.03,2.03,2.03,4318.5401,8766.636403
2026-05-08 15:15:00,2.02,2.02,2.02,2.02,150000.0,303000.0
2026-05-08 16:00:00,2.02,2.02,2.02,2.02,261633.8235294,528500.32352939
2026-05-08 16:15:00,2.03,2.03,2.03,2.03,322286.20689655,654241.0
2026-05-08 16:30:00,2.02,2.03,2.02,2.03,122598.8776001,247699.7327522
2026-05-08 16:45:00,2.03,2.03,2.02,2.02,353466.15762393,714100.16056783
2026-05-08 17:00:00,2.02,2.02,2.02,2.02,497512.43781094,1004975.1243781
2026-05-08 17:15:00,2.02,2.02,2.02,2.02,457522.1683491,924194.78006518
2026-05-08 17:30:00,2.02,2.03,2.01,2.03,7937580.30136099,16086000.25226328
2026-05-08 17:45:00,2.03,2.03,2.02,2.03,3160616.38663486,6409835.46729492
2026-05-08 18:00:00,2.03,2.04,2.02,2.02,1290798.68306808,2621508.57919612
2026-05-08 18:45:00,2.03,2.04,2.03,2.03,1273466.91652638,2585216.2474113
2026-05-08 19:00:00,2.03,2.04,2.03,2.04,181689.54857183,369162.73477229
2026-05-08 19:15:00,2.04,2.04,2.04,2.04,11073.23529411,22589.39999998
2026-05-08 19:30:00,2.04,2.04,2.04,2.04,1093616.15626009,2230976.95877058
2026-05-08 19:45:00,2.04,2.04,2.03,2.03,518788.07189542,1053883.22222221
2026-05-08 20:15:00,2.04,2.04,2.04,2.04,29869.11764705,60932.99999998
2026-05-08 20:30:00,2.02,2.02,2.02,2.02,1357027.90895461,2741196.37608831
2026-05-08 20:45:00,2.02,2.03,2.02,2.03,260788.06361108,528617.67018482
2026-05-08 21:00:00,2.02,2.03,2.02,2.03,817554.27581774,1658405.42532917
2026-05-08 21:15:00,2.02,2.03,2.02,2.03,1936103.30695257,3918787.98906577
2026-05-08 21:30:00,2.03,2.03,2.02,2.02,746146.19251701,1507262.01487436
2026-05-08 21:45:00,2.03,2.03,2.02,2.03,479655.94529575,969575.20001833
2026-05-08 22:00:00,2.03,2.03,2.03,2.03,49261.08374384,100000.0
2026-05-08 22:30:00,2.03,2.03,2.02,2.03,2773591.94251556,5609059.11216208
2026-05-08 22:45:00,2.03,2.03,2.03,2.03,9098.03070443,18469.00232999
2026-05-08 23:15:00,2.03,2.04,2.03,2.04,254337.55513298,516355.23691995
2026-05-08 23:30:00,2.04,2.04,2.04,2.04,1678735.70518661,3424620.83858068
2026-05-08 23:45:00,2.04,2.05,2.04,2.05,147154.12517608,300452.20908667
2026-05-09 00:45:00,2.03,2.03,2.03,2.03,3525007.85899415,7155765.95375812
2026-05-09 01:00:00,2.04,2.04,2.03,2.04,949475.62240988,1936633.50851048
2026-05-09 01:15:00,2.04,2.04,2.04,2.04,707216.48979431,1442721.63918039
2026-05-09 01:30:00,2.04,2.04,2.04,2.04,202009.779424,412099.95002496
2026-05-09 01:45:00,2.04,2.04,2.03,2.03,3894445.34315652,7911829.48653728
2026-05-09 02:00:00,2.03,2.03,2.03,2.03,196493.87129095,398882.55872063
2026-05-09 02:15:00,2.03,2.03,2.03,2.03,4459.18595961,9052.14749801
2026-05-09 02:30:00,2.03,2.04,2.03,2.04,14680275.5037425,29849933.77335817
2026-05-09 02:45:00,2.04,2.04,2.03,2.03,48076.92307692,97616.76337325
2026-05-09 03:00:00,2.03,2.05,2.03,2.05,1438327.52613239,2919999.99999997
2026-05-09 03:15:00,2.05,2.05,2.03,2.03,2423793.10344827,4925599.95220587
2026-05-09 03:30:00,2.04,2.04,2.03,2.03,2366459.57140695,4804536.60483274
2026-05-09 03:45:00,2.04,2.04,2.03,2.03,251638.396488,513195.27001199
2026-05-09 04:15:00,2.03,2.04,2.03,2.04,252338.91080746,514741.82139697
2026-05-09 04:30:00,2.04,2.04,2.04,2.04,304720.58088602,621629.98500748
2026-05-09 04:45:00,2.04,2.04,2.04,2.04,2160790.19313871,4408011.99400297
2026-05-09 05:15:00,2.04,2.04,2.04,2.04,14234.55882352,29038.49999998
2026-05-09 05:30:00,2.04,2.04,2.04,2.04,51473.28296635,105005.49725135
2026-05-09 05:45:00,2.04,2.04,2.04,2.04,4906.86029533,10009.99500247
2026-05-09 06:00:00,2.04,2.04,2.04,2.04,196078.43137254,399999.99999998
2026-05-09 06:15:00,2.04,2.04,2.03,2.03,985318.26523713,2010000.0
2026-05-09 06:30:00,2.04,2.05,2.04,2.05,1468628.69563121,3010290.76083046
2026-05-09 06:45:00,2.05,2.05,2.05,2.05,454207.03473998,931124.42121696
2026-05-09 07:00:00,2.05,2.05,2.04,2.05,249466.55888074,508985.82894595
2026-05-09 07:15:00,2.05,2.05,2.05,2.05,4300643.79856373,8816319.78705565
2026-05-09 07:30:00,2.06,2.06,2.04,2.05,50923.18194786,104019.61599629
2026-05-09 07:45:00,2.05,2.05,2.05,2.05,100000.0,205000.0
2026-05-09 08:00:00,2.06,2.06,2.05,2.06,704844.14953591,1449833.41916997
2026-05-09 08:15:00,2.06,2.06,2.06,2.06,50970.87378639,104999.99999996
2026-05-09 08:30:00,2.05,2.06,2.05,2.06,294152.23191801,605924.47153751
2026-05-09 08:45:00,2.06,2.06,2.05,2.06,550918.7793032,1134775.61219386
2026-05-09 09:00:00,2.06,2.06,2.05,2.05,1051675.14459227,2160788.41534619
2026-05-09 09:15:00,2.05,2.06,2.04,2.05,491074.85332173,1003157.16004186
2026-05-09 09:30:00,2.04,2.05,2.04,2.04,5008624.74233963,10218092.62616017
2026-05-09 09:45:00,2.05,2.05,2.04,2.05,2512686.48205174,5131865.56168756
2026-05-09 10:00:00,2.05,2.06,2.05,2.05,3455075.69855864,7107721.52630027
2026-05-09 10:15:00,2.06,2.07,2.06,2.07,2783998.95562539,5753733.29510239
2026-05-09 10:30:00,2.07,2.07,2.05,2.07,4427481.81565081,9148964.90943653
2026-05-09 10:45:00,2.07,2.08,2.07,2.07,645861.39730644,1336980.20828948
2026-05-09 11:00:00,2.07,2.07,2.07,2.07,14326.08695652,29655.0
2026-05-09 11:15:00,2.06,2.06,2.05,2.06,2664649.88433298,5480287.51391788
2026-05-09 11:30:00,2.06,2.07,2.06,2.07,2086468.37750265,4305049.03969429
2026-05-09 12:00:00,2.06,2.07,2.04,2.06,2499980.3699647,5127406.96838338
2026-05-09 12:15:00,2.05,2.06,2.05,2.06,321008.05667207,659916.97899236
2026-05-09 12:30:00,2.06,2.06,2.06,2.06,88193.2866091,181678.17041475
2026-05-09 12:45:00,2.05,2.05,2.04,2.05,4037715.12679742,8276531.25668027
2026-05-09 13:00:00,2.06,2.06,2.06,2.06,328397.93695385,676499.75012493
2026-05-09 13:15:00,2.06,2.06,2.05,2.06,535393.82275835,1101855.28049134
2026-05-09 13:30:00,2.06,2.06,2.06,2.06,294183.10849944,606017.20350885
2026-05-09 13:45:00,2.06,2.06,2.06,2.06,12880.60458252,26534.04543999
2026-05-09 14:15:00,2.05,2.05,2.05,2.05,620420.03388549,1271861.06946525
2026-05-09 14:30:00,2.06,2.06,2.06,2.06,124877.79126213,257248.24999999
2026-05-09 14:45:00,2.05,2.05,2.05,2.05,120112.457951,246230.53879955
2026-05-09 15:00:00,2.05,2.05,2.05,2.05,379188.25540839,777335.9235872
2026-05-09 15:15:00,2.05,2.05,2.05,2.05,231766.62757673,475121.5865323
2026-05-09 15:30:00,2.06,2.06,2.04,2.04,2016543.1163727,4126465.44654826
2026-05-09 15:45:00,2.04,2.05,2.04,2.05,3586763.36146597,7317289.94031741
2026-05-09 16:00:00,2.05,2.05,2.04,2.04,2835617.17490844,5785307.60570184
2026-05-09 16:15:00,2.04,2.05,2.04,2.05,1777278.8889984,3638065.93254646
2026-05-09 16:30:00,2.05,2.05,2.05,2.05,50000.0,102500.0
2026-05-09 16:45:00,2.06,2.06,2.06,2.06,159940.33980582,329477.09999999
2026-05-09 17:00:00,2.06,2.06,2.06,2.06,14563.10679611,29999.99999999
2026-05-09 17:30:00,2.05,2.05,2.05,2.05,12493.14367206,25610.94452772
2026-05-09 17:45:00,2.05,2.05,2.04,2.04,196846.51391968,403030.30303029
2026-05-09 18:00:00,2.04,2.04,2.04,2.04,48829.26827135,99611.70727355
2026-05-09 18:15:00,2.05,2.05,2.05,2.05,5932.15587328,12160.91954022
2026-05-09 18:30:00,2.05,2.05,2.05,2.05,6503.41463414,13331.99999999
2026-05-09 19:00:00,2.04,2.04,2.04,2.04,96618.35748792,197101.44927536
2026-05-09 19:15:00,2.05,2.05,2.05,2.05,2443.90243902,5009.99999999
2026-05-09 19:30:00,2.05,2.05,2.05,2.05,293505.44240074,601686.15692152
2026-05-09 19:45:00,2.04,2.04,2.02,2.03,9185815.10055847,18646534.0308848
2026-05-09 20:00:00,2.04,2.04,2.04,2.04,385730.67247685,786890.57185277
2026-05-09 20:15:00,2.04,2.04,2.04,2.04,161331.31578549,329115.8842024
2026-05-09 20:30:00,2.05,2.05,2.05,2.05,2388037.20091173,4895476.26186905
2026-05-09 20:45:00,2.05,2.05,2.05,2.05,56445.53658535,115713.34999997
2026-05-09 21:00:00,2.04,2.04,2.04,2.04,1050252.43475823,2142514.96690679
2026-05-09 21:15:00,2.05,2.05,2.05,2.05,4878.04878049,10000.0
2026-05-09 21:30:00,2.05,2.05,2.05,2.05,48780.48780486,99999.99999996
2026-05-09 21:45:00,2.05,2.05,2.05,2.05,2682.92682926,5499.99999998
2026-05-09 22:30:00,2.04,2.04,2.04,2.04,1808885.40904102,3690126.23444368
2026-05-09 22:45:00,2.05,2.05,2.05,2.05,855979.99780596,1754758.99550222
2026-05-09 23:00:00,2.05,2.05,2.05,2.05,9316.70731707,19099.24999999
2026-05-09 23:30:00,2.05,2.05,2.05,2.05,4878.04878048,9999.99999998
2026-05-09 23:45:00,2.05,2.05,2.05,2.05,204878.04878048,419999.99999998
2026-05-10 00:00:00,2.04,2.04,2.04,2.04,851043.37382053,1736128.48259388
2026-05-10 00:30:00,2.05,2.05,2.05,2.05,1323429.04303944,2713029.53823085
2026-05-10 01:00:00,2.05,2.05,2.05,2.05,175348.90263937,359465.25041071
2026-05-10 01:30:00,2.05,2.05,2.05,2.05,638555.4,1309038.57
2026-05-10 01:45:00,2.06,2.06,2.06,2.06,48543.68932038,99999.99999998
2026-05-10 02:15:00,2.06,2.06,2.06,2.06,157471.26436781,324390.80459769
2026-05-10 02:45:00,2.05,2.05,2.05,2.05,281145.52179355,576348.31967678
2026-05-10 03:00:00,2.05,2.05,2.05,2.05,476741.72052917,977320.5270848
2026-05-10 03:45:00,2.05,2.05,2.05,2.05,389037.65938812,797527.20174565
2026-05-10 04:45:00,2.05,2.05,2.05,2.05,5054.15347124,10361.01461604
2026-05-10 05:00:00,2.05,2.06,2.05,2.06,425192.50114821,872178.36533921
2026-05-10 05:15:00,2.06,2.06,2.06,2.06,11283.85922329,23244.74999998
2026-05-10 06:15:00,2.06,2.06,2.06,2.06,2429.85303464,5005.49725136
2026-05-10 06:30:00,2.06,2.06,2.05,2.05,6146.54792,12625.423236
