,open,high,low,close,volume,value
2026-05-09 04:30:00,212.0,213.0,212.0,213.0,25753.76449274,5465551.83695362
2026-05-09 05:00:00,213.0,214.0,213.0,214.0,18323.19595193,3903354.97583751
2026-05-09 05:15:00,212.0,213.0,212.0,213.0,27954.68971426,5927104.49172358
2026-05-09 05:30:00,213.0,213.0,211.0,212.0,1830.16981132,387629.31047109
2026-05-09 05:45:00,213.0,213.0,213.0,213.0,929.62820915,198010.80854895
2026-05-09 06:00:00,212.0,213.0,212.0,213.0,27315.0476707,5798049.27605286
2026-05-09 06:15:00,213.0,213.0,212.0,213.0,57720.9562593,12294516.51341957
2026-05-09 06:30:00,213.0,214.0,213.0,214.0,51838.55121326,11093169.51722042
2026-05-09 06:45:00,214.0,215.0,214.0,214.0,39545.83664925,8463025.60057368
2026-05-09 07:00:00,215.0,216.0,214.0,214.0,94513.47390143,20324818.99633006
2026-05-09 07:15:00,214.0,214.0,213.0,213.0,70538.26760563,15094315.82185051
2026-05-09 07:30:00,214.0,214.0,213.0,213.0,15703.65004508,3345708.41328406
2026-05-09 07:45:00,214.0,214.0,214.0,214.0,1460.40531135,312526.7366289
2026-05-09 08:00:00,213.0,213.0,213.0,213.0,1043.29577466,222222.00000258
2026-05-09 08:15:00,214.0,214.0,214.0,214.0,25814.42052814,5524285.99302196
2026-05-09 08:30:00,214.0,215.0,214.0,214.0,41738.02599062,8932216.63176012
2026-05-09 08:45:00,214.0,215.0,213.0,215.0,179267.96956615,38253445.05145724
2026-05-09 09:00:00,215.0,215.0,213.0,214.0,108930.01889226,23297862.1271818
2026-05-09 09:15:00,214.0,214.0,213.0,214.0,55964.96398952,11920823.48686836
2026-05-09 09:30:00,214.0,214.0,213.0,213.0,202270.12565587,43089342.47059035
2026-05-09 09:45:00,214.0,214.0,213.0,213.0,100809.60379191,21496270.10862075
2026-05-09 10:00:00,213.0,215.0,213.0,215.0,129585.85633633,27687487.81301711
2026-05-09 10:15:00,214.0,214.0,213.0,213.0,67139.67731729,14354814.61076853
2026-05-09 10:30:00,215.0,215.0,214.0,214.0,53339.73197916,11442319.42007765
2026-05-09 10:45:00,214.0,215.0,214.0,215.0,53484.32608689,11467196.42569832
2026-05-09 11:00:00,215.0,215.0,214.0,215.0,93805.9564861,20089413.74128931
2026-05-09 11:15:00,215.0,215.0,214.0,214.0,10187.34982136,2187963.44746073
2026-05-09 11:30:00,214.0,215.0,214.0,215.0,929.95179054,199574.79945462
2026-05-09 11:45:00,214.0,214.0,214.0,214.0,57002.57607746,12198551.28057644
2026-05-09 12:00:00,214.0,215.0,214.0,214.0,128605.66435299,27585098.21340264
2026-05-09 12:15:00,214.0,214.0,214.0,214.0,163491.47197905,34987175.0035167
2026-05-09 12:30:00,213.0,214.0,213.0,214.0,73293.95361689,15616479.01899568
2026-05-09 12:45:00,214.0,214.0,213.0,214.0,91617.36941021,19604809.59951059
2026-05-09 13:00:00,214.0,214.0,214.0,214.0,18064.90476189,3865889.61904446
2026-05-09 13:15:00,214.0,214.0,213.0,214.0,21003.61754656,4491794.17293129
2026-05-09 13:45:00,213.0,214.0,213.0,214.0,1173.35335282,249970.99312262
2026-05-09 14:00:00,213.0,214.0,213.0,213.0,143245.88042821,30512285.06104649
2026-05-09 14:15:00,213.0,213.0,213.0,213.0,27446.59504672,5846124.74495136
2026-05-09 14:30:00,213.0,213.0,213.0,213.0,5069.8097139,1079869.4690607
2026-05-09 14:45:00,214.0,214.0,213.0,213.0,15596.37554636,3322074.72034664
2026-05-09 15:00:00,213.0,214.0,213.0,214.0,378.75915492,80964.45915288
2026-05-09 15:15:00,213.0,214.0,213.0,214.0,8090.35224171,1723345.02748423
