,open,high,low,close,volume,value
2026-05-13 22:15:00,18.8,18.8,18.8,18.8,196995.74675134,3703520.03892519
2026-05-13 22:30:00,18.8,18.8,18.6,18.6,561421.31358372,10463936.09950483
2026-05-13 22:45:00,18.6,18.6,18.4,18.5,1805535.63198714,33364773.96987213
2026-05-13 23:00:00,18.4,18.5,18.2,18.4,747766.00356182,13746583.74515055
2026-05-13 23:15:00,18.4,18.4,18.4,18.4,248989.28061223,4581402.76326503
2026-05-13 23:30:00,18.4,18.4,18.3,18.3,844506.94553351,15455402.00407641
2026-05-13 23:45:00,18.3,18.4,18.2,18.4,597924.25197744,10946568.94809956
2026-05-14 00:00:00,18.4,18.5,18.2,18.3,167556.61981552,3075333.55747028
2026-05-14 00:15:00,18.3,18.3,18.1,18.1,1389067.84585859,25264250.89066213
2026-05-14 00:30:00,18.1,18.2,18.1,18.2,66874.48021905,1216865.53998671
2026-05-14 00:45:00,18.1,18.2,18.0,18.1,210450.5407347,3804720.95453675
2026-05-14 01:00:00,18.1,18.1,18.0,18.1,242378.71061363,4384484.99726604
2026-05-14 01:15:00,18.2,18.2,18.2,18.2,1723190.50794304,31362067.24456333
2026-05-14 01:30:00,18.3,18.3,18.3,18.3,534920.52227641,9789045.5576583
2026-05-14 01:45:00,18.3,18.3,18.3,18.3,5464.4808743,99999.99999969
2026-05-14 02:00:00,18.4,18.4,18.2,18.3,97481.37379717,1778500.63861861
2026-05-14 02:15:00,18.3,18.3,18.3,18.3,11475.40983603,209999.99999935
2026-05-14 02:30:00,18.2,18.3,18.2,18.3,119488.62228986,2180157.40654977
2026-05-14 02:45:00,18.3,18.3,18.3,18.3,517577.32675206,9471665.0795627
2026-05-14 03:00:00,18.4,18.5,18.4,18.5,13810.22329859,255395.99402392
2026-05-14 03:15:00,18.6,18.6,18.6,18.6,1113.138225,20704.370985
2026-05-14 03:30:00,18.5,18.6,18.5,18.6,2259.65199043,41925.499995
2026-05-14 03:45:00,18.6,18.6,18.6,18.6,1599815.4148732,29756566.71664152
2026-05-14 04:15:00,18.6,18.6,18.5,18.5,97922.82833866,1811626.08770607
2026-05-14 04:30:00,18.5,18.5,18.5,18.5,53666.19393006,992824.58770611
2026-05-14 04:45:00,18.5,18.5,18.5,18.5,54054.05405405,999999.99999993
2026-05-14 05:00:00,18.6,18.6,18.6,18.6,537.903225,10004.999985
2026-05-14 05:15:00,18.6,18.6,18.6,18.6,3194.33382636,59414.6091703
2026-05-14 05:30:00,18.6,18.7,18.6,18.7,163037.15261009,3048475.32042605
2026-05-14 05:45:00,18.7,18.7,18.7,18.7,293.8637633,5495.25237371
2026-05-14 06:00:00,18.6,18.6,18.6,18.6,537.365591,9994.9999926
2026-05-14 06:15:00,18.6,18.6,18.6,18.6,54054.05405405,1005405.40540533
2026-05-14 06:30:00,18.5,18.7,18.5,18.6,248544.69278868,4646640.30029781
2026-05-14 07:00:00,18.5,18.6,18.4,18.6,53348.19133362,986478.5141435
2026-05-14 07:15:00,18.6,18.7,18.6,18.6,57527.498861,1070064.95475043
2026-05-14 07:30:00,18.7,18.7,18.6,18.6,168611.12518605,3140510.8998171
2026-05-14 07:45:00,18.6,18.6,18.6,18.6,287608.84390925,5349524.49671205
2026-05-14 08:00:00,18.7,18.7,18.6,18.6,283497.6319438,5294788.60504959
2026-05-14 08:15:00,18.7,18.7,18.6,18.6,4633.79093244,86454.55607338
2026-05-14 08:30:00,18.5,18.7,18.5,18.7,27097.96979332,506660.03475931
2026-05-14 08:45:00,18.7,18.7,18.6,18.7,50394.90567351,942184.73609464
2026-05-14 09:00:00,18.7,18.7,18.6,18.7,319584.20290173,5974484.22745705
2026-05-14 09:15:00,18.7,18.7,18.7,18.7,219911.96856025,4112353.81207668
2026-05-14 09:30:00,18.8,18.9,18.8,18.8,59236.33926007,1116272.05412749
2026-05-14 09:45:00,18.9,18.9,18.9,18.9,529.1005291,9999.99999999
2026-05-14 10:00:00,18.9,18.9,18.8,18.8,14753.36415004,278420.91824284
2026-05-14 10:15:00,18.9,18.9,18.9,18.9,14722.24002277,278250.33643035
2026-05-14 10:30:00,18.9,18.9,18.9,18.9,11082.8557305,209465.97330645
2026-05-14 10:45:00,18.9,19.0,18.9,19.0,4364.07192365,82634.81935699
2026-05-14 11:00:00,19.0,19.1,18.9,19.1,108183.13673584,2055277.26305482
2026-05-14 11:15:00,19.1,19.1,19.0,19.0,49253.62884213,940147.28380508
2026-05-14 11:30:00,19.0,19.0,18.9,18.9,107634.43764908,2044301.712909
2026-05-14 11:45:00,18.9,18.9,18.8,18.8,122494.62500734,2303925.03497917
2026-05-14 12:00:00,18.7,18.7,18.5,18.6,691413.98481224,12823864.37031713
2026-05-14 12:15:00,18.5,18.5,18.4,18.5,204495.36069467,3773270.84805376
2026-05-14 12:30:00,18.5,18.5,18.4,18.4,7895.62566467,145985.6348443
2026-05-14 12:45:00,18.4,18.4,18.3,18.3,6083.90378065,111499.06418589
2026-05-14 13:00:00,18.3,18.4,18.3,18.4,251256.74770272,4617453.89493946
2026-05-14 13:15:00,18.5,18.5,18.5,18.5,534.75935828,9893.04812818
2026-05-14 13:30:00,18.4,18.4,18.4,18.4,19637.91301392,361337.59945613
2026-05-14 14:00:00,18.4,18.4,18.3,18.3,5922.14260869,108918.6879999
2026-05-14 14:15:00,18.3,18.4,18.3,18.4,16280.87777972,298483.54162975
2026-05-14 14:30:00,18.3,18.4,18.3,18.4,164202.11366066,3019145.82815513
2026-05-14 14:45:00,18.4,18.4,18.3,18.3,6202.0165754,114040.10998736
2026-05-14 15:00:00,18.4,18.4,18.2,18.4,243784.8389378,4465692.94830956
2026-05-14 15:15:00,18.3,18.3,18.3,18.3,3095.92843715,56655.49039985
2026-05-14 15:30:00,18.3,18.3,18.2,18.2,61150.14399807,1118882.79999985
2026-05-14 15:45:00,18.2,18.3,18.2,18.3,63952.33688262,1164478.97126368
2026-05-14 16:00:00,18.2,18.2,18.1,18.2,221337.49711609,4007221.52138584
2026-05-14 16:15:00,18.2,18.2,18.1,18.2,464807.86409439,8459263.81783831
2026-05-14 16:30:00,18.2,18.2,18.1,18.1,548274.88607491,9929818.86964182
2026-05-14 16:45:00,18.1,18.2,18.0,18.1,417010.44486454,7545599.78572078
2026-05-14 17:00:00,18.1,18.1,18.0,18.1,12324.46085155,222448.03013453
2026-05-14 17:15:00,18.1,18.1,18.1,18.1,78934.77849471,1428719.49075425
2026-05-14 17:30:00,18.1,18.2,18.1,18.2,279120.94326338,5052415.68823201
2026-05-14 17:45:00,18.2,18.2,18.0,18.1,68968.88874176,1247173.70775348
2026-05-14 18:00:00,18.0,18.0,18.0,18.0,313230.69225242,5638152.46054356
2026-05-14 18:15:00,18.0,18.0,18.0,18.0,116217.79181769,2091920.25271842
2026-05-14 18:30:00,18.0,18.0,18.0,18.0,115002.54004146,2070045.72074628
2026-05-14 18:45:00,18.0,18.0,18.0,18.0,557318.10483645,10031725.8870561
2026-05-14 19:00:00,18.0,18.0,18.0,18.0,405748.82107076,7303478.77927368
2026-05-14 19:15:00,18.1,18.1,18.1,18.1,1423.15582539,25759.12043956
2026-05-14 19:30:00,18.0,18.0,18.0,18.0,2224.60991726,40042.97851068
2026-05-14 20:00:00,18.1,18.1,18.0,18.0,13549.7237569,244145.0276242
2026-05-14 20:15:00,18.0,18.0,17.9,18.0,420141.11028192,7522533.61583798
2026-05-14 20:30:00,17.9,18.0,17.9,18.0,22676.25048555,406515.96702468
2026-05-14 20:45:00,17.9,18.0,17.9,18.0,94767.22967054,1699821.64743872
2026-05-14 21:00:00,18.0,18.1,18.0,18.1,156246.12546739,2823474.77482885
2026-05-14 21:15:00,18.0,18.0,18.0,18.0,968.77974685,17438.0354433
2026-05-14 21:30:00,18.1,18.1,18.1,18.1,11284.46974707,204248.90242197
2026-05-14 21:45:00,18.1,18.2,18.1,18.2,715832.87478782,13001716.51558607
2026-05-14 22:00:00,18.2,18.2,18.2,18.2,61514.66950589,1119566.9850072
2026-05-14 22:15:00,18.1,18.1,18.1,18.1,8237.63942204,149101.27353892
2026-05-14 22:30:00,18.1,18.2,18.1,18.2,147762.28435033,2680333.48361759
2026-05-14 22:45:00,18.2,18.2,18.1,18.1,174218.45857496,3165354.89652558
2026-05-14 23:00:00,18.1,18.1,18.1,18.1,119467.34482918,2162358.94140816
2026-05-14 23:15:00,18.0,18.3,18.0,18.3,288667.4954222,5255643.40373323
2026-05-14 23:30:00,18.3,18.4,18.3,18.4,102323.129,1878971.8737
2026-05-14 23:45:00,18.4,18.5,18.4,18.4,682126.89564058,12552646.5835962
2026-05-15 00:00:00,18.5,18.5,18.5,18.5,2054054.05405405,37999999.99999993
2026-05-15 00:15:00,18.6,18.6,18.6,18.6,1376.994225,25612.092585
2026-05-15 00:30:00,18.6,18.6,18.6,18.6,1121734.05780273,20864253.47513078
2026-05-15 00:45:00,18.6,18.6,18.6,18.6,85193.44325144,1584598.04447678
2026-05-15 01:15:00,18.6,18.6,18.6,18.6,38244.52471565,711348.15971109
2026-05-15 01:30:00,18.6,18.6,18.5,18.6,336800.39182834,6264432.03938834
2026-05-15 01:45:00,18.5,18.7,18.5,18.7,28641.21991513,530174.40749981
2026-05-15 02:00:00,18.7,18.7,18.7,18.7,421.42294978,7880.60916089
2026-05-15 02:15:00,18.7,18.7,18.7,18.7,87124.494,1629228.0378
2026-05-15 02:30:00,18.8,18.9,18.8,18.9,153485.87528575,2887851.04290068
2026-05-15 02:45:00,19.0,19.0,19.0,19.0,29787.728,565966.832
2026-05-15 03:00:00,18.9,19.1,18.9,19.0,111110.36786351,2113601.47780779
2026-05-15 03:15:00,19.1,19.2,19.1,19.2,1750.60295942,33559.22079992
2026-05-15 03:30:00,19.2,19.3,19.2,19.3,17159.19807952,329662.44490084
2026-05-15 03:45:00,19.4,19.7,19.4,19.5,710362.19415491,13877029.27386976
2026-05-15 04:00:00,19.6,19.7,19.5,19.5,95881.96363373,1873526.38972363
2026-05-15 04:15:00,19.6,19.6,19.6,19.6,25194.86315513,493819.31784055
2026-05-15 04:30:00,19.5,19.7,19.5,19.7,357995.68265889,7005529.20337632
2026-05-15 04:45:00,19.6,19.6,19.6,19.6,56795.34036651,1113188.6711836
2026-05-15 05:00:00,19.6,19.6,19.6,19.6,44202.34104457,866365.88447357
2026-05-15 05:15:00,19.6,19.6,19.1,19.1,469509.74696265,9086157.56825184
2026-05-15 05:30:00,19.2,19.2,19.2,19.2,7563.0,145209.6
2026-05-15 05:45:00,19.2,19.2,19.2,19.2,56552.93527476,1085816.35727539
2026-05-15 06:00:00,19.2,19.3,19.2,19.2,59367.90982037,1141134.4042677
2026-05-15 06:15:00,19.2,19.3,19.1,19.1,620666.14712903,11909432.42902245
2026-05-15 06:30:00,19.1,19.2,19.0,19.1,189957.09584938,3627726.90513544
2026-05-15 06:45:00,19.0,19.1,19.0,19.1,332016.99738823,6337237.9824418
2026-05-15 07:00:00,19.0,19.1,19.0,19.0,185844.1478974,3535398.45353323
2026-05-15 07:15:00,19.0,19.0,18.9,18.9,92090.42181419,1748486.26843786
2026-05-15 07:30:00,19.0,19.0,18.9,18.9,347161.62798448,6561407.42680137
2026-05-15 07:45:00,19.0,19.0,19.0,19.0,8218.31577368,156147.99969992
2026-05-15 08:00:00,18.9,18.9,18.8,18.9,122510.96126371,2313416.36788412
2026-05-15 08:15:00,18.8,19.0,18.8,19.0,792295.26348315,14901308.28767575
2026-05-15 08:30:00,18.9,18.9,18.9,18.9,570329.1211537,10779220.38980493
2026-05-15 08:45:00,18.8,18.8,18.8,18.8,112350.65598682,2112192.33255222
2026-05-15 09:00:00,18.9,18.9,18.8,18.9,4316.15983026,81456.4498858
2026-05-15 09:15:00,18.9,19.0,18.9,19.0,22928.99339776,433462.68725955
2026-05-15 09:30:00,19.0,19.0,18.9,19.0,221824.69755165,4212103.77225225
2026-05-15 09:45:00,18.8,19.0,18.8,19.0,11525.08135667,217468.5955358
2026-05-15 10:00:00,18.9,19.0,18.9,19.0,5273.68421052,99999.99999988
2026-05-15 10:15:00,18.9,18.9,18.8,18.8,541754.39275569,10186802.00214013
2026-05-15 10:30:00,18.8,18.8,18.7,18.8,926737.38766866,17395086.48870557
2026-05-15 10:45:00,18.8,18.8,18.8,18.8,28131.88042026,528879.35190089
2026-05-15 11:00:00,18.8,18.8,18.8,18.8,5316.49069082,99950.02498742
2026-05-15 11:15:00,18.7,18.7,18.6,18.7,135958.49857958,2531820.9605492
2026-05-15 11:30:00,18.6,18.7,18.5,18.6,111936.55185123,2071131.23001831
2026-05-15 11:45:00,18.6,18.7,18.5,18.7,43107.5742003,800498.84968049
2026-05-15 12:00:00,18.6,18.7,18.6,18.7,43024.21717647,804518.23359999
