,open,high,low,close,volume,value
2026-05-15 12:30:00,41.3,41.4,41.3,41.4,133715.02742976,5533191.99999885
2026-05-15 12:45:00,41.2,41.4,41.2,41.2,34234.41405592,1410537.33464824
2026-05-15 13:00:00,41.3,41.4,41.3,41.3,30785.85054787,1273064.43192054
2026-05-15 13:15:00,41.3,41.3,41.2,41.2,27072.32560311,1116219.94740844
2026-05-15 13:30:00,41.2,41.4,41.2,41.4,24125.68496624,994026.52978783
2026-05-15 13:45:00,41.3,41.4,41.1,41.1,2234251.63039473,92274862.88978128
2026-05-15 14:00:00,41.1,41.3,41.1,41.3,54139.28293361,2228952.58151618
2026-05-15 14:15:00,41.3,41.3,41.3,41.3,86939.59538587,3590605.28943643
2026-05-15 14:30:00,41.3,41.3,40.5,40.8,1598571.517055,64850879.07624106
2026-05-15 14:45:00,40.7,40.8,40.4,40.6,119205.69248377,4835683.45103401
2026-05-15 15:00:00,40.6,40.8,40.6,40.8,232919.83382103,9477788.12954348
2026-05-15 15:15:00,40.7,40.8,40.7,40.8,126055.71161779,5142117.94130066
2026-05-15 15:30:00,40.8,41.1,40.8,41.1,214670.14103063,8776917.2987095
2026-05-15 15:45:00,41.1,41.1,41.0,41.0,223914.66409645,9187657.89881902
2026-05-15 16:00:00,40.9,41.1,40.9,41.0,12273.69807673,502392.90787491
2026-05-15 16:15:00,41.0,41.4,41.0,41.4,205381.37793559,8444716.96712646
2026-05-15 16:30:00,41.2,41.2,41.0,41.0,24611.84466019,1013967.99999983
2026-05-15 16:45:00,41.0,41.2,41.0,41.2,25814.6325313,1060788.20580862
2026-05-15 17:00:00,41.2,41.3,41.1,41.2,275235.67346482,11351684.19540797
2026-05-15 17:15:00,41.2,41.2,41.2,41.2,1746282.55251192,71946841.1634911
2026-05-15 17:30:00,41.2,41.3,41.2,41.2,2180523.19378911,89854786.42696775
2026-05-15 17:45:00,41.2,41.4,41.2,41.3,1100556.51489422,45413513.68053487
2026-05-15 18:00:00,41.4,41.7,41.3,41.5,1009821.39160164,41917786.20011892
2026-05-15 18:15:00,41.5,41.5,41.3,41.5,3957194.61168988,164205032.10987148
2026-05-15 18:30:00,41.7,41.8,41.5,41.7,812062.7406742,33876118.26369094
2026-05-15 18:45:00,41.7,41.7,41.4,41.4,247266.76381161,10274300.82094966
2026-05-15 19:00:00,41.5,41.7,41.5,41.7,454915.71247007,18918565.04638258
2026-05-15 19:15:00,41.6,41.6,41.3,41.3,374647.83662824,15528031.87963727
2026-05-15 19:30:00,41.3,41.3,41.3,41.3,454287.60416962,18762078.05220531
2026-05-15 19:45:00,41.4,41.6,41.4,41.6,187892.26957397,7804389.80965412
2026-05-15 20:00:00,41.7,41.7,41.5,41.5,28513.40632409,1185891.20660358
2026-05-15 20:15:00,41.6,41.6,41.5,41.5,6873.19271254,285543.29564733
2026-05-15 20:30:00,41.5,41.7,41.5,41.6,145851.01736476,6059159.7661179
2026-05-15 20:45:00,41.7,41.7,41.5,41.5,376026.55472997,15619077.34141783
2026-05-15 21:00:00,41.4,41.8,41.4,41.7,79317.25406196,3291592.3809197
2026-05-15 21:15:00,41.7,41.7,41.5,41.5,109743.16167784,4554478.06436196
2026-05-15 21:30:00,41.5,41.5,41.5,41.5,20357.156094,844821.977901
2026-05-15 21:45:00,41.4,41.4,41.2,41.3,407661.54800716,16824300.83828695
2026-05-15 22:00:00,41.2,41.2,40.6,40.7,236460.04043982,9640824.44992643
2026-05-15 22:15:00,40.7,40.8,40.7,40.7,156478.94971547,6378679.88406568
2026-05-15 22:30:00,40.7,40.7,39.9,39.9,1385700.21063112,55668968.93658202
2026-05-15 22:45:00,40.0,40.1,39.5,39.7,2285914.91038341,91133906.2090259
2026-05-15 23:00:00,39.8,40.1,39.5,40.1,939238.65673867,37440365.95940558
2026-05-15 23:15:00,40.1,40.2,39.8,39.8,326313.64570978,13051936.16797836
2026-05-15 23:30:00,39.9,40.0,39.8,40.0,66133.27305336,2637350.92132967
2026-05-15 23:45:00,39.9,40.0,39.8,40.0,505916.92805569,20142783.29314648
2026-05-16 00:00:00,40.0,40.0,39.9,39.9,37854.67190846,1513648.24475945
2026-05-16 00:15:00,39.9,39.9,39.5,39.5,514549.19519511,20420748.37562521
2026-05-16 00:30:00,39.8,40.0,39.8,40.0,56975.389628,2273215.58512
2026-05-16 00:45:00,39.9,40.0,39.8,40.0,156740.09703013,6250903.80840218
2026-05-16 01:00:00,40.0,40.0,39.8,39.8,63548.71979233,2532233.86627758
2026-05-16 01:15:00,39.9,40.2,39.9,40.2,91871.28915274,3676828.43090996
2026-05-16 01:30:00,40.2,40.2,40.1,40.2,86211.51589266,3463728.1619387
2026-05-16 01:45:00,40.0,40.2,40.0,40.0,21354.94329821,856685.29411745
2026-05-16 02:00:00,40.3,40.3,40.3,40.3,158.0085,6367.74255
2026-05-16 02:15:00,40.5,40.5,40.4,40.4,39298.51837397,1588710.14230839
